episodes,return,hinter_loss,guesser_loss,hinter_q,hinter_qhat,guesser_q,guesser_qhat,exploration
2000,0.3885,94.36046600341797,98.0250473022461,-2.9000000953674316,-1.5537294149398804,-1.5,-2.0919618606567383,0.8813592272948078
4000,0.378,98.07896423339844,94.47264862060547,-1.600000023841858,-1.9193077087402344,-2.299999952316284,-2.1766769886016846,0.7775834142685771
6000,0.376,93.1888656616211,94.74794006347656,-2.5,-2.2147467136383057,-2.299999952316284,-2.0574424266815186,0.6867615915460303
8000,0.3625,97.7895736694336,99.6256332397461,-1.7000000476837158,-2.600789785385132,-1.5,-2.5945045948028564,0.6072767555124091
10000,0.384,99.71023559570312,102.13168334960938,-1.2000000476837158,-1.9639184474945068,-0.800000011920929,-2.069657802581787,0.5377137477472802
12000,0.383,91.59569549560547,94.80546569824219,-3.299999952316284,-2.3286056518554688,-2.5999999046325684,-2.2492244243621826,0.47683405935886203
14000,0.3685,90.48482513427734,91.7704849243164,-2.9000000953674316,-2.5313308238983154,-2.9000000953674316,-2.3124663829803467,0.42355378040966973
16000,0.3785,97.5240249633789,91.48116302490234,-1.399999976158142,-1.9898192882537842,-2.799999952316284,-2.1944565773010254,0.376924301842171
18000,0.375,92.5194320678711,97.39900207519531,-2.5999999046325684,-2.293020725250244,-1.899999976158142,-2.3547000885009766,0.3361154263190112
20000,0.356,86.50727844238281,88.33563232421875,-3.5,-3.3632965087890625,-3.4000000953674316,-3.4757373332977295,0.3004005872809969
22000,0.372,98.7512435913086,96.14990997314453,-1.899999976158142,-2.600081205368042,-2.0999999046325684,-2.1759135723114014,0.2691439130610133
24000,0.395,95.7986831665039,95.41397094726562,-2.0,-1.8398241996765137,-2.0999999046325684,-2.0267748832702637,0.24178890574166612
26000,0.3775,96.92386627197266,92.2944564819336,-1.7999999523162842,-2.5256567001342773,-2.9000000953674316,-2.592360258102417,0.21784853319354897
28000,0.386,93.82241821289062,92.05236053466797,-2.5,-2.008784294128418,-3.0999999046325684,-2.0915071964263916,0.19689655789148858
30000,0.3765,94.50160217285156,97.41731262207031,-2.299999952316284,-2.5105557441711426,-2.0999999046325684,-2.8705129623413086,0.17855994812587855
32000,0.3785,90.3505630493164,91.12702941894531,-2.9000000953674316,-2.6214773654937744,-3.200000047683716,-2.344256639480591,0.16251223649731428
34000,0.3845,95.50285339355469,96.38302612304688,-1.899999976158142,-2.4613218307495117,-1.899999976158142,-2.082245349884033,0.14846770744829957
36000,0.3885,92.48542785644531,98.45940399169922,-2.9000000953674316,-1.9119362831115723,-1.600000023841858,-2.3016114234924316,0.1361763103460783
38000,0.3735,86.86153411865234,91.42445373535156,-3.4000000953674316,-2.6362085342407227,-3.299999952316284,-2.628478765487671,0.12541920754845245
40000,0.3885,98.18000030517578,96.73099517822266,-1.7000000476837158,-2.350364923477173,-1.899999976158142,-2.0056309700012207,0.11600487818976805
42000,0.3705,88.77294921875,96.63375091552734,-3.5,-2.125317335128784,-1.899999976158142,-2.555335760116577,0.10776570831836477
44000,0.395,97.80923461914062,96.90662384033203,-1.399999976158142,-1.467622995376587,-1.399999976158142,-1.568204641342163,0.10055500667585009
46000,0.3865,89.6127700805664,91.98326110839844,-3.299999952316284,-1.8889464139938354,-2.799999952316284,-1.819797158241272,0.09424439298674207
48000,0.384,95.1149673461914,94.02198028564453,-2.0,-2.2518556118011475,-2.4000000953674316,-2.6365578174591064,0.08872151225924757
50000,0.386,96.11781311035156,96.26537322998047,-1.899999976158142,-2.3037357330322266,-1.7999999523162842,-2.157883405685425,0.08388803440228787
52000,0.369,87.9510726928711,99.26107788085938,-3.5,-2.735447883605957,-1.7000000476837158,-2.917679786682129,0.07965790354369187
54000,0.3785,95.32592010498047,97.3634262084961,-1.899999976158142,-2.210137367248535,-1.600000023841858,-2.1396608352661133,0.07595580588018841
56000,0.388,93.57970428466797,95.99742126464844,-2.200000047683716,-1.9813117980957031,-1.7999999523162842,-1.995862603187561,0.07271582878059893
58000,0.383,86.40937805175781,93.91588592529297,-3.0999999046325684,-2.1758718490600586,-2.4000000953674316,-2.442819833755493,0.06988028726872808
60000,0.378,88.63037109375,91.23632049560547,-3.5999999046325684,-2.2647664546966553,-2.9000000953674316,-2.16624116897583,0.0673986969925
62000,0.378,87.50743865966797,94.23377990722656,-3.200000047683716,-2.7748970985412598,-2.4000000953674316,-2.5778884887695312,0.06522687539394878
64000,0.3795,89.9465560913086,96.31794738769531,-3.200000047683716,-2.379981756210327,-2.0,-2.1324775218963623,0.06332615507717554
66000,0.39,95.26873016357422,96.76594543457031,-2.0,-2.3622913360595703,-1.899999976158142,-2.16117787361145,0.061662695368972745
68000,0.373,89.69910430908203,92.1092758178711,-3.299999952316284,-2.3854825496673584,-2.700000047683716,-2.627929449081421,0.06020687981505069
70000,0.381,97.05017852783203,95.45511627197266,-1.2999999523162842,-2.386434316635132,-2.0,-2.3802318572998047,0.05893278888481038
72000,0.394,87.7216567993164,96.36753845214844,-2.299999952316284,-1.9306350946426392,-1.899999976158142,-1.9967137575149536,0.057817738496629446
74000,0.374,95.08927917480469,92.7968521118164,-1.7000000476837158,-2.6904025077819824,-2.5999999046325684,-2.601426124572754,0.05684187614750502
76000,0.3675,99.39254760742188,100.3358383178711,-1.0,-2.498619318008423,-1.100000023841858,-2.5254456996917725,0.05598782745649274
78000,0.376,97.84325408935547,92.63156127929688,-1.600000023841858,-2.3578834533691406,-2.5,-2.3851511478424072,0.05524038682895525
80000,0.372,86.0885238647461,95.09019470214844,-3.299999952316284,-2.313936710357666,-2.200000047683716,-2.511725664138794,0.054586246734165705
82000,0.3795,103.15451049804688,91.9134750366211,-1.0,-1.9469302892684937,-2.9000000953674316,-2.1567656993865967,0.05401376077628968
84000,0.3735,92.94255828857422,94.65694427490234,-2.9000000953674316,-2.098710060119629,-2.0999999046325684,-2.4862418174743652,0.053512736340429835
86000,0.389,95.80195617675781,100.41413116455078,-1.899999976158142,-2.140367269515991,-1.100000023841858,-2.1921777725219727,0.05307425312197676
88000,0.37,88.60797119140625,95.47942352294922,-3.0,-2.4439759254455566,-2.299999952316284,-2.488943576812744,0.05269050430833854
90000,0.377,93.73577880859375,94.58419036865234,-2.4000000953674316,-2.1113905906677246,-2.4000000953674316,-2.4781558513641357,0.05235465758542799
92000,0.37,93.82022094726562,90.29561614990234,-2.200000047683716,-2.686177968978882,-3.200000047683716,-2.6027121543884277,0.05206073349424867
94000,0.391,89.18376922607422,97.40193176269531,-3.200000047683716,-2.087308883666992,-1.600000023841858,-2.1498656272888184,0.051803498971824576
96000,0.398,88.66150665283203,96.48602294921875,-2.5999999046325684,-1.8428763151168823,-2.0,-1.9714065790176392,0.05157837418106226
98000,0.4,99.90655517578125,99.3816146850586,-0.8999999761581421,-1.9484602212905884,-0.800000011920929,-1.7921066284179688,0.05138135097073195
100000,0.3935,95.81273651123047,98.23123931884766,-2.0999999046325684,-2.1245675086975098,-1.2999999523162842,-1.8676692247390747,0.05120892151381868
102000,0.3905,90.2507095336914,93.07979583740234,-2.4000000953674316,-2.1002132892608643,-2.5999999046325684,-1.9364454746246338,0.05105801585371112
104000,0.3885,97.82794952392578,92.43415069580078,-1.600000023841858,-2.307835817337036,-2.5999999046325684,-2.3363089561462402,0.050925947246292416
106000,0.3715,91.02853393554688,94.37890625,-2.799999952316284,-2.2625861167907715,-2.5,-2.392193555831909,0.050810364324796416
108000,0.391,98.86980438232422,94.39240264892578,-1.399999976158142,-2.1718573570251465,-1.899999976158142,-2.342271327972412,0.05070920923576608
110000,0.3805,97.48844909667969,93.31626892089844,-1.600000023841858,-2.0241100788116455,-2.299999952316284,-2.1897263526916504,0.05062068100076131
112000,0.3935,94.55841827392578,97.94732666015625,-2.299999952316284,-2.190828323364258,-1.7999999523162842,-2.1544694900512695,0.05054320345150317
114000,0.3705,103.60917663574219,91.85578918457031,-0.8999999761581421,-2.3442368507385254,-2.799999952316284,-2.392141580581665,0.05047539716756762
116000,0.384,91.23497009277344,93.964111328125,-3.0999999046325684,-1.9883246421813965,-2.4000000953674316,-2.0504469871520996,0.050416054917003766
118000,0.377,89.15122985839844,98.8927993774414,-3.0999999046325684,-2.3015613555908203,-1.7000000476837158,-2.6125130653381348,0.05036412016261833
120000,0.3665,89.81840515136719,91.76367950439453,-3.0999999046325684,-2.3347952365875244,-2.5999999046325684,-2.8194196224212646,0.050318668251249137
122000,0.394,94.81602478027344,97.79190063476562,-2.0999999046325684,-2.1070024967193604,-1.7000000476837158,-2.3333780765533447,0.05027888995111932
124000,0.3725,94.60958862304688,92.52336120605469,-2.5999999046325684,-2.3564367294311523,-2.700000047683716,-2.478426456451416,0.05024407704416882
126000,0.371,92.63793182373047,91.90640258789062,-3.0,-2.3633718490600586,-2.799999952316284,-2.2585268020629883,0.05021360971684742
128000,0.395,98.07797241210938,93.35240173339844,-1.399999976158142,-1.8737565279006958,-3.0,-1.8253517150878906,0.05018694552487318
130000,0.393,91.6977767944336,91.57028198242188,-2.9000000953674316,-2.1453237533569336,-2.9000000953674316,-1.9869275093078613,0.05016360973548349
132000,0.3775,93.12621307373047,102.04578399658203,-2.299999952316284,-2.466337203979492,-1.100000023841858,-2.654618740081787,0.050143186875230825
