episodes,return,hinter_loss,guesser_loss,hinter_q,hinter_qhat,guesser_q,guesser_qhat,exploration
2000,0.374,91.2689437866211,94.08724975585938,-3.0,-2.4054980278015137,-2.4000000953674316,-2.0586533546447754,0.8813592272948078
4000,0.3815,96.40945434570312,91.38301849365234,-2.4000000953674316,-2.3100130558013916,-2.9000000953674316,-2.4803693294525146,0.7775834142685771
6000,0.392,95.8344497680664,94.97020721435547,-2.200000047683716,-2.1059372425079346,-2.299999952316284,-2.234870195388794,0.6867615915460303
8000,0.387,99.20250701904297,97.18241119384766,-1.2999999523162842,-2.1925790309906006,-1.7000000476837158,-2.051459312438965,0.6072767555124091
10000,0.3775,88.28112030029297,94.0516586303711,-3.799999952316284,-2.8346357345581055,-2.5,-2.629868745803833,0.5377137477472802
12000,0.3825,90.56707000732422,97.9408187866211,-3.200000047683716,-2.107795000076294,-1.7000000476837158,-2.286407232284546,0.47683405935886203
14000,0.401,95.12220764160156,91.49183654785156,-2.0999999046325684,-1.8048319816589355,-2.799999952316284,-1.8039871454238892,0.42355378040966973
16000,0.386,96.89407348632812,97.51411437988281,-1.600000023841858,-2.4373443126678467,-1.7000000476837158,-2.547593116760254,0.376924301842171
18000,0.3795,99.26209259033203,97.46286010742188,-1.399999976158142,-2.4720206260681152,-1.7000000476837158,-2.6051599979400635,0.3361154263190112
20000,0.371,93.73929595947266,96.3617935180664,-2.700000047683716,-2.7033822536468506,-2.0,-2.4103598594665527,0.3004005872809969
22000,0.385,97.31880950927734,99.45763397216797,-1.2999999523162842,-2.387519359588623,-1.2999999523162842,-2.1265299320220947,0.2691439130610133
24000,0.369,91.16120147705078,93.93698120117188,-3.299999952316284,-3.0856845378875732,-2.799999952316284,-2.905895709991455,0.24178890574166612
26000,0.381,90.49810791015625,96.63249969482422,-3.5999999046325684,-2.0488829612731934,-2.299999952316284,-1.9735379219055176,0.21784853319354897
28000,0.3765,97.09124755859375,93.76747131347656,-1.7999999523162842,-2.3519222736358643,-2.5,-2.2107927799224854,0.19689655789148858
30000,0.385,90.30687713623047,95.0021743774414,-3.4000000953674316,-2.3902719020843506,-2.200000047683716,-2.2434194087982178,0.17855994812587855
32000,0.376,94.45388793945312,99.04680633544922,-2.5,-2.0548408031463623,-1.399999976158142,-2.2767584323883057,0.16251223649731428
34000,0.4065,99.669189453125,95.00614929199219,-1.399999976158142,-1.862474799156189,-2.299999952316284,-1.911027193069458,0.14846770744829957
36000,0.3815,97.88236999511719,102.9736099243164,-1.7000000476837158,-2.4476137161254883,-0.6000000238418579,-2.4250099658966064,0.1361763103460783
38000,0.3885,94.72900390625,90.01712799072266,-2.299999952316284,-2.3800740242004395,-3.299999952316284,-2.359133243560791,0.12541920754845245
40000,0.3805,95.631103515625,94.51786041259766,-1.899999976158142,-2.0867159366607666,-2.4000000953674316,-2.4505417346954346,0.11600487818976805
42000,0.3725,94.94164276123047,92.27839660644531,-2.5,-2.386991024017334,-2.9000000953674316,-2.3618788719177246,0.10776570831836477
44000,0.3705,96.84242248535156,90.68515014648438,-2.299999952316284,-2.408449172973633,-3.299999952316284,-2.3361260890960693,0.10055500667585009
46000,0.3735,91.47285461425781,93.80921936035156,-2.799999952316284,-2.2710235118865967,-2.4000000953674316,-2.401449680328369,0.09424439298674207
