episodes,return,hinter_loss,guesser_loss,hinter_q,hinter_qhat,guesser_q,guesser_qhat,exploration
2000,0.3765,91.35044860839844,96.18002319335938,-3.0,-2.296125888824463,-2.0999999046325684,-2.298100471496582,0.8813592272948078
4000,0.389,90.18553924560547,97.25164794921875,-3.299999952316284,-2.1330156326293945,-1.5,-1.932905912399292,0.7775834142685771
6000,0.3925,92.84304809570312,99.87564086914062,-2.9000000953674316,-2.436342239379883,-1.2999999523162842,-2.019559621810913,0.6867615915460303
8000,0.3835,90.71222686767578,95.37080383300781,-3.4000000953674316,-1.7452338933944702,-2.299999952316284,-2.2339677810668945,0.6072767555124091
10000,0.3925,99.58484649658203,94.10759735107422,-1.0,-2.0116159915924072,-2.299999952316284,-2.245729684829712,0.5377137477472802
12000,0.3735,92.04653930664062,101.45904541015625,-2.799999952316284,-2.582853317260742,-1.100000023841858,-2.414703607559204,0.47683405935886203
14000,0.3745,92.64881896972656,90.55508422851562,-2.5999999046325684,-2.3786213397979736,-3.0999999046325684,-2.345790147781372,0.42355378040966973
16000,0.364,95.65373992919922,92.23019409179688,-1.899999976158142,-2.924037218093872,-2.5999999046325684,-2.6560418605804443,0.376924301842171
18000,0.3715,87.11909484863281,92.80986022949219,-3.4000000953674316,-2.737891435623169,-2.9000000953674316,-2.387136459350586,0.3361154263190112
20000,0.368,96.73257446289062,91.68903350830078,-2.0999999046325684,-2.31321120262146,-2.9000000953674316,-2.833401679992676,0.3004005872809969
22000,0.3675,94.84703063964844,91.01276397705078,-2.0999999046325684,-2.2977864742279053,-2.9000000953674316,-2.6344704627990723,0.2691439130610133
24000,0.3745,94.56958770751953,97.27849578857422,-2.0999999046325684,-2.424362897872925,-1.5,-2.062901496887207,0.24178890574166612
26000,0.368,95.6473159790039,89.11628723144531,-2.5,-2.8555960655212402,-3.5999999046325684,-2.471529006958008,0.21784853319354897
28000,0.3845,96.98548889160156,95.7521743774414,-1.2999999523162842,-2.194706916809082,-2.299999952316284,-2.437424659729004,0.19689655789148858
30000,0.374,97.41720581054688,101.51426696777344,-2.200000047683716,-2.66273832321167,-1.100000023841858,-2.620764970779419,0.17855994812587855
32000,0.3695,91.39623260498047,97.33724975585938,-3.0,-2.2894701957702637,-1.7999999523162842,-2.9164915084838867,0.16251223649731428
34000,0.3695,91.42930603027344,93.02315521240234,-2.9000000953674316,-2.527653932571411,-2.4000000953674316,-2.422750473022461,0.14846770744829957
36000,0.3845,90.1777572631836,89.47820281982422,-3.200000047683716,-2.0987730026245117,-3.200000047683716,-2.4291739463806152,0.1361763103460783
38000,0.363,87.13504791259766,86.5942153930664,-3.5999999046325684,-2.857997417449951,-3.5,-2.881563186645508,0.12541920754845245
40000,0.385,97.28882598876953,96.9464340209961,-1.7000000476837158,-2.351350784301758,-2.0,-2.4022417068481445,0.11600487818976805
42000,0.395,94.83016967773438,96.7574691772461,-2.299999952316284,-1.7092727422714233,-1.7000000476837158,-1.9356281757354736,0.10776570831836477
44000,0.384,98.44315338134766,99.7994613647461,-1.7999999523162842,-2.4912357330322266,-1.2999999523162842,-2.5423669815063477,0.10055500667585009
46000,0.3855,96.65209197998047,96.14013671875,-2.200000047683716,-2.0853893756866455,-2.0999999046325684,-2.1312170028686523,0.09424439298674207
48000,0.3765,90.87158203125,93.60530090332031,-2.9000000953674316,-2.3130342960357666,-2.4000000953674316,-2.313286066055298,0.08872151225924757
50000,0.3965,93.17912292480469,96.79190063476562,-2.700000047683716,-2.032128095626831,-1.399999976158142,-1.8250603675842285,0.08388803440228787
52000,0.3695,86.61322021484375,91.30583190917969,-4.0,-2.301525831222534,-3.299999952316284,-2.5345535278320312,0.07965790354369187
54000,0.386,95.16779327392578,97.031005859375,-2.0999999046325684,-2.091371536254883,-1.600000023841858,-2.3278656005859375,0.07595580588018841
56000,0.393,97.9920425415039,97.93989562988281,-1.7000000476837158,-2.287763833999634,-1.600000023841858,-2.318031072616577,0.07271582878059893
58000,0.3855,98.30529022216797,93.42013549804688,-1.600000023841858,-2.5258758068084717,-2.5,-2.1370151042938232,0.06988028726872808
60000,0.3895,95.39180755615234,96.34923553466797,-2.200000047683716,-1.7956514358520508,-2.200000047683716,-1.9378896951675415,0.0673986969925
62000,0.391,92.9590835571289,99.00276184082031,-2.200000047683716,-2.31777286529541,-1.600000023841858,-2.243206739425659,0.06522687539394878
64000,0.372,82.05497741699219,89.3910903930664,-4.0,-2.776937246322632,-3.200000047683716,-2.4752395153045654,0.06332615507717554
