episodes,return,hinter_loss,guesser_loss,hinter_q,hinter_qhat,guesser_q,guesser_qhat,exploration
2000,0.3775,94.93592834472656,90.54779052734375,-2.0,-2.1984591484069824,-3.0,-2.0583434104919434,0.8813592272948078
4000,0.365,98.3934555053711,92.75250244140625,-1.7000000476837158,-2.6219537258148193,-2.799999952316284,-2.7894287109375,0.7775834142685771
6000,0.3855,97.41468048095703,93.218017578125,-1.600000023841858,-2.206455945968628,-2.700000047683716,-2.2368922233581543,0.6867615915460303
8000,0.375,95.2551498413086,91.99185180664062,-2.299999952316284,-2.3479201793670654,-2.799999952316284,-2.506497859954834,0.6072767555124091
10000,0.3775,89.3122787475586,88.86910247802734,-3.5999999046325684,-2.1705400943756104,-3.5,-2.0641062259674072,0.5377137477472802
12000,0.376,90.45852661132812,97.14901733398438,-3.0999999046325684,-2.7067372798919678,-2.0999999046325684,-2.646599531173706,0.47683405935886203
14000,0.371,93.14949035644531,92.45942687988281,-2.5999999046325684,-2.8305094242095947,-2.5999999046325684,-2.7919068336486816,0.42355378040966973
16000,0.3645,94.35673522949219,91.84832763671875,-2.299999952316284,-2.511772871017456,-2.9000000953674316,-2.496988296508789,0.376924301842171
18000,0.364,90.1679916381836,92.86780548095703,-3.0999999046325684,-2.2838516235351562,-2.700000047683716,-2.571453332901001,0.3361154263190112
20000,0.368,92.28974914550781,92.89982604980469,-2.799999952316284,-2.513741970062256,-2.5999999046325684,-3.0500354766845703,0.3004005872809969
22000,0.3745,100.37325286865234,98.60771179199219,-1.100000023841858,-2.3458938598632812,-1.5,-2.580264091491699,0.2691439130610133
24000,0.3785,97.4593734741211,89.17709350585938,-1.600000023841858,-2.3406996726989746,-3.0999999046325684,-2.5314815044403076,0.24178890574166612
26000,0.368,88.9749984741211,92.32947540283203,-3.299999952316284,-3.0802950859069824,-2.700000047683716,-2.741457939147949,0.21784853319354897
28000,0.3595,90.51415252685547,87.87228393554688,-3.200000047683716,-2.318516731262207,-3.5999999046325684,-2.8708465099334717,0.19689655789148858
30000,0.381,89.98060607910156,95.00077819824219,-3.200000047683716,-2.1089954376220703,-2.299999952316284,-2.032696008682251,0.17855994812587855
32000,0.3785,93.69468688964844,90.90022277832031,-2.700000047683716,-2.6494367122650146,-3.0,-2.5288586616516113,0.16251223649731428
34000,0.369,93.83192443847656,92.75973510742188,-2.299999952316284,-2.608872175216675,-2.700000047683716,-2.5789716243743896,0.14846770744829957
36000,0.3625,88.13252258300781,88.30644226074219,-3.4000000953674316,-2.4797353744506836,-3.5999999046325684,-2.5081961154937744,0.1361763103460783
38000,0.3865,95.03750610351562,97.83447265625,-2.200000047683716,-2.159315586090088,-1.600000023841858,-2.6126208305358887,0.12541920754845245
40000,0.38,96.9346694946289,94.27389526367188,-1.7999999523162842,-2.3912055492401123,-2.200000047683716,-2.3039510250091553,0.11600487818976805
42000,0.37,96.50890350341797,96.1346206665039,-1.7999999523162842,-2.1293327808380127,-1.7000000476837158,-2.4544448852539062,0.10776570831836477
44000,0.385,91.8203125,98.40785217285156,-2.700000047683716,-2.3037209510803223,-1.399999976158142,-2.3413941860198975,0.10055500667585009
46000,0.394,95.69896697998047,92.51849365234375,-1.2000000476837158,-1.8967349529266357,-3.0,-1.8193397521972656,0.09424439298674207
48000,0.3615,84.50080871582031,98.90673828125,-3.4000000953674316,-2.6486730575561523,-1.7999999523162842,-2.8569140434265137,0.08872151225924757
50000,0.399,94.37371826171875,96.53948974609375,-2.299999952316284,-1.7287226915359497,-1.899999976158142,-1.6227902173995972,0.08388803440228787
52000,0.376,86.76929473876953,92.52982330322266,-2.9000000953674316,-2.493971109390259,-3.0,-2.680898666381836,0.07965790354369187
54000,0.376,86.36264038085938,90.90471649169922,-4.300000190734863,-2.095918655395508,-2.9000000953674316,-2.472123146057129,0.07595580588018841
56000,0.3745,91.77355194091797,95.54979705810547,-2.299999952316284,-2.5607411861419678,-2.4000000953674316,-2.4170050621032715,0.07271582878059893
58000,0.3975,89.919677734375,95.09144592285156,-2.700000047683716,-1.7683051824569702,-2.5,-1.8575657606124878,0.06988028726872808
60000,0.3785,92.59368133544922,98.08427429199219,-2.9000000953674316,-2.166425943374634,-1.7999999523162842,-2.127870798110962,0.0673986969925
62000,0.3685,96.1351089477539,92.9990234375,-1.7000000476837158,-2.514653205871582,-2.5999999046325684,-2.7777605056762695,0.06522687539394878
64000,0.4035,95.2905502319336,94.02490997314453,-1.5,-1.7426884174346924,-2.5,-2.1356005668640137,0.06332615507717554
66000,0.3755,99.07722473144531,97.06521606445312,-1.2000000476837158,-2.4155707359313965,-2.0,-2.344047784805298,0.061662695368972745
68000,0.3825,91.49726867675781,93.03064727783203,-3.0,-2.1675186157226562,-3.0,-1.9169012308120728,0.06020687981505069
70000,0.3865,94.150146484375,93.54595947265625,-2.5,-2.368892192840576,-2.4000000953674316,-2.4148447513580322,0.05893278888481038
72000,0.387,91.98648071289062,90.8543472290039,-2.5,-2.154057264328003,-3.4000000953674316,-2.3224804401397705,0.057817738496629446
74000,0.366,98.26542663574219,83.58289337158203,-1.600000023841858,-2.975506544113159,-4.300000190734863,-2.508214235305786,0.05684187614750502
76000,0.381,92.46944427490234,92.65396118164062,-2.5999999046325684,-1.9418896436691284,-2.9000000953674316,-2.1541290283203125,0.05598782745649274
78000,0.3665,90.6724624633789,94.47667694091797,-3.4000000953674316,-2.1614267826080322,-2.0999999046325684,-2.898869276046753,0.05524038682895525
80000,0.3715,87.01994323730469,92.45404052734375,-2.9000000953674316,-2.8110718727111816,-2.799999952316284,-2.523068428039551,0.054586246734165705
82000,0.3955,96.1148452758789,98.92727661132812,-1.2999999523162842,-1.9728591442108154,-1.100000023841858,-2.059561252593994,0.05401376077628968
84000,0.369,88.63638305664062,85.67372131347656,-2.0,-2.403031349182129,-4.099999904632568,-2.054753303527832,0.053512736340429835
86000,0.3995,100.04693603515625,96.93781280517578,-1.399999976158142,-1.8485190868377686,-1.7999999523162842,-1.9809626340866089,0.05307425312197676
88000,0.388,94.79949951171875,98.48570251464844,-1.7000000476837158,-1.6133930683135986,-1.5,-1.9557974338531494,0.05269050430833854
90000,0.3995,96.20755767822266,93.83016967773438,-2.5999999046325684,-2.0076279640197754,-2.4000000953674316,-2.120314836502075,0.05235465758542799
92000,0.3835,96.07470703125,94.4547348022461,-2.5999999046325684,-2.3954343795776367,-2.0999999046325684,-2.2887685298919678,0.05206073349424867
94000,0.366,94.6576156616211,88.063720703125,-2.5,-2.3844358921051025,-3.200000047683716,-2.477980852127075,0.051803498971824576
96000,0.395,95.72721862792969,96.77153015136719,-2.0999999046325684,-1.7700811624526978,-1.600000023841858,-1.8893760442733765,0.05157837418106226
98000,0.3945,96.45535278320312,94.6718978881836,-1.5,-2.05458664894104,-2.200000047683716,-2.2149736881256104,0.05138135097073195
100000,0.39,99.08611297607422,96.33995056152344,-1.0,-1.9843876361846924,-1.7000000476837158,-2.0633046627044678,0.05120892151381868
102000,0.3885,91.89759826660156,93.04743194580078,-2.799999952316284,-2.2031891345977783,-2.700000047683716,-2.1424214839935303,0.05105801585371112
104000,0.3865,92.4247055053711,99.81474304199219,-2.799999952316284,-2.0023789405822754,-0.800000011920929,-2.148719549179077,0.050925947246292416
106000,0.3625,92.5130386352539,93.18463897705078,-2.799999952316284,-2.6470978260040283,-2.700000047683716,-2.5178849697113037,0.050810364324796416
108000,0.3775,94.66614532470703,97.35103607177734,-2.0,-2.091599464416504,-1.600000023841858,-2.436072826385498,0.05070920923576608
110000,0.3985,94.86275482177734,91.66459655761719,-2.4000000953674316,-2.264460563659668,-2.9000000953674316,-1.8852425813674927,0.05062068100076131
112000,0.3785,91.80950927734375,89.07940673828125,-3.0999999046325684,-1.9180947542190552,-3.5,-1.9254757165908813,0.05054320345150317
114000,0.381,95.56503295898438,89.75418090820312,-1.5,-2.321816921234131,-3.0999999046325684,-2.4440758228302,0.05047539716756762
116000,0.3955,93.3345718383789,94.28764343261719,-2.0,-1.8349212408065796,-2.200000047683716,-2.059767007827759,0.050416054917003766
118000,0.3935,94.07984161376953,94.64051055908203,-2.0999999046325684,-2.0811312198638916,-1.899999976158142,-2.1877059936523438,0.05036412016261833
120000,0.356,85.29275512695312,89.07616424560547,-3.4000000953674316,-2.894726276397705,-3.200000047683716,-2.905254602432251,0.050318668251249137
122000,0.38,92.99797821044922,93.4609603881836,-2.200000047683716,-2.5465641021728516,-2.299999952316284,-2.3527626991271973,0.05027888995111932
124000,0.3745,86.40316772460938,92.69109344482422,-3.4000000953674316,-2.5259406566619873,-2.799999952316284,-2.4204213619232178,0.05024407704416882
126000,0.3835,91.76331329345703,99.46470642089844,-2.0,-2.438511610031128,-1.5,-2.0010592937469482,0.05021360971684742
128000,0.386,98.67839813232422,93.97761535644531,-1.5,-2.0298635959625244,-2.4000000953674316,-2.2069356441497803,0.05018694552487318
130000,0.379,96.1589584350586,87.87635803222656,-1.2999999523162842,-2.127197265625,-3.5,-2.3691439628601074,0.05016360973548349
132000,0.3945,95.58516693115234,97.62926483154297,-2.4000000953674316,-2.2117557525634766,-1.5,-2.0015759468078613,0.050143186875230825
134000,0.389,87.16016387939453,94.67816162109375,-3.0,-2.210566282272339,-2.299999952316284,-2.322383165359497,0.05012531333283915
136000,0.379,90.3535385131836,94.47749328613281,-3.0,-2.331298351287842,-2.299999952316284,-2.512643337249756,0.05010967088542117
138000,0.379,92.59862518310547,94.9892349243164,-2.0999999046325684,-2.434732437133789,-2.200000047683716,-2.5590016841888428,0.05009598103279642
140000,0.393,88.82769775390625,93.07015991210938,-2.9000000953674316,-1.7830963134765625,-2.299999952316284,-1.9293502569198608,0.05008400003903762
142000,0.3795,89.83910369873047,86.0302963256836,-2.4000000953674316,-2.172427177429199,-3.5,-2.749563217163086,0.05007351459296429
144000,0.3665,89.02266693115234,96.46349334716797,-3.4000000953674316,-2.859354257583618,-2.299999952316284,-2.2300493717193604,0.05006433801032265
146000,0.358,89.93439483642578,91.58489990234375,-3.200000047683716,-2.5350959300994873,-2.5,-2.9073076248168945,0.050056306910034695
148000,0.373,88.33240509033203,98.31720733642578,-3.299999952316284,-2.459982395172119,-1.7999999523162842,-2.5766239166259766,0.05004927830534012
150000,0.38,89.29569244384766,94.17205047607422,-3.4000000953674316,-2.1660327911376953,-2.4000000953674316,-1.951018214225769,0.05004312705804132
152000,0.388,92.31587982177734,92.31465911865234,-3.0,-2.3527421951293945,-2.700000047683716,-2.575390577316284,0.05003774365052658
154000,0.3815,94.42082214355469,90.85211944580078,-2.0,-2.245858669281006,-3.0,-2.098544120788574,0.05003303223590415
156000,0.383,97.32311248779297,94.07640838623047,-2.0,-2.287385940551758,-2.700000047683716,-2.1628870964050293,0.05002890893153164
