episodes,return,hinter_loss,guesser_loss,hinter_q,hinter_qhat,guesser_q,guesser_qhat,exploration
2000,0.396,94.14398193359375,92.83313751220703,-2.299999952316284,-1.7283790111541748,-2.9000000953674316,-1.7599387168884277,0.8813592272948078
4000,0.387,99.26402282714844,89.46369171142578,-1.5,-2.36315655708313,-3.4000000953674316,-1.9750094413757324,0.7775834142685771
6000,0.377,93.14543914794922,87.73286437988281,-2.700000047683716,-2.663601875305176,-3.299999952316284,-2.743231773376465,0.6867615915460303
8000,0.376,94.52998352050781,92.49301147460938,-2.4000000953674316,-2.5213241577148438,-2.5,-2.247502565383911,0.6072767555124091
10000,0.377,98.95372009277344,98.04145812988281,-1.2999999523162842,-2.5976476669311523,-1.7999999523162842,-2.398132085800171,0.5377137477472802
12000,0.3695,92.14030456542969,97.25971984863281,-2.9000000953674316,-2.3366549015045166,-1.899999976158142,-2.3024473190307617,0.47683405935886203
14000,0.38,94.7444076538086,91.9145278930664,-2.200000047683716,-2.3628296852111816,-2.9000000953674316,-2.1737961769104004,0.42355378040966973
16000,0.377,98.23954772949219,91.64881134033203,-1.2999999523162842,-2.1983025074005127,-3.0,-2.4161102771759033,0.376924301842171
18000,0.3935,99.38066101074219,95.15782928466797,-1.0,-1.8751033544540405,-2.299999952316284,-1.6969836950302124,0.3361154263190112
20000,0.3815,92.11363983154297,102.25936889648438,-2.5,-2.3984055519104004,-0.4000000059604645,-2.097332239151001,0.3004005872809969
22000,0.3985,94.08662414550781,97.21648406982422,-2.0999999046325684,-1.845647931098938,-1.7999999523162842,-1.995895266532898,0.2691439130610133
24000,0.3955,95.13294219970703,95.3794174194336,-2.4000000953674316,-1.5056076049804688,-2.299999952316284,-1.5158984661102295,0.24178890574166612
26000,0.405,96.24048614501953,92.58329010009766,-1.600000023841858,-1.8738538026809692,-2.9000000953674316,-1.7895796298980713,0.21784853319354897
28000,0.3765,92.28404235839844,95.01781463623047,-2.5,-2.4060192108154297,-2.5,-2.6861982345581055,0.19689655789148858
30000,0.374,89.14644622802734,94.15248107910156,-3.0,-2.6582088470458984,-2.299999952316284,-2.3137693405151367,0.17855994812587855
32000,0.362,92.46996307373047,92.50723266601562,-2.299999952316284,-2.507031202316284,-2.700000047683716,-2.701251745223999,0.16251223649731428
34000,0.395,95.80643463134766,92.93721008300781,-2.200000047683716,-2.1814706325531006,-2.799999952316284,-2.1975388526916504,0.14846770744829957
36000,0.3685,86.2518539428711,93.31375122070312,-3.4000000953674316,-2.9825730323791504,-2.700000047683716,-2.5801315307617188,0.1361763103460783
38000,0.383,92.85247039794922,93.00972747802734,-2.4000000953674316,-2.4169297218322754,-2.700000047683716,-2.303189277648926,0.12541920754845245
40000,0.371,95.25841522216797,95.80518341064453,-2.4000000953674316,-2.828604221343994,-2.299999952316284,-2.642813205718994,0.11600487818976805
42000,0.3625,85.62562561035156,91.49456787109375,-2.9000000953674316,-2.455744504928589,-2.799999952316284,-2.7390573024749756,0.10776570831836477
