episodes,return,hinter_loss,guesser_loss,hinter_q,hinter_qhat,guesser_q,guesser_qhat,exploration
2000,0.383,96.57376861572266,94.7140121459961,-2.0999999046325684,-1.8006813526153564,-2.4000000953674316,-2.1638987064361572,0.8813592272948078
4000,0.3635,96.62200927734375,99.22234344482422,-2.0999999046325684,-2.844902992248535,-1.600000023841858,-2.9738962650299072,0.7775834142685771
6000,0.3725,92.14926147460938,92.16140747070312,-2.9000000953674316,-2.783693313598633,-2.799999952316284,-2.6556589603424072,0.6867615915460303
8000,0.3815,94.18966674804688,95.23991394042969,-2.200000047683716,-2.391745090484619,-2.299999952316284,-2.5836799144744873,0.6072767555124091
10000,0.393,95.75019836425781,95.0379409790039,-2.0999999046325684,-1.9477927684783936,-2.4000000953674316,-1.7175408601760864,0.5377137477472802
12000,0.3675,86.17786407470703,90.89146423339844,-3.799999952316284,-2.437950372695923,-2.9000000953674316,-2.7975165843963623,0.47683405935886203
14000,0.373,92.34597778320312,90.7281723022461,-2.5,-2.6435282230377197,-3.299999952316284,-2.131269693374634,0.42355378040966973
16000,0.3805,88.56671905517578,92.4375,-4.0,-1.7831969261169434,-2.9000000953674316,-2.482095241546631,0.376924301842171
18000,0.4015,93.90423583984375,96.46459197998047,-2.9000000953674316,-2.043801784515381,-1.899999976158142,-1.9011354446411133,0.3361154263190112
20000,0.3805,99.46436309814453,94.89983367919922,-1.399999976158142,-2.6154885292053223,-2.299999952316284,-2.6208078861236572,0.3004005872809969
22000,0.3645,94.8431625366211,90.79553985595703,-2.5,-2.515057325363159,-3.200000047683716,-2.640928030014038,0.2691439130610133
24000,0.3825,91.73661804199219,92.136962890625,-2.799999952316284,-2.4335737228393555,-2.5999999046325684,-2.1439566612243652,0.24178890574166612
26000,0.3885,96.09075927734375,95.50101470947266,-1.899999976158142,-1.938836932182312,-2.0999999046325684,-2.7435600757598877,0.21784853319354897
28000,0.3665,90.61809539794922,96.99462127685547,-2.9000000953674316,-2.7724950313568115,-1.899999976158142,-2.2765755653381348,0.19689655789148858
30000,0.3905,94.20982360839844,100.32101440429688,-2.200000047683716,-1.7691792249679565,-1.2000000476837158,-1.9882230758666992,0.17855994812587855
32000,0.3955,100.54035186767578,96.04792785644531,-1.0,-1.887526512145996,-1.7000000476837158,-1.8748904466629028,0.16251223649731428
34000,0.38,90.90023803710938,97.49163055419922,-3.299999952316284,-2.1143922805786133,-2.0,-2.409336805343628,0.14846770744829957
36000,0.361,103.14136505126953,92.36872863769531,-1.100000023841858,-2.5370044708251953,-2.700000047683716,-2.7211551666259766,0.1361763103460783
38000,0.357,89.17737579345703,90.83932495117188,-3.200000047683716,-3.124476432800293,-3.299999952316284,-2.8740224838256836,0.12541920754845245
40000,0.3905,97.2121810913086,93.20162200927734,-1.600000023841858,-2.025944471359253,-2.799999952316284,-2.091261386871338,0.11600487818976805
42000,0.373,91.93746948242188,100.64802551269531,-2.700000047683716,-2.8314554691314697,-1.399999976158142,-2.6468429565429688,0.10776570831836477
44000,0.3785,95.54121398925781,95.45592498779297,-2.200000047683716,-1.7892048358917236,-2.200000047683716,-2.1440961360931396,0.10055500667585009
46000,0.3855,95.50849914550781,90.43390655517578,-2.0999999046325684,-2.496636390686035,-3.200000047683716,-2.217028856277466,0.09424439298674207
48000,0.3715,94.77912902832031,94.16539001464844,-2.200000047683716,-2.4317634105682373,-2.5,-2.70997953414917,0.08872151225924757
50000,0.3715,85.39383697509766,91.35992431640625,-3.9000000953674316,-2.374969005584717,-3.0999999046325684,-2.050814628601074,0.08388803440228787
52000,0.3795,92.17471313476562,91.95037841796875,-2.4000000953674316,-2.7743613719940186,-2.9000000953674316,-2.700129508972168,0.07965790354369187
54000,0.3605,90.28958892822266,99.05232238769531,-3.0999999046325684,-2.741114854812622,-1.7000000476837158,-2.679312229156494,0.07595580588018841
56000,0.3895,99.94985961914062,96.03462982177734,-1.2999999523162842,-2.5681064128875732,-1.7999999523162842,-2.285156011581421,0.07271582878059893
58000,0.365,86.26870727539062,89.96366882324219,-4.199999809265137,-2.360985279083252,-3.700000047683716,-2.33370304107666,0.06988028726872808
60000,0.395,96.69689178466797,94.74388885498047,-1.600000023841858,-2.07865834236145,-2.200000047683716,-2.0372421741485596,0.0673986969925
62000,0.36,100.32581329345703,87.41301727294922,-1.399999976158142,-2.7312309741973877,-3.799999952316284,-2.76395320892334,0.06522687539394878
64000,0.3775,89.44589233398438,95.49456024169922,-2.5999999046325684,-2.4059035778045654,-2.299999952316284,-2.663254499435425,0.06332615507717554
66000,0.3885,88.40258026123047,95.1696548461914,-3.299999952316284,-2.266583204269409,-2.299999952316284,-2.181710720062256,0.061662695368972745
68000,0.402,91.30559539794922,97.99044799804688,-1.7999999523162842,-2.106339454650879,-1.2999999523162842,-1.6668211221694946,0.06020687981505069
70000,0.371,92.1274185180664,94.82276153564453,-2.0,-2.1963765621185303,-2.0999999046325684,-2.3584506511688232,0.05893278888481038
72000,0.3935,91.6527328491211,95.34724426269531,-2.299999952316284,-2.178595542907715,-2.0999999046325684,-2.046494483947754,0.057817738496629446
74000,0.3525,90.55455017089844,92.49775695800781,-3.200000047683716,-2.897310495376587,-2.700000047683716,-3.0326757431030273,0.05684187614750502
76000,0.402,92.10296630859375,97.09248352050781,-2.4000000953674316,-1.6700085401535034,-1.7000000476837158,-1.9103561639785767,0.05598782745649274
78000,0.3745,92.86920928955078,93.11251068115234,-2.200000047683716,-2.431908369064331,-2.799999952316284,-2.416369915008545,0.05524038682895525
80000,0.3645,88.65042877197266,93.1985855102539,-3.299999952316284,-2.6337697505950928,-2.4000000953674316,-2.257110357284546,0.054586246734165705
82000,0.3695,94.7922592163086,97.24640655517578,-1.5,-2.8806464672088623,-2.0999999046325684,-2.8115756511688232,0.05401376077628968
84000,0.3945,91.5780258178711,95.5139389038086,-2.4000000953674316,-1.717248558998108,-2.299999952316284,-1.9820858240127563,0.053512736340429835
86000,0.3805,93.22378540039062,95.4301528930664,-3.200000047683716,-2.162055253982544,-2.0999999046325684,-2.230025291442871,0.05307425312197676
88000,0.376,96.90191650390625,94.18331909179688,-1.7999999523162842,-2.1358232498168945,-2.5,-2.623929977416992,0.05269050430833854
90000,0.373,95.83027648925781,93.2266616821289,-2.5,-2.2687151432037354,-2.9000000953674316,-2.228097915649414,0.05235465758542799
92000,0.3785,94.39097595214844,91.86177825927734,-2.700000047683716,-2.2540242671966553,-2.799999952316284,-2.3393890857696533,0.05206073349424867
94000,0.3735,100.1041488647461,92.56088256835938,-1.399999976158142,-2.8825228214263916,-2.700000047683716,-2.4937639236450195,0.051803498971824576
96000,0.367,100.63848876953125,98.55855560302734,-1.5,-2.878526210784912,-1.2999999523162842,-2.678086280822754,0.05157837418106226
98000,0.37,93.6066665649414,94.8567123413086,-2.299999952316284,-2.4476664066314697,-2.4000000953674316,-2.630476713180542,0.05138135097073195
100000,0.3905,95.54517364501953,91.4736099243164,-2.0999999046325684,-1.7769912481307983,-3.0,-1.8772274255752563,0.05120892151381868
102000,0.364,94.48992919921875,94.36882781982422,-2.9000000953674316,-2.776303768157959,-2.5999999046325684,-2.489603281021118,0.05105801585371112
104000,0.3795,91.26322174072266,96.84158325195312,-3.0,-1.9078304767608643,-1.899999976158142,-1.970427393913269,0.050925947246292416
106000,0.38,91.49716186523438,97.156494140625,-2.700000047683716,-2.302790641784668,-1.399999976158142,-2.250067710876465,0.050810364324796416
108000,0.397,94.43707275390625,93.31644439697266,-2.799999952316284,-2.2133867740631104,-2.9000000953674316,-2.0484046936035156,0.05070920923576608
110000,0.3785,92.5464859008789,95.56381225585938,-2.299999952316284,-2.278996229171753,-2.299999952316284,-2.1932713985443115,0.05062068100076131
112000,0.3935,97.29334259033203,91.75987243652344,-1.899999976158142,-2.1592202186584473,-3.299999952316284,-2.221250534057617,0.05054320345150317
114000,0.385,95.13220977783203,92.7784652709961,-2.200000047683716,-2.410630226135254,-2.5,-2.1864757537841797,0.05047539716756762
116000,0.3685,91.98094940185547,95.03714752197266,-3.0,-2.2174057960510254,-1.899999976158142,-2.51497220993042,0.050416054917003766
118000,0.3835,90.61610412597656,92.24615478515625,-2.700000047683716,-2.353400468826294,-2.5999999046325684,-2.3751866817474365,0.05036412016261833
120000,0.3615,90.08568572998047,89.62200927734375,-3.0999999046325684,-2.658437490463257,-3.0999999046325684,-2.6044890880584717,0.050318668251249137
122000,0.3815,88.8451156616211,88.80912017822266,-3.299999952316284,-2.189260482788086,-3.5999999046325684,-2.092759370803833,0.05027888995111932
124000,0.3775,87.43756866455078,90.264404296875,-3.5,-2.251251459121704,-3.5,-2.398927688598633,0.05024407704416882
126000,0.3705,92.23815155029297,98.8637466430664,-2.4000000953674316,-2.5164480209350586,-1.399999976158142,-2.6032636165618896,0.05021360971684742
128000,0.371,93.29962158203125,89.59674072265625,-2.299999952316284,-2.2523610591888428,-3.0,-2.3618526458740234,0.05018694552487318
130000,0.3805,98.97232055664062,94.83057403564453,-1.5,-2.5663375854492188,-1.899999976158142,-2.4275145530700684,0.05016360973548349
132000,0.3755,88.1274642944336,90.59284973144531,-3.5999999046325684,-1.9984318017959595,-2.799999952316284,-2.5052051544189453,0.050143186875230825
134000,0.384,93.6849136352539,94.85769653320312,-2.0,-2.5246825218200684,-2.0999999046325684,-2.3605051040649414,0.05012531333283915
136000,0.3865,89.23381805419922,95.09416961669922,-2.9000000953674316,-2.260669231414795,-2.0999999046325684,-2.0255703926086426,0.05010967088542117
