episodes,return,hinter_loss,guesser_loss,hinter_q,hinter_qhat,guesser_q,guesser_qhat,exploration
2000,0.381,93.91909790039062,95.1226577758789,-2.5999999046325684,-2.001497745513916,-2.299999952316284,-2.270350456237793,0.8813592272948078
4000,0.383,95.82286071777344,90.78321075439453,-2.0999999046325684,-2.1010196208953857,-3.700000047683716,-1.8292144536972046,0.7775834142685771
6000,0.37,99.44155883789062,94.90693664550781,-1.399999976158142,-2.304457426071167,-2.299999952316284,-2.366272449493408,0.6867615915460303
8000,0.39,101.59164428710938,95.45246124267578,-0.8999999761581421,-1.8485374450683594,-1.899999976158142,-2.157663583755493,0.6072767555124091
10000,0.3765,90.3973159790039,94.76530456542969,-3.200000047683716,-2.5837817192077637,-2.299999952316284,-2.3480448722839355,0.5377137477472802
12000,0.3865,89.1277847290039,95.84030151367188,-3.299999952316284,-2.1372478008270264,-2.0,-2.1120197772979736,0.47683405935886203
14000,0.3885,97.0171890258789,93.40962219238281,-1.899999976158142,-2.202305316925049,-2.5,-1.9730414152145386,0.42355378040966973
16000,0.3825,94.37701416015625,94.42896270751953,-2.0,-2.0736935138702393,-2.299999952316284,-2.2400527000427246,0.376924301842171
18000,0.359,87.85208129882812,90.48761749267578,-3.5,-2.7455835342407227,-3.200000047683716,-2.976482629776001,0.3361154263190112
20000,0.376,97.14501190185547,93.01444244384766,-1.7000000476837158,-2.046710252761841,-2.5,-1.8971158266067505,0.3004005872809969
22000,0.3675,86.37318420410156,89.7173080444336,-3.9000000953674316,-2.7126715183258057,-3.299999952316284,-2.4597034454345703,0.2691439130610133
24000,0.3765,91.57925415039062,90.11289978027344,-2.9000000953674316,-2.8008148670196533,-3.5,-2.7727179527282715,0.24178890574166612
26000,0.359,92.60334014892578,95.39643859863281,-2.5999999046325684,-2.6245322227478027,-2.200000047683716,-2.7703585624694824,0.21784853319354897
28000,0.3815,97.10853576660156,94.30525207519531,-2.0999999046325684,-2.3013412952423096,-2.5,-2.402705192565918,0.19689655789148858
30000,0.3775,95.05724334716797,98.63432312011719,-2.4000000953674316,-2.849144697189331,-2.0,-2.5652501583099365,0.17855994812587855
32000,0.3765,92.36000061035156,96.10626220703125,-2.5999999046325684,-2.1404831409454346,-2.0999999046325684,-2.158761501312256,0.16251223649731428
34000,0.3625,90.11648559570312,86.54163360595703,-3.0999999046325684,-2.8088018894195557,-3.799999952316284,-2.887479305267334,0.14846770744829957
36000,0.36,87.28089904785156,88.81507873535156,-3.5,-2.48527193069458,-3.200000047683716,-2.5911166667938232,0.1361763103460783
38000,0.36,92.30095672607422,95.34968566894531,-2.799999952316284,-2.7406504154205322,-2.200000047683716,-2.9840128421783447,0.12541920754845245
40000,0.381,93.42735290527344,96.45756530761719,-2.200000047683716,-2.3732972145080566,-1.7999999523162842,-2.1968278884887695,0.11600487818976805
42000,0.3645,97.57925415039062,92.20230102539062,-1.7000000476837158,-2.528493881225586,-3.0,-2.6183104515075684,0.10776570831836477
44000,0.3785,92.19961547851562,97.10945129394531,-2.799999952316284,-1.9927356243133545,-1.7000000476837158,-2.2196156978607178,0.10055500667585009
46000,0.405,94.7127914428711,98.63884735107422,-2.299999952316284,-1.649145245552063,-1.5,-1.6064248085021973,0.09424439298674207
48000,0.392,98.89620971679688,91.84321594238281,-1.2000000476837158,-2.0665431022644043,-2.700000047683716,-2.126521110534668,0.08872151225924757
50000,0.3565,89.16002655029297,91.623291015625,-3.299999952316284,-2.689962863922119,-2.799999952316284,-2.8407094478607178,0.08388803440228787
52000,0.387,93.90562438964844,93.15485382080078,-2.799999952316284,-2.224212408065796,-2.799999952316284,-2.166386127471924,0.07965790354369187
54000,0.3775,94.16195678710938,95.7957992553711,-2.4000000953674316,-2.389755964279175,-2.0,-2.3366758823394775,0.07595580588018841
56000,0.3705,98.13288879394531,89.46459197998047,-1.7999999523162842,-2.9184536933898926,-3.200000047683716,-2.5068678855895996,0.07271582878059893
58000,0.37,96.512939453125,101.68704223632812,-1.899999976158142,-2.4592676162719727,-1.100000023841858,-2.4657154083251953,0.06988028726872808
60000,0.3915,96.90090942382812,94.4942398071289,-1.600000023841858,-2.023109197616577,-2.4000000953674316,-1.9775400161743164,0.0673986969925
62000,0.3745,90.7281723022461,91.37181854248047,-3.0999999046325684,-2.4727697372436523,-3.299999952316284,-2.509852886199951,0.06522687539394878
64000,0.403,95.86547088623047,98.27416229248047,-1.600000023841858,-1.8702874183654785,-1.600000023841858,-2.233652114868164,0.06332615507717554
66000,0.3715,86.07974243164062,93.10916137695312,-3.299999952316284,-2.695124626159668,-2.799999952316284,-2.2756338119506836,0.061662695368972745
68000,0.399,94.01091766357422,99.84605407714844,-1.5,-1.8155333995819092,-1.100000023841858,-1.9899475574493408,0.06020687981505069
70000,0.3755,87.97589874267578,96.39850616455078,-3.5,-2.3935327529907227,-2.0,-2.2303311824798584,0.05893278888481038
72000,0.372,85.64033508300781,94.19039916992188,-3.799999952316284,-2.6965248584747314,-2.0999999046325684,-2.5161798000335693,0.057817738496629446
74000,0.358,95.11885070800781,86.60760498046875,-2.4000000953674316,-2.7470474243164062,-3.700000047683716,-3.0738213062286377,0.05684187614750502
76000,0.3865,90.53491973876953,95.53704071044922,-2.4000000953674316,-2.095547676086426,-2.0999999046325684,-2.211116313934326,0.05598782745649274
