episodes,return,hinter_loss,guesser_loss,hinter_q,hinter_qhat,guesser_q,guesser_qhat,exploration
2000,0.4015,93.91192626953125,93.1358413696289,-2.5,-1.5240883827209473,-3.0,-1.3872995376586914,0.8813592272948078
4000,0.399,97.62318420410156,92.80950927734375,-1.7000000476837158,-2.433626174926758,-2.799999952316284,-2.007234573364258,0.7775834142685771
6000,0.381,96.11271667480469,92.2977523803711,-1.7999999523162842,-2.143629312515259,-3.0,-2.9013359546661377,0.6867615915460303
8000,0.362,95.02326202392578,101.18833923339844,-2.4000000953674316,-2.745163679122925,-1.600000023841858,-3.1324408054351807,0.6072767555124091
10000,0.375,94.74212646484375,95.8504867553711,-2.5,-2.3833627700805664,-2.0,-2.360762596130371,0.5377137477472802
12000,0.389,96.57101440429688,98.89641571044922,-1.600000023841858,-2.5221636295318604,-1.5,-2.4203438758850098,0.47683405935886203
14000,0.37,85.31207275390625,91.19137573242188,-4.199999809265137,-2.4767186641693115,-2.9000000953674316,-2.6056041717529297,0.42355378040966973
16000,0.389,94.54810333251953,93.0953140258789,-2.4000000953674316,-1.8888652324676514,-2.700000047683716,-1.8969000577926636,0.376924301842171
18000,0.3765,93.11732482910156,99.59849548339844,-3.0999999046325684,-1.8873471021652222,-1.399999976158142,-2.486208438873291,0.3361154263190112
20000,0.352,87.79045104980469,90.86021423339844,-3.700000047683716,-3.5913076400756836,-2.9000000953674316,-3.255213737487793,0.3004005872809969
22000,0.367,95.37217712402344,95.72544860839844,-2.5999999046325684,-2.8973019123077393,-2.5999999046325684,-2.897291898727417,0.2691439130610133
24000,0.387,94.21682739257812,94.782958984375,-2.4000000953674316,-1.9540629386901855,-2.299999952316284,-2.053060531616211,0.24178890574166612
26000,0.373,91.72014617919922,90.62667846679688,-2.700000047683716,-2.3227016925811768,-3.299999952316284,-2.172577142715454,0.21784853319354897
28000,0.375,94.19046020507812,89.8776626586914,-2.700000047683716,-2.5599465370178223,-3.299999952316284,-2.2403197288513184,0.19689655789148858
30000,0.371,92.12255096435547,89.50619506835938,-2.700000047683716,-2.684393882751465,-3.200000047683716,-2.6646838188171387,0.17855994812587855
32000,0.3775,92.64372253417969,86.49958801269531,-2.799999952316284,-2.2628369331359863,-3.799999952316284,-2.5116052627563477,0.16251223649731428
34000,0.3685,95.52082824707031,86.8753433227539,-2.4000000953674316,-2.183755397796631,-3.799999952316284,-2.4687705039978027,0.14846770744829957
36000,0.3765,90.68367004394531,89.91215515136719,-3.0999999046325684,-2.2670226097106934,-3.0,-2.484424352645874,0.1361763103460783
38000,0.372,92.02398681640625,90.72473907470703,-3.200000047683716,-2.295919418334961,-3.4000000953674316,-2.1798830032348633,0.12541920754845245
40000,0.3885,95.29049682617188,98.31146240234375,-2.4000000953674316,-1.895022988319397,-1.600000023841858,-2.390415906906128,0.11600487818976805
42000,0.3755,93.27782440185547,89.33401489257812,-2.5,-2.3371944427490234,-3.4000000953674316,-2.3619518280029297,0.10776570831836477
44000,0.4045,93.10128784179688,93.92731475830078,-2.5,-1.7395683526992798,-2.4000000953674316,-1.7620445489883423,0.10055500667585009
46000,0.3685,93.7649917602539,89.11648559570312,-2.200000047683716,-2.529650926589966,-3.0999999046325684,-2.7564697265625,0.09424439298674207
48000,0.376,90.8977279663086,91.82740020751953,-2.200000047683716,-2.527050495147705,-3.0,-2.032952308654785,0.08872151225924757
50000,0.3845,94.83882904052734,101.59100341796875,-2.0,-2.1039254665374756,-1.0,-2.160433530807495,0.08388803440228787
52000,0.3685,91.1694564819336,89.72935485839844,-3.200000047683716,-2.6841397285461426,-3.200000047683716,-2.505981206893921,0.07965790354369187
54000,0.3795,91.7291488647461,94.20549011230469,-2.4000000953674316,-2.4746179580688477,-2.5,-2.463503837585449,0.07595580588018841
56000,0.371,91.026611328125,93.4249038696289,-2.799999952316284,-2.56504487991333,-2.4000000953674316,-2.5577449798583984,0.07271582878059893
58000,0.3725,93.48670196533203,91.38231658935547,-3.700000047683716,-1.8951280117034912,-3.0999999046325684,-2.679051160812378,0.06988028726872808
60000,0.367,86.79547882080078,95.62157440185547,-3.5,-2.5604419708251953,-2.200000047683716,-2.384791612625122,0.0673986969925
62000,0.376,96.8729476928711,96.90294647216797,-1.7999999523162842,-2.6487197875976562,-1.899999976158142,-2.853884220123291,0.06522687539394878
64000,0.375,90.20016479492188,97.79840850830078,-2.299999952316284,-2.1311757564544678,-1.600000023841858,-2.1635384559631348,0.06332615507717554
66000,0.375,92.99101257324219,96.32476806640625,-2.299999952316284,-2.240018844604492,-1.7999999523162842,-2.3755993843078613,0.061662695368972745
68000,0.3745,96.32426452636719,94.10436248779297,-2.0,-3.286679744720459,-2.0999999046325684,-2.424907922744751,0.06020687981505069
70000,0.37,93.83826446533203,91.38099670410156,-2.200000047683716,-2.5097031593322754,-2.799999952316284,-2.437448501586914,0.05893278888481038
72000,0.3945,97.48473358154297,95.6517105102539,-1.7000000476837158,-2.4157514572143555,-2.4000000953674316,-2.196012020111084,0.057817738496629446
74000,0.387,94.55640411376953,100.26476287841797,-2.299999952316284,-1.9004223346710205,-1.100000023841858,-2.094341516494751,0.05684187614750502
76000,0.3805,91.35494995117188,93.81937408447266,-2.9000000953674316,-2.2243216037750244,-2.5999999046325684,-2.1932079792022705,0.05598782745649274
78000,0.396,98.1100845336914,97.71582794189453,-1.7000000476837158,-1.5085662603378296,-1.7999999523162842,-1.679018497467041,0.05524038682895525
80000,0.3885,88.45658111572266,93.83761596679688,-3.5,-2.2444095611572266,-2.5999999046325684,-2.306471824645996,0.054586246734165705
82000,0.376,82.62416076660156,101.17437744140625,-4.099999904632568,-2.7736709117889404,-1.2000000476837158,-2.747957706451416,0.05401376077628968
84000,0.3745,96.03414154052734,94.89415740966797,-2.0,-2.2968685626983643,-2.799999952316284,-2.5056939125061035,0.053512736340429835
86000,0.3645,93.67414855957031,93.26875305175781,-3.0,-2.5367472171783447,-2.799999952316284,-2.558505058288574,0.05307425312197676
88000,0.394,95.85508728027344,99.40409088134766,-1.7000000476837158,-2.1931371688842773,-1.399999976158142,-2.194962978363037,0.05269050430833854
90000,0.374,92.16465759277344,90.39323425292969,-2.9000000953674316,-2.2775087356567383,-3.200000047683716,-2.5503368377685547,0.05235465758542799
92000,0.3785,96.35599517822266,86.9087142944336,-2.0,-2.182243824005127,-4.0,-2.352450370788574,0.05206073349424867
94000,0.3755,93.71708679199219,100.54740142822266,-2.200000047683716,-2.792450189590454,-1.100000023841858,-2.333892583847046,0.051803498971824576
96000,0.3755,85.64373016357422,100.62141418457031,-3.200000047683716,-2.475379705429077,-1.2999999523162842,-2.495081901550293,0.05157837418106226
98000,0.3875,93.53033447265625,98.55989074707031,-2.5999999046325684,-2.1243817806243896,-1.2999999523162842,-2.196887254714966,0.05138135097073195
100000,0.378,93.19812774658203,96.77033996582031,-2.700000047683716,-2.1741018295288086,-2.0,-2.430972099304199,0.05120892151381868
102000,0.39,95.45626831054688,95.6440658569336,-2.0999999046325684,-1.970565676689148,-1.7999999523162842,-2.118356943130493,0.05105801585371112
104000,0.387,91.20352172851562,93.67721557617188,-2.200000047683716,-2.6564579010009766,-2.5,-2.663088083267212,0.050925947246292416
106000,0.3775,87.1552963256836,93.90791320800781,-3.5999999046325684,-2.3747832775115967,-2.5999999046325684,-2.1281745433807373,0.050810364324796416
108000,0.3745,96.77532958984375,97.97175598144531,-1.7000000476837158,-2.248525381088257,-1.7999999523162842,-2.2381818294525146,0.05070920923576608
