episodes,return,hinter_loss,guesser_loss,hinter_q,hinter_qhat,guesser_q,guesser_qhat,exploration
2000,0.368,94.5538558959961,90.14802551269531,-2.299999952316284,-2.2571911811828613,-3.0999999046325684,-2.5018374919891357,0.8813592272948078
4000,0.369,93.81678771972656,92.07787322998047,-2.4000000953674316,-2.4825856685638428,-2.700000047683716,-2.203103542327881,0.7775834142685771
6000,0.393,100.55057525634766,98.39118957519531,-0.8999999761581421,-2.050600528717041,-1.399999976158142,-2.1318399906158447,0.6867615915460303
8000,0.376,94.11483764648438,90.85707092285156,-2.5999999046325684,-2.186497688293457,-3.200000047683716,-2.0541977882385254,0.6072767555124091
10000,0.3835,92.35517883300781,96.286865234375,-3.0,-2.1821351051330566,-1.7999999523162842,-2.002495527267456,0.5377137477472802
12000,0.401,97.2611312866211,91.1216049194336,-1.2999999523162842,-1.850041151046753,-3.200000047683716,-2.007949113845825,0.47683405935886203
14000,0.377,93.97285461425781,98.80458068847656,-2.700000047683716,-3.2253265380859375,-1.7000000476837158,-2.5426015853881836,0.42355378040966973
16000,0.388,94.0800552368164,96.1533432006836,-2.4000000953674316,-1.959910273551941,-2.0999999046325684,-1.9942817687988281,0.376924301842171
18000,0.371,95.54035186767578,92.34883117675781,-2.4000000953674316,-2.3850362300872803,-2.5,-2.437741756439209,0.3361154263190112
20000,0.3805,91.81155395507812,96.05518341064453,-3.200000047683716,-2.3474605083465576,-1.7000000476837158,-2.2477195262908936,0.3004005872809969
22000,0.393,94.2810287475586,102.779296875,-1.899999976158142,-2.21755313873291,-0.4000000059604645,-2.050959825515747,0.2691439130610133
24000,0.3615,94.4197769165039,90.63135528564453,-2.0,-2.6565542221069336,-3.0,-2.491548538208008,0.24178890574166612
26000,0.3655,91.73590850830078,88.8497543334961,-2.799999952316284,-2.8221991062164307,-3.299999952316284,-2.7715892791748047,0.21784853319354897
28000,0.38,93.0062484741211,89.54672241210938,-2.799999952316284,-2.1177713871002197,-3.4000000953674316,-2.309480667114258,0.19689655789148858
30000,0.3845,92.41931915283203,99.65550994873047,-2.9000000953674316,-2.166365146636963,-0.8999999761581421,-2.0202574729919434,0.17855994812587855
32000,0.378,95.03128051757812,93.7362289428711,-2.299999952316284,-2.266767978668213,-2.9000000953674316,-2.4770331382751465,0.16251223649731428
34000,0.3775,95.9935073852539,95.83024597167969,-1.600000023841858,-2.4462616443634033,-2.200000047683716,-2.3651528358459473,0.14846770744829957
36000,0.358,97.0877914428711,95.72386932373047,-1.7000000476837158,-3.0503299236297607,-2.299999952316284,-3.313905715942383,0.1361763103460783
38000,0.376,92.12503051757812,87.89864349365234,-2.5,-1.942507028579712,-3.799999952316284,-2.3519201278686523,0.12541920754845245
40000,0.3745,92.35769653320312,91.21627044677734,-3.0999999046325684,-2.264401435852051,-3.200000047683716,-2.2119812965393066,0.11600487818976805
42000,0.3815,95.11339569091797,92.41901397705078,-2.299999952316284,-2.242863178253174,-2.5,-2.4382338523864746,0.10776570831836477
44000,0.3775,94.19717407226562,98.55765533447266,-2.200000047683716,-2.465773820877075,-1.7999999523162842,-2.2183923721313477,0.10055500667585009
46000,0.3755,90.52469635009766,93.08478546142578,-3.299999952316284,-2.619464635848999,-2.5999999046325684,-2.6958236694335938,0.09424439298674207
48000,0.384,94.24525451660156,93.47779083251953,-1.899999976158142,-2.2209737300872803,-2.5,-2.1689417362213135,0.08872151225924757
50000,0.379,88.84807586669922,91.27626037597656,-2.9000000953674316,-2.363401412963867,-2.5999999046325684,-2.5141994953155518,0.08388803440228787
52000,0.376,96.39244842529297,92.48897552490234,-1.600000023841858,-2.2985620498657227,-2.9000000953674316,-2.334210157394409,0.07965790354369187
54000,0.383,92.99980163574219,89.3637924194336,-1.899999976158142,-2.339862108230591,-3.200000047683716,-2.5088298320770264,0.07595580588018841
56000,0.3855,92.8355941772461,96.40960693359375,-2.299999952316284,-2.3944168090820312,-2.200000047683716,-1.9629665613174438,0.07271582878059893
58000,0.408,96.35742950439453,94.31678771972656,-1.399999976158142,-1.6928820610046387,-2.299999952316284,-2.0995731353759766,0.06988028726872808
60000,0.3885,95.71044921875,93.00503540039062,-1.2999999523162842,-2.0843911170959473,-2.799999952316284,-2.2480924129486084,0.0673986969925
62000,0.3765,89.41898345947266,92.98450469970703,-2.9000000953674316,-2.2289235591888428,-2.5,-2.6039440631866455,0.06522687539394878
64000,0.3645,87.74301147460938,94.90898132324219,-3.700000047683716,-2.898707866668701,-2.4000000953674316,-2.9133200645446777,0.06332615507717554
66000,0.38,93.09548950195312,98.14462280273438,-2.799999952316284,-2.1936352252960205,-1.7999999523162842,-2.3784825801849365,0.061662695368972745
68000,0.39,95.22196960449219,98.39505004882812,-1.7999999523162842,-2.3453261852264404,-1.100000023841858,-2.1920340061187744,0.06020687981505069
70000,0.3715,96.19249725341797,97.53152465820312,-1.5,-2.280109167098999,-2.0,-2.5782880783081055,0.05893278888481038
72000,0.372,94.4456558227539,91.93119049072266,-2.0999999046325684,-1.9824895858764648,-3.0999999046325684,-1.8257375955581665,0.057817738496629446
74000,0.362,89.53153228759766,95.1314468383789,-3.0,-2.8554818630218506,-2.0999999046325684,-2.7233023643493652,0.05684187614750502
76000,0.395,97.96155548095703,101.18927001953125,-1.7000000476837158,-2.1262102127075195,-0.800000011920929,-2.201383113861084,0.05598782745649274
78000,0.376,91.31945037841797,91.78205108642578,-2.9000000953674316,-2.7344305515289307,-2.9000000953674316,-2.135575771331787,0.05524038682895525
80000,0.3755,91.087890625,92.35675811767578,-3.0,-2.336055278778076,-2.5,-2.674534320831299,0.054586246734165705
82000,0.3705,98.9371566772461,94.89445495605469,-1.2000000476837158,-2.4572067260742188,-2.5,-2.7748796939849854,0.05401376077628968
84000,0.3765,93.95663452148438,89.70378875732422,-1.899999976158142,-2.2510969638824463,-3.200000047683716,-2.332676887512207,0.053512736340429835
86000,0.383,92.79680633544922,87.65363311767578,-2.299999952316284,-1.9950506687164307,-3.700000047683716,-2.325838327407837,0.05307425312197676
88000,0.3815,92.48267364501953,98.2090072631836,-2.0999999046325684,-2.046445369720459,-1.7000000476837158,-2.1831820011138916,0.05269050430833854
90000,0.3795,93.50862121582031,93.35101318359375,-2.0999999046325684,-2.4170756340026855,-2.299999952316284,-2.4102866649627686,0.05235465758542799
92000,0.3915,83.70877075195312,90.74401092529297,-3.4000000953674316,-2.46212100982666,-3.0,-2.2044641971588135,0.05206073349424867
