episodes,return,hinter_loss,guesser_loss,hinter_q,hinter_qhat,guesser_q,guesser_qhat,exploration
2000,0.366,95.30458068847656,93.39962768554688,-2.299999952316284,-2.3326194286346436,-2.5,-2.2778992652893066,0.8813592272948078
4000,0.366,90.55992889404297,92.96166229248047,-2.9000000953674316,-2.084590196609497,-2.700000047683716,-2.278517723083496,0.7775834142685771
6000,0.393,97.78978729248047,97.01095581054688,-1.7999999523162842,-2.1943111419677734,-1.7999999523162842,-2.459282636642456,0.6867615915460303
8000,0.383,97.1546401977539,98.4191665649414,-2.0999999046325684,-2.718967914581299,-1.2000000476837158,-2.1237573623657227,0.6072767555124091
10000,0.3685,94.56558227539062,88.44210052490234,-2.5,-2.511113166809082,-3.5,-2.690375328063965,0.5377137477472802
12000,0.363,90.46398162841797,98.7145767211914,-3.5,-2.875656843185425,-1.7999999523162842,-3.0103085041046143,0.47683405935886203
14000,0.372,95.072998046875,96.61328125,-2.200000047683716,-2.5530054569244385,-1.899999976158142,-2.15079665184021,0.42355378040966973
16000,0.403,95.46637725830078,98.3143081665039,-2.0999999046325684,-1.9199656248092651,-1.600000023841858,-2.083080768585205,0.376924301842171
18000,0.368,97.64312744140625,94.89738464355469,-1.899999976158142,-2.6968157291412354,-2.4000000953674316,-2.6970770359039307,0.3361154263190112
20000,0.3825,96.52407836914062,95.65320587158203,-2.0,-2.2808780670166016,-2.0,-2.0347864627838135,0.3004005872809969
22000,0.361,96.32771301269531,90.89261627197266,-1.7999999523162842,-2.4075069427490234,-2.799999952316284,-2.8268065452575684,0.2691439130610133
24000,0.378,92.74191284179688,97.70337677001953,-2.700000047683716,-2.564161777496338,-1.7999999523162842,-2.729987859725952,0.24178890574166612
26000,0.375,95.35547637939453,93.99931335449219,-1.899999976158142,-2.4622912406921387,-2.5999999046325684,-2.333338737487793,0.21784853319354897
28000,0.3765,90.6744155883789,96.19692993164062,-2.9000000953674316,-2.4213039875030518,-2.0,-2.2554666996002197,0.19689655789148858
30000,0.372,96.39729309082031,103.0517578125,-1.899999976158142,-2.3939480781555176,-0.800000011920929,-2.8238260746002197,0.17855994812587855
32000,0.384,101.1494369506836,97.71944427490234,-0.8999999761581421,-2.1927008628845215,-1.7999999523162842,-2.2105584144592285,0.16251223649731428
