episodes,return,hinter_loss,guesser_loss,hinter_q,hinter_qhat,guesser_q,guesser_qhat,exploration
2000,0.3675,96.74669647216797,90.63539123535156,-1.7999999523162842,-2.0233538150787354,-3.0999999046325684,-2.4671244621276855,0.8813592272948078
4000,0.3775,95.5233383178711,95.88783264160156,-2.4000000953674316,-2.001347541809082,-2.0999999046325684,-1.979079246520996,0.7775834142685771
6000,0.3925,92.55963897705078,101.2718276977539,-2.9000000953674316,-1.9216384887695312,-0.699999988079071,-1.8554670810699463,0.6867615915460303
8000,0.3875,94.5257797241211,96.51174926757812,-2.0999999046325684,-2.01193904876709,-1.7999999523162842,-2.136000394821167,0.6072767555124091
10000,0.385,97.49773406982422,99.69053649902344,-2.0,-2.0519020557403564,-1.2999999523162842,-2.299832582473755,0.5377137477472802
12000,0.3785,94.4747085571289,95.01171875,-2.4000000953674316,-2.3706538677215576,-2.5999999046325684,-1.9165637493133545,0.47683405935886203
14000,0.3915,89.83332061767578,92.69823455810547,-3.200000047683716,-2.094609022140503,-2.4000000953674316,-1.8584119081497192,0.42355378040966973
16000,0.3585,94.62918090820312,93.29008483886719,-2.299999952316284,-2.6335251331329346,-2.5,-2.914876937866211,0.376924301842171
18000,0.3615,97.83824920654297,91.95304870605469,-1.899999976158142,-2.8071372509002686,-2.9000000953674316,-2.9823572635650635,0.3361154263190112
20000,0.393,93.59835815429688,96.42697143554688,-2.799999952316284,-1.7084094285964966,-2.0,-1.7892428636550903,0.3004005872809969
22000,0.3735,98.01715850830078,96.75668334960938,-1.600000023841858,-2.8036391735076904,-1.899999976158142,-2.6045501232147217,0.2691439130610133
24000,0.362,91.22666931152344,91.94779968261719,-2.700000047683716,-2.488417625427246,-3.0999999046325684,-2.3826630115509033,0.24178890574166612
26000,0.385,97.6173324584961,94.9673080444336,-1.899999976158142,-2.255270481109619,-2.4000000953674316,-2.463736057281494,0.21784853319354897
28000,0.3765,92.38357543945312,94.28366088867188,-2.9000000953674316,-2.857095241546631,-2.5,-2.442493438720703,0.19689655789148858
30000,0.3665,90.05216979980469,90.39056396484375,-3.299999952316284,-2.8636727333068848,-3.0,-2.9005706310272217,0.17855994812587855
32000,0.3765,88.37049865722656,91.84361267089844,-3.299999952316284,-2.2230162620544434,-2.799999952316284,-2.3172733783721924,0.16251223649731428
34000,0.357,86.34609985351562,93.47808837890625,-3.5999999046325684,-2.697373390197754,-2.5,-3.0366461277008057,0.14846770744829957
36000,0.3765,92.47080993652344,92.01043701171875,-2.700000047683716,-2.670165777206421,-2.799999952316284,-2.4058351516723633,0.1361763103460783
38000,0.404,93.6551284790039,98.3121109008789,-1.899999976158142,-1.9260201454162598,-1.100000023841858,-1.5247244834899902,0.12541920754845245
40000,0.3845,90.27754974365234,93.85191345214844,-2.9000000953674316,-2.383228302001953,-2.5,-2.0363125801086426,0.11600487818976805
42000,0.3855,95.3974838256836,97.23572540283203,-1.899999976158142,-2.2489066123962402,-1.7999999523162842,-2.1425609588623047,0.10776570831836477
44000,0.371,90.5751953125,94.97203063964844,-3.0999999046325684,-2.3305463790893555,-2.299999952316284,-2.4790124893188477,0.10055500667585009
46000,0.392,93.02721405029297,95.60466766357422,-2.5,-2.33622670173645,-2.200000047683716,-2.0988428592681885,0.09424439298674207
48000,0.3775,94.59701538085938,98.67135620117188,-2.700000047683716,-2.502833366394043,-1.7000000476837158,-2.7423834800720215,0.08872151225924757
50000,0.369,86.2597427368164,91.61212158203125,-3.799999952316284,-2.4838829040527344,-3.0,-2.226139545440674,0.08388803440228787
52000,0.378,90.98977661132812,93.1407241821289,-2.5999999046325684,-2.326977014541626,-2.799999952316284,-2.1663897037506104,0.07965790354369187
54000,0.3765,93.53822326660156,87.75403594970703,-2.200000047683716,-2.432480573654175,-3.700000047683716,-2.471487522125244,0.07595580588018841
