episodes,return,hinter_loss,guesser_loss,hinter_q,hinter_qhat,guesser_q,guesser_qhat,exploration
4000,0.37425,98.7387924194336,97.9086685180664,-1.600000023841858,-2.3707895278930664,-1.5,-2.1933600902557373,0.7775834142685771
8000,0.36275,93.46163940429688,94.83773803710938,-2.4000000953674316,-3.046142339706421,-2.4000000953674316,-3.069260835647583,0.6072767555124091
12000,0.36475,93.96955108642578,93.00222778320312,-2.799999952316284,-2.3575775623321533,-2.700000047683716,-2.1175146102905273,0.47683405935886203
16000,0.3555,92.6817855834961,90.51939392089844,-3.0,-2.9355974197387695,-3.0,-2.89778208732605,0.376924301842171
20000,0.3585,89.71763610839844,95.99455261230469,-3.0999999046325684,-3.2429559230804443,-2.299999952316284,-3.0780467987060547,0.3004005872809969
24000,0.36425,93.40653991699219,88.08684539794922,-2.5,-2.9937403202056885,-3.4000000953674316,-2.7764639854431152,0.24178890574166612
28000,0.37275,88.93673706054688,102.2657241821289,-3.5999999046325684,-2.1875152587890625,-0.6000000238418579,-2.1038777828216553,0.19689655789148858
32000,0.37425,93.28427124023438,93.60474395751953,-2.5,-2.7814111709594727,-2.299999952316284,-2.2972092628479004,0.16251223649731428
36000,0.37125,83.16120910644531,92.14241027832031,-4.300000190734863,-2.687070846557617,-2.799999952316284,-2.759868860244751,0.1361763103460783
40000,0.36575,95.3833236694336,88.95946502685547,-1.5,-2.430251359939575,-3.4000000953674316,-2.2706923484802246,0.11600487818976805
44000,0.36825,93.58952331542969,98.233642578125,-2.5999999046325684,-2.8363425731658936,-1.899999976158142,-3.1619961261749268,0.10055500667585009
48000,0.3755,85.64498901367188,97.6418228149414,-3.799999952316284,-2.0751125812530518,-1.7000000476837158,-2.363997459411621,0.08872151225924757
52000,0.37675,93.19207763671875,93.39222717285156,-2.299999952316284,-2.3178319931030273,-2.799999952316284,-2.8405797481536865,0.07965790354369187
56000,0.374,90.4615707397461,90.8357925415039,-3.5999999046325684,-1.5545293092727661,-3.5,-1.6614207029342651,0.07271582878059893
60000,0.3635,87.33267211914062,88.52794647216797,-2.700000047683716,-2.7263171672821045,-3.5999999046325684,-2.788353681564331,0.0673986969925
64000,0.366,95.266357421875,94.59782409667969,-2.5999999046325684,-2.8799734115600586,-2.700000047683716,-3.0101943016052246,0.06332615507717554
68000,0.36325,92.85594940185547,89.5440444946289,-2.799999952316284,-2.4273760318756104,-3.5,-2.647352695465088,0.06020687981505069
72000,0.376,93.54779052734375,92.47164916992188,-1.7000000476837158,-2.529956579208374,-2.700000047683716,-2.7671806812286377,0.057817738496629446
76000,0.3595,91.68314361572266,86.22140502929688,-3.299999952316284,-3.3416552543640137,-3.700000047683716,-3.1194326877593994,0.05598782745649274
80000,0.36475,96.59392547607422,95.21881103515625,-1.7999999523162842,-2.492999792098999,-2.299999952316284,-2.660349130630493,0.054586246734165705
84000,0.36525,96.75767517089844,92.71558380126953,-1.7999999523162842,-2.212940216064453,-2.5999999046325684,-2.1406569480895996,0.053512736340429835
88000,0.36675,94.14961242675781,97.7538833618164,-2.299999952316284,-2.3444249629974365,-1.899999976158142,-2.383223533630371,0.05269050430833854
92000,0.36825,96.02820587158203,92.38037872314453,-2.0999999046325684,-2.610800266265869,-2.799999952316284,-2.6452584266662598,0.05206073349424867
96000,0.36625,88.56023406982422,90.99076843261719,-3.799999952316284,-2.6927568912506104,-2.9000000953674316,-2.740185499191284,0.05157837418106226
100000,0.3745,88.89228820800781,97.19548034667969,-2.9000000953674316,-2.5396337509155273,-2.0999999046325684,-2.730741500854492,0.05120892151381868
104000,0.37625,95.23576354980469,97.37417602539062,-2.0,-2.388678789138794,-1.899999976158142,-2.4412407875061035,0.050925947246292416
108000,0.369,89.58822631835938,92.01024627685547,-2.5999999046325684,-2.1435623168945312,-3.0999999046325684,-2.145585060119629,0.05070920923576608
112000,0.37175,95.03620910644531,90.07855224609375,-1.7000000476837158,-2.378230333328247,-3.200000047683716,-2.39619517326355,0.05054320345150317
116000,0.348,94.11717987060547,90.58140563964844,-2.799999952316284,-3.064821720123291,-3.0,-2.8597464561462402,0.050416054917003766
