episodes,return,hinter_loss,guesser_loss,hinter_q,hinter_qhat,guesser_q,guesser_qhat,exploration
4000,0.36275,93.88744354248047,95.65576171875,-2.5,-2.4226038455963135,-2.0999999046325684,-2.3433592319488525,0.7775834142685771
8000,0.349,86.53431701660156,89.36247253417969,-3.5999999046325684,-3.013399124145508,-3.200000047683716,-2.8836331367492676,0.6072767555124091
12000,0.3655,85.15890502929688,91.06796264648438,-4.099999904632568,-2.7536115646362305,-2.799999952316284,-2.4105255603790283,0.47683405935886203
16000,0.36875,93.93338775634766,91.94957733154297,-2.299999952316284,-2.7983059883117676,-2.9000000953674316,-2.4989633560180664,0.376924301842171
20000,0.37275,95.01654052734375,98.22205352783203,-1.7999999523162842,-2.360948085784912,-1.600000023841858,-2.433809518814087,0.3004005872809969
24000,0.37125,84.99995422363281,97.22300720214844,-4.300000190734863,-2.1731276512145996,-1.899999976158142,-1.994978427886963,0.24178890574166612
28000,0.36625,89.03962707519531,94.35045623779297,-3.5,-2.3442530632019043,-2.5,-2.094503402709961,0.19689655789148858
32000,0.36325,94.0195083618164,90.56180572509766,-2.0999999046325684,-2.6765832901000977,-2.799999952316284,-2.6330039501190186,0.16251223649731428
36000,0.37475,93.82181549072266,89.15865325927734,-2.799999952316284,-2.0929384231567383,-3.299999952316284,-2.360722303390503,0.1361763103460783
40000,0.36375,89.94471740722656,91.98604583740234,-2.700000047683716,-2.657865047454834,-3.0999999046325684,-2.428764820098877,0.11600487818976805
44000,0.3615,99.5217056274414,90.8783187866211,-1.5,-2.6704375743865967,-2.799999952316284,-2.982769250869751,0.10055500667585009
48000,0.38075,89.11239624023438,93.173095703125,-3.0999999046325684,-2.531155586242676,-2.5999999046325684,-2.30781626701355,0.08872151225924757
52000,0.3695,87.08063507080078,94.31289672851562,-3.200000047683716,-2.258310079574585,-2.4000000953674316,-2.593134880065918,0.07965790354369187
56000,0.35675,83.71065521240234,89.08598327636719,-4.099999904632568,-2.784457206726074,-3.299999952316284,-2.6196792125701904,0.07271582878059893
60000,0.36825,89.14066314697266,93.23173522949219,-2.799999952316284,-2.0319080352783203,-2.799999952316284,-1.9376848936080933,0.0673986969925
64000,0.3615,84.20269775390625,87.85643768310547,-4.400000095367432,-2.5744640827178955,-3.799999952316284,-2.354536533355713,0.06332615507717554
68000,0.36525,86.87696075439453,94.77246856689453,-2.9000000953674316,-2.5202629566192627,-2.0999999046325684,-2.4358038902282715,0.06020687981505069
72000,0.3775,97.7249984741211,92.30237579345703,-0.699999988079071,-2.0942025184631348,-2.799999952316284,-2.1654577255249023,0.057817738496629446
76000,0.3675,85.72685241699219,97.03619384765625,-3.700000047683716,-3.283367395401001,-2.0,-2.9435293674468994,0.05598782745649274
80000,0.37325,96.67388916015625,91.89016723632812,-2.200000047683716,-2.5850396156311035,-3.0,-2.6758673191070557,0.054586246734165705
84000,0.37075,94.47760772705078,97.24786376953125,-2.200000047683716,-2.817269802093506,-2.0999999046325684,-2.7391858100891113,0.053512736340429835
88000,0.3585,90.45929718017578,97.00606536865234,-2.9000000953674316,-2.908501386642456,-2.0,-2.769744873046875,0.05269050430833854
92000,0.35675,85.5682144165039,94.35240936279297,-3.299999952316284,-3.045276165008545,-2.5,-3.0830514430999756,0.05206073349424867
