episodes,return,hinter_loss,guesser_loss,hinter_q,hinter_qhat,guesser_q,guesser_qhat,exploration
4000,0.3615,89.14250183105469,88.73348999023438,-3.5,-2.3990671634674072,-3.5,-2.4353690147399902,0.7775834142685771
8000,0.373,97.14201354980469,92.7360610961914,-2.0999999046325684,-2.7480270862579346,-2.799999952316284,-2.997184991836548,0.6072767555124091
12000,0.35925,95.76846313476562,90.70641326904297,-2.0999999046325684,-2.651481866836548,-3.5,-2.35054874420166,0.47683405935886203
16000,0.36625,89.27005004882812,95.9620590209961,-3.200000047683716,-2.630282402038574,-2.299999952316284,-2.3407018184661865,0.376924301842171
20000,0.3575,96.09466552734375,90.4158706665039,-2.0,-2.5346291065216064,-2.9000000953674316,-2.743290662765503,0.3004005872809969
24000,0.36675,92.04998016357422,99.06289672851562,-2.9000000953674316,-2.661916732788086,-1.5,-2.6579935550689697,0.24178890574166612
28000,0.369,89.08995056152344,89.0644760131836,-3.200000047683716,-2.8766098022460938,-3.299999952316284,-3.084848642349243,0.19689655789148858
32000,0.3645,83.11852264404297,88.78996276855469,-4.300000190734863,-2.642864942550659,-3.4000000953674316,-2.7225182056427,0.16251223649731428
36000,0.38425,92.34207916259766,93.73410034179688,-2.9000000953674316,-1.7378686666488647,-2.799999952316284,-1.634318232536316,0.1361763103460783
40000,0.37,90.22777557373047,93.49333190917969,-3.200000047683716,-2.535377264022827,-2.5999999046325684,-2.446925163269043,0.11600487818976805
44000,0.3635,84.59036254882812,89.3506088256836,-4.300000190734863,-2.7753307819366455,-3.0999999046325684,-3.214742660522461,0.10055500667585009
48000,0.349,84.26181030273438,90.43251037597656,-4.300000190734863,-2.8136348724365234,-3.299999952316284,-2.562276601791382,0.08872151225924757
52000,0.377,95.43035888671875,95.71894836425781,-2.0,-2.75485897064209,-2.299999952316284,-2.115750789642334,0.07965790354369187
56000,0.352,88.05010986328125,85.65018463134766,-3.4000000953674316,-2.816351890563965,-3.700000047683716,-2.8706817626953125,0.07271582878059893
60000,0.355,92.0487289428711,97.52405548095703,-2.9000000953674316,-2.759956121444702,-2.0,-3.2140164375305176,0.0673986969925
64000,0.3825,94.60347747802734,97.62617492675781,-2.299999952316284,-2.5726513862609863,-1.7000000476837158,-2.4604299068450928,0.06332615507717554
68000,0.358,96.96442413330078,97.9554672241211,-2.0,-2.5825042724609375,-1.7000000476837158,-3.0733606815338135,0.06020687981505069
72000,0.36175,89.31838989257812,89.32756042480469,-3.299999952316284,-2.6116466522216797,-3.4000000953674316,-2.873314142227173,0.057817738496629446
76000,0.37325,96.96812438964844,90.63099670410156,-1.7999999523162842,-2.3588759899139404,-3.0,-2.5455775260925293,0.05598782745649274
80000,0.38175,89.80976867675781,100.15726470947266,-2.799999952316284,-2.464259386062622,-1.2999999523162842,-2.479975700378418,0.054586246734165705
84000,0.37075,96.41283416748047,97.4035873413086,-2.200000047683716,-2.652841806411743,-2.200000047683716,-2.6079437732696533,0.053512736340429835
88000,0.366,92.7971420288086,102.73744201660156,-2.9000000953674316,-2.8182930946350098,-0.8999999761581421,-2.9084274768829346,0.05269050430833854
92000,0.3825,94.97293090820312,97.9522476196289,-2.700000047683716,-2.2048499584198,-1.5,-2.2783985137939453,0.05206073349424867
96000,0.3675,94.76150512695312,92.14337158203125,-2.200000047683716,-2.384855031967163,-2.5999999046325684,-2.415328025817871,0.05157837418106226
100000,0.35525,99.31507110595703,94.6202163696289,-1.899999976158142,-2.663896083831787,-2.5999999046325684,-2.3134491443634033,0.05120892151381868
104000,0.36325,85.4067611694336,88.79345703125,-4.199999809265137,-3.0640456676483154,-3.5,-2.81916880607605,0.050925947246292416
108000,0.36925,95.3740463256836,91.49686431884766,-2.299999952316284,-2.30257511138916,-2.700000047683716,-2.440166473388672,0.05070920923576608
112000,0.3695,87.91593933105469,91.58099365234375,-3.5999999046325684,-2.6717870235443115,-2.9000000953674316,-2.5010030269622803,0.05054320345150317
116000,0.36725,95.75459289550781,95.1321029663086,-2.0999999046325684,-1.7804131507873535,-2.0999999046325684,-1.8076765537261963,0.050416054917003766
120000,0.37525,96.90319061279297,92.95281219482422,-2.200000047683716,-2.516723871231079,-2.700000047683716,-2.5033392906188965,0.050318668251249137
124000,0.369,97.7378158569336,91.22383117675781,-2.0,-3.0416290760040283,-3.0,-2.916945219039917,0.05024407704416882
128000,0.36675,93.82662963867188,90.86753845214844,-2.299999952316284,-2.549513339996338,-3.0999999046325684,-2.743016242980957,0.05018694552487318
132000,0.37525,89.40373229980469,100.69892883300781,-3.0,-2.8142499923706055,-1.399999976158142,-2.8973195552825928,0.050143186875230825
136000,0.36,86.13533020019531,90.29927062988281,-3.799999952316284,-2.899616003036499,-3.200000047683716,-2.599879741668701,0.05010967088542117
140000,0.362,90.0835189819336,96.79363250732422,-2.9000000953674316,-2.657169818878174,-1.7999999523162842,-2.3674700260162354,0.05008400003903762
144000,0.36975,88.92962646484375,91.68737030029297,-3.5,-2.6814980506896973,-2.799999952316284,-2.8332653045654297,0.05006433801032265
148000,0.375,88.08150482177734,87.92103576660156,-3.0,-2.6237640380859375,-3.9000000953674316,-2.245820999145508,0.05004927830534012
152000,0.363,89.66271209716797,90.4843521118164,-2.799999952316284,-2.699160099029541,-3.200000047683716,-2.3426990509033203,0.05003774365052658
156000,0.366,89.82170867919922,88.9280776977539,-3.200000047683716,-2.502645969390869,-3.0,-2.9291465282440186,0.05002890893153164
160000,0.367,87.22750854492188,88.6045150756836,-2.9000000953674316,-2.5553159713745117,-3.4000000953674316,-2.4559144973754883,0.050022142169891926
164000,0.3615,87.05532836914062,93.93655395507812,-3.5,-2.8198719024658203,-2.4000000953674316,-2.4910788536071777,0.050016959315393114
168000,0.37,91.72233581542969,94.1958999633789,-2.4000000953674316,-2.347656488418579,-2.799999952316284,-2.384577751159668,0.05001298962025885
172000,0.383,92.8437271118164,89.44708251953125,-2.5999999046325684,-2.5843915939331055,-3.299999952316284,-2.2086288928985596,0.05000994911826085
176000,0.35625,85.93460845947266,85.5761489868164,-3.5,-3.1733691692352295,-3.799999952316284,-3.1319048404693604,0.05000762031161773
180000,0.365,79.5658187866211,91.22080993652344,-4.400000095367432,-2.6973114013671875,-2.799999952316284,-2.519211530685425,0.050005836612615186
184000,0.37025,91.9442367553711,91.66622161865234,-2.200000047683716,-2.8366189002990723,-2.9000000953674316,-2.8111376762390137,0.050004470427002026
188000,0.38725,89.30744934082031,96.44147491455078,-3.200000047683716,-1.9154881238937378,-2.200000047683716,-2.115201473236084,0.050003424026725446
192000,0.364,85.2289810180664,93.35316467285156,-3.299999952316284,-3.0034735202789307,-2.5999999046325684,-3.1733086109161377,0.05000262255910034
196000,0.3705,96.19664764404297,95.47798156738281,-1.600000023841858,-2.4835004806518555,-2.200000047683716,-2.3211703300476074,0.05000200869233398
200000,0.36225,82.30632781982422,92.31156921386719,-3.700000047683716,-3.238537311553955,-2.5,-2.6914453506469727,0.050001538514381653
204000,0.36525,92.39488220214844,91.63372802734375,-2.299999952316284,-2.6607143878936768,-2.799999952316284,-2.675797462463379,0.05000117839176389
208000,0.36875,86.77993774414062,94.66287231445312,-3.200000047683716,-2.54660701751709,-2.299999952316284,-2.33577036857605,0.05000090256364566
212000,0.3665,90.24720001220703,93.79186248779297,-2.5999999046325684,-2.501835346221924,-2.700000047683716,-2.613917827606201,0.05000069129907339
216000,0.36325,88.89112091064453,96.87213134765625,-3.4000000953674316,-2.4667110443115234,-2.200000047683716,-2.6538281440734863,0.050000529485550595
220000,0.3645,91.14593505859375,92.21171569824219,-2.9000000953674316,-2.7763609886169434,-3.0999999046325684,-2.8896496295928955,0.05000040554798796
224000,0.35925,86.37618255615234,94.33373260498047,-3.200000047683716,-2.7790567874908447,-2.5999999046325684,-2.9960548877716064,0.05000031062069654
228000,0.37175,94.5240707397461,96.48736572265625,-2.4000000953674316,-2.5684783458709717,-2.0,-2.662184238433838,0.05000023791319397
232000,0.36825,96.90897369384766,100.54334259033203,-1.5,-2.742419481277466,-1.5,-2.8687584400177,0.05000018222445733
236000,0.37875,89.1589126586914,96.51277160644531,-3.0,-2.788935661315918,-1.899999976158142,-2.448227882385254,0.05000013957087581
240000,0.373,87.49861145019531,92.96892547607422,-2.5999999046325684,-2.4728777408599854,-2.4000000953674316,-2.728909969329834,0.050000106901289
244000,0.36475,85.89734649658203,90.61767578125,-3.799999952316284,-2.666245937347412,-3.299999952316284,-2.984740972518921,0.05000008187872665
248000,0.3795,91.38510131835938,89.11796569824219,-2.0999999046325684,-2.6491951942443848,-3.200000047683716,-2.4128143787384033,0.05000006271323705
252000,0.37175,95.89816284179688,90.04458618164062,-1.899999976158142,-2.2892372608184814,-3.0999999046325684,-2.2157158851623535,0.050000048033845446
256000,0.36525,96.38392639160156,90.62675476074219,-1.399999976158142,-2.579540729522705,-2.799999952316284,-2.6356759071350098,0.05000003679048343
260000,0.3705,88.1447525024414,90.22949981689453,-2.799999952316284,-2.6751601696014404,-3.0,-2.5373215675354004,0.05000002817887384
264000,0.3665,89.92191314697266,98.46849822998047,-2.700000047683716,-2.7859983444213867,-1.7999999523162842,-2.74870228767395,0.05000002158299802
268000,0.3695,92.73625946044922,87.03247833251953,-1.899999976158142,-2.4411673545837402,-3.700000047683716,-2.361102342605591,0.05000001653102981
272000,0.37275,89.08991241455078,93.4368667602539,-2.9000000953674316,-2.567547559738159,-2.5,-2.50148344039917,0.050000012661584194
276000,0.381,84.1584701538086,92.33404541015625,-3.9000000953674316,-2.3884928226470947,-3.0,-2.2635576725006104,0.050000009697866145
