episodes,return,hinter_loss,guesser_loss,hinter_q,hinter_qhat,guesser_q,guesser_qhat,exploration
4000,0.365,93.78732299804688,95.310302734375,-2.5,-2.7067089080810547,-2.299999952316284,-2.859633684158325,0.7775834142685771
8000,0.3655,94.32596588134766,94.70159149169922,-2.299999952316284,-2.5136914253234863,-2.4000000953674316,-2.449587345123291,0.6072767555124091
12000,0.367,94.66845703125,91.1628646850586,-2.200000047683716,-2.692528486251831,-3.0999999046325684,-2.330458164215088,0.47683405935886203
16000,0.34925,89.04849243164062,92.17814636230469,-3.299999952316284,-3.1348726749420166,-2.799999952316284,-3.198740243911743,0.376924301842171
20000,0.37075,90.58687591552734,91.00459289550781,-3.4000000953674316,-2.1697633266448975,-3.0,-2.5362906455993652,0.3004005872809969
24000,0.36025,87.39472961425781,92.7036361694336,-3.9000000953674316,-2.4430572986602783,-2.700000047683716,-2.9867162704467773,0.24178890574166612
28000,0.36475,96.42790222167969,92.83265686035156,-1.899999976158142,-2.779496669769287,-2.4000000953674316,-2.5423707962036133,0.19689655789148858
32000,0.3615,92.54798126220703,87.00574493408203,-2.5999999046325684,-2.7677340507507324,-3.5999999046325684,-2.6394917964935303,0.16251223649731428
36000,0.36375,83.780029296875,91.80044555664062,-4.0,-2.900494337081909,-2.9000000953674316,-3.3580808639526367,0.1361763103460783
40000,0.352,89.9341812133789,88.8478775024414,-3.4000000953674316,-2.537184953689575,-3.4000000953674316,-2.731269598007202,0.11600487818976805
44000,0.36275,92.89909362792969,89.19705200195312,-2.5,-2.632560968399048,-3.200000047683716,-2.788167953491211,0.10055500667585009
48000,0.3565,95.43140411376953,90.57738494873047,-1.7000000476837158,-2.4659359455108643,-2.799999952316284,-3.091449499130249,0.08872151225924757
52000,0.37525,92.91323852539062,92.08467102050781,-2.299999952316284,-2.085710048675537,-2.9000000953674316,-2.0115673542022705,0.07965790354369187
56000,0.36075,92.74675750732422,90.3566665649414,-2.799999952316284,-2.490952968597412,-3.200000047683716,-2.370365858078003,0.07271582878059893
60000,0.3625,93.54402160644531,87.17200469970703,-2.700000047683716,-2.9503602981567383,-3.5999999046325684,-2.8608710765838623,0.0673986969925
64000,0.36975,97.68037414550781,98.25167846679688,-2.0,-2.4742014408111572,-1.600000023841858,-2.7439370155334473,0.06332615507717554
68000,0.3725,97.00084686279297,94.54210662841797,-1.7999999523162842,-2.0364997386932373,-2.299999952316284,-2.363626480102539,0.06020687981505069
72000,0.363,93.89094543457031,95.89529418945312,-2.700000047683716,-3.047419548034668,-2.200000047683716,-2.633687973022461,0.057817738496629446
76000,0.36875,94.78396606445312,93.4861831665039,-2.299999952316284,-2.5459134578704834,-2.5,-2.7192251682281494,0.05598782745649274
80000,0.35925,90.89369201660156,90.87983703613281,-2.799999952316284,-2.840242862701416,-3.0,-2.9007821083068848,0.054586246734165705
84000,0.36725,85.35087585449219,91.39505767822266,-3.700000047683716,-3.0277316570281982,-2.799999952316284,-2.9206840991973877,0.053512736340429835
88000,0.362,89.06400299072266,92.63862609863281,-3.4000000953674316,-2.690918207168579,-2.700000047683716,-2.7784361839294434,0.05269050430833854
92000,0.36975,95.0501937866211,90.27261352539062,-2.0999999046325684,-2.1410486698150635,-3.4000000953674316,-2.2437992095947266,0.05206073349424867
96000,0.36575,88.52156066894531,96.3650131225586,-2.4000000953674316,-2.544759511947632,-2.0,-2.328246831893921,0.05157837418106226
100000,0.368,96.1819076538086,93.08133697509766,-1.899999976158142,-2.466820240020752,-2.200000047683716,-2.8878350257873535,0.05120892151381868
104000,0.364,91.62384796142578,93.8971176147461,-2.5999999046325684,-2.020372152328491,-2.5999999046325684,-2.246037483215332,0.050925947246292416
108000,0.36375,89.75607299804688,91.20211029052734,-3.299999952316284,-2.579683780670166,-2.9000000953674316,-2.820683002471924,0.05070920923576608
112000,0.3685,90.19145202636719,95.5882339477539,-2.799999952316284,-2.5185561180114746,-2.0999999046325684,-2.4629077911376953,0.05054320345150317
116000,0.3725,93.4706802368164,93.64368438720703,-2.700000047683716,-3.129302978515625,-2.5999999046325684,-2.851505756378174,0.050416054917003766
120000,0.36825,91.3931655883789,95.18292236328125,-2.700000047683716,-2.271758556365967,-1.899999976158142,-2.665414810180664,0.050318668251249137
124000,0.38075,92.33470916748047,93.35171508789062,-2.0,-2.131481409072876,-2.5999999046325684,-2.037353754043579,0.05024407704416882
128000,0.3585,81.77555084228516,88.63203430175781,-4.599999904632568,-2.7853853702545166,-3.200000047683716,-2.920459508895874,0.05018694552487318
132000,0.386,90.04098510742188,93.67304992675781,-3.0,-2.1908204555511475,-2.5,-2.3029990196228027,0.050143186875230825
136000,0.362,95.95895385742188,98.79408264160156,-1.600000023841858,-2.3114473819732666,-1.5,-2.4372997283935547,0.05010967088542117
140000,0.35975,92.4407730102539,84.95767211914062,-2.799999952316284,-2.689671516418457,-4.300000190734863,-2.6112782955169678,0.05008400003903762
144000,0.3775,95.67692565917969,92.09686279296875,-2.0999999046325684,-2.2974767684936523,-2.9000000953674316,-2.424957513809204,0.05006433801032265
148000,0.37475,90.24281311035156,95.70246124267578,-2.5999999046325684,-2.616866111755371,-2.200000047683716,-2.7117624282836914,0.05004927830534012
152000,0.36425,90.30326843261719,95.34650421142578,-3.0,-3.1925721168518066,-2.4000000953674316,-3.049403667449951,0.05003774365052658
156000,0.365,93.20899200439453,91.89846801757812,-2.200000047683716,-2.550311326980591,-3.0999999046325684,-2.680778741836548,0.05002890893153164
160000,0.387,89.6665267944336,99.92048645019531,-3.200000047683716,-2.2161879539489746,-1.399999976158142,-2.6812174320220947,0.050022142169891926
164000,0.361,92.69371795654297,95.35385131835938,-2.799999952316284,-2.4433913230895996,-2.200000047683716,-2.7534537315368652,0.050016959315393114
168000,0.3645,94.62245178222656,94.86955261230469,-1.7999999523162842,-2.370459794998169,-2.4000000953674316,-2.6918137073516846,0.05001298962025885
172000,0.36825,97.0376205444336,95.8241195678711,-1.7999999523162842,-2.4834084510803223,-2.200000047683716,-2.7729218006134033,0.05000994911826085
176000,0.36625,92.43074035644531,85.5597152709961,-2.9000000953674316,-2.6821177005767822,-3.799999952316284,-2.825624465942383,0.05000762031161773
