episodes,return,hinter_loss,guesser_loss,hinter_q,hinter_qhat,guesser_q,guesser_qhat,exploration
4000,0.3615,91.02116394042969,85.35394287109375,-2.9000000953674316,-2.8171379566192627,-4.300000190734863,-2.5930066108703613,0.7775834142685771
8000,0.36925,93.11576080322266,95.43803405761719,-2.5,-2.4382007122039795,-2.200000047683716,-2.6880996227264404,0.6072767555124091
12000,0.3685,89.1079330444336,96.10530090332031,-3.200000047683716,-2.3591361045837402,-2.200000047683716,-2.3051798343658447,0.47683405935886203
16000,0.36625,90.06167602539062,92.93408203125,-3.200000047683716,-2.0388686656951904,-2.5,-2.4419782161712646,0.376924301842171
20000,0.377,87.56655883789062,92.4940414428711,-4.099999904632568,-2.2236528396606445,-3.0999999046325684,-2.309229850769043,0.3004005872809969
24000,0.35525,91.7399673461914,91.58963012695312,-3.0999999046325684,-3.0368845462799072,-2.9000000953674316,-2.671337366104126,0.24178890574166612
28000,0.37225,92.7474594116211,94.42505645751953,-2.5,-2.2070047855377197,-2.799999952316284,-2.2003629207611084,0.19689655789148858
32000,0.378,92.52897644042969,93.98228454589844,-2.5,-2.639224052429199,-2.799999952316284,-2.7854864597320557,0.16251223649731428
36000,0.35625,81.70127868652344,93.08810424804688,-3.799999952316284,-3.2474634647369385,-2.799999952316284,-3.0351979732513428,0.1361763103460783
40000,0.3765,89.74573516845703,95.72952270507812,-2.700000047683716,-2.4534952640533447,-2.200000047683716,-2.428879499435425,0.11600487818976805
44000,0.37175,94.46131896972656,95.71916198730469,-1.600000023841858,-2.8560073375701904,-2.0,-2.620337724685669,0.10055500667585009
48000,0.35925,93.98294830322266,93.98768615722656,-2.200000047683716,-2.338322639465332,-2.700000047683716,-2.2725305557250977,0.08872151225924757
52000,0.37475,89.60102844238281,94.83882904052734,-3.200000047683716,-1.808500051498413,-2.0999999046325684,-2.066239356994629,0.07965790354369187
56000,0.35725,94.88097381591797,88.81104278564453,-2.299999952316284,-2.7339916229248047,-3.4000000953674316,-2.785606622695923,0.07271582878059893
60000,0.38,90.83918762207031,98.9817123413086,-3.0,-2.294330358505249,-1.2999999523162842,-2.2198526859283447,0.0673986969925
64000,0.361,90.74177551269531,90.01193237304688,-3.0999999046325684,-2.8919501304626465,-3.0,-2.966104745864868,0.06332615507717554
68000,0.366,95.49840545654297,99.51575469970703,-2.5999999046325684,-2.467040777206421,-1.2999999523162842,-2.3822433948516846,0.06020687981505069
72000,0.375,87.9590072631836,94.82027435302734,-2.9000000953674316,-2.5084264278411865,-2.299999952316284,-2.307543992996216,0.057817738496629446
76000,0.35525,92.58708953857422,94.7386245727539,-3.299999952316284,-2.4738852977752686,-2.0999999046325684,-2.544278621673584,0.05598782745649274
80000,0.36925,94.82002258300781,91.95520782470703,-2.299999952316284,-2.479307174682617,-3.0,-2.2378580570220947,0.054586246734165705
84000,0.36875,90.87316131591797,93.82550048828125,-3.5,-2.50443959236145,-2.5999999046325684,-2.8800172805786133,0.053512736340429835
88000,0.35575,91.74638366699219,95.77456665039062,-2.9000000953674316,-2.8140151500701904,-2.0999999046325684,-2.8056282997131348,0.05269050430833854
92000,0.369,89.7763671875,96.03630065917969,-2.799999952316284,-2.654575824737549,-2.5,-2.6645264625549316,0.05206073349424867
96000,0.3605,88.24065399169922,94.16059875488281,-3.200000047683716,-2.789731025695801,-2.5999999046325684,-2.8564727306365967,0.05157837418106226
100000,0.37525,93.79351806640625,88.15091705322266,-2.799999952316284,-2.714996099472046,-3.5999999046325684,-2.521411657333374,0.05120892151381868
104000,0.35325,93.46839904785156,91.25692749023438,-2.5999999046325684,-2.7001383304595947,-2.9000000953674316,-2.614119291305542,0.050925947246292416
108000,0.36775,92.77690124511719,89.87619018554688,-1.899999976158142,-2.305454969406128,-3.299999952316284,-2.35227370262146,0.05070920923576608
112000,0.37,83.88092803955078,89.71517944335938,-3.5,-2.477081537246704,-3.299999952316284,-2.8736448287963867,0.05054320345150317
116000,0.368,97.49092102050781,92.8707046508789,-2.5,-2.7765254974365234,-2.700000047683716,-2.815181255340576,0.050416054917003766
120000,0.35525,88.41946411132812,91.9162826538086,-2.5999999046325684,-2.6990723609924316,-2.700000047683716,-2.863387107849121,0.050318668251249137
124000,0.39425,96.86861419677734,95.46493530273438,-1.0,-2.2482786178588867,-2.0,-2.037761926651001,0.05024407704416882
128000,0.369,94.34214782714844,91.00704956054688,-2.0999999046325684,-2.385096549987793,-3.0999999046325684,-2.3952813148498535,0.05018694552487318
132000,0.362,91.28475952148438,97.18411254882812,-2.0,-2.636753559112549,-2.0,-2.8857433795928955,0.050143186875230825
136000,0.3855,86.29444122314453,95.67855834960938,-3.5999999046325684,-2.1333260536193848,-2.200000047683716,-2.2544314861297607,0.05010967088542117
140000,0.37125,93.11831665039062,98.53073120117188,-2.200000047683716,-2.4193100929260254,-1.5,-2.230386734008789,0.05008400003903762
144000,0.361,88.72554016113281,94.6353988647461,-3.0999999046325684,-2.652237892150879,-2.299999952316284,-2.5865278244018555,0.05006433801032265
148000,0.37175,94.94129180908203,95.9333724975586,-2.299999952316284,-2.7198500633239746,-2.4000000953674316,-2.9235708713531494,0.05004927830534012
152000,0.38675,95.27433776855469,96.16515350341797,-1.7999999523162842,-2.259704351425171,-1.899999976158142,-2.488692045211792,0.05003774365052658
156000,0.36875,91.79505157470703,93.15271759033203,-3.0,-2.6480367183685303,-2.799999952316284,-2.8783416748046875,0.05002890893153164
160000,0.368,100.12830352783203,91.29495239257812,-1.5,-2.982043981552124,-3.200000047683716,-2.5054056644439697,0.050022142169891926
164000,0.35875,98.65115356445312,92.86283874511719,-1.7000000476837158,-2.778218984603882,-2.4000000953674316,-2.4640471935272217,0.050016959315393114
168000,0.362,101.8969955444336,90.12455749511719,-0.800000011920929,-2.1781225204467773,-3.5,-2.3292806148529053,0.05001298962025885
172000,0.367,90.14591979980469,88.6396713256836,-3.0999999046325684,-2.359713554382324,-3.5,-2.424819231033325,0.05000994911826085
176000,0.38125,95.0522689819336,95.10692596435547,-2.0999999046325684,-1.9175972938537598,-2.200000047683716,-2.0794408321380615,0.05000762031161773
180000,0.36975,88.7282485961914,92.89783477783203,-3.0999999046325684,-2.479267120361328,-2.4000000953674316,-2.499960422515869,0.050005836612615186
184000,0.36525,93.45419311523438,91.79900360107422,-2.5,-2.2790911197662354,-3.0999999046325684,-2.574612617492676,0.050004470427002026
188000,0.3795,88.88780212402344,93.99446105957031,-2.5999999046325684,-2.611776113510132,-2.5,-2.5769340991973877,0.050003424026725446
192000,0.3675,92.87022399902344,90.99950408935547,-2.299999952316284,-2.5525856018066406,-3.0,-2.695737600326538,0.05000262255910034
196000,0.36225,87.27539825439453,85.63082885742188,-4.0,-2.5873517990112305,-3.9000000953674316,-2.5499267578125,0.05000200869233398
200000,0.356,85.78815460205078,89.52066040039062,-3.799999952316284,-2.8431670665740967,-3.299999952316284,-2.5754239559173584,0.050001538514381653
204000,0.356,87.68583679199219,97.70240020751953,-3.299999952316284,-3.0966811180114746,-2.200000047683716,-3.1731295585632324,0.05000117839176389
