episodes,return,hinter_loss,guesser_loss,hinter_q,hinter_qhat,guesser_q,guesser_qhat,exploration
4000,0.359,93.43659973144531,91.24585723876953,-2.700000047683716,-2.753330945968628,-3.0,-2.5618436336517334,0.7775834142685771
8000,0.36975,87.41983032226562,96.97711944580078,-3.5,-2.4749045372009277,-1.899999976158142,-2.6377477645874023,0.6072767555124091
12000,0.36525,92.44943237304688,99.44447326660156,-3.0999999046325684,-2.623427391052246,-1.2000000476837158,-2.5689032077789307,0.47683405935886203
16000,0.37125,95.84522247314453,92.88219451904297,-2.0,-2.366701126098633,-2.5999999046325684,-2.3212153911590576,0.376924301842171
20000,0.363,95.71272277832031,101.11304473876953,-1.899999976158142,-2.3334619998931885,-1.399999976158142,-2.426675796508789,0.3004005872809969
24000,0.364,92.0967025756836,97.15723419189453,-2.799999952316284,-2.5182578563690186,-1.7000000476837158,-2.6190576553344727,0.24178890574166612
28000,0.3655,86.92201232910156,87.64968872070312,-3.200000047683716,-3.264841318130493,-3.4000000953674316,-3.065490961074829,0.19689655789148858
32000,0.36825,93.33182525634766,92.9944839477539,-2.200000047683716,-2.2212164402008057,-2.700000047683716,-2.7489266395568848,0.16251223649731428
36000,0.36525,90.02725219726562,94.19632720947266,-3.299999952316284,-2.6776375770568848,-2.799999952316284,-2.406609296798706,0.1361763103460783
40000,0.355,86.78996276855469,89.75403594970703,-3.5,-3.002682685852051,-3.4000000953674316,-2.6849939823150635,0.11600487818976805
44000,0.3675,88.721435546875,94.605712890625,-2.700000047683716,-2.335007905960083,-2.200000047683716,-2.3181700706481934,0.10055500667585009
48000,0.3795,88.15589904785156,94.63365936279297,-2.5,-2.867736577987671,-2.4000000953674316,-2.3310952186584473,0.08872151225924757
52000,0.36975,97.95782470703125,101.22681427001953,-1.7000000476837158,-2.6185379028320312,-1.100000023841858,-2.4435911178588867,0.07965790354369187
56000,0.36325,87.54891967773438,93.63951873779297,-3.0,-2.394695520401001,-2.5999999046325684,-2.3002519607543945,0.07271582878059893
60000,0.35325,83.39982604980469,92.24603271484375,-4.199999809265137,-3.028515100479126,-3.0,-3.0016283988952637,0.0673986969925
64000,0.37175,83.76493072509766,92.09590148925781,-3.5999999046325684,-2.682525396347046,-2.799999952316284,-2.911980390548706,0.06332615507717554
68000,0.3715,93.30943298339844,95.08296966552734,-2.299999952316284,-2.1992154121398926,-2.5999999046325684,-1.9112343788146973,0.06020687981505069
72000,0.37075,88.10748291015625,91.42948913574219,-3.0,-2.4903645515441895,-2.700000047683716,-2.6855099201202393,0.057817738496629446
76000,0.3755,89.74772644042969,88.47175598144531,-3.0,-2.7745015621185303,-3.5,-2.6316397190093994,0.05598782745649274
80000,0.3675,89.97565460205078,93.39978790283203,-1.7999999523162842,-2.456695556640625,-2.799999952316284,-2.5280673503875732,0.054586246734165705
84000,0.35225,96.62896728515625,95.80538940429688,-1.600000023841858,-2.7157645225524902,-2.0999999046325684,-2.974961519241333,0.053512736340429835
88000,0.35925,90.79268646240234,95.27772521972656,-2.5999999046325684,-2.731645107269287,-2.5,-2.551502227783203,0.05269050430833854
92000,0.3615,87.1615219116211,86.08995819091797,-3.700000047683716,-2.914900541305542,-3.9000000953674316,-2.709718704223633,0.05206073349424867
