episodes,return,hinter_loss,guesser_loss,hinter_q,hinter_qhat,guesser_q,guesser_qhat,exploration
4000,0.3685,93.27515411376953,97.23526000976562,-2.5999999046325684,-2.464877128601074,-1.7000000476837158,-2.002020835876465,0.7775834142685771
8000,0.36325,89.90469360351562,89.732421875,-3.200000047683716,-2.802705764770508,-3.0999999046325684,-2.6886608600616455,0.6072767555124091
12000,0.3675,93.85089874267578,88.27876281738281,-2.5,-2.6810262203216553,-3.5999999046325684,-2.381227731704712,0.47683405935886203
16000,0.3715,93.35861206054688,100.33280181884766,-2.4000000953674316,-2.368257761001587,-1.100000023841858,-2.2774839401245117,0.376924301842171
20000,0.3505,89.0166015625,90.76176452636719,-3.5999999046325684,-2.4349477291107178,-3.200000047683716,-2.5685248374938965,0.3004005872809969
24000,0.35325,90.83383178710938,91.4777603149414,-2.5999999046325684,-2.694894790649414,-2.9000000953674316,-3.0035648345947266,0.24178890574166612
28000,0.35875,99.4066390991211,93.60474395751953,-1.399999976158142,-2.2729668617248535,-2.5,-2.44722318649292,0.19689655789148858
32000,0.365,87.46492004394531,92.1213150024414,-3.5999999046325684,-2.430828809738159,-2.799999952316284,-2.1744840145111084,0.16251223649731428
36000,0.38125,97.32213592529297,86.52616882324219,-2.0,-2.8589038848876953,-3.700000047683716,-2.771144151687622,0.1361763103460783
40000,0.3735,89.11848449707031,96.7385482788086,-3.4000000953674316,-2.2763359546661377,-1.7999999523162842,-2.3343396186828613,0.11600487818976805
44000,0.36425,97.13960266113281,90.34535217285156,-1.600000023841858,-2.314695119857788,-3.299999952316284,-2.1987831592559814,0.10055500667585009
48000,0.36375,91.58814239501953,95.10050964355469,-3.0,-2.6530683040618896,-2.200000047683716,-2.414828300476074,0.08872151225924757
52000,0.36625,95.2536392211914,98.4767837524414,-2.0999999046325684,-2.590327262878418,-1.5,-2.3409438133239746,0.07965790354369187
56000,0.367,93.96980285644531,92.80144500732422,-2.299999952316284,-2.497281551361084,-2.5,-2.510505199432373,0.07271582878059893
60000,0.3625,94.05632781982422,94.03236389160156,-2.700000047683716,-2.7164831161499023,-2.299999952316284,-2.6808741092681885,0.0673986969925
64000,0.36925,89.97034454345703,91.57390594482422,-2.9000000953674316,-2.4676597118377686,-2.9000000953674316,-2.411269187927246,0.06332615507717554
68000,0.37175,91.67937469482422,94.20421600341797,-2.0999999046325684,-2.4268338680267334,-2.200000047683716,-2.4354233741760254,0.06020687981505069
72000,0.37075,91.56737518310547,94.32366943359375,-2.4000000953674316,-2.3580007553100586,-2.200000047683716,-2.375676155090332,0.057817738496629446
76000,0.3575,91.0775375366211,90.63469696044922,-2.700000047683716,-2.562300205230713,-3.5,-2.43440318107605,0.05598782745649274
80000,0.36825,88.9289779663086,88.87224578857422,-3.0,-2.9104197025299072,-3.5,-3.074125289916992,0.054586246734165705
84000,0.35475,87.66108703613281,85.32215881347656,-3.5,-3.499948024749756,-4.0,-3.374356746673584,0.053512736340429835
88000,0.3625,89.29473876953125,98.57109069824219,-2.5,-2.679356575012207,-1.5,-2.9194445610046387,0.05269050430833854
92000,0.378,96.58993530273438,102.18495178222656,-1.7999999523162842,-2.5649030208587646,-0.800000011920929,-2.3158702850341797,0.05206073349424867
96000,0.3725,88.40116882324219,97.27263641357422,-3.5,-2.476973056793213,-1.600000023841858,-2.459697723388672,0.05157837418106226
100000,0.37375,98.05583190917969,91.89936828613281,-1.7000000476837158,-2.3644635677337646,-2.799999952316284,-2.1796212196350098,0.05120892151381868
104000,0.37075,85.20281219482422,92.58511352539062,-3.5999999046325684,-2.439771890640259,-2.9000000953674316,-2.5620129108428955,0.050925947246292416
108000,0.37025,95.84232330322266,87.73928833007812,-2.0,-2.5856833457946777,-3.700000047683716,-2.632869005203247,0.05070920923576608
112000,0.36375,88.52925109863281,92.07868194580078,-3.0,-2.7643260955810547,-2.700000047683716,-2.5794949531555176,0.05054320345150317
116000,0.36675,89.98082733154297,99.46166229248047,-2.799999952316284,-2.4522523880004883,-1.2000000476837158,-2.619499921798706,0.050416054917003766
120000,0.37625,95.40634155273438,96.03929901123047,-2.0,-2.4428908824920654,-2.200000047683716,-2.361402988433838,0.050318668251249137
124000,0.36175,91.38357543945312,93.11264038085938,-2.700000047683716,-2.72409725189209,-2.799999952316284,-2.271341323852539,0.05024407704416882
128000,0.3635,90.70133972167969,96.89556884765625,-2.799999952316284,-2.353950262069702,-1.600000023841858,-2.5053229331970215,0.05018694552487318
132000,0.3515,90.87023162841797,89.29533386230469,-3.0999999046325684,-2.552605390548706,-3.5999999046325684,-2.6175100803375244,0.050143186875230825
136000,0.36975,94.40534210205078,92.1669692993164,-2.0999999046325684,-2.844968318939209,-2.5999999046325684,-2.7675867080688477,0.05010967088542117
140000,0.36775,93.5661392211914,89.23558807373047,-2.9000000953674316,-2.852097749710083,-3.5,-2.958359479904175,0.05008400003903762
144000,0.367,86.75902557373047,93.37792205810547,-3.700000047683716,-2.3355541229248047,-2.5,-2.4487764835357666,0.05006433801032265
148000,0.36275,86.45288848876953,87.98272705078125,-3.700000047683716,-2.6334664821624756,-3.5999999046325684,-2.449733018875122,0.05004927830534012
152000,0.36575,100.35830688476562,87.14498901367188,-1.399999976158142,-2.4008002281188965,-4.0,-2.33027720451355,0.05003774365052658
156000,0.3775,96.411865234375,101.09363555908203,-2.0,-2.239032506942749,-1.0,-2.3485898971557617,0.05002890893153164
160000,0.36575,87.23587799072266,92.70870971679688,-3.9000000953674316,-2.7157721519470215,-2.700000047683716,-2.9322681427001953,0.050022142169891926
164000,0.3745,94.56997680664062,88.19563293457031,-2.4000000953674316,-2.8587942123413086,-3.299999952316284,-2.7466812133789062,0.050016959315393114
168000,0.35675,91.64627075195312,85.0518569946289,-3.299999952316284,-2.568805456161499,-3.9000000953674316,-2.555018901824951,0.05001298962025885
172000,0.346,90.97038269042969,91.60736083984375,-3.200000047683716,-2.754368543624878,-2.9000000953674316,-2.963078260421753,0.05000994911826085
176000,0.3615,91.95556640625,91.47906494140625,-3.0999999046325684,-2.259782552719116,-3.0,-2.6196224689483643,0.05000762031161773
180000,0.366,96.9691390991211,96.09150695800781,-1.2999999523162842,-2.3321661949157715,-2.0,-2.533766269683838,0.050005836612615186
184000,0.36975,93.15289306640625,91.63433837890625,-2.299999952316284,-3.2604875564575195,-3.0999999046325684,-2.983959913253784,0.050004470427002026
188000,0.365,91.67683410644531,89.0328598022461,-3.0999999046325684,-2.7697689533233643,-3.299999952316284,-2.6754560470581055,0.050003424026725446
192000,0.34675,93.38993835449219,92.52748107910156,-2.700000047683716,-3.2625131607055664,-2.9000000953674316,-2.8928942680358887,0.05000262255910034
196000,0.357,91.97252655029297,87.5528335571289,-2.9000000953674316,-3.139634609222412,-3.5999999046325684,-3.0427074432373047,0.05000200869233398
200000,0.3715,87.6841812133789,97.08059692382812,-3.4000000953674316,-2.4770498275756836,-1.899999976158142,-2.802110195159912,0.050001538514381653
204000,0.37275,95.07978820800781,95.37720489501953,-2.0,-2.4393346309661865,-2.200000047683716,-2.2791330814361572,0.05000117839176389
208000,0.37175,89.67385864257812,97.43726348876953,-2.200000047683716,-2.251899003982544,-1.7999999523162842,-2.478165626525879,0.05000090256364566
