episodes,return,hinter_loss,guesser_loss,hinter_q,hinter_qhat,guesser_q,guesser_qhat,exploration
2000,0.4295,97.35697937011719,98.20144653320312,-2.299999952316284,-0.8850629925727844,-1.2999999523162842,-0.7574558258056641,0.8813592272948078
4000,0.455,97.2829818725586,98.04732513427734,-1.899999976158142,-1.063984990119934,-1.5,-1.0482239723205566,0.7775834142685771
6000,0.4445,98.67777252197266,101.69416046142578,-1.2000000476837158,-1.1482782363891602,-0.10000000149011612,-1.1120719909667969,0.6867615915460303
8000,0.419,96.41974639892578,95.45156860351562,-1.899999976158142,-1.3294583559036255,-2.4000000953674316,-1.1871514320373535,0.6072767555124091
10000,0.4455,96.65555572509766,99.24238586425781,-1.600000023841858,-1.121720314025879,-0.8999999761581421,-1.187546968460083,0.5377137477472802
12000,0.438,97.0238265991211,98.85746765136719,-1.399999976158142,-1.0078446865081787,-1.100000023841858,-1.0872235298156738,0.47683405935886203
14000,0.431,97.08833312988281,99.36756896972656,-2.0999999046325684,-0.9733769297599792,-1.2999999523162842,-1.1779667139053345,0.42355378040966973
16000,0.462,101.70181274414062,97.46769714355469,0.30000001192092896,-1.0750882625579834,-1.600000023841858,-1.0089936256408691,0.376924301842171
18000,0.4395,97.6691665649414,98.15699005126953,-0.800000011920929,-0.8497685194015503,-1.7000000476837158,-1.0647879838943481,0.3361154263190112
20000,0.46,100.05880737304688,99.30293273925781,-0.4000000059604645,-0.9907283186912537,-0.699999988079071,-0.9228248596191406,0.3004005872809969
22000,0.452,95.41902160644531,98.08454895019531,-2.299999952316284,-0.7703790068626404,-2.0999999046325684,-0.615155041217804,0.2691439130610133
24000,0.4575,96.30260467529297,98.52740478515625,-1.2000000476837158,-0.8842397928237915,-0.6000000238418579,-0.746246337890625,0.24178890574166612
26000,0.455,96.88275146484375,100.2030258178711,-0.8999999761581421,-0.9510676860809326,-0.30000001192092896,-1.2457517385482788,0.21784853319354897
28000,0.458,98.14828491210938,97.41506958007812,-0.6000000238418579,-0.819027304649353,-0.5,-0.7430924773216248,0.19689655789148858
30000,0.469,98.61495971679688,96.82752227783203,-0.6000000238418579,-0.46694454550743103,-1.399999976158142,-0.495677649974823,0.17855994812587855
32000,0.4555,98.28472900390625,97.08927917480469,-0.699999988079071,-0.4684414565563202,-1.100000023841858,-1.1125991344451904,0.16251223649731428
34000,0.4485,96.64180755615234,96.82585144042969,-1.100000023841858,-0.8113966584205627,-1.399999976158142,-0.9185979962348938,0.14846770744829957
36000,0.4675,97.35391235351562,100.67817687988281,-0.699999988079071,-0.7605022192001343,0.0,-0.6678133606910706,0.1361763103460783
38000,0.452,95.11384582519531,100.27194213867188,-0.30000001192092896,-0.7540652751922607,-0.6000000238418579,-0.9368264675140381,0.12541920754845245
40000,0.46,95.22388458251953,97.37574005126953,-0.8999999761581421,-0.6888329982757568,-1.0,-0.7915467023849487,0.11600487818976805
42000,0.452,98.53315734863281,97.33000183105469,0.10000000149011612,-1.0634536743164062,-1.600000023841858,-0.8832827806472778,0.10776570831836477
44000,0.483,98.51214599609375,100.33910369873047,-1.2000000476837158,-0.05525965616106987,0.6000000238418579,-0.4019116163253784,0.10055500667585009
46000,0.4765,99.21151733398438,97.29736328125,-1.399999976158142,-0.2574959099292755,-1.100000023841858,-0.12811461091041565,0.09424439298674207
48000,0.464,92.21410369873047,98.44554901123047,-0.4000000059604645,-0.5927533507347107,-0.5,-0.440094530582428,0.08872151225924757
50000,0.487,96.15621948242188,98.41622924804688,0.6000000238418579,0.21804086863994598,-0.699999988079071,-0.24432215094566345,0.08388803440228787
52000,0.4885,94.83451843261719,98.50635528564453,-0.699999988079071,-0.4178657531738281,0.699999988079071,-0.373770534992218,0.07965790354369187
54000,0.494,93.2286605834961,97.05484008789062,0.4000000059604645,0.2174522429704666,0.30000001192092896,-0.2411302924156189,0.07595580588018841
56000,0.486,95.77143859863281,96.75257873535156,-0.800000011920929,0.08848075568675995,-1.0,-0.20104780793190002,0.07271582878059893
58000,0.4675,87.14785766601562,94.34984588623047,-0.4000000059604645,-0.36686697602272034,-1.399999976158142,-0.5410768389701843,0.06988028726872808
60000,0.4865,92.9261703491211,98.5036849975586,0.0,-0.020489631220698357,-0.5,-0.3410373330116272,0.0673986969925
62000,0.4805,91.82977294921875,98.5078353881836,-1.600000023841858,-0.34173405170440674,-0.699999988079071,-0.20241230726242065,0.06522687539394878
64000,0.474,92.57220458984375,95.3462905883789,0.0,-0.40001675486564636,-0.20000000298023224,-0.06751646101474762,0.06332615507717554
66000,0.485,93.22959899902344,94.07881927490234,-0.4000000059604645,-0.3483145534992218,-0.8999999761581421,-0.3798317313194275,0.061662695368972745
68000,0.4875,92.27599334716797,93.83474731445312,-0.30000001192092896,-0.06520314514636993,-1.100000023841858,0.08642919361591339,0.06020687981505069
70000,0.483,85.71466827392578,98.04845428466797,-0.30000001192092896,-0.08105134963989258,0.10000000149011612,-0.18982253968715668,0.05893278888481038
72000,0.485,90.41848754882812,96.47807312011719,0.4000000059604645,0.22357144951820374,-1.100000023841858,-0.3978179693222046,0.057817738496629446
74000,0.483,88.42366027832031,93.24469757080078,-1.399999976158142,-0.5275006890296936,-1.0,-0.35304778814315796,0.05684187614750502
76000,0.5055,89.31490325927734,96.24420166015625,-0.6000000238418579,-0.1157909408211708,0.30000001192092896,0.17424312233924866,0.05598782745649274
78000,0.478,91.5081558227539,98.21529388427734,-1.2999999523162842,0.04897937923669815,-0.10000000149011612,-0.15265177190303802,0.05524038682895525
80000,0.509,91.11380767822266,92.19025421142578,-0.30000001192092896,0.20647335052490234,-0.6000000238418579,0.13225482404232025,0.054586246734165705
82000,0.5055,87.33596801757812,95.14285278320312,0.8999999761581421,0.3995947241783142,1.2999999523162842,0.24651126563549042,0.05401376077628968
84000,0.4985,87.26207733154297,90.05378723144531,-0.6000000238418579,-0.2861093282699585,-0.20000000298023224,0.38147595524787903,0.053512736340429835
86000,0.5125,87.77225494384766,95.63480377197266,0.699999988079071,0.2987658977508545,0.0,-0.13214588165283203,0.05307425312197676
88000,0.4965,87.84109497070312,89.71228790283203,-0.699999988079071,-0.21466873586177826,0.800000011920929,0.14617043733596802,0.05269050430833854
90000,0.502,82.73472595214844,89.72620391845703,2.0,0.6538063287734985,1.7000000476837158,0.44453543424606323,0.05235465758542799
92000,0.5355,86.1167221069336,93.93236541748047,0.8999999761581421,0.6729142069816589,-0.30000001192092896,0.6444795727729797,0.05206073349424867
94000,0.515,90.51849365234375,93.24752807617188,-0.699999988079071,0.20655448734760284,-0.5,0.14584118127822876,0.051803498971824576
96000,0.519,83.5277328491211,91.02552795410156,1.600000023841858,0.3553067147731781,0.6000000238418579,0.4031793177127838,0.05157837418106226
98000,0.508,88.54027557373047,93.01590728759766,0.30000001192092896,-0.04113718122243881,-0.30000001192092896,0.01978340558707714,0.05138135097073195
100000,0.5245,86.35429382324219,90.70182800292969,0.10000000149011612,0.24136309325695038,0.6000000238418579,0.3314521908760071,0.05120892151381868
102000,0.5355,90.17045593261719,96.2596206665039,0.5,0.4032708406448364,1.100000023841858,0.4344886839389801,0.05105801585371112
104000,0.533,82.3162612915039,90.259033203125,0.30000001192092896,0.611343502998352,0.8999999761581421,0.6418691873550415,0.050925947246292416
106000,0.541,85.20405578613281,89.61773681640625,-0.30000001192092896,0.38255101442337036,1.0,0.8302502632141113,0.050810364324796416
108000,0.5275,94.3353042602539,88.29403686523438,1.0,-0.16953082382678986,0.5,0.39873045682907104,0.05070920923576608
110000,0.5435,85.54219055175781,93.67180633544922,1.2000000476837158,0.7971333861351013,2.700000047683716,0.5972331762313843,0.05062068100076131
112000,0.547,88.47694396972656,95.1299057006836,0.8999999761581421,0.3769383728504181,0.800000011920929,0.9284471273422241,0.05054320345150317
114000,0.5435,87.4034194946289,91.65653991699219,0.800000011920929,1.0619019269943237,0.8999999761581421,1.2233275175094604,0.05047539716756762
116000,0.5385,85.68933868408203,89.98324584960938,1.399999976158142,0.9474331736564636,1.5,0.7605599761009216,0.050416054917003766
118000,0.553,91.4443588256836,85.09733581542969,0.10000000149011612,0.9790526628494263,1.100000023841858,1.5433611869812012,0.05036412016261833
120000,0.538,89.32575988769531,89.98246765136719,1.399999976158142,0.44421082735061646,0.30000001192092896,0.9093669652938843,0.050318668251249137
122000,0.557,85.018798828125,86.20925903320312,0.30000001192092896,0.766753613948822,0.5,1.152010202407837,0.05027888995111932
124000,0.5555,90.21853637695312,90.3786849975586,0.4000000059604645,1.305688500404358,2.0999999046325684,1.5780539512634277,0.05024407704416882
126000,0.5525,84.59567260742188,88.63095092773438,0.800000011920929,1.2579373121261597,0.6000000238418579,1.2246670722961426,0.05021360971684742
128000,0.564,87.52998352050781,90.75759887695312,2.0,0.8384194374084473,0.8999999761581421,1.1970875263214111,0.05018694552487318
130000,0.574,84.83917999267578,86.14628601074219,1.5,1.0433546304702759,1.899999976158142,1.3319145441055298,0.05016360973548349
132000,0.5835,95.37310791015625,92.21728515625,0.6000000238418579,1.7752366065979004,1.2000000476837158,1.635282039642334,0.050143186875230825
134000,0.5735,83.85610961914062,88.1456069946289,2.0,1.2704188823699951,1.100000023841858,1.5396347045898438,0.05012531333283915
136000,0.603,82.49114990234375,87.45771789550781,2.5,2.0654730796813965,1.7000000476837158,1.8701597452163696,0.05010967088542117
138000,0.561,87.73568725585938,82.99829864501953,2.0,0.9051810503005981,1.7000000476837158,1.4523611068725586,0.05009598103279642
140000,0.5945,87.74222564697266,90.34259033203125,2.200000047683716,1.499861717224121,1.100000023841858,2.306069850921631,0.05008400003903762
142000,0.5825,90.05770874023438,93.73750305175781,1.399999976158142,1.3796554803848267,1.2000000476837158,1.1974267959594727,0.05007351459296429
144000,0.6115,78.57305145263672,86.74285125732422,4.199999809265137,2.143477439880371,2.200000047683716,2.2895259857177734,0.05006433801032265
146000,0.604,83.40335083007812,85.98284912109375,2.0,1.8346872329711914,1.7999999523162842,1.6795088052749634,0.050056306910034695
148000,0.5885,87.39652252197266,82.25292205810547,0.5,1.8360793590545654,2.299999952316284,2.127795457839966,0.05004927830534012
150000,0.5895,82.07304382324219,84.68309783935547,2.9000000953674316,2.18766450881958,1.399999976158142,1.9012818336486816,0.05004312705804132
152000,0.594,87.88434600830078,86.49388885498047,1.600000023841858,1.161128044128418,1.7000000476837158,1.6935396194458008,0.05003774365052658
154000,0.585,80.93051147460938,84.68632507324219,2.5999999046325684,1.8278926610946655,1.7999999523162842,1.8133904933929443,0.05003303223590415
156000,0.596,84.67752075195312,86.55448150634766,2.299999952316284,1.6518768072128296,1.899999976158142,1.7692753076553345,0.05002890893153164
158000,0.603,86.38883972167969,84.07649230957031,2.9000000953674316,2.0377957820892334,1.600000023841858,1.5204463005065918,0.05002530032555853
160000,0.611,81.62297821044922,83.9698257446289,3.200000047683716,2.365908145904541,3.0999999046325684,2.3680713176727295,0.050022142169891926
162000,0.6,80.38249969482422,78.78968048095703,2.9000000953674316,1.5181820392608643,1.7999999523162842,1.6219819784164429,0.05001937823631513
164000,0.5945,76.44957733154297,85.06769561767578,3.299999952316284,2.0856246948242188,2.5999999046325684,1.6950726509094238,0.050016959315393114
166000,0.604,75.6662368774414,87.30035400390625,2.799999952316284,2.1846511363983154,1.7999999523162842,1.94893217086792,0.05001484234034129
168000,0.6175,75.9099349975586,87.57958984375,2.9000000953674316,2.0414083003997803,2.200000047683716,1.7424525022506714,0.05001298962025885
170000,0.597,80.33150482177734,69.9289321899414,2.5999999046325684,2.0492937564849854,2.9000000953674316,1.7402502298355103,0.050011368169075046
172000,0.5965,86.18460845947266,90.98495483398438,1.399999976158142,1.3145712614059448,1.600000023841858,1.7045636177062988,0.05000994911826085
174000,0.585,79.46206665039062,81.6504135131836,2.700000047683716,1.5924752950668335,2.299999952316284,1.9764032363891602,0.050008707202849896
176000,0.585,79.41567993164062,85.70191192626953,3.4000000953674316,1.5243667364120483,2.4000000953674316,1.2213362455368042,0.05000762031161773
178000,0.592,80.95613098144531,78.92007446289062,2.9000000953674316,1.1571131944656372,1.7999999523162842,1.6319035291671753,0.05000666909341063
180000,0.6065,83.029052734375,77.94298553466797,2.0999999046325684,1.9300533533096313,2.0999999046325684,2.120483636856079,0.050005836612615186
182000,0.604,82.01687622070312,84.1067886352539,2.0,1.3770849704742432,2.200000047683716,2.7122511863708496,0.0500051080476344
184000,0.6135,79.28964233398438,85.04979705810547,1.7999999523162842,1.9181486368179321,1.399999976158142,1.8791743516921997,0.050004470427002026
186000,0.5975,78.04750061035156,82.35613250732422,2.299999952316284,2.402796745300293,1.100000023841858,2.099543809890747,0.050003912398436906
188000,0.6025,78.81961059570312,81.24674987792969,2.4000000953674316,2.0577263832092285,2.9000000953674316,1.5746006965637207,0.050003424026725446
190000,0.5985,85.76315307617188,84.81990051269531,1.2999999523162842,2.012831687927246,1.2000000476837158,1.4274803400039673,0.0500029966168338
192000,0.6035,83.1661148071289,81.35586547851562,1.899999976158142,2.2655386924743652,2.0,1.9132212400436401,0.05000262255910034
