episodes,return,hinter_loss,guesser_loss,hinter_q,hinter_qhat,guesser_q,guesser_qhat,exploration
2000,0.4475,97.54198455810547,99.62521362304688,-1.7999999523162842,-0.7136480212211609,-0.8999999761581421,-0.7536947727203369,0.8813592272948078
4000,0.4695,100.13780212402344,99.10018920898438,-0.5,-0.6627500653266907,-1.0,-0.7150924205780029,0.7775834142685771
6000,0.449,97.3632583618164,97.93777465820312,-2.0,-0.870389461517334,-1.5,-0.6316596269607544,0.6867615915460303
8000,0.442,97.22734069824219,96.6630859375,-1.600000023841858,-1.0038057565689087,-2.0999999046325684,-0.8793492317199707,0.6072767555124091
10000,0.4495,99.09476470947266,99.4482192993164,-0.8999999761581421,-1.2604597806930542,-0.6000000238418579,-1.214351773262024,0.5377137477472802
12000,0.4515,99.74832153320312,98.73584747314453,-0.6000000238418579,-0.9340356588363647,-1.2000000476837158,-0.8935609459877014,0.47683405935886203
14000,0.4385,100.5486068725586,98.40705108642578,-0.10000000149011612,-1.1161750555038452,-0.699999988079071,-0.8985116481781006,0.42355378040966973
16000,0.4545,99.37487030029297,97.26814270019531,-0.699999988079071,-0.8551498651504517,-1.899999976158142,-0.9149080514907837,0.376924301842171
18000,0.4645,101.10121154785156,99.39732360839844,0.0,-0.9297565221786499,-0.699999988079071,-0.9620586633682251,0.3361154263190112
20000,0.4305,97.87255859375,95.66867065429688,-1.2999999523162842,-1.023529291152954,-2.4000000953674316,-0.9161197543144226,0.3004005872809969
22000,0.4535,99.9559555053711,98.34800720214844,0.20000000298023224,-1.0036158561706543,-1.0,-1.0588887929916382,0.2691439130610133
24000,0.462,100.15367889404297,98.91954803466797,0.10000000149011612,-0.5214261412620544,-0.699999988079071,-0.6040931940078735,0.24178890574166612
26000,0.463,97.67386627197266,98.86450958251953,-0.10000000149011612,-0.6962417364120483,-0.699999988079071,-0.5747196674346924,0.21784853319354897
28000,0.444,99.88355255126953,97.58296966552734,-0.10000000149011612,-0.9722750782966614,-1.0,-0.9087404608726501,0.19689655789148858
30000,0.4555,98.34534454345703,98.77214813232422,-0.5,-0.7029146552085876,-0.8999999761581421,-0.908278226852417,0.17855994812587855
32000,0.448,96.6463851928711,98.35494232177734,-1.2999999523162842,-0.6337637305259705,-0.800000011920929,-0.7746827006340027,0.16251223649731428
