episodes,return,hinter_loss,guesser_loss,hinter_q,hinter_qhat,guesser_q,guesser_qhat,exploration
2000,0.4515,100.259765625,98.8293228149414,-0.20000000298023224,-0.6015395522117615,-1.2000000476837158,-0.6893447637557983,0.8813592272948078
4000,0.435,98.2778549194336,97.88773345947266,-1.399999976158142,-1.238828182220459,-1.2999999523162842,-1.4193005561828613,0.7775834142685771
6000,0.4445,99.20974731445312,100.23272705078125,-1.0,-1.257093071937561,0.20000000298023224,-0.908903181552887,0.6867615915460303
8000,0.436,98.30722045898438,98.23151397705078,-1.2000000476837158,-0.8851723670959473,-1.600000023841858,-1.1471531391143799,0.6072767555124091
10000,0.4655,99.0681381225586,101.1865234375,-1.399999976158142,-0.5659568309783936,0.0,-0.5023798942565918,0.5377137477472802
12000,0.4535,98.15884399414062,98.68785095214844,-0.800000011920929,-0.9030892252922058,-1.100000023841858,-0.841530442237854,0.47683405935886203
14000,0.44,94.446533203125,97.46994018554688,-2.9000000953674316,-0.9740933179855347,-1.2000000476837158,-1.050734519958496,0.42355378040966973
16000,0.4535,99.871826171875,97.86257934570312,-0.6000000238418579,-1.1156672239303589,-0.8999999761581421,-1.2146186828613281,0.376924301842171
18000,0.445,99.37008666992188,98.82115173339844,-0.5,-0.8914539217948914,-1.0,-1.0175848007202148,0.3361154263190112
20000,0.4635,96.97069549560547,100.12552642822266,-1.399999976158142,-0.8874141573905945,1.100000023841858,-0.6928828358650208,0.3004005872809969
22000,0.444,95.10502624511719,100.9287338256836,-2.0999999046325684,-0.9750922322273254,-0.6000000238418579,-1.5132577419281006,0.2691439130610133
24000,0.451,95.55615997314453,98.1036605834961,-1.899999976158142,-1.0515942573547363,-1.100000023841858,-0.7669147253036499,0.24178890574166612
26000,0.4585,94.11775207519531,99.57849884033203,-1.5,-1.0859853029251099,-0.30000001192092896,-0.6306463479995728,0.21784853319354897
28000,0.4595,93.32952880859375,98.90775299072266,-0.800000011920929,-0.6211734414100647,-1.100000023841858,-0.39277422428131104,0.19689655789148858
30000,0.4485,98.28697204589844,99.24273681640625,-0.5,-0.903725802898407,-0.6000000238418579,-0.9277418255805969,0.17855994812587855
32000,0.4505,98.49581909179688,97.54418182373047,0.4000000059604645,-0.8291585445404053,-1.0,-1.125717282295227,0.16251223649731428
34000,0.467,93.00093078613281,98.09638977050781,0.0,-0.7278643846511841,0.30000001192092896,-0.4120696187019348,0.14846770744829957
36000,0.4815,93.33587646484375,99.8829574584961,-1.2999999523162842,-0.408561110496521,1.7999999523162842,-0.5479223132133484,0.1361763103460783
38000,0.454,89.28334045410156,99.16095733642578,-0.699999988079071,-0.581464409828186,-0.800000011920929,-0.4250972867012024,0.12541920754845245
40000,0.453,93.23806762695312,98.54138946533203,-0.8999999761581421,-0.6578454375267029,-0.6000000238418579,-1.0189964771270752,0.11600487818976805
42000,0.4605,96.33782958984375,99.63208770751953,-0.6000000238418579,-0.8603070974349976,0.0,-0.8374515771865845,0.10776570831836477
44000,0.4635,84.71285247802734,98.60652160644531,-1.2000000476837158,-0.6405090093612671,0.5,-0.6151546239852905,0.10055500667585009
46000,0.4775,92.58934783935547,93.75614166259766,-0.20000000298023224,-0.09034112840890884,-0.5,-0.45331519842147827,0.09424439298674207
48000,0.482,94.90186309814453,94.92969512939453,0.10000000149011612,-0.03999512270092964,-0.5,-0.34326785802841187,0.08872151225924757
50000,0.4945,89.2911148071289,97.23336791992188,-0.8999999761581421,-0.33250001072883606,0.4000000059604645,-0.09072084724903107,0.08388803440228787
52000,0.4825,95.04412841796875,97.08985137939453,-0.6000000238418579,-0.028904281556606293,-1.399999976158142,0.053946301341056824,0.07965790354369187
54000,0.4835,92.51762390136719,92.93147277832031,-0.20000000298023224,-0.22955617308616638,-1.100000023841858,-0.40126267075538635,0.07595580588018841
56000,0.4825,94.95675659179688,95.55183410644531,-0.30000001192092896,-0.3018140494823456,-0.10000000149011612,0.18464235961437225,0.07271582878059893
58000,0.479,86.83021545410156,96.49655151367188,-0.699999988079071,-0.1880013346672058,0.10000000149011612,-0.5065417885780334,0.06988028726872808
60000,0.4735,90.99369049072266,93.84811401367188,-0.5,-0.5788809061050415,-0.4000000059604645,-0.4460122585296631,0.0673986969925
62000,0.4915,88.42138671875,93.43008422851562,0.699999988079071,-0.037781327962875366,-2.0999999046325684,-0.6004464626312256,0.06522687539394878
64000,0.509,87.07235717773438,96.95231628417969,0.800000011920929,-0.08775648474693298,-1.2000000476837158,-0.08752063661813736,0.06332615507717554
66000,0.5025,82.50865936279297,91.20195007324219,-1.0,0.0410163514316082,-0.20000000298023224,0.2756918668746948,0.061662695368972745
68000,0.4985,87.4626235961914,94.2226333618164,-0.10000000149011612,0.16966654360294342,0.10000000149011612,-0.2137351632118225,0.06020687981505069
70000,0.4825,90.14665222167969,95.81951141357422,-0.30000001192092896,-0.8371992707252502,-0.10000000149011612,-0.11639301478862762,0.05893278888481038
72000,0.5125,85.50147247314453,93.439453125,1.0,0.26167142391204834,1.0,0.12025029957294464,0.057817738496629446
74000,0.4985,88.88169860839844,99.09426879882812,-1.0,-0.2498108297586441,-0.10000000149011612,0.17938068509101868,0.05684187614750502
76000,0.489,81.04289245605469,92.06245422363281,-0.699999988079071,-0.05273120105266571,-1.2000000476837158,-0.048770446330308914,0.05598782745649274
78000,0.506,82.88383483886719,95.1302261352539,-0.4000000059604645,0.3005737364292145,-0.4000000059604645,0.2618519961833954,0.05524038682895525
80000,0.504,88.43296813964844,95.13385009765625,-0.8999999761581421,0.10562478750944138,-1.100000023841858,0.41748687624931335,0.054586246734165705
82000,0.493,85.50599670410156,94.90487670898438,-0.4000000059604645,0.24093908071517944,0.30000001192092896,0.3228873312473297,0.05401376077628968
84000,0.511,88.32695007324219,91.71051025390625,-1.100000023841858,0.08113721758127213,0.0,0.5046426057815552,0.053512736340429835
86000,0.5025,89.81517791748047,95.01856231689453,0.6000000238418579,-0.11657197773456573,1.399999976158142,0.4643231928348541,0.05307425312197676
88000,0.4865,89.10076141357422,92.21790313720703,-0.4000000059604645,-0.3328930139541626,0.699999988079071,-0.23146924376487732,0.05269050430833854
90000,0.5055,86.14569091796875,95.09953308105469,-1.0,0.4470197260379791,0.4000000059604645,0.37330424785614014,0.05235465758542799
92000,0.494,85.70298767089844,95.10690307617188,-0.4000000059604645,-0.5361512899398804,0.10000000149011612,-0.3343956768512726,0.05206073349424867
94000,0.5005,81.38822937011719,99.262451171875,0.800000011920929,0.17551590502262115,0.30000001192092896,-0.5082041621208191,0.051803498971824576
96000,0.4955,83.91260528564453,91.69489288330078,0.6000000238418579,0.14256849884986877,1.0,-0.13303078711032867,0.05157837418106226
98000,0.5065,84.9017105102539,90.0074691772461,-0.30000001192092896,0.2220260202884674,-0.8999999761581421,0.2030072808265686,0.05138135097073195
100000,0.513,86.42626190185547,90.9782943725586,0.0,0.06866869330406189,0.10000000149011612,0.29102811217308044,0.05120892151381868
102000,0.497,86.22802734375,90.13681030273438,-0.20000000298023224,-0.3831147849559784,-0.4000000059604645,0.1422348916530609,0.05105801585371112
104000,0.5175,86.74645233154297,90.85564422607422,0.6000000238418579,0.8433902859687805,0.4000000059604645,0.5738117098808289,0.050925947246292416
106000,0.496,79.95161437988281,91.92774200439453,-0.20000000298023224,0.22749873995780945,-1.100000023841858,0.11719198524951935,0.050810364324796416
108000,0.513,84.9280776977539,93.46525573730469,0.4000000059604645,0.8750917911529541,-1.0,0.8840048313140869,0.05070920923576608
110000,0.512,80.15174865722656,88.72758483886719,1.2000000476837158,1.4520957469940186,1.0,0.476179838180542,0.05062068100076131
112000,0.4905,79.84515380859375,92.10894775390625,0.20000000298023224,-0.03273427113890648,-0.20000000298023224,-0.016592511907219887,0.05054320345150317
114000,0.505,79.26559448242188,90.39476776123047,-0.10000000149011612,-0.043321643024683,0.5,0.369060218334198,0.05047539716756762
116000,0.5125,86.84290313720703,92.52210235595703,0.0,-0.40388885140419006,1.2999999523162842,0.1793258637189865,0.050416054917003766
118000,0.5015,75.4194564819336,96.6643295288086,0.30000001192092896,0.29348224401474,-0.800000011920929,-0.12212461233139038,0.05036412016261833
120000,0.4985,72.04644775390625,92.37609100341797,-0.20000000298023224,0.3429352939128876,0.20000000298023224,0.05375298857688904,0.050318668251249137
122000,0.524,74.9654312133789,89.86854553222656,0.4000000059604645,0.8355745673179626,0.5,0.9784399271011353,0.05027888995111932
124000,0.5195,71.76773071289062,90.8912124633789,0.10000000149011612,0.6984300017356873,0.30000001192092896,0.24317845702171326,0.05024407704416882
126000,0.514,79.85541534423828,92.01821899414062,0.8999999761581421,0.36406704783439636,0.6000000238418579,0.4820050299167633,0.05021360971684742
128000,0.513,73.60059356689453,91.31974792480469,-0.5,0.1709735095500946,0.699999988079071,0.14087140560150146,0.05018694552487318
130000,0.5195,79.66870880126953,90.51964569091797,0.4000000059604645,0.9357820749282837,0.4000000059604645,0.5265295505523682,0.05016360973548349
132000,0.503,86.94933319091797,86.83808898925781,0.30000001192092896,-0.19478677213191986,0.4000000059604645,0.12280631810426712,0.050143186875230825
134000,0.523,72.82759094238281,95.44200897216797,0.5,0.27948129177093506,0.5,0.08788106590509415,0.05012531333283915
136000,0.516,86.77886962890625,89.28105163574219,0.30000001192092896,0.23142890632152557,0.6000000238418579,0.3548678457736969,0.05010967088542117
138000,0.511,80.64006042480469,82.646240234375,-0.30000001192092896,0.04707209765911102,-0.10000000149011612,0.7023398876190186,0.05009598103279642
140000,0.518,84.44670104980469,85.99878692626953,-0.20000000298023224,0.5382279753684998,1.399999976158142,0.4559706747531891,0.05008400003903762
142000,0.514,80.00799560546875,93.16776275634766,-0.4000000059604645,0.8187490105628967,-0.4000000059604645,0.22861771285533905,0.05007351459296429
144000,0.516,83.21205139160156,89.79822540283203,0.5,0.2873176634311676,1.5,0.4232012629508972,0.05006433801032265
146000,0.519,89.19595336914062,95.23283386230469,-0.5,0.2209809273481369,0.10000000149011612,0.4240628182888031,0.050056306910034695
148000,0.5255,75.22164916992188,88.7746353149414,0.5,0.9813293218612671,1.0,0.4706926643848419,0.05004927830534012
150000,0.5145,74.59671020507812,85.7690200805664,0.4000000059604645,0.26138949394226074,0.5,0.5872790217399597,0.05004312705804132
152000,0.523,74.1253890991211,89.27865600585938,0.20000000298023224,0.803810179233551,-0.30000001192092896,0.45616966485977173,0.05003774365052658
154000,0.511,77.89289093017578,89.5849380493164,0.20000000298023224,-0.06895902007818222,-0.5,0.5548544526100159,0.05003303223590415
156000,0.5265,76.86701965332031,88.51070404052734,-0.30000001192092896,1.0435936450958252,0.4000000059604645,0.5421907901763916,0.05002890893153164
158000,0.51,73.77462768554688,88.78741455078125,0.20000000298023224,-0.33066168427467346,0.20000000298023224,0.09848123788833618,0.05002530032555853
160000,0.5245,76.3038101196289,88.1205062866211,-0.20000000298023224,0.8351945281028748,0.0,0.8304691910743713,0.050022142169891926
162000,0.515,76.34548950195312,96.8658218383789,0.20000000298023224,-0.0859583392739296,1.100000023841858,-0.13396833837032318,0.05001937823631513
164000,0.503,77.26446533203125,92.77095794677734,-0.10000000149011612,-0.44260138273239136,0.0,-0.1290311962366104,0.050016959315393114
166000,0.538,79.70614624023438,89.72991943359375,1.100000023841858,0.6569772362709045,1.899999976158142,0.808855414390564,0.05001484234034129
168000,0.519,70.61395263671875,87.5080337524414,0.4000000059604645,0.2995319366455078,0.20000000298023224,0.6759647130966187,0.05001298962025885
170000,0.537,70.46261596679688,90.1343765258789,-0.4000000059604645,0.3894612193107605,0.30000001192092896,1.0075559616088867,0.050011368169075046
172000,0.5215,81.79676055908203,87.06556701660156,-0.10000000149011612,0.7606096863746643,1.0,0.520615816116333,0.05000994911826085
174000,0.5215,77.5859603881836,88.08517456054688,0.30000001192092896,1.0853734016418457,0.800000011920929,0.8562837243080139,0.050008707202849896
176000,0.5345,78.58345031738281,89.78069305419922,0.6000000238418579,0.7856686115264893,0.30000001192092896,0.46609383821487427,0.05000762031161773
178000,0.538,70.90637969970703,90.9009017944336,0.699999988079071,0.5645188093185425,0.800000011920929,0.9176872968673706,0.05000666909341063
180000,0.5405,74.8315658569336,87.506591796875,0.8999999761581421,0.7869643568992615,2.0,0.8456039428710938,0.050005836612615186
182000,0.5365,77.74955749511719,95.30111694335938,1.2999999523162842,0.5523748993873596,-0.10000000149011612,0.6540754437446594,0.0500051080476344
184000,0.5235,65.06307220458984,85.40460205078125,0.8999999761581421,1.126922369003296,0.8999999761581421,0.8864741325378418,0.050004470427002026
186000,0.5235,72.30606079101562,93.25823211669922,0.0,0.8622469305992126,1.0,0.571545422077179,0.050003912398436906
188000,0.5355,73.60296630859375,89.2958755493164,0.6000000238418579,0.8195390105247498,1.0,1.137782096862793,0.050003424026725446
190000,0.52,77.42425537109375,89.7900161743164,1.600000023841858,0.8972600698471069,0.8999999761581421,0.4936833083629608,0.0500029966168338
192000,0.525,71.9439926147461,87.6358413696289,0.800000011920929,1.1908199787139893,0.8999999761581421,0.7830482721328735,0.05000262255910034
194000,0.5265,74.84124755859375,93.76590728759766,0.6000000238418579,0.3147689700126648,0.800000011920929,0.3610086143016815,0.05000229519375223
196000,0.5145,74.76249694824219,88.36796569824219,0.4000000059604645,0.283759206533432,0.10000000149011612,0.4205491542816162,0.05000200869233398
198000,0.5155,80.78118896484375,96.4213638305664,0.5,0.6768302917480469,0.10000000149011612,0.42964187264442444,0.05000175795393687
200000,0.51,73.8111343383789,88.41213989257812,0.10000000149011612,0.6359570026397705,-1.0,0.3941633701324463,0.050001538514381653
202000,0.537,75.2677993774414,81.48888397216797,1.0,1.2123075723648071,0.699999988079071,0.575608491897583,0.05000134646673779
204000,0.5405,74.20849609375,92.7383804321289,1.399999976158142,1.4755364656448364,0.6000000238418579,0.9792687892913818,0.05000117839176389
206000,0.552,69.1079330444336,86.06117248535156,1.2999999523162842,1.255993366241455,0.20000000298023224,0.4233837127685547,0.05000103129703114
208000,0.525,71.60005187988281,81.65941619873047,1.0,0.9734916090965271,-0.10000000149011612,0.4799390137195587,0.05000090256364566
