episodes,return,hinter_loss,guesser_loss,hinter_q,hinter_qhat,guesser_q,guesser_qhat,exploration
4000,0.377,94.45410919189453,89.38580322265625,-2.5,-2.3093621730804443,-3.5999999046325684,-2.3118648529052734,0.7775834142685771
8000,0.36725,95.00501251220703,90.76573181152344,-2.4000000953674316,-2.7580535411834717,-3.0999999046325684,-2.6300132274627686,0.6072767555124091
12000,0.358,92.60111236572266,97.29456329345703,-2.5999999046325684,-2.973626136779785,-1.7000000476837158,-2.497502565383911,0.47683405935886203
16000,0.37825,93.82515716552734,94.1185531616211,-2.4000000953674316,-2.5852036476135254,-2.200000047683716,-2.7251064777374268,0.376924301842171
20000,0.362,84.6783218383789,95.8540267944336,-4.400000095367432,-2.391831159591675,-2.0999999046325684,-2.5328261852264404,0.3004005872809969
24000,0.36575,88.23004913330078,84.63052368164062,-3.799999952316284,-2.939349412918091,-4.099999904632568,-3.1002814769744873,0.24178890574166612
28000,0.37325,92.35264587402344,90.41576385498047,-3.0999999046325684,-2.7603092193603516,-3.299999952316284,-2.703991651535034,0.19689655789148858
32000,0.3535,89.17837524414062,94.388427734375,-3.0,-2.69771671295166,-2.5,-2.7638607025146484,0.16251223649731428
36000,0.37275,93.61251831054688,85.42431640625,-2.4000000953674316,-2.1910345554351807,-3.9000000953674316,-2.6983461380004883,0.1361763103460783
40000,0.3605,92.93689727783203,92.37706756591797,-2.799999952316284,-3.0731911659240723,-2.9000000953674316,-2.520136833190918,0.11600487818976805
44000,0.3655,91.5746841430664,89.90007781982422,-2.299999952316284,-2.526435136795044,-2.9000000953674316,-2.553328275680542,0.10055500667585009
48000,0.374,94.2909927368164,95.4443130493164,-2.0,-2.432656764984131,-2.299999952316284,-2.728364944458008,0.08872151225924757
52000,0.37625,90.69849395751953,91.95072174072266,-2.700000047683716,-1.884824275970459,-2.9000000953674316,-1.8950822353363037,0.07965790354369187
56000,0.377,97.67874908447266,84.92072296142578,-2.0,-2.208010673522949,-4.5,-2.2885353565216064,0.07271582878059893
60000,0.36475,97.47554779052734,93.09148406982422,-1.7999999523162842,-2.847846746444702,-2.799999952316284,-2.3218560218811035,0.0673986969925
64000,0.35575,86.9982681274414,89.38301086425781,-3.700000047683716,-2.810081720352173,-3.4000000953674316,-2.5522260665893555,0.06332615507717554
68000,0.37825,93.57597351074219,96.40213012695312,-2.299999952316284,-2.7318761348724365,-1.899999976158142,-2.312512159347534,0.06020687981505069
72000,0.36475,87.60627746582031,90.87603759765625,-3.5999999046325684,-2.851186513900757,-2.9000000953674316,-2.6224889755249023,0.057817738496629446
76000,0.37075,89.73743438720703,95.02699279785156,-3.0,-2.6026721000671387,-2.0999999046325684,-2.50846004486084,0.05598782745649274
80000,0.36975,89.64860534667969,99.77079772949219,-2.4000000953674316,-2.1019127368927,-1.100000023841858,-2.109110116958618,0.054586246734165705
84000,0.356,98.748046875,92.93588256835938,-1.600000023841858,-3.1144049167633057,-2.9000000953674316,-2.6549410820007324,0.053512736340429835
88000,0.37025,94.35452270507812,93.16614532470703,-2.299999952316284,-2.301492691040039,-2.5999999046325684,-2.6167426109313965,0.05269050430833854
92000,0.37225,92.96661376953125,95.11492919921875,-2.4000000953674316,-2.227362871170044,-2.4000000953674316,-2.3610737323760986,0.05206073349424867
96000,0.372,92.81232452392578,95.61753845214844,-2.700000047683716,-2.6289870738983154,-2.200000047683716,-2.5372202396392822,0.05157837418106226
100000,0.37425,92.23464965820312,96.8386459350586,-2.5999999046325684,-2.592484474182129,-1.7999999523162842,-2.285731554031372,0.05120892151381868
104000,0.35975,79.5311508178711,92.51371765136719,-4.699999809265137,-2.646878242492676,-2.4000000953674316,-2.5476572513580322,0.050925947246292416
108000,0.3625,93.33621978759766,91.4021987915039,-2.700000047683716,-2.9365761280059814,-2.799999952316284,-3.1026883125305176,0.05070920923576608
112000,0.3545,98.1541976928711,96.5058822631836,-1.600000023841858,-2.9476380348205566,-2.0,-3.0939841270446777,0.05054320345150317
