episodes,return,hinter_loss,guesser_loss,hinter_q,hinter_qhat,guesser_q,guesser_qhat,exploration
4000,0.37425,100.7417984008789,93.35901641845703,-1.5,-2.842634916305542,-2.700000047683716,-2.582710027694702,0.7775834142685771
8000,0.36575,90.57677459716797,97.26193237304688,-3.0,-2.1570749282836914,-1.600000023841858,-2.2679641246795654,0.6072767555124091
12000,0.37225,90.33356475830078,96.18400573730469,-3.0,-2.5251283645629883,-2.299999952316284,-2.7186119556427,0.47683405935886203
16000,0.36325,89.13361358642578,94.16765594482422,-3.700000047683716,-2.4652132987976074,-2.5,-2.5722239017486572,0.376924301842171
20000,0.3745,101.12446594238281,94.8335952758789,-1.0,-2.527322769165039,-2.299999952316284,-2.703535556793213,0.3004005872809969
24000,0.36575,90.18896484375,100.5018081665039,-2.9000000953674316,-2.8886606693267822,-1.399999976158142,-2.5301175117492676,0.24178890574166612
28000,0.3745,92.19468688964844,96.70610046386719,-2.799999952316284,-2.119567632675171,-2.0,-2.266998529434204,0.19689655789148858
32000,0.36175,92.5157241821289,91.70816040039062,-2.5,-2.177518367767334,-3.0,-2.323699951171875,0.16251223649731428
36000,0.3715,86.54621124267578,91.18928527832031,-3.5999999046325684,-2.751739263534546,-3.0,-2.3808975219726562,0.1361763103460783
40000,0.363,88.63033294677734,90.57282257080078,-3.200000047683716,-2.9957830905914307,-3.0999999046325684,-2.790522575378418,0.11600487818976805
44000,0.3625,87.4917221069336,94.20953369140625,-3.200000047683716,-3.086705207824707,-2.5,-3.0124521255493164,0.10055500667585009
48000,0.368,88.14498901367188,86.85722351074219,-3.299999952316284,-2.555208683013916,-3.9000000953674316,-2.690786123275757,0.08872151225924757
52000,0.35075,89.02249908447266,89.74182891845703,-3.700000047683716,-2.4396634101867676,-3.0,-2.2325637340545654,0.07965790354369187
56000,0.36175,92.23831939697266,92.55473327636719,-2.5999999046325684,-3.1565792560577393,-2.799999952316284,-2.8852531909942627,0.07271582878059893
60000,0.364,90.9759292602539,95.34773254394531,-2.4000000953674316,-2.665085554122925,-2.4000000953674316,-2.8627963066101074,0.0673986969925
64000,0.3595,88.69528198242188,89.38005065917969,-3.299999952316284,-2.5508861541748047,-3.4000000953674316,-2.508863925933838,0.06332615507717554
68000,0.36725,91.58010864257812,95.71186828613281,-2.299999952316284,-2.638904333114624,-2.299999952316284,-2.3034327030181885,0.06020687981505069
72000,0.36525,92.5214614868164,90.28302764892578,-2.299999952316284,-2.174746036529541,-3.0999999046325684,-2.1663100719451904,0.057817738496629446
76000,0.363,86.1360092163086,95.60600280761719,-3.5,-2.6636624336242676,-2.299999952316284,-2.9120490550994873,0.05598782745649274
80000,0.34975,90.71627044677734,92.97885131835938,-2.799999952316284,-2.565645217895508,-2.5999999046325684,-2.3704869747161865,0.054586246734165705
84000,0.367,93.29788208007812,94.10462951660156,-2.299999952316284,-2.5291762351989746,-2.4000000953674316,-2.7543065547943115,0.053512736340429835
88000,0.348,89.78054809570312,91.11299133300781,-2.4000000953674316,-3.085383653640747,-2.799999952316284,-2.6802902221679688,0.05269050430833854
92000,0.362,86.22852325439453,85.7953109741211,-3.299999952316284,-2.641294240951538,-4.099999904632568,-2.527059555053711,0.05206073349424867
96000,0.36575,95.83900451660156,98.35152435302734,-1.2000000476837158,-2.751749038696289,-1.899999976158142,-3.091789960861206,0.05157837418106226
100000,0.373,90.29331970214844,89.56847381591797,-2.0,-2.504249334335327,-3.200000047683716,-2.256871223449707,0.05120892151381868
104000,0.35875,97.64644622802734,93.0052719116211,-2.299999952316284,-2.3883330821990967,-2.700000047683716,-2.507863998413086,0.050925947246292416
108000,0.35975,94.71748352050781,90.57290649414062,-2.799999952316284,-2.3149633407592773,-2.9000000953674316,-2.3979172706604004,0.05070920923576608
112000,0.34475,93.56968688964844,95.5671615600586,-1.899999976158142,-2.7868971824645996,-2.0999999046325684,-2.9355688095092773,0.05054320345150317
116000,0.37575,88.83505249023438,86.96306610107422,-3.0999999046325684,-2.9468414783477783,-3.799999952316284,-2.75429630279541,0.050416054917003766
120000,0.37625,90.76451110839844,91.0742416381836,-2.700000047683716,-2.6700141429901123,-2.799999952316284,-2.710333824157715,0.050318668251249137
124000,0.3745,94.97354125976562,94.92524719238281,-1.7999999523162842,-2.336555242538452,-2.299999952316284,-2.173910140991211,0.05024407704416882
128000,0.36025,92.01622772216797,94.85128021240234,-2.0999999046325684,-2.3337600231170654,-2.4000000953674316,-2.2431375980377197,0.05018694552487318
132000,0.37225,95.81158447265625,98.45523071289062,-2.0999999046325684,-2.525726556777954,-1.600000023841858,-2.450150728225708,0.050143186875230825
136000,0.362,91.5166015625,93.30355834960938,-2.799999952316284,-2.8661770820617676,-2.700000047683716,-2.79957914352417,0.05010967088542117
140000,0.37775,93.24742126464844,90.15255737304688,-2.9000000953674316,-2.6584110260009766,-3.4000000953674316,-2.342128276824951,0.05008400003903762
