episodes,return,hinter_loss,guesser_loss,hinter_q,hinter_qhat,guesser_q,guesser_qhat,exploration
4000,0.369,87.34762573242188,90.43523406982422,-3.799999952316284,-2.7068612575531006,-3.0,-3.0021615028381348,0.7775834142685771
8000,0.373,95.74278259277344,95.05180358886719,-2.0,-2.636904239654541,-2.4000000953674316,-2.530324697494507,0.6072767555124091
12000,0.372,95.31973266601562,96.26932525634766,-1.7999999523162842,-1.7499945163726807,-2.0,-1.8032644987106323,0.47683405935886203
16000,0.369,90.13262939453125,93.4736328125,-3.299999952316284,-2.9066572189331055,-2.5,-2.898585319519043,0.376924301842171
20000,0.36625,93.51751708984375,94.90349578857422,-2.700000047683716,-2.4751296043395996,-2.0,-2.420454502105713,0.3004005872809969
24000,0.366,96.86853790283203,90.13605499267578,-1.899999976158142,-2.512221574783325,-3.4000000953674316,-2.490234136581421,0.24178890574166612
28000,0.36675,96.34574127197266,95.42090606689453,-1.7999999523162842,-2.425009250640869,-2.200000047683716,-2.179574966430664,0.19689655789148858
32000,0.37025,89.9433822631836,95.72621154785156,-3.200000047683716,-2.4600589275360107,-2.200000047683716,-2.5446534156799316,0.16251223649731428
36000,0.361,83.5595474243164,90.83415222167969,-4.199999809265137,-3.026782751083374,-2.9000000953674316,-3.0572116374969482,0.1361763103460783
40000,0.3655,96.59538269042969,95.61154174804688,-1.7000000476837158,-2.5942599773406982,-2.0999999046325684,-2.671114921569824,0.11600487818976805
44000,0.36225,101.91252136230469,96.29924011230469,-1.2000000476837158,-3.1658849716186523,-2.4000000953674316,-3.1584131717681885,0.10055500667585009
48000,0.378,92.83680725097656,93.7403335571289,-2.0,-2.414773941040039,-2.5,-2.5877764225006104,0.08872151225924757
52000,0.3685,96.29920196533203,95.89617919921875,-2.299999952316284,-2.3324854373931885,-1.7999999523162842,-2.2983555793762207,0.07965790354369187
56000,0.36,93.8760757446289,94.7314453125,-2.0999999046325684,-1.8312921524047852,-2.799999952316284,-2.3624629974365234,0.07271582878059893
60000,0.371,92.10372924804688,87.7026596069336,-2.5999999046325684,-2.331559181213379,-3.799999952316284,-2.483957290649414,0.0673986969925
64000,0.3815,90.21759033203125,97.95856475830078,-3.0999999046325684,-2.388841152191162,-1.399999976158142,-2.1430373191833496,0.06332615507717554
68000,0.366,93.79756164550781,98.6909408569336,-2.5,-2.8904924392700195,-1.600000023841858,-2.3729894161224365,0.06020687981505069
72000,0.37375,94.13754272460938,87.5703125,-1.7999999523162842,-2.8484060764312744,-3.5,-2.9710817337036133,0.057817738496629446
76000,0.36625,92.13519287109375,95.39350891113281,-2.5999999046325684,-2.377718925476074,-2.0999999046325684,-2.1894266605377197,0.05598782745649274
80000,0.36,90.5320816040039,93.81010437011719,-2.9000000953674316,-2.734846830368042,-2.5,-2.674713373184204,0.054586246734165705
84000,0.3775,96.62773132324219,94.68505096435547,-1.5,-1.940729022026062,-2.5,-2.103062629699707,0.053512736340429835
88000,0.3695,97.44674682617188,94.43896484375,-1.399999976158142,-1.8751678466796875,-2.5,-1.9765980243682861,0.05269050430833854
92000,0.3755,99.0079574584961,96.42969512939453,-1.2999999523162842,-1.9343620538711548,-1.7999999523162842,-2.1164748668670654,0.05206073349424867
96000,0.36575,88.10560607910156,90.92756652832031,-2.9000000953674316,-2.7470879554748535,-2.799999952316284,-2.5635993480682373,0.05157837418106226
100000,0.358,92.542724609375,94.01893615722656,-2.5,-2.9524126052856445,-2.4000000953674316,-2.6606674194335938,0.05120892151381868
104000,0.3635,95.81595611572266,92.78386688232422,-2.4000000953674316,-2.118403673171997,-3.0999999046325684,-2.368788719177246,0.050925947246292416
108000,0.366,93.94361114501953,96.3166275024414,-2.5999999046325684,-2.2746541500091553,-1.899999976158142,-2.2119219303131104,0.05070920923576608
112000,0.362,91.27267456054688,89.69366455078125,-3.0,-2.071193218231201,-3.0999999046325684,-2.255272626876831,0.05054320345150317
116000,0.3465,101.63922119140625,87.34062194824219,-1.399999976158142,-3.2931344509124756,-3.4000000953674316,-2.965041160583496,0.050416054917003766
120000,0.36175,92.00439453125,90.92201232910156,-2.700000047683716,-2.2636163234710693,-3.200000047683716,-2.2850069999694824,0.050318668251249137
124000,0.36475,94.40921783447266,94.59484100341797,-2.299999952316284,-3.1687488555908203,-2.299999952316284,-2.866513252258301,0.05024407704416882
128000,0.37,91.53990173339844,99.14875793457031,-2.5,-2.4954416751861572,-1.2999999523162842,-2.884866952896118,0.05018694552487318
132000,0.3665,88.59811401367188,98.85205078125,-2.700000047683716,-2.4221279621124268,-2.0,-2.766585111618042,0.050143186875230825
136000,0.3755,90.2231674194336,89.22869110107422,-2.200000047683716,-2.603616952896118,-3.299999952316284,-2.766756296157837,0.05010967088542117
140000,0.38125,90.86283111572266,91.38274383544922,-3.0,-2.008563280105591,-2.9000000953674316,-2.1941699981689453,0.05008400003903762
144000,0.37475,97.88510131835938,99.36097717285156,-1.399999976158142,-2.1279337406158447,-1.5,-2.434649705886841,0.05006433801032265
148000,0.3645,90.88861083984375,92.41484069824219,-3.700000047683716,-2.9841806888580322,-3.0,-3.0515851974487305,0.05004927830534012
152000,0.3715,96.26636505126953,99.12237548828125,-1.899999976158142,-2.984039306640625,-1.600000023841858,-2.762643814086914,0.05003774365052658
156000,0.35925,88.13128662109375,91.78563690185547,-3.799999952316284,-2.6415441036224365,-2.9000000953674316,-2.4220714569091797,0.05002890893153164
160000,0.36825,87.0814437866211,102.73040008544922,-2.9000000953674316,-2.885129690170288,-1.399999976158142,-2.927685499191284,0.050022142169891926
164000,0.36275,86.21902465820312,86.55313110351562,-3.5,-2.979597806930542,-3.799999952316284,-2.7139008045196533,0.050016959315393114
168000,0.3635,92.09685516357422,91.6827163696289,-2.9000000953674316,-2.780672073364258,-2.9000000953674316,-2.5226781368255615,0.05001298962025885
172000,0.36,95.330322265625,92.37425994873047,-2.0999999046325684,-2.3594915866851807,-2.5,-2.636897563934326,0.05000994911826085
176000,0.36825,92.65241241455078,91.5165023803711,-2.4000000953674316,-2.4478728771209717,-3.0,-2.041001319885254,0.05000762031161773
180000,0.37675,92.99557495117188,89.30521392822266,-2.700000047683716,-2.371518611907959,-3.200000047683716,-2.2438461780548096,0.050005836612615186
184000,0.37725,88.63334655761719,91.23560333251953,-2.799999952316284,-2.5598413944244385,-2.700000047683716,-2.2714462280273438,0.050004470427002026
188000,0.36575,93.46411895751953,91.53563690185547,-2.5999999046325684,-2.8752808570861816,-2.799999952316284,-2.773620843887329,0.050003424026725446
192000,0.36625,93.50556945800781,86.78181457519531,-3.0,-2.4989051818847656,-4.0,-2.437995672225952,0.05000262255910034
196000,0.3635,95.80033111572266,96.2621841430664,-2.4000000953674316,-2.394213914871216,-1.899999976158142,-2.5689945220947266,0.05000200869233398
200000,0.36425,91.94332885742188,90.4667739868164,-2.299999952316284,-2.4190099239349365,-3.200000047683716,-2.5568654537200928,0.050001538514381653
204000,0.35725,92.64363098144531,90.2750473022461,-2.299999952316284,-3.052675485610962,-2.799999952316284,-2.8344359397888184,0.05000117839176389
208000,0.35775,89.9097671508789,93.28115844726562,-2.5999999046325684,-2.4955239295959473,-2.5,-2.4576828479766846,0.05000090256364566
212000,0.38125,91.46714782714844,97.1440658569336,-2.700000047683716,-2.2707860469818115,-1.7000000476837158,-2.5301480293273926,0.05000069129907339
216000,0.365,87.36780548095703,94.20372772216797,-2.700000047683716,-2.76725697517395,-2.5,-2.4421606063842773,0.050000529485550595
220000,0.36175,94.43875122070312,93.50157928466797,-2.0,-2.4315025806427,-2.4000000953674316,-2.8141064643859863,0.05000040554798796
224000,0.36475,90.68541717529297,94.35845947265625,-2.299999952316284,-2.3304967880249023,-2.4000000953674316,-2.4237794876098633,0.05000031062069654
228000,0.377,100.72020721435547,96.97355651855469,-0.8999999761581421,-2.60689115524292,-1.7999999523162842,-2.4971001148223877,0.05000023791319397
232000,0.36425,90.0663070678711,92.2364273071289,-3.200000047683716,-2.8824591636657715,-2.700000047683716,-3.128843307495117,0.05000018222445733
236000,0.37075,86.59416198730469,94.4435043334961,-3.4000000953674316,-2.421905755996704,-2.700000047683716,-2.5316593647003174,0.05000013957087581
240000,0.3715,98.0733413696289,95.48954772949219,-1.7999999523162842,-2.273922920227051,-2.299999952316284,-2.589658260345459,0.050000106901289
244000,0.36725,92.36247253417969,90.59428405761719,-2.9000000953674316,-2.4445765018463135,-2.700000047683716,-2.545391321182251,0.05000008187872665
248000,0.347,90.02777099609375,82.9726791381836,-2.9000000953674316,-3.0366668701171875,-4.099999904632568,-3.4055864810943604,0.05000006271323705
252000,0.36375,92.75969696044922,93.84947204589844,-2.700000047683716,-2.4274866580963135,-2.5,-2.3440561294555664,0.050000048033845446
256000,0.3555,92.14335632324219,89.75031280517578,-2.700000047683716,-2.61289644241333,-3.4000000953674316,-2.8627262115478516,0.05000003679048343
260000,0.3655,94.43216705322266,98.92236328125,-2.5,-2.668947458267212,-1.600000023841858,-2.4689321517944336,0.05000002817887384
264000,0.37075,86.12495422363281,92.95243072509766,-2.799999952316284,-2.5592479705810547,-2.4000000953674316,-2.5303049087524414,0.05000002158299802
268000,0.3635,89.31897735595703,87.7393569946289,-2.9000000953674316,-2.3912618160247803,-3.700000047683716,-2.4609079360961914,0.05000001653102981
272000,0.37375,94.3044204711914,96.22097778320312,-1.7999999523162842,-2.1417043209075928,-2.0999999046325684,-2.014500617980957,0.050000012661584194
276000,0.37025,93.87191772460938,94.81123352050781,-2.200000047683716,-2.1276798248291016,-2.0999999046325684,-2.281752824783325,0.050000009697866145
280000,0.37025,93.42318725585938,96.31771850585938,-2.5,-2.2741734981536865,-2.0999999046325684,-2.819596290588379,0.0500000074278705
284000,0.3695,95.9623031616211,97.25125122070312,-1.899999976158142,-2.620981454849243,-1.7999999523162842,-2.7518627643585205,0.05000000568921651
288000,0.38325,99.31877136230469,97.08261108398438,-1.2000000476837158,-2.364089250564575,-1.399999976158142,-2.166029691696167,0.05000000435753215
292000,0.38175,88.2707748413086,91.87635040283203,-2.5,-2.356544017791748,-2.799999952316284,-2.553584098815918,0.05000000333755736
296000,0.35875,89.88887786865234,86.0822525024414,-3.200000047683716,-2.552644729614258,-3.5999999046325684,-2.9020450115203857,0.05000000255632976
300000,0.366,87.68773651123047,92.50955963134766,-3.4000000953674316,-2.523040771484375,-2.5,-2.410248041152954,0.05000000195796541
304000,0.358,95.65359497070312,89.6236343383789,-2.200000047683716,-2.9420459270477295,-2.9000000953674316,-2.7307589054107666,0.05000000149966119
308000,0.3625,93.2363052368164,99.9227523803711,-2.0999999046325684,-2.722119092941284,-1.2999999523162842,-2.796938419342041,0.050000001148633004
312000,0.37875,92.71031188964844,98.3275375366211,-2.200000047683716,-2.4372446537017822,-1.7000000476837158,-2.7939400672912598,0.05000000087977057
316000,0.3845,93.44129943847656,92.85002899169922,-2.5,-2.4440767765045166,-2.700000047683716,-2.272292137145996,0.050000000673841215
320000,0.36425,96.15746307373047,94.32478332519531,-2.0,-2.620344638824463,-2.5999999046325684,-2.5209407806396484,0.05000000051611408
324000,0.356,89.93456268310547,85.11320495605469,-2.9000000953674316,-3.0917916297912598,-3.5999999046325684,-3.2032172679901123,0.0500000003953064
328000,0.37425,89.67999267578125,95.93244934082031,-2.9000000953674316,-2.4393084049224854,-1.600000023841858,-2.164207696914673,0.050000000302776376
