episodes,return,hinter_loss,guesser_loss,hinter_q,hinter_qhat,guesser_q,guesser_qhat,exploration
4000,0.374,97.13155364990234,101.41043090820312,-1.399999976158142,-2.531310796737671,-1.100000023841858,-2.5988028049468994,0.7775834142685771
8000,0.37125,95.9272232055664,93.64910888671875,-2.200000047683716,-2.3207848072052,-2.5,-2.2590842247009277,0.6072767555124091
12000,0.367,95.9863510131836,98.6318359375,-1.7000000476837158,-2.5499985218048096,-1.7000000476837158,-2.646103620529175,0.47683405935886203
16000,0.3635,96.47289276123047,96.7044906616211,-1.899999976158142,-2.4254279136657715,-1.7000000476837158,-2.1691720485687256,0.376924301842171
20000,0.37375,91.4459457397461,93.42281341552734,-3.0,-2.1908297538757324,-2.5,-2.105638027191162,0.3004005872809969
24000,0.36875,96.90975952148438,92.7845687866211,-1.7000000476837158,-2.1078152656555176,-2.9000000953674316,-2.155085802078247,0.24178890574166612
28000,0.36075,92.50215148925781,91.32943725585938,-2.5,-2.151106357574463,-2.700000047683716,-2.2941794395446777,0.19689655789148858
32000,0.35675,92.64441680908203,84.82290649414062,-2.4000000953674316,-3.0307583808898926,-4.300000190734863,-2.668328285217285,0.16251223649731428
36000,0.377,94.9824447631836,92.44479370117188,-2.0999999046325684,-2.0693507194519043,-2.5,-2.2597286701202393,0.1361763103460783
40000,0.362,93.30480194091797,94.00508117675781,-1.899999976158142,-1.8382450342178345,-2.5999999046325684,-1.593115210533142,0.11600487818976805
44000,0.359,95.52957153320312,97.25011444091797,-2.4000000953674316,-2.4969301223754883,-1.7000000476837158,-2.8316802978515625,0.10055500667585009
48000,0.36075,91.41116333007812,95.06318664550781,-3.0999999046325684,-2.1104259490966797,-2.0999999046325684,-2.6897482872009277,0.08872151225924757
52000,0.36125,90.82553100585938,90.82408905029297,-2.9000000953674316,-2.759260654449463,-3.299999952316284,-2.4825830459594727,0.07965790354369187
56000,0.36625,87.70587158203125,87.39515686035156,-3.299999952316284,-2.8992087841033936,-3.700000047683716,-2.93935489654541,0.07271582878059893
60000,0.3605,89.90880584716797,86.05392456054688,-3.299999952316284,-2.449190378189087,-3.9000000953674316,-2.5996313095092773,0.0673986969925
64000,0.36575,87.73796081542969,91.9753646850586,-3.700000047683716,-2.4449286460876465,-2.799999952316284,-2.4564757347106934,0.06332615507717554
68000,0.36025,88.7755355834961,90.7177963256836,-2.700000047683716,-2.6751630306243896,-3.200000047683716,-2.7226433753967285,0.06020687981505069
72000,0.3665,90.60688781738281,93.45536804199219,-3.4000000953674316,-2.4360482692718506,-2.700000047683716,-2.0788300037384033,0.057817738496629446
76000,0.3595,92.95744323730469,90.0988540649414,-2.700000047683716,-3.1028919219970703,-3.0999999046325684,-2.619715690612793,0.05598782745649274
80000,0.37375,92.2076644897461,94.71383666992188,-2.700000047683716,-1.8208731412887573,-2.200000047683716,-2.341820478439331,0.054586246734165705
84000,0.3595,89.29701232910156,96.3091812133789,-3.200000047683716,-2.4307806491851807,-2.0,-2.5627450942993164,0.053512736340429835
88000,0.36875,96.30111694335938,98.25836944580078,-1.2000000476837158,-2.5020198822021484,-1.899999976158142,-2.723219633102417,0.05269050430833854
92000,0.356,79.350830078125,88.837646484375,-5.0,-2.5228991508483887,-3.299999952316284,-2.7767984867095947,0.05206073349424867
96000,0.36075,96.02365112304688,92.33069610595703,-2.299999952316284,-2.575942277908325,-2.799999952316284,-2.5723776817321777,0.05157837418106226
100000,0.36425,94.12562561035156,89.98534393310547,-2.9000000953674316,-2.6576948165893555,-3.4000000953674316,-2.477755069732666,0.05120892151381868
104000,0.36475,93.35456085205078,85.47505950927734,-2.5,-2.7391369342803955,-3.799999952316284,-2.4459993839263916,0.050925947246292416
108000,0.365,96.17320251464844,98.39427947998047,-2.200000047683716,-2.6193454265594482,-1.7999999523162842,-2.7871811389923096,0.05070920923576608
112000,0.35875,86.63043212890625,90.47285461425781,-3.799999952316284,-2.68557071685791,-3.0999999046325684,-2.6302599906921387,0.05054320345150317
116000,0.35475,89.47894287109375,90.30779266357422,-3.0999999046325684,-2.892643690109253,-3.200000047683716,-2.8619961738586426,0.050416054917003766
120000,0.37625,90.02649688720703,93.25492858886719,-3.0999999046325684,-2.68986439704895,-2.5,-2.427731990814209,0.050318668251249137
124000,0.3665,100.31310272216797,94.67668151855469,-1.600000023841858,-2.233320713043213,-2.4000000953674316,-2.365926742553711,0.05024407704416882
128000,0.35075,85.85246276855469,90.24198913574219,-2.9000000953674316,-3.166433334350586,-3.200000047683716,-3.2535150051116943,0.05018694552487318
132000,0.3645,80.84681701660156,94.15613555908203,-4.699999809265137,-2.642890691757202,-2.299999952316284,-2.6703124046325684,0.050143186875230825
136000,0.37175,84.7018814086914,95.66203308105469,-3.299999952316284,-2.6288673877716064,-2.200000047683716,-2.56027889251709,0.05010967088542117
140000,0.38475,88.41444396972656,87.8827896118164,-2.9000000953674316,-2.1317851543426514,-3.9000000953674316,-2.2110464572906494,0.05008400003903762
144000,0.3645,85.92546081542969,94.41934204101562,-3.9000000953674316,-2.2335636615753174,-2.5,-2.958733320236206,0.05006433801032265
148000,0.364,91.91978454589844,95.27169036865234,-2.299999952316284,-2.5896639823913574,-2.200000047683716,-2.350381374359131,0.05004927830534012
152000,0.368,83.86398315429688,96.1634750366211,-3.5,-2.641474962234497,-2.299999952316284,-2.540196180343628,0.05003774365052658
