episodes,return,hinter_loss,guesser_loss,hinter_q,hinter_qhat,guesser_q,guesser_qhat,exploration
4000,0.38575,90.19933319091797,93.79364013671875,-2.9000000953674316,-2.769843816757202,-2.5,-2.298039197921753,0.7775834142685771
8000,0.35725,87.89885711669922,88.47476196289062,-3.5999999046325684,-2.7144429683685303,-3.5999999046325684,-3.0325677394866943,0.6072767555124091
12000,0.3755,95.53034210205078,93.13648223876953,-2.299999952316284,-2.6564831733703613,-2.799999952316284,-2.6527774333953857,0.47683405935886203
16000,0.3665,90.49193572998047,90.92703247070312,-2.799999952316284,-2.5936880111694336,-3.0999999046325684,-2.1579086780548096,0.376924301842171
20000,0.3705,99.02587127685547,92.99009704589844,-1.2999999523162842,-2.2670469284057617,-2.799999952316284,-2.187535047531128,0.3004005872809969
24000,0.358,94.4409408569336,93.39567565917969,-2.299999952316284,-2.5743155479431152,-2.4000000953674316,-2.498305320739746,0.24178890574166612
28000,0.3725,91.93485260009766,94.44110107421875,-2.799999952316284,-2.232635736465454,-2.299999952316284,-2.321974515914917,0.19689655789148858
32000,0.35775,87.94725799560547,94.6606674194336,-3.0999999046325684,-3.011281967163086,-2.299999952316284,-3.2005274295806885,0.16251223649731428
36000,0.359,84.70962524414062,94.26422119140625,-4.0,-2.1398062705993652,-2.5,-1.8872158527374268,0.1361763103460783
40000,0.372,96.64878845214844,96.3544921875,-2.200000047683716,-2.519256591796875,-2.200000047683716,-2.2437379360198975,0.11600487818976805
44000,0.37225,98.88800048828125,92.63971710205078,-1.0,-2.436527967453003,-2.700000047683716,-2.5738024711608887,0.10055500667585009
48000,0.365,95.13706970214844,98.36608123779297,-2.5,-2.417290449142456,-1.899999976158142,-2.744138717651367,0.08872151225924757
52000,0.36425,92.85474395751953,91.41597747802734,-2.5999999046325684,-2.3937528133392334,-3.200000047683716,-2.519531011581421,0.07965790354369187
56000,0.34975,86.47126770019531,95.01387023925781,-3.799999952316284,-2.635073184967041,-2.5,-2.942342758178711,0.07271582878059893
60000,0.35725,90.7216567993164,87.19063568115234,-3.299999952316284,-3.902975082397461,-3.4000000953674316,-3.1041557788848877,0.0673986969925
64000,0.3605,101.30530548095703,89.48688507080078,-1.399999976158142,-2.818692684173584,-3.4000000953674316,-2.9041478633880615,0.06332615507717554
68000,0.37725,91.77621459960938,88.58647155761719,-2.700000047683716,-2.706498622894287,-3.5,-2.5961720943450928,0.06020687981505069
72000,0.37175,93.63550567626953,91.1544418334961,-2.0,-2.4687206745147705,-2.9000000953674316,-2.8715784549713135,0.057817738496629446
76000,0.352,87.75823211669922,86.754150390625,-3.5,-2.8721277713775635,-3.700000047683716,-3.1828529834747314,0.05598782745649274
80000,0.3645,97.46759033203125,86.7729263305664,-1.899999976158142,-2.5942111015319824,-3.799999952316284,-2.7378089427948,0.054586246734165705
84000,0.3725,89.77014923095703,92.65121459960938,-3.299999952316284,-3.065889358520508,-2.5999999046325684,-2.915518283843994,0.053512736340429835
88000,0.362,93.68754577636719,94.07801818847656,-2.5999999046325684,-2.8645026683807373,-2.5,-2.5670158863067627,0.05269050430833854
92000,0.35975,91.01265716552734,93.77455139160156,-3.299999952316284,-2.610231876373291,-2.700000047683716,-2.617990732192993,0.05206073349424867
96000,0.36125,90.3384017944336,90.40813446044922,-3.4000000953674316,-2.583364248275757,-3.200000047683716,-2.667269229888916,0.05157837418106226
100000,0.369,84.7444839477539,94.9193344116211,-3.799999952316284,-2.868037462234497,-2.5,-3.1138756275177,0.05120892151381868
104000,0.36775,91.23217010498047,93.89384460449219,-2.700000047683716,-2.588360548019409,-2.200000047683716,-2.3986868858337402,0.050925947246292416
108000,0.35725,85.41427612304688,90.29066467285156,-3.5999999046325684,-3.228179693222046,-3.0999999046325684,-3.2757697105407715,0.05070920923576608
112000,0.3645,91.76541137695312,94.76296997070312,-2.0999999046325684,-2.9711687564849854,-2.0999999046325684,-3.1940500736236572,0.05054320345150317
116000,0.36275,88.14196014404297,88.60401153564453,-2.799999952316284,-2.578320264816284,-3.5,-2.3280909061431885,0.050416054917003766
120000,0.37125,95.9795913696289,98.032470703125,-1.7000000476837158,-1.9415309429168701,-1.2999999523162842,-1.8501530885696411,0.050318668251249137
124000,0.36575,88.34980773925781,90.21017456054688,-3.0999999046325684,-2.5687096118927,-3.4000000953674316,-2.0951740741729736,0.05024407704416882
128000,0.37675,98.87825012207031,95.18921661376953,-1.399999976158142,-2.479355573654175,-2.299999952316284,-2.425093650817871,0.05018694552487318
132000,0.364,90.2751693725586,89.59859466552734,-2.9000000953674316,-2.579191207885742,-3.5,-2.511686325073242,0.050143186875230825
136000,0.365,88.87326049804688,94.80158233642578,-2.799999952316284,-2.2856149673461914,-2.4000000953674316,-2.0602312088012695,0.05010967088542117
140000,0.371,88.94961547851562,94.55224609375,-2.9000000953674316,-2.681542158126831,-2.4000000953674316,-2.2951102256774902,0.05008400003903762
144000,0.36625,94.06192016601562,95.39403533935547,-2.4000000953674316,-2.7085492610931396,-2.0999999046325684,-2.574336290359497,0.05006433801032265
148000,0.36725,87.5688247680664,88.79191589355469,-3.5,-2.5323333740234375,-3.4000000953674316,-2.386641025543213,0.05004927830534012
152000,0.36875,91.59794616699219,90.32003021240234,-1.899999976158142,-2.6501569747924805,-3.0999999046325684,-2.931636333465576,0.05003774365052658
156000,0.36275,90.68440246582031,93.38654327392578,-2.700000047683716,-2.3008527755737305,-2.5,-2.159928560256958,0.05002890893153164
160000,0.36675,87.61471557617188,94.86296081542969,-3.5999999046325684,-2.653029203414917,-2.5999999046325684,-2.6054739952087402,0.050022142169891926
164000,0.36375,93.0231704711914,92.66342163085938,-2.4000000953674316,-2.7769272327423096,-2.799999952316284,-2.681291103363037,0.050016959315393114
168000,0.3645,91.7145004272461,95.26105499267578,-2.799999952316284,-2.6265764236450195,-2.200000047683716,-2.223393201828003,0.05001298962025885
172000,0.36,87.58076477050781,87.28076934814453,-3.0999999046325684,-3.0075488090515137,-3.4000000953674316,-2.8612852096557617,0.05000994911826085
176000,0.377,95.98848724365234,97.18345642089844,-2.0999999046325684,-2.089056968688965,-1.7999999523162842,-2.1872260570526123,0.05000762031161773
180000,0.36825,92.14045715332031,89.57412719726562,-2.5999999046325684,-1.8775173425674438,-3.700000047683716,-2.142341136932373,0.050005836612615186
184000,0.3745,89.52444458007812,93.95794677734375,-3.0999999046325684,-2.6498899459838867,-2.299999952316284,-2.539006233215332,0.050004470427002026
188000,0.37175,93.49798583984375,92.11215209960938,-2.299999952316284,-2.3845276832580566,-2.9000000953674316,-2.4166338443756104,0.050003424026725446
192000,0.372,90.18976593017578,90.26377868652344,-2.799999952316284,-2.601360559463501,-3.5,-2.4015421867370605,0.05000262255910034
196000,0.38125,96.31397247314453,94.45967102050781,-2.0999999046325684,-2.34568190574646,-2.5,-2.2347042560577393,0.05000200869233398
200000,0.35725,87.21601867675781,86.96546936035156,-3.0,-2.776376962661743,-3.5,-2.9974703788757324,0.050001538514381653
204000,0.376,87.37371826171875,98.3750228881836,-2.799999952316284,-2.6837639808654785,-1.7999999523162842,-2.580838918685913,0.05000117839176389
208000,0.3655,90.49523162841797,93.42456817626953,-2.4000000953674316,-2.9803082942962646,-2.5,-2.9791555404663086,0.05000090256364566
212000,0.3805,90.57186889648438,92.90321350097656,-2.9000000953674316,-2.2017998695373535,-3.0,-2.405116319656372,0.05000069129907339
216000,0.3635,84.70140838623047,93.2181625366211,-3.799999952316284,-2.3273541927337646,-2.5,-2.6736693382263184,0.050000529485550595
220000,0.3635,92.2765121459961,91.47449493408203,-2.5999999046325684,-2.8057940006256104,-2.799999952316284,-2.7944579124450684,0.05000040554798796
224000,0.3635,90.87786865234375,90.04271697998047,-2.9000000953674316,-2.7735788822174072,-3.200000047683716,-2.523068904876709,0.05000031062069654
228000,0.36025,98.38198852539062,96.12103271484375,-1.899999976158142,-3.0896434783935547,-1.7999999523162842,-2.873122453689575,0.05000023791319397
232000,0.36725,99.29389953613281,93.57962799072266,-1.5,-2.795820713043213,-3.0,-2.7069196701049805,0.05000018222445733
236000,0.3625,87.28193664550781,91.15419006347656,-3.299999952316284,-2.437880039215088,-3.0,-2.5984222888946533,0.05000013957087581
240000,0.3555,92.83336639404297,95.76653289794922,-2.4000000953674316,-2.4936375617980957,-1.7999999523162842,-2.9266629219055176,0.050000106901289
244000,0.36375,87.71153259277344,92.42036437988281,-3.700000047683716,-2.3350229263305664,-3.0,-2.405090808868408,0.05000008187872665
248000,0.38475,89.59246063232422,92.97809600830078,-3.0999999046325684,-2.3221826553344727,-2.700000047683716,-2.118976593017578,0.05000006271323705
252000,0.3445,87.7471694946289,90.06301879882812,-3.200000047683716,-3.3133697509765625,-3.0999999046325684,-3.139681100845337,0.050000048033845446
256000,0.3675,88.0959243774414,88.05917358398438,-3.0,-2.120431900024414,-3.799999952316284,-2.155877113342285,0.05000003679048343
260000,0.363,91.49566650390625,92.55078125,-2.5,-2.2784578800201416,-3.0999999046325684,-2.3926260471343994,0.05000002817887384
264000,0.37925,87.66559600830078,92.82344055175781,-3.0,-2.469433546066284,-2.5,-2.568650007247925,0.05000002158299802
268000,0.3695,91.86892700195312,88.712158203125,-3.0,-2.0915801525115967,-3.5999999046325684,-2.3189644813537598,0.05000001653102981
272000,0.371,91.1860122680664,91.86398315429688,-2.4000000953674316,-2.462924003601074,-3.0,-2.6844677925109863,0.050000012661584194
276000,0.36475,98.55337524414062,95.86712646484375,-1.0,-2.5136795043945312,-1.899999976158142,-2.4679529666900635,0.050000009697866145
280000,0.3615,92.498779296875,92.95211029052734,-2.799999952316284,-2.4048752784729004,-2.0999999046325684,-2.4593899250030518,0.0500000074278705
284000,0.37625,95.05133819580078,97.04840087890625,-1.7000000476837158,-2.3559064865112305,-2.200000047683716,-2.334148645401001,0.05000000568921651
288000,0.3775,88.03480529785156,93.448486328125,-2.799999952316284,-2.6890037059783936,-2.799999952316284,-2.6107633113861084,0.05000000435753215
292000,0.36975,99.34336853027344,97.98954772949219,-1.600000023841858,-2.747046709060669,-1.7000000476837158,-2.528061628341675,0.05000000333755736
296000,0.37325,89.85803985595703,94.5674057006836,-2.5,-2.434476852416992,-1.7999999523162842,-2.732468843460083,0.05000000255632976
300000,0.37075,88.64257049560547,95.21369934082031,-3.200000047683716,-2.177828788757324,-2.200000047683716,-2.0343663692474365,0.05000000195796541
304000,0.36625,88.70291137695312,94.94293975830078,-3.4000000953674316,-2.2731478214263916,-2.0999999046325684,-2.6348564624786377,0.05000000149966119
308000,0.37425,90.89913940429688,98.88421630859375,-2.9000000953674316,-2.56160306930542,-1.600000023841858,-2.3761065006256104,0.050000001148633004
312000,0.3525,91.11582946777344,92.20857238769531,-2.9000000953674316,-2.9461569786071777,-2.799999952316284,-2.848551034927368,0.05000000087977057
316000,0.371,89.62035369873047,92.27279663085938,-3.200000047683716,-2.2273027896881104,-2.700000047683716,-2.279231309890747,0.050000000673841215
320000,0.3735,85.44094848632812,94.857421875,-3.4000000953674316,-2.3473949432373047,-2.4000000953674316,-2.389955520629883,0.05000000051611408
324000,0.35875,88.74125671386719,94.36467742919922,-2.9000000953674316,-2.7872543334960938,-2.299999952316284,-2.8616082668304443,0.0500000003953064
328000,0.3755,95.30071258544922,94.65312194824219,-1.7000000476837158,-2.450871467590332,-2.299999952316284,-2.5371878147125244,0.050000000302776376
332000,0.3605,84.85723876953125,94.80370330810547,-3.5,-3.1407175064086914,-2.0,-2.7533230781555176,0.050000000231905005
336000,0.3705,93.10706329345703,92.71863555908203,-2.0999999046325684,-2.139091730117798,-2.5,-2.3115901947021484,0.050000000177622614
340000,0.37375,101.69290161132812,95.953857421875,-0.699999988079071,-2.8918728828430176,-2.299999952316284,-2.6050314903259277,0.0500000001360462
344000,0.36575,93.733154296875,98.14808654785156,-2.700000047683716,-2.4194862842559814,-1.7999999523162842,-3.000744581222534,0.050000000104201636
348000,0.3505,93.43988037109375,95.40154266357422,-2.5999999046325684,-2.7195487022399902,-2.200000047683716,-2.9512176513671875,0.05000000007981099
352000,0.383,91.07624816894531,100.4358901977539,-2.5999999046325684,-2.3320953845977783,-0.6000000238418579,-1.922070026397705,0.0500000000611295
