episodes,return,hinter_loss,guesser_loss,hinter_q,hinter_qhat,guesser_q,guesser_qhat,exploration
4000,0.36925,90.08824157714844,90.64142608642578,-3.299999952316284,-3.3812408447265625,-3.200000047683716,-3.475311040878296,0.7775834142685771
8000,0.373,94.82502746582031,100.25379180908203,-2.0999999046325684,-2.3125014305114746,-1.2000000476837158,-2.7329275608062744,0.6072767555124091
12000,0.36075,92.66879272460938,86.55879974365234,-2.700000047683716,-2.9138741493225098,-3.9000000953674316,-2.8828177452087402,0.47683405935886203
16000,0.37425,93.30912017822266,101.36299896240234,-2.5,-2.2797091007232666,-1.2999999523162842,-2.249481201171875,0.376924301842171
20000,0.3585,95.6772232055664,91.63674926757812,-2.299999952316284,-2.4289145469665527,-3.0999999046325684,-2.5983481407165527,0.3004005872809969
24000,0.36675,89.5243148803711,90.09475708007812,-3.299999952316284,-2.70542049407959,-3.4000000953674316,-2.2672765254974365,0.24178890574166612
28000,0.3695,98.89645385742188,97.56187438964844,-1.5,-2.4413375854492188,-1.600000023841858,-2.3152031898498535,0.19689655789148858
32000,0.36625,89.2307357788086,89.22970581054688,-3.700000047683716,-2.5026352405548096,-3.4000000953674316,-2.149456739425659,0.16251223649731428
36000,0.359,89.84147644042969,88.57841491699219,-3.200000047683716,-2.8747801780700684,-3.5,-2.732344388961792,0.1361763103460783
40000,0.346,94.66364288330078,92.20665740966797,-2.5999999046325684,-2.8701019287109375,-2.9000000953674316,-2.540487289428711,0.11600487818976805
44000,0.36525,95.13727569580078,93.30776977539062,-2.4000000953674316,-2.4734275341033936,-2.5999999046325684,-2.535292148590088,0.10055500667585009
48000,0.37675,91.20243835449219,90.34849548339844,-2.799999952316284,-1.9864786863327026,-3.299999952316284,-2.136835813522339,0.08872151225924757
52000,0.3685,99.48462677001953,95.10924530029297,-1.5,-2.5873143672943115,-2.200000047683716,-2.6712660789489746,0.07965790354369187
56000,0.35425,82.53424072265625,90.03323364257812,-3.700000047683716,-3.307147741317749,-3.200000047683716,-2.5833024978637695,0.07271582878059893
60000,0.3715,94.96150207519531,89.42962646484375,-2.299999952316284,-2.9955203533172607,-3.200000047683716,-2.9249908924102783,0.0673986969925
64000,0.34925,89.85143280029297,89.26799774169922,-2.799999952316284,-3.0523672103881836,-3.200000047683716,-2.966188430786133,0.06332615507717554
68000,0.3455,89.55308532714844,97.33914184570312,-3.5,-2.532346487045288,-2.0,-2.664015531539917,0.06020687981505069
72000,0.35825,94.68302917480469,91.65265655517578,-2.0999999046325684,-3.279245615005493,-2.9000000953674316,-3.0414721965789795,0.057817738496629446
76000,0.373,96.46656036376953,93.98737335205078,-2.0,-2.4112963676452637,-2.5,-2.4311957359313965,0.05598782745649274
80000,0.365,91.50474548339844,86.81344604492188,-2.5999999046325684,-3.32943058013916,-3.5,-2.993781805038452,0.054586246734165705
84000,0.355,91.62313842773438,95.05779266357422,-2.5999999046325684,-2.760976552963257,-2.299999952316284,-3.3767805099487305,0.053512736340429835
88000,0.37425,94.77525329589844,91.42068481445312,-2.299999952316284,-2.329247236251831,-2.9000000953674316,-2.4047322273254395,0.05269050430833854
92000,0.37125,96.3401107788086,95.152099609375,-2.0,-2.4402589797973633,-2.299999952316284,-2.4357306957244873,0.05206073349424867
96000,0.365,91.8857192993164,90.71104431152344,-2.5999999046325684,-2.805514335632324,-3.0,-2.8265912532806396,0.05157837418106226
100000,0.3725,91.82275390625,93.48169708251953,-3.0,-2.3013436794281006,-2.5999999046325684,-2.5088765621185303,0.05120892151381868
104000,0.368,88.97378540039062,91.96060180664062,-3.4000000953674316,-2.3298251628875732,-2.9000000953674316,-2.5996193885803223,0.050925947246292416
108000,0.37225,95.48408508300781,99.69448852539062,-2.0999999046325684,-2.440915584564209,-1.399999976158142,-2.7648956775665283,0.05070920923576608
112000,0.36675,90.65593719482422,89.37650299072266,-2.799999952316284,-2.459526300430298,-3.4000000953674316,-2.005218505859375,0.05054320345150317
116000,0.364,90.06333923339844,90.56937408447266,-3.200000047683716,-2.1831352710723877,-3.299999952316284,-2.3847432136535645,0.050416054917003766
120000,0.368,93.08889770507812,92.32402038574219,-2.0999999046325684,-2.0398335456848145,-2.5,-2.515671491622925,0.050318668251249137
124000,0.35325,98.37367248535156,96.00527954101562,-1.5,-2.6964364051818848,-2.200000047683716,-2.6784563064575195,0.05024407704416882
128000,0.3695,94.9457015991211,91.74613952636719,-1.600000023841858,-2.041917085647583,-3.4000000953674316,-1.863415241241455,0.05018694552487318
132000,0.36175,89.07026672363281,85.1633071899414,-3.4000000953674316,-2.611830711364746,-4.099999904632568,-2.853041172027588,0.050143186875230825
136000,0.36975,89.6701889038086,97.189453125,-3.299999952316284,-2.6078619956970215,-1.7999999523162842,-2.5340425968170166,0.05010967088542117
140000,0.37125,92.68994140625,94.16775512695312,-2.799999952316284,-2.2805488109588623,-2.299999952316284,-2.4420363903045654,0.05008400003903762
144000,0.37325,88.48458862304688,84.38838195800781,-3.799999952316284,-2.393655776977539,-4.599999904632568,-2.3999526500701904,0.05006433801032265
148000,0.38,94.81196594238281,92.3037338256836,-2.0999999046325684,-2.013967990875244,-2.799999952316284,-2.3287158012390137,0.05004927830534012
152000,0.34925,91.01077270507812,89.0497055053711,-3.0999999046325684,-3.1333250999450684,-3.4000000953674316,-2.8746161460876465,0.05003774365052658
156000,0.3625,94.76654052734375,90.01338958740234,-2.299999952316284,-2.6363637447357178,-3.0999999046325684,-2.8148207664489746,0.05002890893153164
160000,0.37325,95.04596710205078,94.37545013427734,-2.5,-2.1483871936798096,-2.4000000953674316,-2.199328660964966,0.050022142169891926
164000,0.37175,89.05143737792969,93.09077453613281,-3.299999952316284,-2.4910590648651123,-2.5999999046325684,-2.4053990840911865,0.050016959315393114
168000,0.36175,97.22106170654297,94.41616821289062,-1.899999976158142,-3.5016722679138184,-2.700000047683716,-3.728402614593506,0.05001298962025885
172000,0.37925,90.9042739868164,92.0751724243164,-2.5,-2.0801360607147217,-2.9000000953674316,-1.8531168699264526,0.05000994911826085
176000,0.37625,92.76256561279297,96.64865112304688,-2.9000000953674316,-2.4662585258483887,-2.0,-2.4460716247558594,0.05000762031161773
180000,0.366,89.58352661132812,99.02619934082031,-3.0,-2.8280091285705566,-1.5,-2.663118839263916,0.050005836612615186
184000,0.373,98.39611053466797,96.67929077148438,-1.899999976158142,-2.2834267616271973,-2.0999999046325684,-2.3529043197631836,0.050004470427002026
188000,0.37825,98.06726837158203,94.04185485839844,-1.2999999523162842,-1.9859236478805542,-2.5999999046325684,-2.3590316772460938,0.050003424026725446
192000,0.373,87.28753662109375,95.8171157836914,-3.5,-2.8987951278686523,-2.200000047683716,-2.671766996383667,0.05000262255910034
196000,0.3625,99.06556701660156,89.64720916748047,-1.5,-2.795111894607544,-3.4000000953674316,-2.929521083831787,0.05000200869233398
200000,0.36325,89.31890869140625,93.09698486328125,-2.9000000953674316,-2.708970308303833,-2.5,-3.010355234146118,0.050001538514381653
204000,0.36575,90.52758026123047,98.05377960205078,-3.0999999046325684,-2.3191945552825928,-1.7000000476837158,-2.1965904235839844,0.05000117839176389
208000,0.35475,88.41695404052734,87.98881530761719,-3.700000047683716,-2.4127418994903564,-3.5999999046325684,-2.4385135173797607,0.05000090256364566
212000,0.378,95.8178482055664,96.86394500732422,-2.0999999046325684,-2.404714345932007,-1.7000000476837158,-2.549063205718994,0.05000069129907339
216000,0.36875,96.0522232055664,93.49842834472656,-2.0999999046325684,-2.462407112121582,-2.299999952316284,-2.6247243881225586,0.050000529485550595
220000,0.374,93.36810302734375,93.02025604248047,-2.700000047683716,-2.7700109481811523,-2.700000047683716,-2.7689342498779297,0.05000040554798796
224000,0.3625,90.93445587158203,92.2851333618164,-3.0999999046325684,-2.787161350250244,-2.5999999046325684,-2.787781000137329,0.05000031062069654
228000,0.376,99.69176483154297,93.63105773925781,-1.399999976158142,-2.4676735401153564,-2.700000047683716,-2.4624581336975098,0.05000023791319397
