episodes,return,hinter_loss,guesser_loss,hinter_q,hinter_qhat,guesser_q,guesser_qhat,exploration
4000,0.36825,101.09440612792969,92.86942291259766,-1.399999976158142,-2.840245246887207,-2.4000000953674316,-2.8286375999450684,0.7775834142685771
8000,0.35925,93.37664031982422,93.386474609375,-2.700000047683716,-2.572847366333008,-2.799999952316284,-2.345174789428711,0.6072767555124091
12000,0.37875,90.20649719238281,96.51673126220703,-3.0999999046325684,-2.6755738258361816,-2.4000000953674316,-2.4340410232543945,0.47683405935886203
16000,0.3675,91.47559356689453,91.76525115966797,-3.0999999046325684,-2.4953441619873047,-2.700000047683716,-2.4918031692504883,0.376924301842171
20000,0.36225,102.40109252929688,97.60009002685547,-1.2999999523162842,-2.7595415115356445,-1.7000000476837158,-2.748462438583374,0.3004005872809969
24000,0.37875,97.62528991699219,96.42603302001953,-1.7000000476837158,-1.724826693534851,-1.7999999523162842,-1.9079664945602417,0.24178890574166612
28000,0.36925,95.66999816894531,94.43417358398438,-2.200000047683716,-2.3667831420898438,-2.5,-2.5404016971588135,0.19689655789148858
32000,0.37075,91.80924987792969,95.93475341796875,-2.5999999046325684,-2.4983410835266113,-2.0,-1.6820287704467773,0.16251223649731428
36000,0.37775,92.57311248779297,98.2059555053711,-2.9000000953674316,-2.4668800830841064,-1.7999999523162842,-2.7005422115325928,0.1361763103460783
40000,0.3605,89.5093765258789,94.9599838256836,-3.299999952316284,-3.023122549057007,-2.4000000953674316,-2.8048412799835205,0.11600487818976805
44000,0.36125,93.13212585449219,95.06368255615234,-2.5999999046325684,-3.19856595993042,-2.5999999046325684,-3.2466487884521484,0.10055500667585009
48000,0.374,92.08917236328125,97.32197570800781,-2.700000047683716,-2.6516692638397217,-1.899999976158142,-2.2380237579345703,0.08872151225924757
52000,0.36675,90.09449005126953,89.06092834472656,-2.799999952316284,-2.618471145629883,-3.5,-2.2013022899627686,0.07965790354369187
56000,0.37675,89.35128784179688,97.24766540527344,-2.700000047683716,-2.9134230613708496,-2.0,-2.8561601638793945,0.07271582878059893
60000,0.36975,91.01964569091797,92.59346008300781,-2.799999952316284,-2.528782606124878,-2.9000000953674316,-2.7432937622070312,0.0673986969925
64000,0.373,96.31562805175781,92.87047576904297,-1.7999999523162842,-1.9123120307922363,-2.9000000953674316,-2.3156991004943848,0.06332615507717554
68000,0.361,91.39379119873047,93.6592025756836,-2.5999999046325684,-2.6644909381866455,-2.5,-2.7536773681640625,0.06020687981505069
72000,0.34825,89.0790786743164,95.1581802368164,-3.0,-3.4310922622680664,-2.5,-2.8612582683563232,0.057817738496629446
76000,0.37225,91.0855941772461,92.10134887695312,-2.299999952316284,-2.5641753673553467,-2.5999999046325684,-2.5024263858795166,0.05598782745649274
80000,0.3725,89.26104736328125,95.58320617675781,-2.799999952316284,-2.5390584468841553,-2.0,-2.157167434692383,0.054586246734165705
84000,0.3795,91.20194244384766,89.80952453613281,-2.4000000953674316,-2.445847272872925,-3.200000047683716,-2.4568932056427,0.053512736340429835
88000,0.361,92.64623260498047,94.06839752197266,-2.4000000953674316,-2.738710880279541,-2.5,-2.9937362670898438,0.05269050430833854
92000,0.36375,93.2192611694336,93.23890686035156,-2.5,-2.7664730548858643,-2.700000047683716,-2.7274909019470215,0.05206073349424867
96000,0.37625,89.637939453125,91.84435272216797,-2.700000047683716,-2.4449570178985596,-3.0999999046325684,-2.186681032180786,0.05157837418106226
100000,0.3615,90.79830169677734,85.70210266113281,-2.5,-2.8396997451782227,-3.700000047683716,-2.894035577774048,0.05120892151381868
104000,0.36975,94.39511108398438,97.61331176757812,-2.299999952316284,-2.147831439971924,-1.7000000476837158,-1.7625982761383057,0.050925947246292416
108000,0.37075,87.22758483886719,87.73822021484375,-3.200000047683716,-2.39652681350708,-3.5999999046325684,-2.6263034343719482,0.05070920923576608
112000,0.35025,90.90737915039062,94.3192367553711,-2.5999999046325684,-3.0648131370544434,-2.5999999046325684,-2.6441245079040527,0.05054320345150317
