episodes,return,hinter_loss,guesser_loss,hinter_q,hinter_qhat,guesser_q,guesser_qhat,exploration
4000,0.38125,90.69061279296875,97.24315643310547,-3.4000000953674316,-2.584956645965576,-1.7000000476837158,-2.903108596801758,0.7775834142685771
8000,0.37625,96.66905212402344,99.6230697631836,-1.7999999523162842,-2.6907217502593994,-1.5,-2.6144254207611084,0.6072767555124091
12000,0.367,90.81392669677734,92.67256164550781,-3.0,-2.991239547729492,-2.700000047683716,-2.9907171726226807,0.47683405935886203
16000,0.36475,93.41249084472656,95.95763397216797,-2.799999952316284,-2.5823354721069336,-2.299999952316284,-2.8614492416381836,0.376924301842171
20000,0.36425,96.32186889648438,92.54027557373047,-2.0999999046325684,-3.0889148712158203,-2.700000047683716,-2.7295844554901123,0.3004005872809969
24000,0.3665,98.79106140136719,103.7190933227539,-1.7000000476837158,-2.590693712234497,-0.6000000238418579,-2.5271542072296143,0.24178890574166612
28000,0.35825,87.0326919555664,92.55569458007812,-3.5999999046325684,-2.671281099319458,-2.5999999046325684,-2.632805109024048,0.19689655789148858
32000,0.368,87.7602310180664,98.21784210205078,-3.5999999046325684,-2.4778106212615967,-1.7999999523162842,-2.477393388748169,0.16251223649731428
36000,0.365,88.17131805419922,96.33625793457031,-3.200000047683716,-3.1595828533172607,-2.200000047683716,-3.2614831924438477,0.1361763103460783
40000,0.36975,93.50239562988281,97.03500366210938,-2.5999999046325684,-2.8501226902008057,-2.0,-2.8840267658233643,0.11600487818976805
44000,0.36525,88.12799072265625,92.35421752929688,-4.0,-1.9126348495483398,-2.700000047683716,-1.9953269958496094,0.10055500667585009
48000,0.365,86.82913208007812,98.93763732910156,-3.4000000953674316,-2.731344699859619,-1.5,-3.0075595378875732,0.08872151225924757
52000,0.3595,98.48861694335938,95.6511001586914,-1.100000023841858,-2.207548141479492,-2.0,-2.2615463733673096,0.07965790354369187
56000,0.354,87.62572479248047,85.54328155517578,-3.0,-2.4129445552825928,-3.5999999046325684,-3.0199620723724365,0.07271582878059893
60000,0.38325,97.0613021850586,94.23759460449219,-1.5,-2.0883893966674805,-2.299999952316284,-2.3313775062561035,0.0673986969925
64000,0.36525,93.4530258178711,91.48060607910156,-2.5999999046325684,-2.7532546520233154,-3.0999999046325684,-2.583697557449341,0.06332615507717554
68000,0.36625,93.86278533935547,96.34964752197266,-2.4000000953674316,-2.683572292327881,-2.299999952316284,-2.7245595455169678,0.06020687981505069
72000,0.36225,92.71556854248047,89.37650299072266,-2.5999999046325684,-2.3523852825164795,-3.5999999046325684,-2.3091936111450195,0.057817738496629446
76000,0.36725,91.39120483398438,88.02696990966797,-2.700000047683716,-3.0676746368408203,-3.5999999046325684,-2.8131372928619385,0.05598782745649274
80000,0.36,92.90695190429688,94.32978820800781,-2.5999999046325684,-2.7576334476470947,-2.299999952316284,-3.1184887886047363,0.054586246734165705
84000,0.3595,92.55374908447266,97.72622680664062,-2.799999952316284,-2.826631546020508,-1.7000000476837158,-2.6992669105529785,0.053512736340429835
88000,0.37175,90.83303833007812,89.97484588623047,-3.0,-2.7434873580932617,-3.200000047683716,-2.676179885864258,0.05269050430833854
92000,0.3565,83.09921264648438,87.7088851928711,-3.799999952316284,-2.8392865657806396,-3.5999999046325684,-2.951383352279663,0.05206073349424867
96000,0.36775,90.8995132446289,89.82829284667969,-2.799999952316284,-2.305417060852051,-3.4000000953674316,-2.339956283569336,0.05157837418106226
100000,0.3725,94.57157135009766,95.25994110107422,-2.5999999046325684,-2.2479774951934814,-2.0,-2.422646999359131,0.05120892151381868
104000,0.3695,93.61170959472656,90.77332305908203,-2.200000047683716,-2.474458694458008,-3.0,-2.6424198150634766,0.050925947246292416
108000,0.3795,93.37466430664062,91.88882446289062,-2.4000000953674316,-2.4720993041992188,-2.700000047683716,-2.4176013469696045,0.05070920923576608
112000,0.376,93.17938232421875,91.3510971069336,-2.4000000953674316,-2.252575635910034,-2.799999952316284,-2.0142929553985596,0.05054320345150317
116000,0.3775,91.68403625488281,93.2673568725586,-2.700000047683716,-2.7017593383789062,-2.5999999046325684,-2.551957368850708,0.050416054917003766
120000,0.37425,96.13751983642578,89.92800903320312,-1.899999976158142,-2.1753499507904053,-3.4000000953674316,-2.0889205932617188,0.050318668251249137
124000,0.37425,90.19933319091797,89.48654174804688,-3.5,-2.1233441829681396,-3.5,-2.2199301719665527,0.05024407704416882
128000,0.37125,84.90376281738281,90.71984100341797,-3.5,-2.3738863468170166,-3.200000047683716,-2.3170108795166016,0.05018694552487318
132000,0.37125,96.67608642578125,86.99602508544922,-1.600000023841858,-2.8301100730895996,-3.700000047683716,-2.594108819961548,0.050143186875230825
136000,0.36725,91.64258575439453,90.57250213623047,-2.5999999046325684,-2.3459019660949707,-3.299999952316284,-2.3705506324768066,0.05010967088542117
140000,0.36475,93.27723693847656,93.01374816894531,-2.0999999046325684,-2.19962739944458,-2.5999999046325684,-2.5539963245391846,0.05008400003903762
144000,0.37525,90.2844009399414,95.32910919189453,-2.700000047683716,-2.466850519180298,-2.0999999046325684,-2.2507376670837402,0.05006433801032265
148000,0.37375,97.46610260009766,92.56729125976562,-1.7999999523162842,-2.0582196712493896,-2.799999952316284,-2.101363182067871,0.05004927830534012
152000,0.35975,91.64923095703125,93.74935913085938,-2.5999999046325684,-2.9664368629455566,-2.700000047683716,-2.807523727416992,0.05003774365052658
156000,0.3875,92.71739196777344,97.5157699584961,-2.9000000953674316,-2.0016958713531494,-1.899999976158142,-2.1752805709838867,0.05002890893153164
160000,0.3705,95.40473937988281,104.12457275390625,-1.899999976158142,-2.716958522796631,-0.8999999761581421,-2.760101079940796,0.050022142169891926
164000,0.367,99.29930877685547,94.59954071044922,-1.2999999523162842,-2.7765448093414307,-2.299999952316284,-2.8108506202697754,0.050016959315393114
168000,0.374,99.54655456542969,100.8828353881836,-2.200000047683716,-2.591090202331543,-1.0,-2.564070701599121,0.05001298962025885
172000,0.36,89.30133819580078,95.2702407836914,-3.0999999046325684,-2.649405002593994,-2.4000000953674316,-2.589451789855957,0.05000994911826085
176000,0.37175,87.43560791015625,94.79833221435547,-3.5999999046325684,-2.3284761905670166,-2.5,-1.921852469444275,0.05000762031161773
180000,0.36325,94.85303497314453,91.30632781982422,-2.4000000953674316,-2.984598159790039,-2.700000047683716,-2.520744800567627,0.050005836612615186
184000,0.37225,99.69489288330078,89.36986541748047,-1.5,-2.8423073291778564,-3.5999999046325684,-2.4876883029937744,0.050004470427002026
188000,0.3645,90.46623229980469,99.17477416992188,-3.0,-2.822075128555298,-1.5,-2.5349130630493164,0.050003424026725446
