episodes,return,hinter_loss,guesser_loss,hinter_q,hinter_qhat,guesser_q,guesser_qhat,exploration
4000,0.36525,94.80413818359375,95.84866333007812,-2.4000000953674316,-2.796988010406494,-2.299999952316284,-2.4493181705474854,0.7775834142685771
8000,0.3675,89.90422058105469,91.65646362304688,-3.5,-2.466738700866699,-3.0,-2.612292766571045,0.6072767555124091
12000,0.377,95.957275390625,95.12113189697266,-1.7999999523162842,-2.0424585342407227,-2.0999999046325684,-2.33933687210083,0.47683405935886203
16000,0.36875,86.0908203125,91.87968444824219,-3.9000000953674316,-2.3686718940734863,-3.0,-2.1314046382904053,0.376924301842171
20000,0.36875,91.00448608398438,92.59556579589844,-3.0999999046325684,-2.877622604370117,-2.700000047683716,-2.6621904373168945,0.3004005872809969
24000,0.372,98.5920181274414,94.4944839477539,-1.7999999523162842,-3.091332197189331,-2.4000000953674316,-2.8544082641601562,0.24178890574166612
28000,0.36475,97.71382904052734,98.30946350097656,-2.0,-2.831555128097534,-1.600000023841858,-2.9812841415405273,0.19689655789148858
32000,0.36925,86.33578491210938,88.8384017944336,-3.5999999046325684,-2.46541428565979,-3.299999952316284,-2.4313724040985107,0.16251223649731428
36000,0.3595,97.04747772216797,94.1958999633789,-1.899999976158142,-2.145778179168701,-2.799999952316284,-2.1275415420532227,0.1361763103460783
40000,0.378,93.80677795410156,95.6369857788086,-2.5999999046325684,-2.8130457401275635,-2.200000047683716,-2.469724655151367,0.11600487818976805
44000,0.3715,95.32923889160156,94.1376724243164,-2.0999999046325684,-2.822113275527954,-2.5999999046325684,-3.0169517993927,0.10055500667585009
48000,0.36475,89.1297836303711,93.95500946044922,-3.200000047683716,-2.5725338459014893,-2.700000047683716,-2.493943452835083,0.08872151225924757
52000,0.35975,86.14364624023438,94.3554916381836,-3.700000047683716,-2.236436605453491,-2.5,-2.6645896434783936,0.07965790354369187
56000,0.3795,93.65274047851562,92.6587905883789,-2.200000047683716,-2.3479068279266357,-2.9000000953674316,-2.2521328926086426,0.07271582878059893
60000,0.38825,97.50794219970703,95.47847747802734,-1.2000000476837158,-1.1304106712341309,-2.299999952316284,-1.7171772718429565,0.0673986969925
64000,0.36275,88.95269775390625,90.35758972167969,-3.4000000953674316,-2.6932742595672607,-3.299999952316284,-2.672593116760254,0.06332615507717554
68000,0.36225,87.00778198242188,93.89435577392578,-3.200000047683716,-2.7578306198120117,-2.799999952316284,-2.540954351425171,0.06020687981505069
72000,0.36675,88.66902160644531,92.60065460205078,-3.4000000953674316,-2.464385509490967,-2.700000047683716,-2.437835454940796,0.057817738496629446
76000,0.3635,101.42741394042969,92.87236022949219,-1.5,-3.072342872619629,-2.5999999046325684,-2.834643840789795,0.05598782745649274
80000,0.37475,98.8742446899414,98.4064712524414,-1.5,-2.6054999828338623,-1.7000000476837158,-2.9141135215759277,0.054586246734165705
84000,0.37475,92.14232635498047,94.14414978027344,-2.5,-2.3865714073181152,-2.5999999046325684,-1.9940928220748901,0.053512736340429835
88000,0.3705,97.0022964477539,91.92052459716797,-1.899999976158142,-2.100005865097046,-3.200000047683716,-2.0080652236938477,0.05269050430833854
92000,0.354,96.3935546875,86.9981460571289,-2.0999999046325684,-3.079455852508545,-3.700000047683716,-3.0538594722747803,0.05206073349424867
96000,0.36925,91.00704193115234,91.81763458251953,-2.4000000953674316,-2.1222710609436035,-2.9000000953674316,-2.2565457820892334,0.05157837418106226
100000,0.361,86.33287811279297,90.07330322265625,-3.200000047683716,-3.002458095550537,-3.200000047683716,-2.7882916927337646,0.05120892151381868
104000,0.366,90.43488311767578,91.02640533447266,-3.200000047683716,-2.5264158248901367,-3.0999999046325684,-2.550389051437378,0.050925947246292416
108000,0.37175,88.72823333740234,91.08000946044922,-2.799999952316284,-2.7081298828125,-3.0,-2.2523033618927,0.05070920923576608
112000,0.363,90.97724914550781,93.78282165527344,-2.5,-2.859290361404419,-2.4000000953674316,-2.671165704727173,0.05054320345150317
