episodes,return,hinter_loss,guesser_loss,hinter_q,hinter_qhat,guesser_q,guesser_qhat,exploration
4000,0.3705,93.61278533935547,91.85633087158203,-2.5,-2.365736961364746,-2.9000000953674316,-2.265927791595459,0.7775834142685771
8000,0.37425,89.69340515136719,93.39558410644531,-3.5,-2.2194323539733887,-2.5999999046325684,-2.215765953063965,0.6072767555124091
12000,0.38075,92.9336929321289,94.03453063964844,-2.700000047683716,-2.301845073699951,-2.200000047683716,-2.030693531036377,0.47683405935886203
16000,0.3735,89.9753189086914,92.28280639648438,-3.5,-2.3122713565826416,-2.799999952316284,-2.53084659576416,0.376924301842171
20000,0.3655,97.37877655029297,92.5654525756836,-1.7000000476837158,-2.056317090988159,-3.0,-1.9465718269348145,0.3004005872809969
24000,0.37875,88.36888885498047,99.32178497314453,-3.5999999046325684,-2.633652448654175,-1.7999999523162842,-2.9603240489959717,0.24178890574166612
28000,0.3605,95.38273620605469,97.2997055053711,-2.5,-3.368549108505249,-1.899999976158142,-3.1202306747436523,0.19689655789148858
32000,0.35525,100.38067626953125,93.89820098876953,-1.7999999523162842,-3.134902238845825,-2.700000047683716,-2.6180028915405273,0.16251223649731428
36000,0.36175,86.83012390136719,92.77196502685547,-3.700000047683716,-2.3424112796783447,-2.700000047683716,-2.1754469871520996,0.1361763103460783
40000,0.37025,97.49727630615234,97.9457778930664,-2.0,-2.3589725494384766,-1.7000000476837158,-2.320218801498413,0.11600487818976805
44000,0.38125,89.35073852539062,91.9522476196289,-3.0999999046325684,-2.5270612239837646,-3.0,-2.5714895725250244,0.10055500667585009
48000,0.37075,93.54861450195312,93.111328125,-2.5,-2.274963617324829,-2.799999952316284,-2.4115214347839355,0.08872151225924757
52000,0.36875,89.71483612060547,95.75499725341797,-3.200000047683716,-2.5622055530548096,-2.200000047683716,-2.651458740234375,0.07965790354369187
56000,0.3495,85.50337219238281,88.97516632080078,-3.5,-2.77435302734375,-3.4000000953674316,-2.8578739166259766,0.07271582878059893
60000,0.357,94.93614959716797,92.99313354492188,-2.5,-3.147756338119507,-2.5999999046325684,-3.081967830657959,0.0673986969925
64000,0.3685,85.48719024658203,91.38197326660156,-3.799999952316284,-2.8546950817108154,-2.9000000953674316,-2.5857694149017334,0.06332615507717554
68000,0.36225,94.45165252685547,89.24922943115234,-2.5,-2.4357707500457764,-3.299999952316284,-2.585857629776001,0.06020687981505069
72000,0.363,86.21971893310547,87.61137390136719,-3.700000047683716,-2.7898383140563965,-4.0,-2.4032094478607178,0.057817738496629446
76000,0.3785,92.92657470703125,99.73794555664062,-2.799999952316284,-2.262295722961426,-1.2000000476837158,-2.335320234298706,0.05598782745649274
80000,0.36975,86.63491821289062,97.5888900756836,-4.0,-2.4875411987304688,-1.5,-2.590804100036621,0.054586246734165705
84000,0.378,106.4369125366211,97.24561309814453,0.6000000238418579,-2.4431095123291016,-1.899999976158142,-2.189574956893921,0.053512736340429835
88000,0.36825,93.13076782226562,94.22372436523438,-2.299999952316284,-2.6022143363952637,-2.5999999046325684,-2.2697677612304688,0.05269050430833854
92000,0.357,88.4589614868164,85.12242126464844,-2.0999999046325684,-3.128340721130371,-3.700000047683716,-2.891401767730713,0.05206073349424867
96000,0.35875,93.91228485107422,98.69650268554688,-1.899999976158142,-2.707387924194336,-1.100000023841858,-2.222322463989258,0.05157837418106226
100000,0.364,88.69454956054688,88.20001983642578,-1.7999999523162842,-2.6539645195007324,-3.5999999046325684,-2.8856894969940186,0.05120892151381868
104000,0.36175,90.23893737792969,98.10417938232422,-2.0,-2.4304778575897217,-1.7000000476837158,-2.4287374019622803,0.050925947246292416
108000,0.372,91.72221374511719,95.75596618652344,-2.0999999046325684,-2.4651312828063965,-1.7999999523162842,-2.3356668949127197,0.05070920923576608
112000,0.37175,91.24009704589844,94.85379791259766,-3.5,-2.374009609222412,-2.4000000953674316,-2.4084701538085938,0.05054320345150317
116000,0.37675,91.17923736572266,87.8125228881836,-2.9000000953674316,-2.142423152923584,-3.799999952316284,-2.287546396255493,0.050416054917003766
120000,0.37325,99.39693450927734,97.39202880859375,-1.399999976158142,-2.854956865310669,-1.899999976158142,-2.840315341949463,0.050318668251249137
124000,0.3615,96.46815490722656,95.23877716064453,-1.399999976158142,-2.592144250869751,-2.4000000953674316,-2.7438101768493652,0.05024407704416882
128000,0.3715,93.33824157714844,91.3968276977539,-2.5,-2.6172616481781006,-2.9000000953674316,-2.720963478088379,0.05018694552487318
132000,0.367,92.81681823730469,87.75257110595703,-2.4000000953674316,-2.9117321968078613,-3.4000000953674316,-2.626655340194702,0.050143186875230825
136000,0.3675,94.47118377685547,101.47020721435547,-2.0999999046325684,-2.781017541885376,-1.100000023841858,-2.7786498069763184,0.05010967088542117
140000,0.36625,90.01309204101562,93.48988342285156,-2.200000047683716,-2.727294683456421,-2.200000047683716,-2.6276824474334717,0.05008400003903762
144000,0.364,95.80223846435547,101.98448181152344,-2.200000047683716,-2.808260202407837,-1.2000000476837158,-2.8005917072296143,0.05006433801032265
148000,0.359,90.7625503540039,87.24500274658203,-3.0999999046325684,-3.419349431991577,-3.799999952316284,-3.5251822471618652,0.05004927830534012
152000,0.3715,91.15868377685547,97.53994750976562,-2.700000047683716,-2.5913209915161133,-1.7999999523162842,-2.511084794998169,0.05003774365052658
156000,0.3595,84.78253936767578,84.24891662597656,-4.300000190734863,-2.6520285606384277,-4.199999809265137,-2.9322848320007324,0.05002890893153164
160000,0.3725,83.8150863647461,89.44609069824219,-3.700000047683716,-2.7541322708129883,-3.299999952316284,-2.2756855487823486,0.050022142169891926
164000,0.36525,84.2779312133789,96.08446502685547,-3.200000047683716,-2.8620755672454834,-1.600000023841858,-2.7427947521209717,0.050016959315393114
168000,0.38125,86.0082015991211,92.1249008178711,-3.5999999046325684,-2.3094747066497803,-2.799999952316284,-2.2470710277557373,0.05001298962025885
172000,0.3725,96.62317657470703,93.54338073730469,-1.899999976158142,-2.581352472305298,-2.200000047683716,-2.502795457839966,0.05000994911826085
176000,0.361,90.46390533447266,92.8810806274414,-3.4000000953674316,-2.770838975906372,-2.299999952316284,-2.6921586990356445,0.05000762031161773
180000,0.36975,96.21651458740234,92.47415161132812,-1.7000000476837158,-2.7804901599884033,-2.4000000953674316,-2.811669111251831,0.050005836612615186
184000,0.37525,85.8888931274414,91.57377624511719,-3.4000000953674316,-2.715285539627075,-2.9000000953674316,-2.644324541091919,0.050004470427002026
188000,0.373,93.52661895751953,97.8782730102539,-2.299999952316284,-2.175686836242676,-1.899999976158142,-2.3398778438568115,0.050003424026725446
192000,0.375,94.21697998046875,91.25410461425781,-2.200000047683716,-2.2225217819213867,-2.9000000953674316,-2.317279577255249,0.05000262255910034
196000,0.35525,95.41484069824219,89.1449203491211,-2.5999999046325684,-3.087100028991699,-2.700000047683716,-3.023831844329834,0.05000200869233398
200000,0.36925,88.65056610107422,92.34417724609375,-3.299999952316284,-2.609348773956299,-2.700000047683716,-2.460021734237671,0.050001538514381653
204000,0.3645,88.44830322265625,87.24411010742188,-3.5999999046325684,-2.797731399536133,-3.5,-2.616464138031006,0.05000117839176389
208000,0.37525,93.64623260498047,92.88109588623047,-2.4000000953674316,-2.214617967605591,-2.799999952316284,-2.2115659713745117,0.05000090256364566
212000,0.35775,90.03002166748047,86.8537368774414,-3.200000047683716,-2.8858096599578857,-3.700000047683716,-2.759293794631958,0.05000069129907339
216000,0.3635,98.17919921875,85.8762435913086,-1.2000000476837158,-2.346747636795044,-3.9000000953674316,-2.684969425201416,0.050000529485550595
220000,0.36875,86.51980590820312,87.94113159179688,-3.200000047683716,-2.1938560009002686,-3.700000047683716,-2.280038595199585,0.05000040554798796
224000,0.35875,90.46961212158203,89.57536315917969,-3.0999999046325684,-2.6028823852539062,-3.200000047683716,-2.8619961738586426,0.05000031062069654
228000,0.36475,95.70520782470703,97.44493103027344,-2.0,-2.4100050926208496,-1.899999976158142,-2.7672066688537598,0.05000023791319397
232000,0.3525,92.13346862792969,99.2087173461914,-2.5999999046325684,-2.9254372119903564,-1.5,-2.772217035293579,0.05000018222445733
236000,0.36025,82.82955169677734,90.10247802734375,-3.5999999046325684,-2.862797260284424,-2.700000047683716,-2.393249273300171,0.05000013957087581
240000,0.36275,83.3409652709961,94.14912414550781,-3.700000047683716,-2.9262847900390625,-2.700000047683716,-2.970353603363037,0.050000106901289
244000,0.3635,86.85369110107422,96.2298812866211,-3.0999999046325684,-2.9635229110717773,-1.899999976158142,-2.786281108856201,0.05000008187872665
248000,0.36575,89.76499938964844,93.13145446777344,-2.5,-2.431039810180664,-2.700000047683716,-2.3987531661987305,0.05000006271323705
252000,0.3775,90.01388549804688,92.53569030761719,-2.4000000953674316,-2.4594473838806152,-2.5,-2.264288902282715,0.050000048033845446
256000,0.38075,96.87169647216797,94.25627136230469,-1.600000023841858,-2.2298617362976074,-2.200000047683716,-2.2770543098449707,0.05000003679048343
260000,0.38,92.29608154296875,102.33291625976562,-1.7000000476837158,-2.208595037460327,-0.699999988079071,-2.3847100734710693,0.05000002817887384
264000,0.3725,93.07477569580078,93.16189575195312,-2.4000000953674316,-2.3624770641326904,-2.5,-2.470679998397827,0.05000002158299802
268000,0.3635,91.63569641113281,95.16214752197266,-2.200000047683716,-2.4960715770721436,-2.0999999046325684,-2.465808153152466,0.05000001653102981
272000,0.378,94.42401123046875,92.91557312011719,-2.200000047683716,-2.001023292541504,-2.5,-2.0096917152404785,0.050000012661584194
276000,0.36875,88.82913208007812,94.38658142089844,-3.299999952316284,-2.226238489151001,-2.200000047683716,-2.350924015045166,0.050000009697866145
280000,0.3615,83.5204849243164,94.4033432006836,-4.300000190734863,-2.7460646629333496,-2.5999999046325684,-2.698477268218994,0.0500000074278705
284000,0.37875,95.46359252929688,97.20193481445312,-1.5,-2.4379122257232666,-2.0,-2.3479156494140625,0.05000000568921651
288000,0.366,91.91381072998047,90.01297760009766,-2.700000047683716,-2.581404685974121,-3.200000047683716,-2.6230063438415527,0.05000000435753215
292000,0.3785,87.81721496582031,93.911376953125,-3.5999999046325684,-2.1950416564941406,-2.299999952316284,-2.072441339492798,0.05000000333755736
296000,0.37675,91.70653533935547,91.83647155761719,-2.5,-2.6630051136016846,-2.700000047683716,-2.737511396408081,0.05000000255632976
300000,0.38625,96.23333740234375,94.43487548828125,-2.0999999046325684,-2.0137531757354736,-2.0999999046325684,-2.2281694412231445,0.05000000195796541
304000,0.35825,89.96177673339844,89.97986602783203,-2.5999999046325684,-3.2219672203063965,-3.299999952316284,-3.0243234634399414,0.05000000149966119
308000,0.3665,94.07775115966797,94.98405456542969,-2.299999952316284,-2.555459976196289,-2.0,-2.238248825073242,0.050000001148633004
312000,0.377,94.08778381347656,91.17452239990234,-1.600000023841858,-2.322756767272949,-3.0999999046325684,-1.9308334589004517,0.05000000087977057
316000,0.367,100.0693588256836,97.5306625366211,-1.0,-2.5792648792266846,-1.600000023841858,-2.4428043365478516,0.050000000673841215
320000,0.3735,101.04069519042969,95.70311737060547,-0.20000000298023224,-2.1506171226501465,-2.299999952316284,-2.413994789123535,0.05000000051611408
324000,0.35975,84.10640716552734,95.52203369140625,-3.4000000953674316,-2.7270097732543945,-2.200000047683716,-2.4220387935638428,0.0500000003953064
328000,0.3615,86.53031921386719,92.74749755859375,-3.0999999046325684,-2.793724298477173,-2.700000047683716,-2.4725160598754883,0.050000000302776376
332000,0.38275,87.14478302001953,92.4518814086914,-3.5999999046325684,-2.2352170944213867,-2.799999952316284,-2.526890516281128,0.050000000231905005
