episodes,return,hinter_loss,guesser_loss,hinter_q,hinter_qhat,guesser_q,guesser_qhat,exploration
2000,0.454,97.7570571899414,100.27523803710938,-1.7000000476837158,-0.640786349773407,-0.20000000298023224,-0.4783969223499298,0.8813592272948078
4000,0.445,100.85786437988281,102.67107391357422,-0.6000000238418579,-1.0305473804473877,0.699999988079071,-1.0174171924591064,0.7775834142685771
6000,0.4545,100.85458374023438,98.07650756835938,0.20000000298023224,-0.9530587792396545,-1.399999976158142,-1.1749293804168701,0.6867615915460303
8000,0.433,96.36730194091797,100.98329162597656,-2.200000047683716,-1.1168797016143799,-0.30000001192092896,-1.2170733213424683,0.6072767555124091
10000,0.4555,97.82913970947266,96.96710968017578,-0.6000000238418579,-0.9671292901039124,-1.899999976158142,-0.8737749457359314,0.5377137477472802
12000,0.432,98.8849105834961,98.17089080810547,-0.4000000059604645,-1.2127686738967896,-1.2999999523162842,-1.3921259641647339,0.47683405935886203
14000,0.431,94.6764144897461,97.51846313476562,-2.0999999046325684,-1.2764358520507812,-1.2999999523162842,-1.2005352973937988,0.42355378040966973
16000,0.4475,98.57996368408203,98.99881744384766,-0.4000000059604645,-1.0655603408813477,-0.20000000298023224,-1.2339887619018555,0.376924301842171
18000,0.4445,95.04373931884766,99.4511489868164,-1.100000023841858,-1.230066180229187,-0.20000000298023224,-1.0403790473937988,0.3361154263190112
20000,0.44,96.47604370117188,95.0185775756836,-0.800000011920929,-1.651766061782837,-1.5,-1.2496370077133179,0.3004005872809969
22000,0.42,92.03268432617188,96.11560821533203,-2.299999952316284,-1.6557388305664062,-2.4000000953674316,-1.3919968605041504,0.2691439130610133
24000,0.459,97.82728576660156,98.44269561767578,-0.800000011920929,-0.800102949142456,-0.5,-0.8073663115501404,0.24178890574166612
26000,0.4685,96.09443664550781,98.94181823730469,-0.800000011920929,-0.7147249579429626,-0.4000000059604645,-0.7155889272689819,0.21784853319354897
28000,0.464,96.06584930419922,98.55795288085938,-2.200000047683716,-0.6686017513275146,-1.7000000476837158,-0.6522887349128723,0.19689655789148858
30000,0.4635,98.2442398071289,99.089111328125,-0.30000001192092896,-1.0170589685440063,-0.699999988079071,-0.9059028625488281,0.17855994812587855
32000,0.467,93.20004272460938,98.50984191894531,-1.600000023841858,-0.5059359073638916,-0.30000001192092896,-0.38752973079681396,0.16251223649731428
34000,0.459,97.19861602783203,95.58977508544922,-0.5,-0.7745920419692993,-2.299999952316284,-0.7310426235198975,0.14846770744829957
36000,0.466,96.37881469726562,100.08720397949219,-0.10000000149011612,-1.071205735206604,0.30000001192092896,-0.7840540409088135,0.1361763103460783
38000,0.469,93.89603424072266,97.33551788330078,0.10000000149011612,-0.6914966702461243,-0.20000000298023224,-0.5509174466133118,0.12541920754845245
40000,0.463,90.65831756591797,96.85892486572266,-0.800000011920929,-0.9096128940582275,-1.600000023841858,-0.4366239905357361,0.11600487818976805
42000,0.497,95.218994140625,99.53722381591797,-0.10000000149011612,-0.1188998594880104,1.0,-0.33792632818222046,0.10776570831836477
44000,0.4935,98.33649444580078,99.0119857788086,-0.4000000059604645,-0.310541033744812,0.0,-0.02124938927590847,0.10055500667585009
46000,0.488,87.36852264404297,100.38339233398438,-1.399999976158142,-0.46572425961494446,-1.100000023841858,-0.11925321817398071,0.09424439298674207
48000,0.464,88.38784790039062,96.02021789550781,-1.899999976158142,-1.1644203662872314,-0.8999999761581421,-0.8945298790931702,0.08872151225924757
50000,0.483,93.83528137207031,94.26908874511719,-0.8999999761581421,-0.037596311420202255,-0.699999988079071,-0.3009849488735199,0.08388803440228787
52000,0.5005,85.6395034790039,96.42305755615234,-0.30000001192092896,0.3316977024078369,0.4000000059604645,0.35439595580101013,0.07965790354369187
54000,0.47,88.4472885131836,94.95110321044922,-0.30000001192092896,-0.003847019746899605,-0.20000000298023224,-0.7077726721763611,0.07595580588018841
56000,0.497,94.16145324707031,96.11761474609375,-0.5,-0.6284905076026917,-1.0,0.07563096284866333,0.07271582878059893
58000,0.4725,90.93230438232422,98.39595794677734,-0.10000000149011612,-0.8815932273864746,-0.20000000298023224,-1.0554581880569458,0.06988028726872808
60000,0.4885,94.80709075927734,96.72083282470703,0.0,-0.49036723375320435,0.0,-0.22201776504516602,0.0673986969925
62000,0.499,84.28005981445312,94.94568634033203,-0.5,-0.04521416500210762,-0.30000001192092896,0.26259905099868774,0.06522687539394878
64000,0.507,82.17056274414062,93.08389282226562,-0.5,0.2230905145406723,-0.4000000059604645,0.1049923524260521,0.06332615507717554
66000,0.4925,77.2269515991211,93.55899047851562,-0.5,-0.4264785647392273,-0.800000011920929,0.26388388872146606,0.061662695368972745
68000,0.531,85.11408233642578,92.0801773071289,1.2999999523162842,0.3356562852859497,0.10000000149011612,0.7384793162345886,0.06020687981505069
70000,0.513,87.86044311523438,92.91378784179688,1.2999999523162842,0.42855218052864075,-0.10000000149011612,0.04772490635514259,0.05893278888481038
72000,0.493,82.4261245727539,93.74357604980469,-1.2000000476837158,-0.5429272651672363,0.0,-0.2873825132846832,0.057817738496629446
74000,0.5195,74.21094512939453,94.28031158447266,0.10000000149011612,0.2094717174768448,1.100000023841858,0.7101688981056213,0.05684187614750502
76000,0.5015,77.03314971923828,93.25254821777344,0.699999988079071,-0.016884954646229744,0.4000000059604645,0.39207351207733154,0.05598782745649274
78000,0.52,77.72921752929688,94.12124633789062,0.20000000298023224,0.6405279636383057,0.10000000149011612,0.39262279868125916,0.05524038682895525
80000,0.5125,72.67874145507812,97.748779296875,0.5,-0.05156540870666504,0.30000001192092896,-0.07388010621070862,0.054586246734165705
82000,0.533,82.86060333251953,93.72512817382812,0.699999988079071,0.4561504125595093,0.8999999761581421,0.7296997308731079,0.05401376077628968
84000,0.51,67.25760650634766,93.33050537109375,0.10000000149011612,0.5455980896949768,0.20000000298023224,0.06060238927602768,0.053512736340429835
86000,0.5375,77.10717010498047,86.03394317626953,1.0,0.8160615563392639,1.2000000476837158,0.9560704827308655,0.05307425312197676
88000,0.529,71.02912902832031,86.7841796875,0.699999988079071,0.1410711258649826,0.800000011920929,0.8492297530174255,0.05269050430833854
90000,0.543,68.21797943115234,90.73622131347656,0.8999999761581421,0.6163619160652161,1.0,0.8996198773384094,0.05235465758542799
92000,0.552,78.99834442138672,89.78265380859375,0.30000001192092896,1.407416582107544,2.0,1.4224923849105835,0.05206073349424867
94000,0.5485,82.22200012207031,89.96470642089844,0.6000000238418579,1.3245183229446411,2.299999952316284,1.0802000761032104,0.051803498971824576
96000,0.529,84.37444305419922,94.72760009765625,0.800000011920929,0.36334654688835144,1.0,0.5243124961853027,0.05157837418106226
98000,0.544,84.56058502197266,87.20458221435547,1.600000023841858,0.7830654978752136,1.2999999523162842,0.7479740381240845,0.05138135097073195
100000,0.554,64.4417953491211,90.18539428710938,1.5,1.5147660970687866,0.4000000059604645,1.4159921407699585,0.05120892151381868
102000,0.5385,78.0108642578125,91.4528579711914,0.8999999761581421,1.0689263343811035,1.0,0.9322038888931274,0.05105801585371112
104000,0.5555,70.75553894042969,85.85913848876953,1.2999999523162842,0.8275811672210693,1.5,1.2462519407272339,0.050925947246292416
106000,0.5345,67.83716583251953,91.77015686035156,0.800000011920929,0.06671342998743057,0.5,0.6556639075279236,0.050810364324796416
108000,0.555,63.91307067871094,94.32728576660156,1.0,0.5758427977561951,0.6000000238418579,0.4572007358074188,0.05070920923576608
110000,0.5555,75.8469009399414,91.25941467285156,2.0,1.5988361835479736,-0.699999988079071,0.948773980140686,0.05062068100076131
112000,0.5325,74.0738296508789,89.8358383178711,1.5,0.268665611743927,1.100000023841858,0.24046048521995544,0.05054320345150317
114000,0.5385,74.54656219482422,89.36111450195312,0.6000000238418579,1.3647491931915283,0.5,0.514034628868103,0.05047539716756762
116000,0.566,73.84905242919922,85.61032104492188,1.2999999523162842,0.9082308411598206,0.800000011920929,1.5492682456970215,0.050416054917003766
118000,0.552,66.7309341430664,84.50949096679688,2.0,1.1563384532928467,1.0,1.0572128295898438,0.05036412016261833
120000,0.593,63.78128433227539,87.14663696289062,2.700000047683716,2.00510835647583,1.899999976158142,1.8720425367355347,0.050318668251249137
122000,0.5655,69.5676040649414,82.91437530517578,1.5,1.449692964553833,1.5,1.113643765449524,0.05027888995111932
124000,0.588,67.12149047851562,91.27536010742188,2.200000047683716,2.454535722732544,2.299999952316284,1.4294546842575073,0.05024407704416882
126000,0.5855,74.27692413330078,91.81874084472656,-0.5,0.9284378290176392,2.0999999046325684,1.7392630577087402,0.05021360971684742
128000,0.5905,71.49073028564453,91.2678451538086,1.899999976158142,1.710841417312622,1.399999976158142,1.97959303855896,0.05018694552487318
130000,0.585,65.92040252685547,93.6558609008789,0.800000011920929,1.9194755554199219,1.7000000476837158,1.7770947217941284,0.05016360973548349
132000,0.5785,70.56918334960938,87.63060760498047,1.5,1.4906922578811646,2.0,1.8778454065322876,0.050143186875230825
134000,0.5875,60.62675476074219,86.53582000732422,1.7000000476837158,1.7593543529510498,2.0999999046325684,2.1203408241271973,0.05012531333283915
136000,0.6095,65.2457504272461,83.36670684814453,2.0,2.7932839393615723,2.799999952316284,1.9891438484191895,0.05010967088542117
