episodes,return,hinter_loss,guesser_loss,hinter_q,hinter_qhat,guesser_q,guesser_qhat,exploration
4000,0.449,96.90866088867188,98.35308837890625,-1.7999999523162842,-1.2943122386932373,-0.8999999761581421,-1.2987244129180908,0.7775834142685771
8000,0.44275,97.393310546875,98.49895477294922,-1.399999976158142,-0.7949467301368713,-1.0,-0.7908675670623779,0.6072767555124091
12000,0.44075,96.85859680175781,99.66743469238281,-1.399999976158142,-1.2880090475082397,-0.8999999761581421,-1.1467608213424683,0.47683405935886203
16000,0.44525,97.28773498535156,98.86341094970703,-1.600000023841858,-0.7454583048820496,-1.2999999523162842,-0.8122967481613159,0.376924301842171
20000,0.445,95.43801879882812,97.86077117919922,-1.899999976158142,-1.0585970878601074,-1.399999976158142,-1.2151747941970825,0.3004005872809969
24000,0.45225,98.02898406982422,95.43634796142578,-0.20000000298023224,-1.281669020652771,-1.899999976158142,-1.4424917697906494,0.24178890574166612
28000,0.45675,95.889892578125,98.61437225341797,0.0,-0.5268303155899048,-0.6000000238418579,-0.7167641520500183,0.19689655789148858
32000,0.45975,95.16419982910156,96.49703216552734,-0.20000000298023224,-0.4786123037338257,-1.399999976158142,-0.7250592112541199,0.16251223649731428
36000,0.46075,91.84539031982422,98.97982788085938,-1.2000000476837158,-0.5794771313667297,-1.100000023841858,-0.5113764405250549,0.1361763103460783
40000,0.46675,92.55599975585938,98.08348846435547,-1.7000000476837158,-0.4858641028404236,-0.4000000059604645,-0.6615788340568542,0.11600487818976805
44000,0.467,88.07501983642578,96.75511932373047,0.4000000059604645,0.22513970732688904,-0.800000011920929,-0.36118924617767334,0.10055500667585009
48000,0.483,94.38874816894531,96.05388641357422,0.0,-0.286751925945282,0.0,-0.11262727528810501,0.08872151225924757
52000,0.485,86.8641586303711,97.22796630859375,0.0,0.015298938378691673,-0.8999999761581421,-0.352689653635025,0.07965790354369187
56000,0.47325,80.80867004394531,97.26123046875,-1.100000023841858,-1.37178373336792,-0.800000011920929,-1.0316499471664429,0.07271582878059893
60000,0.47575,88.07884979248047,96.7416000366211,0.30000001192092896,0.4450458586215973,0.30000001192092896,-0.0821944996714592,0.0673986969925
64000,0.4795,83.46218872070312,94.9798355102539,-0.10000000149011612,-0.4406886696815491,-0.8999999761581421,-0.7800652980804443,0.06332615507717554
68000,0.49925,79.26507568359375,94.138916015625,-0.10000000149011612,0.04982064664363861,-0.800000011920929,-0.13697493076324463,0.06020687981505069
72000,0.49225,79.67051696777344,97.28402709960938,0.30000001192092896,0.1766805797815323,-0.20000000298023224,0.21595537662506104,0.057817738496629446
76000,0.51425,86.38214874267578,91.75609588623047,-0.20000000298023224,0.11342032253742218,1.2999999523162842,0.22757522761821747,0.05598782745649274
80000,0.50325,83.16332244873047,95.0093765258789,-1.2999999523162842,0.26389461755752563,-0.30000001192092896,0.4849509000778198,0.054586246734165705
84000,0.493,76.0878677368164,95.5059585571289,0.10000000149011612,-0.5486839413642883,-1.5,-0.049457646906375885,0.053512736340429835
88000,0.48225,77.93571472167969,90.77294921875,-0.30000001192092896,-0.8657730221748352,0.20000000298023224,-0.5709546804428101,0.05269050430833854
92000,0.51375,79.46011352539062,89.7390365600586,-1.0,0.2657894790172577,1.5,1.1191667318344116,0.05206073349424867
96000,0.51275,69.78934478759766,90.705078125,-0.4000000059604645,0.6684797406196594,-0.4000000059604645,0.47999489307403564,0.05157837418106226
100000,0.50525,74.43036651611328,86.84478759765625,-1.0,-0.48220741748809814,-0.800000011920929,-0.13200907409191132,0.05120892151381868
104000,0.51625,77.96167755126953,91.7113265991211,-0.30000001192092896,0.3296926021575928,-0.20000000298023224,0.19157280027866364,0.050925947246292416
108000,0.52825,78.15060424804688,89.40849304199219,0.30000001192092896,0.4523605704307556,-0.30000001192092896,0.981197714805603,0.05070920923576608
112000,0.51575,73.72065734863281,91.55301666259766,0.4000000059604645,-0.10786721110343933,0.0,0.20038652420043945,0.05054320345150317
116000,0.53425,70.98609161376953,85.35240173339844,0.699999988079071,0.23284468054771423,1.100000023841858,0.5620602369308472,0.050416054917003766
120000,0.525,69.20257568359375,93.09184265136719,0.20000000298023224,0.6687647104263306,0.0,0.7073217034339905,0.050318668251249137
124000,0.5405,64.58200073242188,92.77519226074219,1.0,1.1895110607147217,2.9000000953674316,1.2384600639343262,0.05024407704416882
128000,0.55,70.70740509033203,93.28951263427734,1.899999976158142,0.4997105300426483,1.2999999523162842,0.9142506122589111,0.05018694552487318
132000,0.55125,74.73300170898438,86.653076171875,2.700000047683716,1.7291510105133057,2.4000000953674316,1.0515387058258057,0.050143186875230825
136000,0.558,61.25408172607422,93.7726058959961,0.800000011920929,1.317909836769104,1.399999976158142,1.270606517791748,0.05010967088542117
140000,0.554,52.598819732666016,90.8574447631836,0.0,0.7655670046806335,0.699999988079071,1.115760326385498,0.05008400003903762
144000,0.5685,62.950233459472656,90.32621765136719,1.399999976158142,1.8651251792907715,0.699999988079071,1.4969911575317383,0.05006433801032265
148000,0.591,61.22285079956055,82.10222625732422,2.700000047683716,2.2589356899261475,2.700000047683716,2.209066390991211,0.05004927830534012
152000,0.57925,69.41964721679688,85.78456115722656,1.5,1.5882246494293213,2.5999999046325684,2.0641393661499023,0.05003774365052658
156000,0.58375,54.78848648071289,85.9612808227539,2.0999999046325684,2.0162148475646973,0.699999988079071,1.6006431579589844,0.05002890893153164
160000,0.59425,60.81427764892578,84.77859497070312,2.200000047683716,2.3274362087249756,2.5999999046325684,1.8631263971328735,0.050022142169891926
164000,0.5965,54.50993347167969,84.3837890625,2.0,2.4960227012634277,1.7000000476837158,1.9390318393707275,0.050016959315393114
168000,0.6045,53.4217414855957,85.89971923828125,1.7000000476837158,1.6720757484436035,1.2999999523162842,2.2477784156799316,0.05001298962025885
172000,0.59875,61.482147216796875,84.79935455322266,2.9000000953674316,2.130847454071045,2.200000047683716,1.9554150104522705,0.05000994911826085
176000,0.60775,50.51925277709961,83.93353271484375,1.7999999523162842,1.6117815971374512,2.9000000953674316,2.2431282997131348,0.05000762031161773
180000,0.61175,61.62220764160156,89.16614532470703,1.7000000476837158,1.3689099550247192,1.899999976158142,2.0615646839141846,0.050005836612615186
184000,0.60525,55.9140625,76.25660705566406,2.799999952316284,3.302905321121216,3.0999999046325684,2.5187594890594482,0.050004470427002026
188000,0.62025,52.748085021972656,77.97820281982422,2.0999999046325684,2.7038464546203613,2.9000000953674316,2.5089991092681885,0.050003424026725446
192000,0.62775,50.163414001464844,78.33329010009766,2.9000000953674316,2.2513113021850586,2.700000047683716,2.4862520694732666,0.05000262255910034
196000,0.62125,60.455345153808594,88.75900268554688,2.799999952316284,2.1104094982147217,2.299999952316284,2.34643816947937,0.05000200869233398
200000,0.6165,61.71074676513672,89.91413879394531,1.899999976158142,2.3405563831329346,0.6000000238418579,1.9726959466934204,0.050001538514381653
204000,0.62975,54.65265655517578,78.0744400024414,3.5,3.3391430377960205,2.799999952316284,2.411541700363159,0.05000117839176389
208000,0.6345,63.96577453613281,76.22997283935547,2.700000047683716,1.7884210348129272,1.899999976158142,2.290928602218628,0.05000090256364566
212000,0.63925,63.891658782958984,81.03375244140625,2.5999999046325684,2.376497268676758,3.200000047683716,3.3456954956054688,0.05000069129907339
216000,0.65575,51.589962005615234,76.6124038696289,3.799999952316284,2.8877456188201904,3.299999952316284,2.803276300430298,0.050000529485550595
220000,0.65075,60.45110321044922,77.11830139160156,2.799999952316284,3.0732316970825195,3.700000047683716,2.4863905906677246,0.05000040554798796
224000,0.6615,64.01911163330078,74.18978881835938,3.4000000953674316,3.5719988346099854,3.700000047683716,3.277035713195801,0.05000031062069654
228000,0.6685,53.97694778442383,74.83012390136719,3.0999999046325684,2.5503604412078857,3.299999952316284,2.9716360569000244,0.05000023791319397
232000,0.65375,49.920654296875,79.5750961303711,3.0999999046325684,2.664686918258667,2.9000000953674316,3.157301425933838,0.05000018222445733
236000,0.661,70.34185028076172,72.9991683959961,3.799999952316284,3.0141708850860596,3.5999999046325684,3.4516713619232178,0.05000013957087581
240000,0.67625,65.26618194580078,74.3500747680664,3.200000047683716,3.3763387203216553,3.299999952316284,3.1702582836151123,0.050000106901289
244000,0.6625,62.68338394165039,80.65330505371094,3.200000047683716,2.4142096042633057,3.5,2.6180419921875,0.05000008187872665
248000,0.67475,65.0346908569336,71.39703369140625,3.0999999046325684,3.6360950469970703,3.9000000953674316,3.0748279094696045,0.05000006271323705
252000,0.67525,56.72943878173828,83.88871002197266,3.299999952316284,3.3540923595428467,2.5999999046325684,3.536449670791626,0.050000048033845446
256000,0.67725,69.52973937988281,71.81903076171875,4.199999809265137,3.705263376235962,4.300000190734863,3.3419535160064697,0.05000003679048343
260000,0.691,61.010616302490234,72.61166381835938,3.9000000953674316,4.099270820617676,4.5,3.9632058143615723,0.05000002817887384
