episodes,return,hinter_loss,guesser_loss,hinter_q,hinter_qhat,guesser_q,guesser_qhat,exploration
5000,0.4466,98.07675170898438,99.20120239257812,-2.5,-0.4757862389087677,-1.2000000476837158,-0.43799859285354614,0.645823008711293
10000,0.4432,99.60897827148438,95.92144775390625,-0.4000000059604645,-0.8567317128181458,-2.700000047683716,-0.836090087890625,0.431058389559995
15000,0.45,100.63723754882812,98.31604766845703,-0.10000000149011612,-0.854357123374939,-1.2999999523162842,-0.8918566107749939,0.30079706342322576
20000,0.4506,98.76828002929688,97.95787811279297,-1.2999999523162842,-0.9569128155708313,-1.2999999523162842,-0.94465172290802,0.2217895753464486
25000,0.4398,97.81527709960938,97.14313507080078,-1.7999999523162842,-1.0360441207885742,-2.0999999046325684,-0.835956871509552,0.17386911148100292
30000,0.437,99.33688354492188,96.80945587158203,-0.800000011920929,-1.1399766206741333,-1.899999976158142,-1.1887534856796265,0.1448038809189588
35000,0.4448,98.75403594970703,97.47764587402344,-1.100000023841858,-1.0994595289230347,-2.4000000953674316,-1.0287728309631348,0.12717492745146233
40000,0.459,97.96748352050781,97.12562561035156,-1.100000023841858,-0.9686451554298401,-2.0,-0.8963549137115479,0.11648242667477841
45000,0.442,97.00703430175781,101.89582061767578,-1.100000023841858,-1.0742288827896118,-0.10000000149011612,-1.1337047815322876,0.10999709712471846
50000,0.4438,98.70926666259766,96.35240936279297,-1.2999999523162842,-1.020668625831604,-2.4000000953674316,-1.0242043733596802,0.10606354591426675
55000,0.45,97.68534851074219,100.32551574707031,-1.0,-0.9157881140708923,-0.30000001192092896,-1.045440435409546,0.10367772650357807
60000,0.4568,94.03045654296875,97.64741516113281,-2.5,-0.9490228295326233,-1.7999999523162842,-0.9428015947341919,0.10223065388245785
65000,0.4536,96.61491394042969,98.51919555664062,-1.7999999523162842,-0.7906461954116821,-1.2000000476837158,-0.8123122453689575,0.1013529599709177
70000,0.4532,98.9500503540039,100.3487777709961,-0.4000000059604645,-0.7339180111885071,0.10000000149011612,-0.8454861640930176,0.1008206117037255
75000,0.4528,98.06695556640625,98.1772689819336,-1.0,-0.9061352610588074,-1.0,-0.9500634074211121,0.10049772615802854
80000,0.4562,98.60549926757812,96.90013885498047,-0.30000001192092896,-0.7914221286773682,-1.600000023841858,-0.8555048108100891,0.10030188617498528
85000,0.4528,96.08859252929688,98.24372100830078,-0.699999988079071,-0.6633564829826355,-0.699999988079071,-0.7036387920379639,0.10018310322087196
90000,0.46,93.60763549804688,97.38944244384766,-1.899999976158142,-0.6183774471282959,-0.6000000238418579,-0.7638366222381592,0.10011105771735097
95000,0.4608,96.40730285644531,100.58544921875,-1.2000000476837158,-0.7163631916046143,0.20000000298023224,-0.8651267886161804,0.10006735991057107
100000,0.444,96.20874786376953,97.08160400390625,-0.10000000149011612,-0.8360051512718201,-1.100000023841858,-0.8509680032730103,0.10004085585099685
105000,0.465,94.50865173339844,98.21762084960938,-0.8999999761581421,-0.7718693017959595,-0.8999999761581421,-0.726014256477356,0.10002478032625825
110000,0.4606,93.49017333984375,97.90593719482422,-1.100000023841858,-0.6091533899307251,-0.699999988079071,-0.7263751029968262,0.10001503002763332
115000,0.467,95.68814086914062,96.15160369873047,-0.30000001192092896,-0.6541938781738281,-1.7000000476837158,-0.6743099689483643,0.10000911617257593
120000,0.4714,97.89926147460938,97.58600616455078,-0.20000000298023224,-0.2864701747894287,-0.4000000059604645,-0.432107150554657,0.10000552923816654
125000,0.4762,94.27639770507812,95.86712646484375,0.6000000238418579,-0.33133724331855774,-0.8999999761581421,-0.5036876201629639,0.10000335365247286
130000,0.4714,93.42264556884766,98.71773529052734,0.0,-0.6736695766448975,0.10000000149011612,-0.5772119760513306,0.10000203409304681
135000,0.474,95.67388916015625,97.09004211425781,-0.10000000149011612,-0.6051092743873596,-0.20000000298023224,-0.20769856870174408,0.10000123373979761
140000,0.4628,93.35187530517578,99.24674987792969,0.6000000238418579,-0.17850996553897858,0.20000000298023224,-0.4656190574169159,0.10000074830101335
145000,0.474,87.16255950927734,97.716796875,-0.800000011920929,-0.30122941732406616,0.5,-0.503251850605011,0.10000045386750729
150000,0.484,94.02157592773438,95.80265808105469,1.2000000476837158,-0.4000536799430847,-0.30000001192092896,-0.40484848618507385,0.10000027528455863
155000,0.4656,86.81782531738281,95.70100402832031,-1.2999999523162842,-0.862569272518158,-0.10000000149011612,-0.5991209149360657,0.10000016696852496
160000,0.4788,86.58224487304688,95.05252075195312,-0.8999999761581421,-0.19243404269218445,-0.800000011920929,-0.18159915506839752,0.1000001012715296
165000,0.464,88.93477630615234,94.808349609375,-0.20000000298023224,-0.5432485938072205,-0.800000011920929,-0.5430788993835449,0.10000006142428766
170000,0.4826,90.36993408203125,95.53707122802734,-1.2000000476837158,-0.308500200510025,-0.6000000238418579,-0.13844378292560577,0.10000003725571371
175000,0.4902,86.26739501953125,95.4238510131836,-0.8999999761581421,-0.37415432929992676,0.6000000238418579,-0.1301051676273346,0.10000002259673262
180000,0.4764,85.62168884277344,92.84490203857422,0.6000000238418579,-0.2655524015426636,-0.6000000238418579,-0.563694417476654,0.10000001370561115
185000,0.4804,87.3038101196289,94.48490142822266,-0.20000000298023224,-0.6091872453689575,0.30000001192092896,-0.33268868923187256,0.10000000831287337
190000,0.483,82.37971496582031,94.44384002685547,-1.100000023841858,-0.6766385436058044,-1.0,-0.4457893371582031,0.10000000504201258
195000,0.4852,85.54582977294922,94.72662353515625,0.0,-0.3479249179363251,0.10000000149011612,-0.36074498295783997,0.10000000305813521
200000,0.47,86.94617462158203,93.23027038574219,-0.4000000059604645,-0.9006973505020142,-1.2999999523162842,-0.6109344959259033,0.10000000185485278
205000,0.4938,83.8453140258789,93.78443145751953,1.2000000476837158,0.6461795568466187,-0.4000000059604645,0.0804768055677414,0.10000000112502508
210000,0.483,84.51025390625,95.63053894042969,0.699999988079071,-0.12997972965240479,-0.10000000149011612,-0.28874659538269043,0.1000000006823622
215000,0.4886,84.59821319580078,93.5994644165039,0.20000000298023224,0.0313945971429348,0.699999988079071,-0.06723177433013916,0.1000000004138736
220000,0.4758,90.1892318725586,93.84996032714844,-0.5,-0.7584270238876343,0.4000000059604645,-0.26673629879951477,0.10000000025102702
225000,0.48,83.24101257324219,92.396728515625,-0.10000000149011612,-0.48651909828186035,-0.8999999761581421,0.015378380194306374,0.10000000015225559
230000,0.491,74.46170043945312,90.78865051269531,0.4000000059604645,-0.3070664703845978,0.0,-0.22243213653564453,0.10000000009234769
235000,0.4714,81.74275207519531,93.41439819335938,-0.20000000298023224,0.18316254019737244,-0.5,-0.05559162795543671,0.1000000000560117
240000,0.476,82.66532135009766,92.54049682617188,-1.2000000476837158,-0.3193223774433136,-0.4000000059604645,-0.2853739559650421,0.10000000003397282
245000,0.4768,84.09696960449219,89.11614227294922,0.800000011920929,0.05882146954536438,-0.699999988079071,-0.3610278367996216,0.10000000002060556
250000,0.4756,79.18611907958984,98.12737274169922,0.0,-0.6056793332099915,-0.699999988079071,-0.5082843899726868,0.10000000001249791
255000,0.4876,68.5305404663086,88.84361267089844,0.800000011920929,0.5934447646141052,-0.5,0.0783662348985672,0.10000000000758036
260000,0.469,75.53988647460938,93.58930969238281,-1.600000023841858,-0.7355865240097046,-0.699999988079071,-0.6759946346282959,0.10000000000459773
265000,0.467,83.25984191894531,97.62957763671875,-0.699999988079071,-0.7761816382408142,-1.2000000476837158,-0.8523445725440979,0.10000000000278866
270000,0.4828,84.84838104248047,93.58831024169922,-1.0,-0.1859692931175232,-0.800000011920929,-0.37570950388908386,0.10000000000169142
275000,0.485,80.59501647949219,97.7391128540039,-1.2000000476837158,-0.27880311012268066,-1.0,-0.4781973958015442,0.1000000000010259
280000,0.4852,72.98499298095703,93.4613265991211,-0.699999988079071,-0.02367442101240158,-0.30000001192092896,-0.20435285568237305,0.10000000000062224
285000,0.4692,78.40284729003906,88.85298156738281,-1.899999976158142,-0.6759975552558899,-1.0,-0.46997779607772827,0.10000000000037741
290000,0.4698,78.1946029663086,86.63158416748047,-0.4000000059604645,-0.7708013653755188,0.5,-0.5771908760070801,0.1000000000002289
295000,0.4946,68.7125015258789,92.63825988769531,-1.100000023841858,-0.1550542116165161,-0.4000000059604645,-0.2418091744184494,0.10000000000013884
300000,0.4968,75.14582824707031,98.64966583251953,-1.2000000476837158,-0.6735756397247314,-1.0,-0.20368173718452454,0.10000000000008422
305000,0.4814,67.38166046142578,90.17418670654297,-0.8999999761581421,-0.19411952793598175,-1.399999976158142,-0.008960320614278316,0.10000000000005108
310000,0.4786,72.1213607788086,91.36781311035156,-1.7000000476837158,-1.438624382019043,-0.800000011920929,-0.5119335055351257,0.10000000000003098
315000,0.4904,70.02081298828125,93.07184600830078,-0.6000000238418579,0.3514012098312378,0.0,0.3076120913028717,0.1000000000000188
320000,0.4862,75.4575424194336,91.91284942626953,1.2000000476837158,0.31354063749313354,0.20000000298023224,-0.29998546838760376,0.1000000000000114
325000,0.4766,67.47987365722656,84.8935546875,-0.699999988079071,-0.4410646855831146,-1.7000000476837158,-0.29803720116615295,0.10000000000000692
330000,0.4904,73.27933502197266,90.1375503540039,-0.20000000298023224,-0.09140685200691223,0.10000000149011612,-0.05527196824550629,0.1000000000000042
335000,0.478,76.6113052368164,91.3989028930664,-1.0,-0.7274143695831299,-1.100000023841858,-0.2966158986091614,0.10000000000000255
340000,0.4878,71.52674102783203,92.71672058105469,0.0,0.04808483272790909,0.5,-0.10615058243274689,0.10000000000000155
345000,0.4776,76.76018524169922,85.95873260498047,-0.10000000149011612,0.2362315058708191,-0.8999999761581421,-0.22453364729881287,0.10000000000000094
350000,0.4882,66.94667053222656,91.55130767822266,0.0,0.2784460783004761,-0.800000011920929,-0.18472503125667572,0.10000000000000057
355000,0.4906,76.22660827636719,86.81822204589844,0.10000000149011612,0.0812373086810112,-0.30000001192092896,0.3184707462787628,0.10000000000000035
360000,0.4896,81.03791809082031,91.2684097290039,0.0,0.06877288967370987,-1.0,-0.44367051124572754,0.10000000000000021
365000,0.4754,69.10230255126953,90.90107727050781,0.20000000298023224,0.5176224708557129,0.5,-0.6836450695991516,0.10000000000000013
370000,0.4756,72.51205444335938,88.17571258544922,0.0,-0.189412459731102,-0.10000000149011612,-0.05712306872010231,0.10000000000000009
375000,0.493,65.18146514892578,92.9970932006836,0.0,0.13826681673526764,-0.20000000298023224,-0.4474095404148102,0.10000000000000005
380000,0.4736,73.39030456542969,97.13111114501953,-1.5,-0.26400288939476013,-0.699999988079071,-0.40203121304512024,0.10000000000000003
385000,0.464,80.58453369140625,87.49933624267578,0.30000001192092896,-0.647534191608429,-1.7000000476837158,-0.9160614609718323,0.10000000000000002
390000,0.4734,77.43740844726562,87.5092544555664,-0.6000000238418579,-0.3450595736503601,0.0,-0.07524823397397995,0.10000000000000002
395000,0.4864,74.74307250976562,86.56533813476562,-0.30000001192092896,-0.21857976913452148,-0.10000000149011612,-0.3319825232028961,0.1
400000,0.4856,68.97537231445312,89.49003601074219,0.4000000059604645,0.22143672406673431,0.20000000298023224,0.2060965597629547,0.1
405000,0.4966,73.47845458984375,99.59707641601562,-0.10000000149011612,0.28103962540626526,0.10000000149011612,0.22734718024730682,0.1
410000,0.4764,72.75166320800781,94.07041931152344,-0.5,-0.5870611667633057,0.8999999761581421,-0.49781331419944763,0.1
415000,0.47,68.48770141601562,84.7579116821289,-0.5,-0.3082634210586548,-0.800000011920929,-0.3366125226020813,0.1
420000,0.4774,73.85002899169922,96.03323364257812,0.10000000149011612,-0.3192266523838043,1.0,-0.27837151288986206,0.1
425000,0.4692,72.58316040039062,82.43798828125,-1.100000023841858,-1.0429294109344482,-0.8999999761581421,-0.6998091340065002,0.1
430000,0.466,70.53924560546875,94.66646575927734,-1.100000023841858,-1.1221708059310913,-0.5,-0.5067029595375061,0.1
435000,0.4948,75.60327911376953,88.43728637695312,0.800000011920929,0.21559952199459076,0.10000000149011612,0.33302780985832214,0.1
440000,0.4746,74.3251724243164,89.81134796142578,-0.699999988079071,-0.3175995647907257,-1.0,-0.49663662910461426,0.1
445000,0.4766,71.75794982910156,85.7598648071289,0.10000000149011612,-0.41652679443359375,-0.4000000059604645,-0.22191345691680908,0.1
450000,0.4848,68.2573471069336,87.48119354248047,-0.800000011920929,0.5859231352806091,-0.5,0.14076724648475647,0.1
455000,0.4832,73.2430648803711,91.52550506591797,-0.800000011920929,-0.4531588852405548,-0.4000000059604645,-0.2710707485675812,0.1
460000,0.478,66.12893676757812,89.6203842163086,0.6000000238418579,0.5030771493911743,-0.5,-0.4831405282020569,0.1
465000,0.479,75.19878387451172,89.4030990600586,-0.6000000238418579,-0.1570683717727661,0.4000000059604645,-0.45146065950393677,0.1
470000,0.4886,68.99102783203125,92.54041290283203,0.20000000298023224,0.13500015437602997,-0.20000000298023224,-0.4776758551597595,0.1
475000,0.4806,71.91071319580078,89.8867416381836,-0.10000000149011612,-0.5304094552993774,0.800000011920929,-0.0864584818482399,0.1
480000,0.4756,74.61526489257812,88.65067291259766,-1.100000023841858,0.287945032119751,-0.20000000298023224,-0.4003274440765381,0.1
485000,0.4768,70.65129089355469,90.18447875976562,0.30000001192092896,-0.11822374165058136,0.4000000059604645,-0.5081480145454407,0.1
490000,0.4838,72.55094146728516,88.83259582519531,-0.6000000238418579,-0.19964070618152618,1.0,-0.7507278919219971,0.1
495000,0.4784,69.28514862060547,90.91207885742188,0.20000000298023224,-0.5071707963943481,-0.8999999761581421,-0.6515365839004517,0.1
500000,0.4808,72.35877990722656,86.75846862792969,0.30000001192092896,-0.19223624467849731,-0.800000011920929,-0.5289006233215332,0.1
505000,0.4826,75.28640747070312,90.28295135498047,-0.30000001192092896,-0.16178438067436218,-0.8999999761581421,-0.5272895693778992,0.1
510000,0.4842,60.2073860168457,88.3896255493164,-0.6000000238418579,-0.2924047112464905,-0.8999999761581421,-0.4208900034427643,0.1
515000,0.489,72.41048431396484,88.45267486572266,-0.5,-0.24638071656227112,-0.10000000149011612,-0.03845037519931793,0.1
520000,0.4882,69.98025512695312,89.47959899902344,-0.10000000149011612,0.19483932852745056,-0.4000000059604645,-0.05017157644033432,0.1
525000,0.484,71.82951354980469,91.31177520751953,0.699999988079071,0.30072444677352905,0.6000000238418579,-0.07351534068584442,0.1
530000,0.4836,66.66458129882812,91.41293334960938,-0.8999999761581421,-0.489065557718277,-0.699999988079071,-0.24365779757499695,0.1
535000,0.4766,74.68655395507812,96.48031616210938,-0.4000000059604645,-0.214388906955719,0.0,-0.32205039262771606,0.1
540000,0.4808,72.52381134033203,84.1879653930664,0.30000001192092896,0.3540993928909302,-0.8999999761581421,-0.16537028551101685,0.1
545000,0.4866,82.12712097167969,88.71178436279297,-0.20000000298023224,0.10004326701164246,-1.100000023841858,-0.29978206753730774,0.1
550000,0.4842,70.43330383300781,91.56700897216797,-1.0,-0.5184475183486938,0.800000011920929,0.08319397270679474,0.1
555000,0.479,69.35172271728516,88.35128021240234,-0.20000000298023224,0.11249026656150818,-0.6000000238418579,-0.18274033069610596,0.1
560000,0.4846,64.89483642578125,90.48468780517578,-0.5,-0.41703444719314575,-0.10000000149011612,-0.2604031264781952,0.1
565000,0.484,76.29942321777344,87.31140899658203,-0.20000000298023224,-0.25398877263069153,-1.100000023841858,0.1951846182346344,0.1
570000,0.4976,68.04705810546875,87.60018920898438,-0.8999999761581421,-0.16891515254974365,-1.0,-0.21742187440395355,0.1
575000,0.4854,65.46627807617188,89.98839569091797,-1.5,-0.45800238847732544,-1.100000023841858,-0.04527357593178749,0.1
580000,0.4918,72.34684753417969,93.08572387695312,2.200000047683716,0.5220531821250916,1.399999976158142,-0.22091445326805115,0.1
585000,0.4792,71.98905944824219,91.65556335449219,-1.100000023841858,-0.757778525352478,0.10000000149011612,-0.4403475821018219,0.1
590000,0.4918,70.0433578491211,84.70159912109375,-0.5,0.13930541276931763,-0.30000001192092896,-0.0005695343133993447,0.1
595000,0.5028,68.86225891113281,94.73986053466797,-0.30000001192092896,-0.0124574089422822,1.0,0.085394948720932,0.1
600000,0.4918,67.2630386352539,93.3588638305664,0.8999999761581421,0.709572434425354,0.20000000298023224,-0.1758902668952942,0.1
605000,0.4858,69.3935546875,87.29803466796875,0.5,0.062494076788425446,-0.10000000149011612,0.09700937569141388,0.1
610000,0.4804,74.14726257324219,94.19116973876953,0.4000000059604645,0.3099317252635956,0.5,-0.18946893513202667,0.1
615000,0.4852,66.57452392578125,89.38973999023438,0.20000000298023224,-0.014033203013241291,0.0,-0.22175882756710052,0.1
620000,0.4872,64.65910339355469,89.2806625366211,-0.4000000059604645,0.35826292634010315,-0.10000000149011612,-0.3886988162994385,0.1
625000,0.4874,69.52032470703125,94.47694396972656,-1.5,-0.46706271171569824,-1.100000023841858,0.2983343005180359,0.1
630000,0.4878,63.76787185668945,86.59493255615234,0.4000000059604645,0.1489628553390503,-0.5,-0.13097889721393585,0.1
635000,0.4802,64.9150619506836,88.05216979980469,0.10000000149011612,-0.132360577583313,-0.30000001192092896,-0.13460473716259003,0.1
640000,0.477,64.45367431640625,88.77476501464844,-0.30000001192092896,-0.08999759703874588,-0.6000000238418579,-0.5265552401542664,0.1
645000,0.4832,68.36062622070312,89.76106262207031,-1.100000023841858,-0.2847795784473419,0.8999999761581421,0.18745270371437073,0.1
650000,0.4822,60.630043029785156,86.62919616699219,-0.8999999761581421,-0.44503748416900635,-0.30000001192092896,-0.46078217029571533,0.1
655000,0.4872,73.13156127929688,90.41560363769531,-0.20000000298023224,-0.4458659291267395,-0.8999999761581421,-0.8262597918510437,0.1
660000,0.4706,72.48455047607422,90.21100616455078,-0.10000000149011612,-0.18880386650562286,-0.699999988079071,-0.8189887404441833,0.1
665000,0.4736,67.08991241455078,86.96147155761719,-0.800000011920929,-0.5377994179725647,-2.0,-0.49153855443000793,0.1
670000,0.4812,67.93255615234375,95.69566345214844,-0.30000001192092896,-0.07652637362480164,0.0,-0.18914440274238586,0.1
675000,0.491,70.87586212158203,91.55352783203125,0.10000000149011612,-0.6376093029975891,1.100000023841858,-0.030073823407292366,0.1
680000,0.4826,70.01966857910156,84.2997817993164,-0.699999988079071,-0.3555777370929718,-1.2999999523162842,-0.461160272359848,0.1
685000,0.482,67.9487075805664,96.23458862304688,-0.20000000298023224,0.24495354294776917,-0.10000000149011612,0.45937371253967285,0.1
690000,0.4848,65.92063903808594,89.69176483154297,-0.4000000059604645,0.11599066108465195,0.4000000059604645,-0.2784135341644287,0.1
