episodes,return,hinter_loss,guesser_loss,hinter_q,hinter_qhat,guesser_q,guesser_qhat,exploration
2000,0.3775,99.32630920410156,97.05701446533203,-1.600000023841858,-2.8337807655334473,-2.0,-2.3611762523651123,0.8813592272948078
4000,0.382,88.3994369506836,88.84309387207031,-3.200000047683716,-2.4535043239593506,-3.5,-2.260672092437744,0.7775834142685771
6000,0.383,89.76587677001953,88.89292907714844,-3.0999999046325684,-2.340618371963501,-3.700000047683716,-2.2834813594818115,0.6867615915460303
8000,0.3765,91.74031066894531,93.60859680175781,-2.4000000953674316,-2.704106330871582,-2.5999999046325684,-2.5324866771698,0.6072767555124091
10000,0.3565,92.43951416015625,95.33702850341797,-2.5999999046325684,-3.231837272644043,-2.299999952316284,-3.269047498703003,0.5377137477472802
12000,0.376,93.78435516357422,88.32174682617188,-2.299999952316284,-2.11853289604187,-3.700000047683716,-2.1976418495178223,0.47683405935886203
14000,0.3805,95.44373321533203,91.77334594726562,-1.5,-1.8430595397949219,-3.0999999046325684,-2.0441155433654785,0.42355378040966973
16000,0.3755,99.16908264160156,94.25761413574219,-1.7999999523162842,-2.448535203933716,-2.5,-2.7431728839874268,0.376924301842171
18000,0.3865,95.47268676757812,95.10073852539062,-2.0999999046325684,-2.0892372131347656,-1.7999999523162842,-2.152015447616577,0.3361154263190112
20000,0.387,90.57644653320312,92.60978698730469,-3.0999999046325684,-1.9644352197647095,-2.5999999046325684,-2.1380932331085205,0.3004005872809969
22000,0.393,90.12055969238281,95.56494140625,-2.5999999046325684,-2.2032854557037354,-2.0999999046325684,-1.8885878324508667,0.2691439130610133
24000,0.368,94.0937271118164,91.927978515625,-1.7999999523162842,-2.441585063934326,-3.0,-2.477181911468506,0.24178890574166612
26000,0.376,88.93820190429688,96.52262878417969,-3.200000047683716,-2.2596595287323,-2.0,-2.492983102798462,0.21784853319354897
28000,0.3575,95.08133697509766,87.2466812133789,-2.5,-2.8760268688201904,-3.799999952316284,-2.9964699745178223,0.19689655789148858
30000,0.389,94.4369125366211,92.99169158935547,-1.600000023841858,-2.014859676361084,-2.200000047683716,-1.8315722942352295,0.17855994812587855
32000,0.3695,95.37019348144531,92.13302612304688,-2.700000047683716,-2.417354106903076,-2.700000047683716,-2.237635374069214,0.16251223649731428
34000,0.3835,94.63497924804688,94.39424896240234,-2.5,-1.941432237625122,-2.299999952316284,-2.2418601512908936,0.14846770744829957
36000,0.392,98.91626739501953,94.7266616821289,-0.800000011920929,-2.0692191123962402,-2.4000000953674316,-1.798598289489746,0.1361763103460783
38000,0.372,89.98995971679688,92.0009994506836,-3.200000047683716,-2.71977162361145,-3.0,-2.4268922805786133,0.12541920754845245
40000,0.366,93.00736236572266,94.56707000732422,-2.5999999046325684,-1.9705395698547363,-2.200000047683716,-2.4632914066314697,0.11600487818976805
42000,0.3805,89.29423522949219,91.09259796142578,-3.700000047683716,-2.2724289894104004,-2.5999999046325684,-2.38354754447937,0.10776570831836477
44000,0.3835,89.14080810546875,92.17787170410156,-3.0999999046325684,-2.8238942623138428,-2.9000000953674316,-2.5216751098632812,0.10055500667585009
46000,0.3945,92.37879943847656,97.06758880615234,-2.5999999046325684,-2.0611279010772705,-1.899999976158142,-2.0232179164886475,0.09424439298674207
48000,0.3745,88.45002746582031,90.5892562866211,-3.0999999046325684,-2.262399196624756,-3.0999999046325684,-2.6099464893341064,0.08872151225924757
50000,0.393,93.87870025634766,99.67396545410156,-2.299999952316284,-2.1571688652038574,-1.100000023841858,-1.7530020475387573,0.08388803440228787
52000,0.3935,95.58728790283203,95.22933959960938,-2.299999952316284,-2.130970001220703,-2.299999952316284,-1.8920025825500488,0.07965790354369187
54000,0.373,91.10879516601562,92.52363586425781,-2.700000047683716,-2.3607184886932373,-2.700000047683716,-2.6890149116516113,0.07595580588018841
56000,0.3855,96.40689086914062,92.56367492675781,-0.8999999761581421,-2.2724504470825195,-2.5999999046325684,-2.0477569103240967,0.07271582878059893
