episodes,return,hinter_loss,guesser_loss,hinter_q,hinter_qhat,guesser_q,guesser_qhat,exploration
2000,0.375,91.44975280761719,95.48750305175781,-3.0999999046325684,-2.2163503170013428,-2.5,-2.4599647521972656,0.8813592272948078
4000,0.4115,97.58289337158203,95.69253540039062,-1.7999999523162842,-1.8708819150924683,-2.700000047683716,-1.5891345739364624,0.7775834142685771
6000,0.3645,98.29199981689453,90.22041320800781,-1.5,-3.2179338932037354,-3.299999952316284,-2.737217426300049,0.6867615915460303
8000,0.375,90.1031265258789,94.26010131835938,-3.0999999046325684,-2.559319257736206,-2.5,-2.0462255477905273,0.6072767555124091
10000,0.386,99.02745819091797,100.59400177001953,-1.7999999523162842,-2.624969720840454,-1.2999999523162842,-2.3865957260131836,0.5377137477472802
12000,0.37,93.27330780029297,90.43017578125,-2.5999999046325684,-2.7475690841674805,-3.200000047683716,-2.9889261722564697,0.47683405935886203
14000,0.393,97.28135681152344,96.46975708007812,-1.7999999523162842,-1.8001141548156738,-1.899999976158142,-2.000396251678467,0.42355378040966973
16000,0.3805,94.8377914428711,91.19116973876953,-2.200000047683716,-2.8363165855407715,-3.0999999046325684,-2.289217710494995,0.376924301842171
18000,0.3585,97.00244140625,95.67459869384766,-1.7000000476837158,-2.284390926361084,-2.200000047683716,-2.643420934677124,0.3361154263190112
20000,0.374,92.31939697265625,93.5279312133789,-2.5999999046325684,-2.532672166824341,-2.5999999046325684,-2.4629549980163574,0.3004005872809969
22000,0.3815,85.34318542480469,97.60812377929688,-3.799999952316284,-2.1590476036071777,-1.399999976158142,-2.321373462677002,0.2691439130610133
24000,0.393,94.0224380493164,96.21215057373047,-2.0999999046325684,-1.9100342988967896,-1.7999999523162842,-2.0550878047943115,0.24178890574166612
26000,0.389,97.87496948242188,92.80180358886719,-1.7000000476837158,-2.400747299194336,-2.5,-2.079411506652832,0.21784853319354897
28000,0.37,91.20454406738281,91.53424835205078,-2.799999952316284,-2.458416700363159,-3.200000047683716,-2.408714771270752,0.19689655789148858
30000,0.3865,95.73357391357422,93.12398529052734,-1.7999999523162842,-2.27790904045105,-2.9000000953674316,-2.3181097507476807,0.17855994812587855
32000,0.379,91.11801147460938,93.90679931640625,-2.9000000953674316,-2.345593214035034,-2.5,-2.9871671199798584,0.16251223649731428
34000,0.379,95.93345642089844,95.48303985595703,-2.5,-1.8384277820587158,-2.0,-1.6710443496704102,0.14846770744829957
36000,0.3595,91.15838623046875,90.7227554321289,-3.299999952316284,-2.6095497608184814,-3.4000000953674316,-2.769486904144287,0.1361763103460783
38000,0.3785,91.36534118652344,100.00379180908203,-3.0999999046325684,-2.7220206260681152,-1.2999999523162842,-2.550201177597046,0.12541920754845245
40000,0.362,90.47457122802734,92.64055633544922,-2.799999952316284,-2.32817006111145,-2.799999952316284,-2.404675245285034,0.11600487818976805
42000,0.3885,91.67926025390625,93.50405883789062,-2.799999952316284,-2.355393409729004,-2.5,-2.425102472305298,0.10776570831836477
