episodes,return,hinter_loss,guesser_loss,hinter_q,hinter_qhat,guesser_q,guesser_qhat,exploration
2000,0.379,92.65267944335938,95.18477630615234,-2.9000000953674316,-2.392657995223999,-2.4000000953674316,-2.618978261947632,0.8813592272948078
4000,0.368,93.48088836669922,91.27643585205078,-2.799999952316284,-2.771683692932129,-3.0999999046325684,-2.8324828147888184,0.7775834142685771
6000,0.3735,95.7071304321289,86.75059509277344,-2.0,-2.1037869453430176,-3.700000047683716,-2.406064510345459,0.6867615915460303
8000,0.371,89.89219665527344,92.47915649414062,-3.0999999046325684,-2.641833543777466,-2.9000000953674316,-2.5578839778900146,0.6072767555124091
10000,0.377,94.02503967285156,94.02482604980469,-2.299999952316284,-2.2307307720184326,-2.5,-2.131716728210449,0.5377137477472802
12000,0.361,91.02458953857422,96.96121215820312,-3.0999999046325684,-2.855682134628296,-1.2000000476837158,-2.4143433570861816,0.47683405935886203
14000,0.378,90.87925720214844,90.74432373046875,-3.4000000953674316,-1.753414273262024,-3.5,-2.141685962677002,0.42355378040966973
16000,0.38,91.18030548095703,98.4256362915039,-2.9000000953674316,-2.600825786590576,-1.899999976158142,-2.4930715560913086,0.376924301842171
18000,0.3685,90.26290130615234,92.40591430664062,-2.5999999046325684,-2.1948540210723877,-2.799999952316284,-2.4867684841156006,0.3361154263190112
20000,0.3725,91.8208236694336,94.29935455322266,-3.0,-2.6253867149353027,-2.0,-2.524014949798584,0.3004005872809969
22000,0.3865,94.37935638427734,98.48375701904297,-1.7999999523162842,-2.2325072288513184,-1.5,-1.9624921083450317,0.2691439130610133
24000,0.3975,94.4168930053711,95.50630187988281,-1.600000023841858,-1.8483567237854004,-2.0999999046325684,-1.5628314018249512,0.24178890574166612
26000,0.381,88.22935485839844,88.04070281982422,-3.700000047683716,-2.115535020828247,-3.299999952316284,-2.574313163757324,0.21784853319354897
28000,0.396,95.84810638427734,96.14683532714844,-1.7999999523162842,-1.975311279296875,-2.200000047683716,-1.6323611736297607,0.19689655789148858
