episodes,return,hinter_loss,guesser_loss,hinter_q,hinter_qhat,guesser_q,guesser_qhat,exploration
2000,0.3955,95.6214828491211,98.05277252197266,-2.4000000953674316,-1.908515453338623,-1.600000023841858,-1.528291940689087,0.8813592272948078
4000,0.383,92.33492279052734,99.4236068725586,-2.700000047683716,-2.340728521347046,-1.5,-2.6085846424102783,0.7775834142685771
6000,0.3665,90.2597427368164,93.61274719238281,-3.0999999046325684,-2.4078667163848877,-2.5999999046325684,-2.509169340133667,0.6867615915460303
8000,0.3565,90.6585922241211,90.82966613769531,-3.200000047683716,-2.655838966369629,-3.0,-2.6576015949249268,0.6072767555124091
10000,0.377,92.36241912841797,96.54917907714844,-2.799999952316284,-2.1201679706573486,-2.0,-2.3382821083068848,0.5377137477472802
12000,0.3725,95.13163757324219,94.91967010498047,-2.4000000953674316,-2.472099542617798,-2.5,-2.347349166870117,0.47683405935886203
14000,0.3785,92.64157104492188,91.70452880859375,-2.5,-2.1869471073150635,-3.0,-2.0937371253967285,0.42355378040966973
16000,0.3815,92.71009063720703,94.991943359375,-2.200000047683716,-1.9233498573303223,-2.0,-1.8459866046905518,0.376924301842171
18000,0.3905,93.67341613769531,95.87061309814453,-3.299999952316284,-2.3398871421813965,-2.4000000953674316,-2.012397050857544,0.3361154263190112
20000,0.392,97.77398681640625,98.57038116455078,-1.899999976158142,-2.4191722869873047,-1.7999999523162842,-2.1694836616516113,0.3004005872809969
22000,0.3815,98.4287338256836,89.69524383544922,-2.0999999046325684,-1.8132342100143433,-3.299999952316284,-2.2189948558807373,0.2691439130610133
24000,0.39,90.9104232788086,94.87628173828125,-2.700000047683716,-2.3738880157470703,-1.7999999523162842,-1.8478217124938965,0.24178890574166612
26000,0.3755,91.6324691772461,90.7096176147461,-2.799999952316284,-2.370919704437256,-3.0999999046325684,-2.4283957481384277,0.21784853319354897
28000,0.378,86.92577362060547,94.15707397460938,-3.5999999046325684,-2.6468820571899414,-2.0999999046325684,-2.3331596851348877,0.19689655789148858
30000,0.372,91.7386245727539,92.87981414794922,-2.299999952316284,-2.01521372795105,-2.5999999046325684,-2.430718183517456,0.17855994812587855
32000,0.3735,91.04688262939453,94.06979370117188,-3.299999952316284,-2.514599084854126,-2.0999999046325684,-2.5674211978912354,0.16251223649731428
34000,0.392,92.08362579345703,97.18694305419922,-2.4000000953674316,-1.7804034948349,-1.899999976158142,-2.1923131942749023,0.14846770744829957
36000,0.3885,88.82139587402344,96.68798065185547,-3.200000047683716,-2.0755341053009033,-1.600000023841858,-1.8730168342590332,0.1361763103460783
