episodes,return,hinter_loss,guesser_loss,hinter_q,hinter_qhat,guesser_q,guesser_qhat,exploration
2000,0.361,86.16918182373047,98.38501739501953,-3.4000000953674316,-3.142054557800293,-1.2999999523162842,-2.460395574569702,0.8813592272948078
4000,0.373,94.53034210205078,93.55577087402344,-2.299999952316284,-2.4312174320220947,-2.5999999046325684,-2.4647231101989746,0.7775834142685771
6000,0.3705,94.33361053466797,95.51946258544922,-2.4000000953674316,-2.7644991874694824,-2.5,-2.7301766872406006,0.6867615915460303
8000,0.3865,94.56903076171875,90.70037078857422,-2.0999999046325684,-2.209184408187866,-3.0,-1.9038156270980835,0.6072767555124091
10000,0.3735,95.21656036376953,94.71781921386719,-2.5999999046325684,-2.1093575954437256,-2.4000000953674316,-2.2554070949554443,0.5377137477472802
12000,0.388,93.07160949707031,96.7797622680664,-2.5,-2.2114295959472656,-1.7000000476837158,-2.072587728500366,0.47683405935886203
14000,0.383,89.6980209350586,94.14683532714844,-3.299999952316284,-2.0882513523101807,-2.299999952316284,-2.0315630435943604,0.42355378040966973
16000,0.3835,93.42699432373047,101.22406005859375,-3.0,-2.0839500427246094,-0.8999999761581421,-2.0499215126037598,0.376924301842171
18000,0.386,93.37998962402344,89.33872985839844,-2.4000000953674316,-2.201601028442383,-3.200000047683716,-2.4564056396484375,0.3361154263190112
20000,0.3785,93.1475601196289,93.3750991821289,-2.9000000953674316,-2.6069376468658447,-2.5999999046325684,-2.0001418590545654,0.3004005872809969
22000,0.3905,93.33329010009766,93.20808410644531,-2.700000047683716,-1.8196645975112915,-2.5999999046325684,-2.0227766036987305,0.2691439130610133
24000,0.385,98.06814575195312,96.57112121582031,-1.7999999523162842,-2.580904960632324,-2.0999999046325684,-1.8218774795532227,0.24178890574166612
26000,0.3725,84.9853744506836,89.99127197265625,-3.5999999046325684,-2.5049643516540527,-2.9000000953674316,-2.3621628284454346,0.21784853319354897
28000,0.38,94.76889038085938,92.67781066894531,-2.0999999046325684,-1.8207403421401978,-2.700000047683716,-2.088897705078125,0.19689655789148858
30000,0.384,93.402587890625,94.47624969482422,-2.799999952316284,-2.3972339630126953,-2.4000000953674316,-2.3810577392578125,0.17855994812587855
32000,0.3835,90.5456314086914,97.12747955322266,-2.5999999046325684,-2.6755683422088623,-1.7999999523162842,-2.4606871604919434,0.16251223649731428
