episodes,return,hinter_loss,guesser_loss,hinter_q,hinter_qhat,guesser_q,guesser_qhat,exploration
2000,0.3865,96.0179672241211,97.45405578613281,-1.7999999523162842,-1.9874628782272339,-1.7000000476837158,-2.2710886001586914,0.8813592272948078
4000,0.4005,98.44398498535156,93.79578399658203,-1.399999976158142,-1.9920659065246582,-2.200000047683716,-1.9500784873962402,0.7775834142685771
6000,0.383,86.85873413085938,96.28256225585938,-4.0,-2.5250909328460693,-2.299999952316284,-2.1632392406463623,0.6867615915460303
8000,0.3785,93.5304946899414,95.73590087890625,-2.700000047683716,-2.384878635406494,-2.200000047683716,-2.1258206367492676,0.6072767555124091
10000,0.3785,94.03741455078125,88.62005615234375,-2.4000000953674316,-2.3929221630096436,-3.4000000953674316,-2.47206449508667,0.5377137477472802
12000,0.3885,97.2720718383789,92.51744079589844,-1.600000023841858,-2.1414825916290283,-3.0999999046325684,-1.9259719848632812,0.47683405935886203
14000,0.3825,97.0654525756836,92.03463745117188,-1.7999999523162842,-2.45700740814209,-2.9000000953674316,-2.081993341445923,0.42355378040966973
16000,0.385,91.21101379394531,92.5230484008789,-2.9000000953674316,-2.384296178817749,-2.4000000953674316,-1.7091480493545532,0.376924301842171
18000,0.36,82.62014770507812,90.82441711425781,-3.799999952316284,-2.9734411239624023,-3.299999952316284,-2.744509696960449,0.3361154263190112
20000,0.371,92.16466522216797,93.0202407836914,-2.799999952316284,-1.872673749923706,-2.4000000953674316,-2.492100715637207,0.3004005872809969
22000,0.368,101.3736801147461,100.44454956054688,-1.2999999523162842,-2.634289026260376,-1.7000000476837158,-2.6048243045806885,0.2691439130610133
24000,0.3725,99.53519439697266,93.8495101928711,-2.0,-2.518872022628784,-2.200000047683716,-2.132934093475342,0.24178890574166612
26000,0.3755,89.98628234863281,89.5655288696289,-3.200000047683716,-2.212977647781372,-3.0999999046325684,-2.613996982574463,0.21784853319354897
28000,0.3985,94.27838134765625,88.50093078613281,-2.200000047683716,-1.475540280342102,-4.300000190734863,-1.6272931098937988,0.19689655789148858
30000,0.3535,93.69052124023438,91.74041748046875,-2.5,-2.5468833446502686,-3.0,-2.6688544750213623,0.17855994812587855
32000,0.385,96.96598815917969,91.600341796875,-1.600000023841858,-2.375297784805298,-2.799999952316284,-2.227241277694702,0.16251223649731428
34000,0.393,97.88941192626953,97.36833190917969,-2.0,-1.7939577102661133,-2.0,-1.9800904989242554,0.14846770744829957
36000,0.3775,97.29031372070312,94.8794937133789,-1.899999976158142,-2.3775675296783447,-2.200000047683716,-2.3851265907287598,0.1361763103460783
38000,0.3775,93.06060791015625,93.55367279052734,-2.299999952316284,-1.5265991687774658,-2.5999999046325684,-2.6407861709594727,0.12541920754845245
40000,0.3755,95.5350112915039,101.942138671875,-2.700000047683716,-1.9186214208602905,-0.699999988079071,-2.581869602203369,0.11600487818976805
42000,0.3835,96.37481689453125,90.5073471069336,-2.0999999046325684,-2.303208351135254,-3.5,-2.316082000732422,0.10776570831836477
44000,0.3845,95.95218658447266,97.06884002685547,-2.299999952316284,-2.666689395904541,-1.7999999523162842,-2.174739360809326,0.10055500667585009
46000,0.3935,96.18341827392578,95.80350494384766,-1.7000000476837158,-1.9615380764007568,-2.4000000953674316,-2.068521738052368,0.09424439298674207
48000,0.3915,91.42306518554688,100.46717071533203,-2.9000000953674316,-2.443998336791992,-1.2000000476837158,-2.1863317489624023,0.08872151225924757
50000,0.388,96.2923355102539,99.08565521240234,-2.0,-1.9772921800613403,-1.0,-1.7734068632125854,0.08388803440228787
52000,0.365,93.7822494506836,93.46886444091797,-2.200000047683716,-2.4434921741485596,-2.700000047683716,-2.7222166061401367,0.07965790354369187
54000,0.3835,89.6682357788086,99.01589965820312,-2.9000000953674316,-2.219193935394287,-1.600000023841858,-2.3643758296966553,0.07595580588018841
56000,0.397,95.23995971679688,94.21009063720703,-1.2999999523162842,-1.796360969543457,-2.200000047683716,-2.2287378311157227,0.07271582878059893
58000,0.3615,91.84336853027344,90.77967071533203,-2.5999999046325684,-2.763275146484375,-2.9000000953674316,-2.6926000118255615,0.06988028726872808
60000,0.3745,95.87732696533203,91.99546813964844,-2.200000047683716,-2.736992120742798,-2.799999952316284,-2.5261118412017822,0.0673986969925
62000,0.384,88.96739959716797,92.11734008789062,-3.299999952316284,-2.1241517066955566,-2.799999952316284,-2.062990188598633,0.06522687539394878
64000,0.3835,96.37940216064453,97.37109375,-1.7000000476837158,-1.9147894382476807,-1.899999976158142,-2.044100761413574,0.06332615507717554
66000,0.3745,94.87834167480469,93.39125061035156,-1.7999999523162842,-1.8122981786727905,-2.700000047683716,-2.3546037673950195,0.061662695368972745
68000,0.377,94.28779602050781,98.87315368652344,-1.7999999523162842,-2.5174522399902344,-1.7000000476837158,-2.499685525894165,0.06020687981505069
70000,0.3825,94.57553100585938,94.44474792480469,-2.0999999046325684,-2.247507095336914,-2.4000000953674316,-2.2936315536499023,0.05893278888481038
72000,0.357,90.2945785522461,90.05236053466797,-2.4000000953674316,-2.5320122241973877,-3.4000000953674316,-2.7368268966674805,0.057817738496629446
74000,0.39,89.22882080078125,97.03860473632812,-3.299999952316284,-1.660544753074646,-1.5,-2.120400905609131,0.05684187614750502
76000,0.395,93.17132568359375,89.92544555664062,-2.200000047683716,-1.64298677444458,-2.9000000953674316,-2.1311328411102295,0.05598782745649274
78000,0.3825,89.3956069946289,93.9994125366211,-2.5999999046325684,-2.7268178462982178,-2.200000047683716,-2.3590593338012695,0.05524038682895525
80000,0.378,87.17098999023438,91.57289123535156,-2.0999999046325684,-1.9311490058898926,-3.0999999046325684,-2.100064516067505,0.054586246734165705
82000,0.383,93.37555694580078,97.90402221679688,-1.2000000476837158,-1.7672371864318848,-1.399999976158142,-2.2670671939849854,0.05401376077628968
84000,0.388,97.25550079345703,98.22510528564453,-1.2000000476837158,-2.5041821002960205,-1.399999976158142,-2.5719614028930664,0.053512736340429835
86000,0.401,98.28431701660156,101.2303695678711,-1.600000023841858,-1.8612353801727295,-1.100000023841858,-2.1645963191986084,0.05307425312197676
88000,0.384,93.29440307617188,85.32337951660156,-1.7999999523162842,-2.474842071533203,-4.099999904632568,-2.2906415462493896,0.05269050430833854
90000,0.388,95.22679901123047,92.0630874633789,-1.600000023841858,-1.8634812831878662,-3.0,-2.030712842941284,0.05235465758542799
92000,0.395,94.13835144042969,93.1985855102539,-1.7000000476837158,-2.0908896923065186,-2.4000000953674316,-2.1476855278015137,0.05206073349424867
94000,0.3965,95.47134399414062,95.85859680175781,-1.600000023841858,-2.103003978729248,-1.7000000476837158,-2.229001760482788,0.051803498971824576
96000,0.3965,92.11754608154297,99.120361328125,-2.4000000953674316,-1.7685818672180176,-1.2000000476837158,-2.1652393341064453,0.05157837418106226
98000,0.398,93.64971923828125,94.84603881835938,-1.399999976158142,-1.7157440185546875,-1.7999999523162842,-1.6870323419570923,0.05138135097073195
100000,0.4025,90.25143432617188,94.62061309814453,-3.299999952316284,-2.2006523609161377,-2.200000047683716,-2.0286643505096436,0.05120892151381868
102000,0.4135,92.45462036132812,93.78006744384766,-1.2000000476837158,-1.4546548128128052,-2.4000000953674316,-1.7352731227874756,0.05105801585371112
104000,0.419,93.97494506835938,97.39896392822266,-1.2000000476837158,-1.4675874710083008,-1.2999999523162842,-1.5250228643417358,0.050925947246292416
106000,0.422,92.0635757446289,97.59220886230469,-1.7999999523162842,-1.534853458404541,-1.0,-1.2332484722137451,0.050810364324796416
