episodes,return,hinter_loss,guesser_loss,hinter_q,hinter_qhat,guesser_q,guesser_qhat,exploration
2000,0.377,98.50321197509766,98.01531219482422,-1.7000000476837158,-2.390129804611206,-1.899999976158142,-2.5827219486236572,0.8813592272948078
4000,0.36,82.82356262207031,88.1227798461914,-4.099999904632568,-3.172454833984375,-3.5,-2.9283881187438965,0.7775834142685771
6000,0.379,94.5493392944336,94.19109344482422,-2.4000000953674316,-2.2149853706359863,-2.0999999046325684,-2.4611454010009766,0.6867615915460303
8000,0.376,95.0135269165039,98.14293670654297,-1.7999999523162842,-2.517972469329834,-1.5,-2.3531064987182617,0.6072767555124091
10000,0.3925,94.52308654785156,96.90299987792969,-2.0,-1.9019731283187866,-1.5,-1.9946997165679932,0.5377137477472802
12000,0.3615,91.97537231445312,90.42786407470703,-2.5,-2.739065647125244,-3.200000047683716,-2.594679594039917,0.47683405935886203
14000,0.37,93.75004577636719,92.63165283203125,-2.5999999046325684,-2.170001268386841,-2.799999952316284,-2.40604305267334,0.42355378040966973
16000,0.3835,89.94945526123047,94.61872863769531,-3.4000000953674316,-2.1645898818969727,-2.5,-2.3540842533111572,0.376924301842171
18000,0.3795,91.3522720336914,91.82139587402344,-3.0999999046325684,-2.243574857711792,-2.799999952316284,-2.4018967151641846,0.3361154263190112
20000,0.383,97.26028442382812,90.7134017944336,-1.899999976158142,-2.474273681640625,-3.0999999046325684,-2.336141347885132,0.3004005872809969
22000,0.384,97.31175994873047,94.1656723022461,-1.7999999523162842,-2.1801626682281494,-2.200000047683716,-2.536363363265991,0.2691439130610133
24000,0.384,93.3117446899414,90.34626770019531,-2.4000000953674316,-2.4176948070526123,-3.0,-2.484431743621826,0.24178890574166612
26000,0.3795,89.50650024414062,95.97085571289062,-3.4000000953674316,-2.1663427352905273,-2.200000047683716,-1.9702553749084473,0.21784853319354897
28000,0.3895,95.87191772460938,89.82499694824219,-1.5,-2.0441818237304688,-3.5999999046325684,-2.1839118003845215,0.19689655789148858
30000,0.383,89.552978515625,96.29890441894531,-3.299999952316284,-2.366652488708496,-2.200000047683716,-2.0395140647888184,0.17855994812587855
32000,0.404,96.97296905517578,92.17935180664062,-1.2999999523162842,-2.0089850425720215,-2.799999952316284,-2.13558292388916,0.16251223649731428
34000,0.392,95.44252014160156,96.72806549072266,-2.0,-2.0940170288085938,-1.7000000476837158,-1.9049476385116577,0.14846770744829957
36000,0.385,92.78302001953125,96.6787109375,-2.0999999046325684,-1.8441059589385986,-2.0999999046325684,-1.8357549905776978,0.1361763103460783
38000,0.3895,95.88153076171875,94.53113555908203,-2.0999999046325684,-2.0350868701934814,-2.200000047683716,-2.1452841758728027,0.12541920754845245
40000,0.367,88.4661636352539,90.92047119140625,-2.799999952316284,-2.818016290664673,-3.0999999046325684,-2.7622463703155518,0.11600487818976805
42000,0.3695,90.4277572631836,94.11248779296875,-2.799999952316284,-2.1073288917541504,-2.299999952316284,-1.9787919521331787,0.10776570831836477
44000,0.409,98.47289276123047,92.04446411132812,-0.30000001192092896,-1.426731824874878,-3.0,-1.7386727333068848,0.10055500667585009
46000,0.3825,92.49693298339844,95.47990417480469,-2.9000000953674316,-2.221670627593994,-2.0,-2.4597365856170654,0.09424439298674207
48000,0.3815,86.00239562988281,94.52841186523438,-2.799999952316284,-2.0320522785186768,-2.0999999046325684,-2.0049049854278564,0.08872151225924757
50000,0.381,88.11817169189453,95.27407836914062,-3.0,-2.383854866027832,-2.0,-2.3686487674713135,0.08388803440228787
52000,0.391,94.13887023925781,93.33453369140625,-2.700000047683716,-2.0680172443389893,-2.299999952316284,-2.1653358936309814,0.07965790354369187
54000,0.393,94.70911407470703,92.85636901855469,-2.200000047683716,-2.1065399646759033,-2.799999952316284,-1.831978440284729,0.07595580588018841
56000,0.3725,90.87420654296875,95.39806365966797,-2.0999999046325684,-2.8168466091156006,-2.200000047683716,-2.713374137878418,0.07271582878059893
58000,0.398,94.80030059814453,94.27965545654297,-1.2999999523162842,-1.6841319799423218,-2.200000047683716,-1.8273462057113647,0.06988028726872808
60000,0.4005,91.78072357177734,93.605712890625,-1.5,-2.0275847911834717,-3.700000047683716,-1.5779412984848022,0.0673986969925
62000,0.379,90.27782440185547,92.75518798828125,-2.5,-2.0458099842071533,-3.0,-2.203195810317993,0.06522687539394878
64000,0.429,90.8662109375,97.39822387695312,-1.7000000476837158,-1.0264827013015747,-1.7999999523162842,-1.442323923110962,0.06332615507717554
66000,0.431,90.35659790039062,97.0897445678711,-0.699999988079071,-0.9682717323303223,-1.5,-1.5590505599975586,0.061662695368972745
68000,0.4825,94.69224548339844,97.93344116210938,-0.30000001192092896,-0.7417286038398743,-0.800000011920929,-0.40190011262893677,0.06020687981505069
70000,0.5115,95.27689361572266,98.12904357910156,0.20000000298023224,-0.028622036799788475,1.100000023841858,0.300070583820343,0.05893278888481038
72000,0.5385,91.94332122802734,94.4027328491211,-0.10000000149011612,0.938060462474823,1.100000023841858,1.0378168821334839,0.057817738496629446
74000,0.56,89.55989074707031,90.45484161376953,1.2000000476837158,1.0694994926452637,1.7999999523162842,1.1923937797546387,0.05684187614750502
76000,0.5555,87.86463165283203,94.01861572265625,2.299999952316284,0.776552140712738,0.8999999761581421,1.235708475112915,0.05598782745649274
78000,0.558,79.41123962402344,94.760498046875,1.600000023841858,1.3132662773132324,0.10000000149011612,1.4344549179077148,0.05524038682895525
80000,0.561,82.475341796875,92.68956756591797,1.7999999523162842,0.7728950381278992,2.5999999046325684,1.1383156776428223,0.054586246734165705
82000,0.574,87.90245056152344,88.4754867553711,0.6000000238418579,1.7456430196762085,1.7000000476837158,1.3933978080749512,0.05401376077628968
84000,0.5495,79.89724731445312,86.25765991210938,1.0,1.1458429098129272,1.899999976158142,1.0385750532150269,0.053512736340429835
86000,0.569,76.57102966308594,88.43295288085938,2.0,2.0824315547943115,1.899999976158142,1.4497184753417969,0.05307425312197676
88000,0.5575,72.20213317871094,85.35657501220703,1.899999976158142,1.9264400005340576,1.600000023841858,1.219199776649475,0.05269050430833854
90000,0.585,74.2052993774414,83.6429672241211,2.0999999046325684,1.9087591171264648,1.899999976158142,1.6008113622665405,0.05235465758542799
92000,0.5525,77.653564453125,91.47993469238281,1.2000000476837158,0.458718866109848,0.6000000238418579,0.8845250606536865,0.05206073349424867
94000,0.5625,72.30315399169922,84.0165786743164,1.5,1.9484684467315674,1.2000000476837158,1.287015438079834,0.051803498971824576
96000,0.5685,83.87688446044922,94.3797836303711,1.5,1.5520031452178955,0.20000000298023224,0.9554369449615479,0.05157837418106226
98000,0.5735,78.03289794921875,87.45620727539062,1.2000000476837158,1.4230822324752808,1.0,1.4997845888137817,0.05138135097073195
100000,0.5765,76.81494140625,83.86747741699219,1.7000000476837158,1.0220422744750977,0.800000011920929,1.6735972166061401,0.05120892151381868
102000,0.5785,72.6804428100586,87.38884735107422,1.100000023841858,1.1346888542175293,1.2999999523162842,1.2087690830230713,0.05105801585371112
104000,0.593,73.38831329345703,80.56562042236328,2.0999999046325684,1.763153076171875,0.6000000238418579,1.7052927017211914,0.050925947246292416
106000,0.5985,76.2995376586914,83.34817504882812,1.2999999523162842,1.6042394638061523,2.9000000953674316,1.8179455995559692,0.050810364324796416
108000,0.584,77.55671691894531,85.71786499023438,1.399999976158142,1.7787343263626099,1.399999976158142,1.853567361831665,0.05070920923576608
110000,0.577,70.12252807617188,88.4023208618164,2.5999999046325684,1.8329156637191772,2.299999952316284,1.025066614151001,0.05062068100076131
112000,0.596,68.44137573242188,87.74246215820312,1.899999976158142,1.7967244386672974,1.7000000476837158,2.373638391494751,0.05054320345150317
114000,0.5965,70.52789306640625,90.88018798828125,2.4000000953674316,2.450076103210449,1.899999976158142,1.5389769077301025,0.05047539716756762
116000,0.604,73.51958465576172,83.08991241455078,1.0,2.056072950363159,2.5,1.9986352920532227,0.050416054917003766
