episodes,return,hinter_loss,guesser_loss,hinter_q,hinter_qhat,guesser_q,guesser_qhat,exploration
2000,0.3655,92.16499328613281,93.55614471435547,-2.5,-2.418642044067383,-2.700000047683716,-2.820056200027466,0.8813592272948078
4000,0.381,98.270751953125,94.18150329589844,-1.5,-2.075855255126953,-1.7999999523162842,-2.062812089920044,0.7775834142685771
6000,0.373,90.38853454589844,89.42549133300781,-3.200000047683716,-2.083883047103882,-3.299999952316284,-2.3961904048919678,0.6867615915460303
8000,0.3645,95.20873260498047,95.09217834472656,-2.200000047683716,-2.5197553634643555,-2.200000047683716,-2.4592790603637695,0.6072767555124091
10000,0.3835,96.29072570800781,98.16224670410156,-1.2000000476837158,-2.6207780838012695,-1.7999999523162842,-2.587489604949951,0.5377137477472802
12000,0.367,94.02013397216797,100.25181579589844,-2.700000047683716,-2.6134490966796875,-1.600000023841858,-3.0055084228515625,0.47683405935886203
14000,0.3795,90.91504669189453,91.16231536865234,-2.799999952316284,-2.808791399002075,-3.0,-2.39962100982666,0.42355378040966973
16000,0.3805,90.97516632080078,101.25738525390625,-2.700000047683716,-2.3855507373809814,-0.800000011920929,-2.2976512908935547,0.376924301842171
18000,0.3725,90.19952392578125,93.74404907226562,-1.7999999523162842,-2.4706766605377197,-2.4000000953674316,-2.4833452701568604,0.3361154263190112
20000,0.38,93.63139343261719,97.2881851196289,-2.200000047683716,-2.0111749172210693,-2.0,-2.222968101501465,0.3004005872809969
22000,0.3565,103.71733093261719,88.82485961914062,-1.2000000476837158,-2.942121982574463,-3.4000000953674316,-2.5507493019104004,0.2691439130610133
24000,0.4005,94.77862548828125,91.16992950439453,-2.299999952316284,-1.5116101503372192,-3.0,-1.9741652011871338,0.24178890574166612
26000,0.383,101.19688415527344,97.17364501953125,-0.699999988079071,-2.2209439277648926,-1.7000000476837158,-2.4827589988708496,0.21784853319354897
28000,0.381,97.95494079589844,95.5104751586914,-1.399999976158142,-3.074002742767334,-2.4000000953674316,-2.8652443885803223,0.19689655789148858
30000,0.378,88.67471313476562,98.88033294677734,-3.0999999046325684,-2.7077748775482178,-1.2000000476837158,-2.090646266937256,0.17855994812587855
32000,0.3685,87.43627166748047,93.75053405761719,-3.700000047683716,-2.4450595378875732,-2.5,-2.650852680206299,0.16251223649731428
34000,0.393,96.55636596679688,97.27758026123047,-2.0,-1.8958243131637573,-1.7000000476837158,-1.9390761852264404,0.14846770744829957
36000,0.3915,93.49853515625,101.07890319824219,-2.4000000953674316,-2.2967679500579834,-1.2999999523162842,-2.258570909500122,0.1361763103460783
38000,0.3915,98.9072494506836,94.32184600830078,-0.800000011920929,-1.8032881021499634,-1.899999976158142,-2.20064640045166,0.12541920754845245
40000,0.3695,89.2719955444336,93.9059829711914,-3.0999999046325684,-2.673901081085205,-2.700000047683716,-2.744809865951538,0.11600487818976805
42000,0.3795,99.79136657714844,94.95986938476562,-1.100000023841858,-2.2169854640960693,-2.299999952316284,-2.2160685062408447,0.10776570831836477
44000,0.367,85.6352310180664,92.75942993164062,-3.5,-2.631727695465088,-2.799999952316284,-2.185307502746582,0.10055500667585009
46000,0.359,89.5992202758789,95.19499206542969,-3.0999999046325684,-2.46767520904541,-2.299999952316284,-2.6918418407440186,0.09424439298674207
48000,0.3785,88.46222686767578,97.10839080810547,-2.299999952316284,-2.535752296447754,-1.899999976158142,-2.64847993850708,0.08872151225924757
50000,0.3665,99.48686218261719,88.06468963623047,-1.7999999523162842,-2.270641803741455,-3.799999952316284,-2.8671796321868896,0.08388803440228787
52000,0.403,96.65025329589844,97.0694351196289,-1.7000000476837158,-1.9573935270309448,-1.399999976158142,-1.8358187675476074,0.07965790354369187
54000,0.3715,81.47137451171875,95.50614166259766,-4.099999904632568,-2.178631544113159,-2.5999999046325684,-2.6515283584594727,0.07595580588018841
56000,0.3565,92.35316467285156,98.15160369873047,-2.299999952316284,-2.678525447845459,-1.899999976158142,-2.5617501735687256,0.07271582878059893
58000,0.389,90.82939147949219,98.33338928222656,-1.7999999523162842,-2.2921714782714844,-1.600000023841858,-2.0876286029815674,0.06988028726872808
60000,0.38,92.79946899414062,95.68280029296875,-2.4000000953674316,-2.3588767051696777,-2.0999999046325684,-2.5581767559051514,0.0673986969925
62000,0.373,94.19854736328125,92.63081359863281,-2.299999952316284,-2.0528039932250977,-2.5999999046325684,-2.5514955520629883,0.06522687539394878
64000,0.3725,88.06417846679688,92.64404296875,-2.799999952316284,-2.3378820419311523,-2.4000000953674316,-2.7256879806518555,0.06332615507717554
