episodes,return,hinter_loss,guesser_loss,hinter_q,hinter_qhat,guesser_q,guesser_qhat,exploration
4000,0.36675,87.9793472290039,94.325927734375,-3.5999999046325684,-2.6397299766540527,-2.200000047683716,-2.13816237449646,0.7775834142685771
8000,0.37275,98.09459686279297,90.91810607910156,-1.7999999523162842,-2.4548282623291016,-3.0999999046325684,-2.4223861694335938,0.6072767555124091
12000,0.36875,96.83955383300781,102.7666015625,-2.200000047683716,-2.3050851821899414,-0.8999999761581421,-2.7498128414154053,0.47683405935886203
16000,0.37925,96.22959899902344,91.59228515625,-1.7000000476837158,-2.3846628665924072,-2.700000047683716,-2.68326473236084,0.376924301842171
20000,0.37525,87.32927703857422,86.58765411376953,-3.5999999046325684,-2.6691272258758545,-3.5999999046325684,-2.524273633956909,0.3004005872809969
24000,0.367,88.9228515625,101.28178405761719,-3.5999999046325684,-2.335970640182495,-1.7999999523162842,-2.841142177581787,0.24178890574166612
28000,0.35425,87.35899353027344,88.35514831542969,-3.5,-2.736311912536621,-3.5999999046325684,-2.6025915145874023,0.19689655789148858
32000,0.36325,96.4303207397461,92.96742248535156,-2.0999999046325684,-2.1882412433624268,-2.9000000953674316,-2.5546152591705322,0.16251223649731428
36000,0.37225,92.0657730102539,91.77008056640625,-3.200000047683716,-2.659029483795166,-3.0999999046325684,-2.9749374389648438,0.1361763103460783
40000,0.3635,93.31009674072266,90.32035064697266,-2.299999952316284,-2.1598246097564697,-3.4000000953674316,-2.034416913986206,0.11600487818976805
44000,0.366,95.3222885131836,100.02971649169922,-2.299999952316284,-3.0766186714172363,-1.5,-2.7061777114868164,0.10055500667585009
48000,0.3725,90.77229309082031,87.38651275634766,-2.799999952316284,-2.104909658432007,-3.5,-2.2391393184661865,0.08872151225924757
52000,0.37275,88.11502838134766,93.241943359375,-3.200000047683716,-2.645925521850586,-2.5999999046325684,-2.530512809753418,0.07965790354369187
56000,0.37175,92.69021606445312,91.2966537475586,-2.700000047683716,-2.1816294193267822,-3.0999999046325684,-2.2002241611480713,0.07271582878059893
60000,0.366,91.62291717529297,94.13545227050781,-2.9000000953674316,-2.2871439456939697,-2.5999999046325684,-1.9856634140014648,0.0673986969925
64000,0.37225,88.4916763305664,91.53494262695312,-3.700000047683716,-2.3138175010681152,-3.0999999046325684,-2.2273311614990234,0.06332615507717554
68000,0.355,94.99473571777344,92.28826141357422,-2.4000000953674316,-2.979304790496826,-3.0,-3.1883606910705566,0.06020687981505069
72000,0.36775,99.76160430908203,91.34825897216797,-2.0,-3.167395830154419,-3.0999999046325684,-3.1404671669006348,0.057817738496629446
76000,0.36925,86.22186279296875,94.54203796386719,-3.4000000953674316,-2.8197455406188965,-2.200000047683716,-2.523494005203247,0.05598782745649274
80000,0.366,95.81599426269531,91.83294677734375,-1.7999999523162842,-2.0624642372131348,-3.0999999046325684,-2.26114559173584,0.054586246734165705
84000,0.37675,89.6402816772461,96.80155181884766,-2.9000000953674316,-2.302370071411133,-2.299999952316284,-2.3541245460510254,0.053512736340429835
88000,0.3755,90.74675750732422,96.72927856445312,-2.9000000953674316,-2.6046481132507324,-2.0,-2.4936118125915527,0.05269050430833854
92000,0.353,92.25328063964844,91.20870971679688,-2.4000000953674316,-2.977611780166626,-3.0,-2.8884894847869873,0.05206073349424867
