episodes,return,hinter_loss,guesser_loss,hinter_q,hinter_qhat,guesser_q,guesser_qhat,exploration
4000,0.37075,97.10086822509766,93.41403198242188,-2.200000047683716,-2.729259729385376,-2.799999952316284,-2.891180992126465,0.7775834142685771
8000,0.37025,91.75442504882812,88.8106460571289,-2.9000000953674316,-2.906146764755249,-3.0999999046325684,-3.035294771194458,0.6072767555124091
12000,0.36525,95.5087661743164,91.1839370727539,-2.299999952316284,-2.757789373397827,-3.0,-2.7627453804016113,0.47683405935886203
16000,0.3635,91.79833984375,93.07441711425781,-3.0999999046325684,-2.3439722061157227,-2.700000047683716,-2.2109861373901367,0.376924301842171
20000,0.36175,94.423828125,94.08019256591797,-2.4000000953674316,-2.5529580116271973,-2.700000047683716,-2.418992042541504,0.3004005872809969
24000,0.358,97.9856185913086,91.87217712402344,-1.5,-2.464125871658325,-2.799999952316284,-2.040914297103882,0.24178890574166612
28000,0.37325,94.6828842163086,92.3770980834961,-2.0,-2.2969775199890137,-2.5999999046325684,-2.349088191986084,0.19689655789148858
32000,0.373,99.54653930664062,85.56856536865234,-1.600000023841858,-2.2163801193237305,-4.0,-2.275212526321411,0.16251223649731428
36000,0.36825,92.12425994873047,95.30702209472656,-2.5,-2.6028997898101807,-2.4000000953674316,-2.1553280353546143,0.1361763103460783
40000,0.367,89.17819213867188,92.61349487304688,-2.700000047683716,-2.987579345703125,-2.799999952316284,-2.9121692180633545,0.11600487818976805
44000,0.3555,96.20256042480469,90.99368286132812,-1.7999999523162842,-2.837754011154175,-3.0,-2.7759101390838623,0.10055500667585009
48000,0.38125,80.38158416748047,88.92730712890625,-4.400000095367432,-2.7024056911468506,-3.5,-2.2215590476989746,0.08872151225924757
52000,0.378,93.03805541992188,89.44031524658203,-2.4000000953674316,-2.1677985191345215,-3.299999952316284,-2.2310566902160645,0.07965790354369187
56000,0.377,86.91849517822266,96.44247436523438,-3.200000047683716,-2.489525079727173,-2.0,-2.482898473739624,0.07271582878059893
60000,0.373,89.9228744506836,90.6286392211914,-2.299999952316284,-2.5371901988983154,-3.4000000953674316,-2.795308828353882,0.0673986969925
64000,0.351,82.1613540649414,93.30854797363281,-4.099999904632568,-3.1467995643615723,-2.5,-3.0715863704681396,0.06332615507717554
68000,0.37625,90.64031219482422,94.6653823852539,-3.200000047683716,-2.0546059608459473,-2.5,-2.2980146408081055,0.06020687981505069
72000,0.37725,99.92391967773438,91.9137954711914,-1.600000023841858,-2.7822494506835938,-2.799999952316284,-3.0525755882263184,0.057817738496629446
76000,0.3755,92.404541015625,92.7549819946289,-3.0999999046325684,-2.359966516494751,-2.799999952316284,-2.1352431774139404,0.05598782745649274
80000,0.37475,87.40084075927734,86.91415405273438,-3.4000000953674316,-2.422487258911133,-3.700000047683716,-2.4672465324401855,0.054586246734165705
84000,0.3645,90.60516357421875,90.02058410644531,-3.299999952316284,-2.3905866146087646,-2.9000000953674316,-2.569490432739258,0.053512736340429835
88000,0.3775,83.95697021484375,100.2564926147461,-3.200000047683716,-2.9151995182037354,-1.7000000476837158,-2.7540504932403564,0.05269050430833854
92000,0.374,95.99864959716797,94.2255859375,-1.600000023841858,-2.644294500350952,-2.0999999046325684,-2.6860222816467285,0.05206073349424867
96000,0.38375,97.96194458007812,98.97831726074219,-1.100000023841858,-1.4812430143356323,-1.2000000476837158,-1.455317735671997,0.05157837418106226
100000,0.39625,99.17724609375,91.94287872314453,-0.8999999761581421,-1.7339296340942383,-2.5,-1.6637365818023682,0.05120892151381868
104000,0.429,90.87804412841797,98.73469543457031,-0.20000000298023224,-0.921851634979248,-0.30000001192092896,-1.2121063470840454,0.050925947246292416
108000,0.487,88.03079223632812,95.25892639160156,0.699999988079071,-0.06143062189221382,0.10000000149011612,-0.14570724964141846,0.05070920923576608
112000,0.5305,84.09674835205078,93.36394500732422,1.5,1.0671367645263672,-0.699999988079071,0.8753637671470642,0.05054320345150317
116000,0.53775,86.58293914794922,93.03704833984375,0.800000011920929,0.9994199275970459,1.0,0.8945905566215515,0.050416054917003766
120000,0.5485,78.7220230102539,87.4659194946289,1.100000023841858,0.7592520713806152,1.100000023841858,0.8847516775131226,0.050318668251249137
124000,0.53425,79.81732177734375,89.49601745605469,0.699999988079071,0.9412961006164551,0.10000000149011612,0.6752317547798157,0.05024407704416882
128000,0.5335,82.30879211425781,85.13558959960938,1.399999976158142,0.6767122745513916,1.100000023841858,0.34347519278526306,0.05018694552487318
132000,0.52675,68.51942443847656,85.4651870727539,0.30000001192092896,0.9297096133232117,0.6000000238418579,1.017680287361145,0.050143186875230825
136000,0.54975,71.05218505859375,85.45691680908203,1.7000000476837158,1.1863621473312378,1.0,0.8009902238845825,0.05010967088542117
140000,0.539,75.84988403320312,85.16722869873047,0.800000011920929,0.553772509098053,0.6000000238418579,0.8652782440185547,0.05008400003903762
144000,0.54325,74.5564193725586,82.3351058959961,2.0999999046325684,1.091270923614502,0.699999988079071,0.4394901394844055,0.05006433801032265
148000,0.55475,71.9922866821289,80.52201080322266,2.5999999046325684,1.7677041292190552,2.299999952316284,1.4712920188903809,0.05004927830534012
152000,0.555,76.94896697998047,80.44657897949219,0.4000000059604645,0.6728038787841797,1.600000023841858,1.4705626964569092,0.05003774365052658
156000,0.5455,74.2715072631836,86.60285186767578,0.4000000059604645,0.7714174389839172,-0.699999988079071,0.5343189239501953,0.05002890893153164
160000,0.54725,81.85214233398438,79.510498046875,0.5,0.7326496243476868,-0.5,1.2889552116394043,0.050022142169891926
164000,0.5665,72.95773315429688,86.13870239257812,1.600000023841858,1.4391942024230957,1.899999976158142,1.0305206775665283,0.050016959315393114
168000,0.5615,74.78190612792969,91.84772491455078,-0.4000000059604645,0.9810499548912048,1.0,1.0956426858901978,0.05001298962025885
172000,0.57225,76.302490234375,84.94935607910156,1.600000023841858,2.1291463375091553,2.200000047683716,1.4604488611221313,0.05000994911826085
176000,0.5565,76.95862579345703,84.07421875,1.5,1.1250299215316772,0.20000000298023224,0.431705117225647,0.05000762031161773
180000,0.56,70.41058349609375,96.1360092163086,2.5,1.8750911951065063,1.600000023841858,1.1806601285934448,0.050005836612615186
184000,0.585,77.2746810913086,84.90621948242188,1.7999999523162842,1.8434165716171265,1.899999976158142,1.8733024597167969,0.050004470427002026
188000,0.5735,72.32865905761719,83.6869125366211,1.0,1.550360083580017,2.5,1.186608076095581,0.050003424026725446
192000,0.58925,68.159423828125,87.81603240966797,1.7000000476837158,1.911584496498108,2.9000000953674316,1.59257173538208,0.05000262255910034
