episodes,return,hinter_loss,guesser_loss,hinter_q,hinter_qhat,guesser_q,guesser_qhat,exploration
2000,0.4415,100.71566772460938,98.87371063232422,-0.4000000059604645,-1.0838897228240967,-1.2999999523162842,-1.025390863418579,0.8813592272948078
4000,0.454,99.13783264160156,97.58008575439453,-0.8999999761581421,-0.9294453263282776,-1.5,-0.9057113528251648,0.7775834142685771
6000,0.4545,93.25676727294922,100.3027114868164,-2.799999952316284,-1.213787317276001,-0.20000000298023224,-1.0220125913619995,0.6867615915460303
8000,0.4425,96.91497802734375,97.48358154296875,-1.600000023841858,-0.8625763058662415,-1.899999976158142,-0.8337611556053162,0.6072767555124091
10000,0.447,99.04484558105469,97.17971801757812,-0.4000000059604645,-0.9230583310127258,-1.2000000476837158,-0.95536208152771,0.5377137477472802
12000,0.476,97.61680603027344,99.19275665283203,-0.30000001192092896,-0.2770833671092987,-0.800000011920929,-0.11456122994422913,0.47683405935886203
14000,0.4475,97.37455749511719,96.51869201660156,-0.8999999761581421,-1.2181689739227295,-1.5,-1.3709845542907715,0.42355378040966973
16000,0.449,93.61624908447266,96.39676666259766,-1.2000000476837158,-0.7986382246017456,-1.600000023841858,-1.1948448419570923,0.376924301842171
18000,0.441,95.39389038085938,97.34598541259766,-1.2999999523162842,-0.8526273369789124,-1.100000023841858,-0.9549298882484436,0.3361154263190112
20000,0.4405,96.3972396850586,97.13314819335938,-2.0999999046325684,-0.7512425184249878,-2.200000047683716,-1.0108709335327148,0.3004005872809969
22000,0.47,100.12902069091797,97.55792236328125,-0.8999999761581421,-0.1399116963148117,-1.0,-0.4003185033798218,0.2691439130610133
24000,0.458,91.75743103027344,95.39143371582031,-1.899999976158142,-0.7583686709403992,-0.8999999761581421,-0.3854536712169647,0.24178890574166612
26000,0.455,88.07544708251953,98.6025161743164,-1.5,-0.479482501745224,-1.100000023841858,-0.6203073263168335,0.21784853319354897
28000,0.4465,91.16281127929688,97.18140411376953,0.10000000149011612,-0.7440126538276672,-1.399999976158142,-0.8860138058662415,0.19689655789148858
30000,0.4755,91.28937530517578,98.6172866821289,-1.100000023841858,-0.021138228476047516,-0.6000000238418579,-0.4143446683883667,0.17855994812587855
32000,0.475,91.15453338623047,97.08720397949219,-1.2000000476837158,-0.7738732695579529,-2.0999999046325684,-0.611492395401001,0.16251223649731428
34000,0.4835,88.28781127929688,95.22081756591797,-1.100000023841858,-0.46200984716415405,-0.30000001192092896,-0.6419149041175842,0.14846770744829957
36000,0.4945,94.18009948730469,100.38041687011719,1.100000023841858,0.20726928114891052,0.10000000149011612,-0.32979097962379456,0.1361763103460783
38000,0.5245,96.88993835449219,97.54379272460938,0.4000000059604645,0.5635802149772644,0.6000000238418579,0.30725884437561035,0.12541920754845245
40000,0.5355,86.13800048828125,98.27461242675781,0.800000011920929,0.3329757750034332,1.600000023841858,0.7730467915534973,0.11600487818976805
42000,0.5645,98.54875946044922,96.95491027832031,0.20000000298023224,0.6579728126525879,1.399999976158142,0.9716819524765015,0.10776570831836477
44000,0.575,89.77979278564453,94.54203796386719,2.0999999046325684,1.5648208856582642,1.7999999523162842,1.7337121963500977,0.10055500667585009
46000,0.607,90.60806274414062,86.38545227050781,2.0,2.314159870147705,3.200000047683716,1.9727156162261963,0.09424439298674207
48000,0.609,93.31269836425781,87.82638549804688,3.0,2.321593999862671,2.9000000953674316,2.093104600906372,0.08872151225924757
50000,0.6285,83.00216674804688,92.95452117919922,2.0,2.05180287361145,1.7999999523162842,2.241184711456299,0.08388803440228787
52000,0.6235,81.36376190185547,87.60183715820312,2.799999952316284,2.397174119949341,2.9000000953674316,2.2487080097198486,0.07965790354369187
54000,0.6535,72.68446350097656,87.80023193359375,3.700000047683716,2.7271835803985596,2.5999999046325684,2.764601469039917,0.07595580588018841
56000,0.6535,82.92666625976562,85.43376159667969,3.0999999046325684,2.858102798461914,3.5,2.8071115016937256,0.07271582878059893
58000,0.627,86.8534927368164,90.19847869873047,2.5,2.280735731124878,3.200000047683716,2.3623812198638916,0.06988028726872808
60000,0.6465,77.95335388183594,87.40308380126953,3.0999999046325684,2.8191308975219727,2.700000047683716,3.007460594177246,0.0673986969925
62000,0.649,77.41996765136719,81.28778076171875,3.700000047683716,3.198270320892334,3.4000000953674316,3.419417142868042,0.06522687539394878
64000,0.6585,79.03807830810547,86.97007751464844,3.0999999046325684,3.0921742916107178,2.5,2.817246675491333,0.06332615507717554
66000,0.6625,75.71764373779297,87.48773193359375,2.9000000953674316,3.2416014671325684,2.5,3.1970200538635254,0.061662695368972745
68000,0.638,81.95257568359375,87.64855194091797,2.0,2.6002249717712402,2.9000000953674316,2.8429529666900635,0.06020687981505069
70000,0.6585,86.7564468383789,85.62049102783203,2.299999952316284,3.6950197219848633,2.700000047683716,2.877852439880371,0.05893278888481038
72000,0.6565,73.27901458740234,80.05735778808594,2.4000000953674316,2.86920166015625,2.9000000953674316,3.06184720993042,0.057817738496629446
74000,0.666,69.0538330078125,74.52690124511719,4.400000095367432,3.522092819213867,4.0,3.215183973312378,0.05684187614750502
76000,0.657,69.93836212158203,77.16242980957031,3.200000047683716,3.336594343185425,3.5,2.992710590362549,0.05598782745649274
78000,0.6655,60.87236022949219,93.06912231445312,5.099999904632568,3.370591640472412,2.700000047683716,2.935148239135742,0.05524038682895525
80000,0.669,73.75837707519531,74.87608337402344,2.9000000953674316,4.086737155914307,4.199999809265137,3.62282657623291,0.054586246734165705
82000,0.652,75.69088745117188,94.53553771972656,2.700000047683716,2.7829864025115967,1.899999976158142,3.2003679275512695,0.05401376077628968
84000,0.6635,70.0649185180664,75.47083282470703,3.4000000953674316,3.410651922225952,4.300000190734863,3.2132270336151123,0.053512736340429835
86000,0.68,72.92394256591797,76.60355377197266,4.300000190734863,3.8569366931915283,4.800000190734863,3.685182809829712,0.05307425312197676
88000,0.673,72.01287078857422,76.84945678710938,3.700000047683716,3.8512094020843506,4.099999904632568,3.530721426010132,0.05269050430833854
