episodes,return,hinter_loss,guesser_loss,hinter_q,hinter_qhat,guesser_q,guesser_qhat,exploration
2000,0.4535,100.26095581054688,98.95958709716797,-0.699999988079071,-0.7670437693595886,-0.699999988079071,-0.6596813797950745,0.8813592272948078
4000,0.4475,99.3881607055664,100.34161376953125,-1.0,-1.3807876110076904,-0.699999988079071,-1.4476627111434937,0.7775834142685771
6000,0.4505,99.19216918945312,98.97102355957031,-0.800000011920929,-0.9620257019996643,-0.699999988079071,-0.9189286828041077,0.6867615915460303
8000,0.452,98.52255249023438,99.840087890625,-1.2000000476837158,-0.8566011786460876,-0.4000000059604645,-0.7568605542182922,0.6072767555124091
10000,0.4575,97.7851333618164,97.9420394897461,0.10000000149011612,-0.6564282774925232,-2.0999999046325684,-0.6274421811103821,0.5377137477472802
12000,0.459,99.48580932617188,99.74048614501953,0.30000001192092896,-0.3556165397167206,-0.5,-0.40813198685646057,0.47683405935886203
14000,0.4585,99.116943359375,99.05531311035156,-0.10000000149011612,-0.783033549785614,-0.8999999761581421,-0.6583483815193176,0.42355378040966973
16000,0.466,99.3753433227539,96.347900390625,-0.6000000238418579,-0.5594028830528259,-1.5,-0.7265226244926453,0.376924301842171
18000,0.467,94.30682373046875,97.21334838867188,-0.4000000059604645,0.1212901845574379,-0.8999999761581421,-0.4300006926059723,0.3361154263190112
20000,0.4715,96.54411315917969,97.96672821044922,0.0,-0.38476547598838806,-0.800000011920929,-0.7344112396240234,0.3004005872809969
22000,0.452,94.89745330810547,98.50135040283203,-1.5,-0.9092815518379211,-0.800000011920929,-0.7865139842033386,0.2691439130610133
24000,0.4545,90.73822021484375,99.77201843261719,-1.2000000476837158,-0.9560626149177551,-0.6000000238418579,-0.6858853697776794,0.24178890574166612
26000,0.477,92.39745330810547,98.49232482910156,-1.5,-0.33084163069725037,-0.6000000238418579,-0.05277888849377632,0.21784853319354897
28000,0.451,83.82418060302734,97.93692016601562,-1.2000000476837158,-0.5621755123138428,-1.7000000476837158,-0.684288740158081,0.19689655789148858
30000,0.477,89.12556457519531,98.61315155029297,-0.4000000059604645,-0.15484535694122314,0.30000001192092896,-0.5368872284889221,0.17855994812587855
32000,0.47,88.21395874023438,100.33859252929688,-0.30000001192092896,-0.40871453285217285,-0.4000000059604645,-1.1419719457626343,0.16251223649731428
34000,0.4665,93.51840209960938,97.65142822265625,0.4000000059604645,-0.3665255308151245,-1.5,-0.5700433850288391,0.14846770744829957
36000,0.4745,93.35453796386719,99.61617279052734,-0.5,-0.6270259618759155,0.20000000298023224,-0.5630066394805908,0.1361763103460783
38000,0.486,83.43433380126953,98.48731231689453,-0.4000000059604645,-0.12030532956123352,0.0,0.10958915948867798,0.12541920754845245
40000,0.4715,92.89732360839844,99.85453033447266,0.800000011920929,-0.09972216933965683,-0.8999999761581421,-0.21044224500656128,0.11600487818976805
42000,0.4895,95.63493347167969,99.06256103515625,0.0,-0.5411354303359985,-0.4000000059604645,-0.02665778622031212,0.10776570831836477
44000,0.5115,98.5092544555664,98.15306854248047,-0.20000000298023224,0.4119799733161926,0.4000000059604645,0.022389136254787445,0.10055500667585009
46000,0.536,90.64949035644531,99.83879089355469,0.4000000059604645,0.6106407046318054,0.5,0.7575839161872864,0.09424439298674207
48000,0.55,91.29605102539062,100.14379119873047,1.2000000476837158,1.1930259466171265,0.800000011920929,1.0778814554214478,0.08872151225924757
50000,0.5755,88.75470733642578,95.16458129882812,1.7000000476837158,1.1318397521972656,2.0,1.2492486238479614,0.08388803440228787
52000,0.6,87.48609161376953,93.67683410644531,2.700000047683716,2.2913217544555664,1.899999976158142,2.230128526687622,0.07965790354369187
54000,0.6125,90.27009582519531,96.01412963867188,1.899999976158142,1.9512256383895874,1.100000023841858,2.0378448963165283,0.07595580588018841
56000,0.6185,93.0367660522461,92.63829803466797,2.200000047683716,2.417349338531494,2.299999952316284,2.2667479515075684,0.07271582878059893
58000,0.6245,87.86251068115234,90.27074432373047,2.700000047683716,1.8259146213531494,2.299999952316284,2.3563826084136963,0.06988028726872808
60000,0.616,92.833740234375,82.89909362792969,1.899999976158142,2.4852991104125977,3.0999999046325684,2.535224676132202,0.0673986969925
62000,0.617,91.72178649902344,93.49504852294922,0.800000011920929,1.877854347229004,2.0999999046325684,1.9253807067871094,0.06522687539394878
64000,0.6455,74.69178771972656,90.63995361328125,3.0999999046325684,2.9862420558929443,2.299999952316284,3.132580518722534,0.06332615507717554
66000,0.654,79.50890350341797,81.64867401123047,3.200000047683716,2.7007460594177246,3.0999999046325684,3.2277770042419434,0.061662695368972745
68000,0.6355,79.28064727783203,82.95885467529297,3.5999999046325684,2.51906681060791,3.299999952316284,2.9172306060791016,0.06020687981505069
70000,0.6625,77.74330139160156,78.54295349121094,3.0,3.2723755836486816,3.4000000953674316,3.1387951374053955,0.05893278888481038
72000,0.6695,75.27922058105469,75.24722290039062,4.099999904632568,3.436246395111084,4.300000190734863,3.2331480979919434,0.057817738496629446
74000,0.6335,80.31951904296875,82.59313201904297,2.0999999046325684,3.0582613945007324,3.5,3.0388529300689697,0.05684187614750502
76000,0.656,79.5255355834961,81.74507904052734,3.5,3.2114837169647217,3.4000000953674316,3.2178430557250977,0.05598782745649274
78000,0.6755,65.64474487304688,80.43901062011719,3.799999952316284,3.6041359901428223,3.5999999046325684,3.9199700355529785,0.05524038682895525
80000,0.647,75.64080810546875,81.52400207519531,3.0999999046325684,3.1053109169006348,2.9000000953674316,2.6366915702819824,0.054586246734165705
82000,0.6615,71.7526626586914,91.1957015991211,3.200000047683716,3.5669991970062256,2.299999952316284,3.1858742237091064,0.05401376077628968
84000,0.641,84.590087890625,90.28219604492188,2.5999999046325684,2.3591370582580566,2.200000047683716,2.608793020248413,0.053512736340429835
86000,0.6705,73.56916809082031,81.12307739257812,3.299999952316284,3.3305606842041016,3.4000000953674316,3.2554383277893066,0.05307425312197676
88000,0.658,73.57264709472656,83.92871856689453,2.9000000953674316,3.265101432800293,3.4000000953674316,3.07906436920166,0.05269050430833854
90000,0.68,73.74633026123047,81.1047134399414,4.0,3.521803855895996,3.5999999046325684,3.558988094329834,0.05235465758542799
92000,0.6705,66.23735046386719,77.89006042480469,4.199999809265137,3.53035306930542,4.0,3.5450308322906494,0.05206073349424867
94000,0.681,72.7348861694336,74.35530090332031,3.700000047683716,3.619858741760254,3.9000000953674316,3.48964262008667,0.051803498971824576
96000,0.666,69.58900451660156,83.60469055175781,2.799999952316284,3.189042091369629,3.200000047683716,3.2555277347564697,0.05157837418106226
98000,0.6705,70.2596206665039,89.50272369384766,3.5,3.5021562576293945,2.799999952316284,3.385800838470459,0.05138135097073195
100000,0.6745,75.2906723022461,66.75606536865234,3.5,3.0510470867156982,4.699999809265137,3.5685033798217773,0.05120892151381868
102000,0.657,84.12374114990234,87.70288848876953,2.200000047683716,3.038210153579712,1.7999999523162842,3.146878242492676,0.05105801585371112
104000,0.661,70.63445281982422,85.49008178710938,3.700000047683716,3.1132612228393555,3.5,2.8092408180236816,0.050925947246292416
106000,0.6665,76.11637878417969,78.94109344482422,3.700000047683716,3.405202627182007,3.5,3.1281585693359375,0.050810364324796416
