episodes,return,hinter_loss,guesser_loss,hinter_q,hinter_qhat,guesser_q,guesser_qhat,exploration
4000,0.371,99.26715850830078,98.93502807617188,-1.2999999523162842,-2.1701443195343018,-1.5,-2.3976621627807617,0.7775834142685771
8000,0.367,94.3583755493164,96.1356430053711,-2.299999952316284,-2.316155195236206,-1.7000000476837158,-2.368342638015747,0.6072767555124091
12000,0.3695,93.10379791259766,88.82012939453125,-2.4000000953674316,-2.3732376098632812,-3.5999999046325684,-2.5428714752197266,0.47683405935886203
16000,0.366,91.73716735839844,94.36885070800781,-2.799999952316284,-2.2385854721069336,-2.200000047683716,-2.6375038623809814,0.376924301842171
20000,0.3535,87.56798553466797,100.00128936767578,-3.200000047683716,-3.2461748123168945,-1.5,-3.237914800643921,0.3004005872809969
24000,0.371,96.65252685546875,95.17191314697266,-2.0999999046325684,-2.1146960258483887,-2.200000047683716,-1.9101295471191406,0.24178890574166612
28000,0.378,93.86824035644531,90.96208953857422,-2.799999952316284,-2.226766586303711,-3.4000000953674316,-2.043678045272827,0.19689655789148858
32000,0.36275,93.50682830810547,89.98107147216797,-2.5,-2.941570997238159,-3.299999952316284,-2.579448938369751,0.16251223649731428
36000,0.372,90.02206420898438,91.11723327636719,-3.0,-2.570960760116577,-3.299999952316284,-2.683073043823242,0.1361763103460783
40000,0.36625,89.48758697509766,92.38128662109375,-3.0999999046325684,-2.589637517929077,-2.700000047683716,-2.5284745693206787,0.11600487818976805
44000,0.36825,96.9494400024414,92.25150299072266,-1.2999999523162842,-2.4219260215759277,-2.799999952316284,-2.7827017307281494,0.10055500667585009
48000,0.38575,94.03132629394531,94.72053527832031,-2.0999999046325684,-2.409761905670166,-2.200000047683716,-2.401601791381836,0.08872151225924757
52000,0.37225,91.59423828125,96.45330047607422,-2.5999999046325684,-1.935391902923584,-2.0,-2.3710968494415283,0.07965790354369187
56000,0.38525,100.34469604492188,91.52696228027344,-1.2999999523162842,-2.103566884994507,-2.799999952316284,-2.011880397796631,0.07271582878059893
60000,0.36975,81.51885223388672,88.81802368164062,-3.9000000953674316,-3.6235861778259277,-3.5999999046325684,-3.0877697467803955,0.0673986969925
64000,0.3775,91.3590316772461,89.52433776855469,-2.5,-3.0074222087860107,-3.299999952316284,-2.989968776702881,0.06332615507717554
68000,0.36,95.8283920288086,88.54283905029297,-2.200000047683716,-2.636758804321289,-3.200000047683716,-2.6976282596588135,0.06020687981505069
72000,0.36525,90.1504135131836,90.00337982177734,-2.200000047683716,-3.0230705738067627,-3.200000047683716,-3.1208930015563965,0.057817738496629446
76000,0.36325,90.01887512207031,87.13970947265625,-3.0,-2.611637592315674,-3.9000000953674316,-2.6778910160064697,0.05598782745649274
80000,0.366,88.49136352539062,94.1774673461914,-2.9000000953674316,-2.520862102508545,-2.299999952316284,-2.5020318031311035,0.054586246734165705
84000,0.3795,89.39982604980469,94.9765625,-3.5999999046325684,-1.50899076461792,-2.299999952316284,-2.1414196491241455,0.053512736340429835
88000,0.3715,85.28173065185547,92.09477233886719,-2.700000047683716,-2.469254970550537,-2.5,-2.7727854251861572,0.05269050430833854
92000,0.36625,87.83273315429688,93.91755676269531,-3.299999952316284,-2.564554452896118,-2.4000000953674316,-2.738724708557129,0.05206073349424867
96000,0.36375,90.48193359375,89.91224670410156,-2.5,-2.8539350032806396,-3.4000000953674316,-2.836582899093628,0.05157837418106226
100000,0.3785,86.51500701904297,93.38078308105469,-3.0,-1.9110705852508545,-2.5999999046325684,-2.5850119590759277,0.05120892151381868
104000,0.40425,89.02175903320312,94.99967956542969,-2.799999952316284,-1.6258845329284668,-2.4000000953674316,-1.708793044090271,0.050925947246292416
108000,0.418,88.04231262207031,96.78230285644531,-1.0,-0.6727306842803955,-1.600000023841858,-1.0587166547775269,0.05070920923576608
112000,0.4725,83.35926055908203,94.99560546875,-0.10000000149011612,-0.0657980814576149,-0.30000001192092896,-0.5810403227806091,0.05054320345150317
116000,0.551,92.9990234375,93.02510070800781,0.8999999761581421,1.0349373817443848,1.2000000476837158,1.0251513719558716,0.050416054917003766
120000,0.54825,69.58256530761719,89.03512573242188,1.0,1.0988717079162598,1.600000023841858,0.8907061219215393,0.050318668251249137
124000,0.55425,79.79751586914062,89.38190460205078,0.6000000238418579,0.761526882648468,0.8999999761581421,1.2386538982391357,0.05024407704416882
128000,0.54025,69.64025115966797,85.0591049194336,1.2999999523162842,1.0974037647247314,1.7999999523162842,1.2609082460403442,0.05018694552487318
132000,0.5485,78.9474105834961,76.9112319946289,0.8999999761581421,1.2790106534957886,-0.10000000149011612,1.0948439836502075,0.050143186875230825
136000,0.5555,73.13973999023438,86.51089477539062,1.0,1.1757440567016602,-0.30000001192092896,0.7681307196617126,0.05010967088542117
140000,0.54075,72.28052520751953,84.80390930175781,0.800000011920929,1.4903253316879272,0.8999999761581421,0.8457420468330383,0.05008400003903762
144000,0.54425,73.24505615234375,86.00335693359375,0.30000001192092896,1.7097678184509277,0.10000000149011612,1.2716325521469116,0.05006433801032265
148000,0.54775,80.42666625976562,83.42680358886719,0.30000001192092896,1.4170418977737427,1.2999999523162842,0.6405543684959412,0.05004927830534012
152000,0.56525,75.97801208496094,84.48207092285156,2.4000000953674316,1.3604087829589844,1.2000000476837158,1.3659461736679077,0.05003774365052658
156000,0.55825,71.3269271850586,89.09423065185547,1.5,1.351688027381897,1.899999976158142,0.7985545992851257,0.05002890893153164
160000,0.542,79.61299896240234,85.86673736572266,1.100000023841858,1.1517912149429321,2.0,1.0298585891723633,0.050022142169891926
164000,0.5495,78.21340942382812,82.82328796386719,2.0,0.9741452932357788,0.8999999761581421,0.8596198558807373,0.050016959315393114
168000,0.53275,73.74565124511719,83.47665405273438,0.4000000059604645,1.0542463064193726,-0.20000000298023224,0.7135871052742004,0.05001298962025885
172000,0.562,83.94976806640625,83.20519256591797,0.5,1.2955293655395508,1.7000000476837158,1.3531794548034668,0.05000994911826085
176000,0.55425,74.86963653564453,78.16620635986328,0.699999988079071,1.146193504333496,0.30000001192092896,0.9829747676849365,0.05000762031161773
180000,0.57225,88.02908325195312,74.66154479980469,0.6000000238418579,1.2501726150512695,1.7999999523162842,1.6804137229919434,0.050005836612615186
