episodes,return,hinter_loss,guesser_loss,hinter_q,hinter_qhat,guesser_q,guesser_qhat,exploration
4000,0.36525,88.48876953125,86.97147369384766,-3.5,-2.809990167617798,-3.9000000953674316,-2.8174219131469727,0.7775834142685771
8000,0.3705,92.37165069580078,93.299072265625,-2.9000000953674316,-2.678488254547119,-2.4000000953674316,-2.349600315093994,0.6072767555124091
12000,0.3625,96.47777557373047,91.09501647949219,-2.200000047683716,-2.535919666290283,-3.0,-2.755829095840454,0.47683405935886203
16000,0.3635,92.09046936035156,89.48490142822266,-2.0,-2.6290831565856934,-3.0999999046325684,-2.6037518978118896,0.376924301842171
20000,0.3585,86.94336700439453,90.40747833251953,-4.0,-2.4302978515625,-3.0,-2.4256913661956787,0.3004005872809969
24000,0.35575,94.47067260742188,86.50875091552734,-2.5999999046325684,-3.161025285720825,-3.5999999046325684,-2.8466155529022217,0.24178890574166612
28000,0.366,93.33304595947266,94.95472717285156,-2.4000000953674316,-1.663028597831726,-2.0999999046325684,-2.2635533809661865,0.19689655789148858
32000,0.3895,91.96101379394531,93.62857055664062,-2.9000000953674316,-2.3538007736206055,-2.4000000953674316,-2.5661544799804688,0.16251223649731428
36000,0.3705,97.53727722167969,89.33091735839844,-1.7999999523162842,-2.4813072681427,-3.9000000953674316,-1.9452613592147827,0.1361763103460783
40000,0.368,94.94206237792969,96.36394500732422,-2.200000047683716,-2.300139904022217,-2.0999999046325684,-2.6509897708892822,0.11600487818976805
44000,0.3645,88.86885833740234,96.45368194580078,-3.299999952316284,-2.435263156890869,-2.200000047683716,-2.5143885612487793,0.10055500667585009
48000,0.361,91.19013977050781,89.61135864257812,-2.5999999046325684,-3.3123629093170166,-3.4000000953674316,-3.294980049133301,0.08872151225924757
52000,0.38125,88.88597869873047,94.15283203125,-3.4000000953674316,-2.2172467708587646,-2.5999999046325684,-1.817187786102295,0.07965790354369187
56000,0.364,92.61235046386719,94.54934692382812,-2.5999999046325684,-2.5753848552703857,-2.200000047683716,-2.565213918685913,0.07271582878059893
60000,0.361,86.4019546508789,92.27198028564453,-3.700000047683716,-2.8286657333374023,-2.5999999046325684,-2.6684048175811768,0.0673986969925
64000,0.37125,89.14407348632812,91.44178009033203,-3.4000000953674316,-2.412285566329956,-2.799999952316284,-2.5093603134155273,0.06332615507717554
68000,0.36125,93.71427917480469,99.67147827148438,-2.700000047683716,-2.748461961746216,-1.899999976158142,-2.6612284183502197,0.06020687981505069
72000,0.375,90.08999633789062,94.73661804199219,-2.299999952316284,-2.041109085083008,-2.0,-2.139448404312134,0.057817738496629446
76000,0.3685,91.11750793457031,86.37626647949219,-2.5,-2.545992851257324,-4.199999809265137,-2.2811686992645264,0.05598782745649274
80000,0.3975,87.57989501953125,94.54547119140625,-2.4000000953674316,-2.393002510070801,-2.299999952316284,-2.1018383502960205,0.054586246734165705
84000,0.38775,92.99738311767578,95.28079986572266,-1.5,-1.8348095417022705,-2.0,-1.9446380138397217,0.053512736340429835
88000,0.428,94.86860656738281,94.03197479248047,-1.600000023841858,-1.0718703269958496,-2.200000047683716,-1.2270597219467163,0.05269050430833854
92000,0.47,84.57855224609375,94.8205337524414,0.0,0.09371111541986465,-0.6000000238418579,-0.4648870527744293,0.05206073349424867
96000,0.522,85.55684661865234,97.81745910644531,-0.4000000059604645,0.4036661982536316,-0.4000000059604645,0.8408562541007996,0.05157837418106226
100000,0.56425,72.93360137939453,92.60717010498047,2.0999999046325684,1.8478655815124512,2.4000000953674316,1.6304019689559937,0.05120892151381868
104000,0.57525,74.53028106689453,94.5015640258789,0.699999988079071,1.353385329246521,0.5,1.9961750507354736,0.050925947246292416
108000,0.57,72.73077392578125,90.38214874267578,1.7000000476837158,1.6265350580215454,1.100000023841858,1.5910406112670898,0.05070920923576608
112000,0.5705,79.57862091064453,88.74364471435547,2.0999999046325684,1.6322698593139648,1.899999976158142,1.3332072496414185,0.05054320345150317
116000,0.5715,75.42760467529297,93.19403076171875,0.20000000298023224,0.6138107180595398,0.10000000149011612,1.3802306652069092,0.050416054917003766
120000,0.584,75.08850860595703,88.35336303710938,1.5,1.8103593587875366,1.7999999523162842,1.7466691732406616,0.050318668251249137
124000,0.59625,69.97077178955078,90.02400207519531,2.0,1.5304440259933472,1.2999999523162842,1.5702815055847168,0.05024407704416882
128000,0.587,66.48570251464844,86.02432250976562,1.2000000476837158,1.5416967868804932,0.800000011920929,1.9419058561325073,0.05018694552487318
132000,0.61025,69.41150665283203,83.166015625,2.0999999046325684,2.2519514560699463,2.299999952316284,2.251434087753296,0.050143186875230825
136000,0.60525,67.48493957519531,84.52326202392578,3.0,2.715634346008301,2.0999999046325684,1.926186203956604,0.05010967088542117
140000,0.60375,64.74433898925781,86.2834243774414,3.4000000953674316,3.314197301864624,2.5,2.2815914154052734,0.05008400003903762
144000,0.60825,80.30239868164062,94.92769622802734,1.2999999523162842,2.000579833984375,1.7000000476837158,1.477401614189148,0.05006433801032265
148000,0.61325,68.84009552001953,93.80391693115234,2.200000047683716,2.2230658531188965,1.5,1.9436231851577759,0.05004927830534012
152000,0.62175,58.50423812866211,84.45562744140625,2.0999999046325684,2.1392645835876465,2.5,2.2596633434295654,0.05003774365052658
156000,0.639,64.99337005615234,86.410888671875,3.0,2.8285043239593506,2.0999999046325684,2.3242027759552,0.05002890893153164
160000,0.63225,59.48142623901367,88.5554428100586,3.200000047683716,2.0493433475494385,1.2999999523162842,2.3347601890563965,0.050022142169891926
164000,0.62875,61.973480224609375,83.01202392578125,2.5999999046325684,2.7967190742492676,2.700000047683716,2.3265411853790283,0.050016959315393114
168000,0.632,63.3888053894043,82.04460906982422,2.5,2.680989980697632,2.5999999046325684,3.2092037200927734,0.05001298962025885
172000,0.64875,62.397850036621094,85.75972747802734,2.5999999046325684,2.9964210987091064,2.299999952316284,2.728482723236084,0.05000994911826085
176000,0.63875,64.66004180908203,82.46282958984375,3.5,2.7696752548217773,2.200000047683716,2.7350878715515137,0.05000762031161773
180000,0.63325,66.58145141601562,86.6989974975586,2.299999952316284,2.840681791305542,1.5,2.5843920707702637,0.050005836612615186
184000,0.633,58.70351028442383,80.05548095703125,2.0999999046325684,1.6357836723327637,3.0,2.4796392917633057,0.050004470427002026
188000,0.64025,76.16259765625,82.14515686035156,2.5,2.799180030822754,3.299999952316284,3.3545546531677246,0.050003424026725446
192000,0.644,63.066349029541016,87.330810546875,2.5999999046325684,3.273102045059204,1.899999976158142,3.001894950866699,0.05000262255910034
196000,0.66325,50.10575866699219,76.69805908203125,4.199999809265137,3.596571445465088,3.799999952316284,3.0134117603302,0.05000200869233398
200000,0.66075,64.62865447998047,88.29556274414062,4.199999809265137,3.4993326663970947,3.0999999046325684,3.582925319671631,0.050001538514381653
204000,0.6615,66.63005065917969,79.14999389648438,3.4000000953674316,3.4872498512268066,3.0999999046325684,3.4218006134033203,0.05000117839176389
208000,0.65225,65.31868743896484,83.03118133544922,3.5,2.9897260665893555,3.4000000953674316,2.8229432106018066,0.05000090256364566
212000,0.64975,70.75918579101562,78.25070190429688,3.200000047683716,3.2252719402313232,3.5999999046325684,2.7253518104553223,0.05000069129907339
216000,0.66325,61.021026611328125,83.20999908447266,3.5,3.373342514038086,2.700000047683716,3.17618465423584,0.050000529485550595
220000,0.65675,70.36996459960938,81.97972869873047,3.0999999046325684,2.9108026027679443,3.200000047683716,3.573383092880249,0.05000040554798796
224000,0.672,69.42049407958984,74.55189514160156,2.5999999046325684,3.1182785034179688,4.0,3.045130968093872,0.05000031062069654
228000,0.65825,65.31238555908203,73.94033813476562,3.9000000953674316,3.651038408279419,3.799999952316284,3.1980581283569336,0.05000023791319397
232000,0.6735,60.25873565673828,76.934814453125,4.099999904632568,3.584836006164551,3.9000000953674316,3.388978958129883,0.05000018222445733
236000,0.655,60.25450134277344,81.57028198242188,3.799999952316284,3.3599965572357178,2.799999952316284,3.4155566692352295,0.05000013957087581
240000,0.66525,61.505470275878906,82.38067626953125,3.0,3.4049232006073,1.7999999523162842,2.90786075592041,0.050000106901289
244000,0.663,70.52794647216797,84.66726684570312,2.9000000953674316,3.236865520477295,2.700000047683716,2.554192304611206,0.05000008187872665
248000,0.65975,71.81694030761719,77.38400268554688,3.0,3.1227807998657227,2.200000047683716,3.68833589553833,0.05000006271323705
252000,0.6745,60.706085205078125,70.36404418945312,3.5999999046325684,3.4131741523742676,4.300000190734863,3.649794578552246,0.050000048033845446
256000,0.66975,68.44520568847656,67.98304748535156,2.200000047683716,2.592099189758301,4.400000095367432,3.3651082515716553,0.05000003679048343
260000,0.68275,61.85121154785156,72.51615142822266,3.700000047683716,2.5021896362304688,3.9000000953674316,3.4083423614501953,0.05000002817887384
264000,0.6825,59.48186492919922,78.96340942382812,4.300000190734863,3.739591360092163,3.299999952316284,3.6592893600463867,0.05000002158299802
268000,0.69625,62.21658706665039,77.61923217773438,3.9000000953674316,3.396315336227417,3.5999999046325684,3.4852101802825928,0.05000001653102981
272000,0.68075,62.50739669799805,69.36390686035156,4.400000095367432,3.4076743125915527,4.300000190734863,3.933398962020874,0.050000012661584194
276000,0.68025,59.383522033691406,77.91934204101562,3.799999952316284,3.8931827545166016,4.199999809265137,3.443312883377075,0.050000009697866145
280000,0.6915,59.968421936035156,81.6892318725586,5.099999904632568,3.211087226867676,3.4000000953674316,3.7005198001861572,0.0500000074278705
284000,0.68,63.43413543701172,82.38020324707031,4.5,3.605621337890625,3.0,3.4463071823120117,0.05000000568921651
288000,0.68825,72.37329864501953,86.15701293945312,2.799999952316284,3.255711555480957,3.0,2.7879855632781982,0.05000000435753215
292000,0.68975,63.0651741027832,75.38163757324219,4.300000190734863,3.395267963409424,3.0999999046325684,2.8616793155670166,0.05000000333755736
296000,0.68225,75.65878295898438,70.41804504394531,3.5999999046325684,3.871720314025879,4.400000095367432,3.629209518432617,0.05000000255632976
300000,0.693,70.76929473876953,86.70423889160156,3.0,2.663633346557617,2.700000047683716,3.68353271484375,0.05000000195796541
304000,0.68575,61.943599700927734,69.31986999511719,3.9000000953674316,3.8825020790100098,4.5,4.1343207359313965,0.05000000149966119
308000,0.69175,65.48098754882812,70.40644073486328,3.700000047683716,4.596498012542725,3.700000047683716,3.489140033721924,0.050000001148633004
312000,0.68725,60.180198669433594,63.562713623046875,4.0,3.736356735229492,4.900000095367432,3.833407402038574,0.05000000087977057
316000,0.68475,67.99665832519531,75.93225860595703,3.700000047683716,3.0529625415802,3.5,3.6847424507141113,0.050000000673841215
320000,0.68525,67.73110961914062,82.01378631591797,3.5999999046325684,2.634645700454712,3.4000000953674316,3.450822114944458,0.05000000051611408
324000,0.6975,70.73149108886719,76.95597076416016,2.9000000953674316,3.4087982177734375,3.0999999046325684,3.678041458129883,0.0500000003953064
328000,0.6775,66.39462280273438,85.50711059570312,4.5,3.688269853591919,3.0999999046325684,3.317490577697754,0.050000000302776376
332000,0.70275,60.444175720214844,68.4546127319336,4.400000095367432,4.269968509674072,5.199999809265137,4.023154258728027,0.050000000231905005
336000,0.69975,73.86320495605469,71.0273666381836,3.700000047683716,3.552553653717041,4.599999904632568,3.6611695289611816,0.050000000177622614
340000,0.68175,62.033050537109375,68.57125091552734,4.599999904632568,3.9448413848876953,4.199999809265137,3.4091062545776367,0.0500000001360462
344000,0.69225,60.095943450927734,69.01036071777344,4.400000095367432,3.429516077041626,3.5999999046325684,4.1709513664245605,0.050000000104201636
348000,0.6965,68.93512725830078,74.63766479492188,3.700000047683716,3.0743463039398193,4.400000095367432,3.795203924179077,0.05000000007981099
352000,0.69175,65.1526107788086,80.04749298095703,4.199999809265137,3.1940369606018066,3.799999952316284,3.5279793739318848,0.0500000000611295
356000,0.6925,64.78176879882812,65.5487289428711,4.699999809265137,3.4701268672943115,4.300000190734863,4.10532283782959,0.050000000046820814
360000,0.70375,60.057762145996094,77.12399291992188,4.400000095367432,4.066634654998779,3.299999952316284,3.3051517009735107,0.05000000003586139
364000,0.69225,61.77959060668945,68.48301696777344,3.5999999046325684,3.195812463760376,4.300000190734863,4.147894859313965,0.050000000027467253
368000,0.7035,67.63459014892578,68.5998306274414,3.5,4.10379695892334,4.599999904632568,3.7555487155914307,0.05000000002103795
372000,0.70125,57.26564407348633,76.6399917602539,4.699999809265137,3.411930799484253,4.0,3.6920969486236572,0.050000000016113565
376000,0.69025,60.41875457763672,75.15304565429688,3.9000000953674316,3.9800403118133545,3.700000047683716,4.163272857666016,0.05000000001234183
380000,0.709,59.782649993896484,64.89154815673828,4.5,5.062432765960693,5.400000095367432,4.25013542175293,0.05000000000945296
384000,0.69525,69.47027587890625,73.04491424560547,2.9000000953674316,3.5255162715911865,4.199999809265137,4.538251876831055,0.050000000007240294
388000,0.6955,65.77918243408203,82.22429656982422,3.700000047683716,3.668947696685791,3.4000000953674316,4.028685092926025,0.050000000005545546
392000,0.69325,59.881160736083984,67.66731262207031,5.199999809265137,4.24622106552124,4.800000190734863,3.653040885925293,0.050000000004247494
396000,0.701,56.768184661865234,76.13719940185547,3.799999952316284,3.55534291267395,3.5999999046325684,3.5008962154388428,0.050000000003253275
400000,0.6945,58.31535339355469,70.8026351928711,4.199999809265137,4.201718330383301,4.099999904632568,3.9242310523986816,0.05000000000249177
404000,0.695,59.58079147338867,68.93053436279297,3.5,3.9384515285491943,4.5,4.243397235870361,0.050000000001908525
408000,0.7015,60.1870231628418,70.9435043334961,3.4000000953674316,3.859217643737793,4.5,3.41302490234375,0.05000000000146179
412000,0.69875,62.346458435058594,70.84874725341797,4.199999809265137,3.1588644981384277,3.9000000953674316,3.690082311630249,0.05000000000111963
416000,0.6985,69.48725891113281,73.56993865966797,3.4000000953674316,4.1928935050964355,4.0,4.260494232177734,0.05000000000085755
420000,0.696,57.20823669433594,76.94542694091797,4.5,4.258973598480225,2.799999952316284,3.6668779850006104,0.050000000000656825
424000,0.70725,73.3576431274414,71.00163269042969,3.700000047683716,3.6729586124420166,4.0,4.080898284912109,0.050000000000503086
