episodes,return,hinter_loss,guesser_loss,hinter_q,hinter_qhat,guesser_q,guesser_qhat,exploration
2000,0.44,99.11076354980469,98.79936218261719,-1.0,-1.5772830247879028,-1.2999999523162842,-1.6983271837234497,0.8813592272948078
4000,0.442,100.07621765136719,98.86166381835938,-0.4000000059604645,-1.1883474588394165,-0.6000000238418579,-0.7304134964942932,0.7775834142685771
6000,0.447,96.26765441894531,99.32575225830078,-1.5,-1.1716854572296143,-0.8999999761581421,-1.2905813455581665,0.6867615915460303
8000,0.4385,97.10607147216797,98.4384536743164,-0.699999988079071,-1.1798057556152344,-1.0,-1.1125023365020752,0.6072767555124091
10000,0.451,99.09319305419922,99.95964050292969,-0.6000000238418579,-0.5025990009307861,-0.20000000298023224,-0.75043785572052,0.5377137477472802
12000,0.4545,98.07109069824219,98.67291259765625,-0.8999999761581421,-0.7940511107444763,-0.8999999761581421,-0.7622534036636353,0.47683405935886203
14000,0.463,96.92639923095703,99.92599487304688,-1.2999999523162842,-0.47239068150520325,-0.10000000149011612,-0.7768260836601257,0.42355378040966973
16000,0.459,98.94356536865234,98.33231353759766,0.10000000149011612,-0.5496732592582703,-1.0,-0.6673994660377502,0.376924301842171
18000,0.4485,94.0785903930664,95.4444808959961,-1.2999999523162842,-0.812283992767334,-1.600000023841858,-0.9432193636894226,0.3361154263190112
20000,0.4565,100.73239135742188,97.60517883300781,-0.5,-0.7692533135414124,-1.7999999523162842,-0.9383811950683594,0.3004005872809969
22000,0.461,93.90371704101562,101.47512817382812,-0.4000000059604645,-0.6100032329559326,0.699999988079071,-0.6242307424545288,0.2691439130610133
24000,0.461,91.5410385131836,99.17367553710938,-1.0,-0.8218985199928284,-0.30000001192092896,-1.0442945957183838,0.24178890574166612
26000,0.4525,92.31106567382812,97.21199035644531,-2.200000047683716,-0.6844316124916077,-1.100000023841858,-0.8563090562820435,0.21784853319354897
28000,0.4545,92.83457946777344,98.55921173095703,-1.2999999523162842,-1.0422307252883911,-0.20000000298023224,-0.7687824964523315,0.19689655789148858
30000,0.461,95.5141372680664,99.4937515258789,-0.8999999761581421,-0.6720707416534424,-0.800000011920929,-0.5925235152244568,0.17855994812587855
32000,0.4675,89.09652709960938,96.97830200195312,-1.100000023841858,-0.1324022114276886,-1.2000000476837158,-0.3815859854221344,0.16251223649731428
34000,0.482,90.76031494140625,99.12500762939453,0.5,-0.813099205493927,0.30000001192092896,-0.598396897315979,0.14846770744829957
