episodes,return,hinter_loss,guesser_loss,hinter_q,hinter_qhat,guesser_q,guesser_qhat,exploration
5000,0.4294,95.6249771118164,98.52127075195312,-2.299999952316284,-0.9517099857330322,-0.6000000238418579,-0.8752011060714722,0.645823008711293
10000,0.4474,94.5572738647461,96.80701446533203,-1.5,-1.3479212522506714,-2.299999952316284,-0.9515186548233032,0.431058389559995
15000,0.4452,91.8079605102539,97.05509948730469,-1.7000000476837158,-0.9200692176818848,-1.5,-1.2947869300842285,0.30079706342322576
20000,0.4522,95.35919952392578,98.01265716552734,-1.0,-0.39716365933418274,-0.4000000059604645,-0.5399240255355835,0.2217895753464486
25000,0.4672,98.7091293334961,97.8021469116211,0.5,-0.40251392126083374,-0.6000000238418579,-1.085655689239502,0.17386911148100292
30000,0.4544,93.82778930664062,96.24565124511719,-0.8999999761581421,-0.6182509064674377,-1.899999976158142,-1.1452656984329224,0.1448038809189588
35000,0.4664,89.18247985839844,96.01705932617188,-1.399999976158142,-0.6609429717063904,-2.0999999046325684,-0.5162423253059387,0.12717492745146233
40000,0.4634,91.08583068847656,97.0809097290039,-1.7000000476837158,-0.9558250308036804,-0.30000001192092896,-0.7914265990257263,0.11648242667477841
45000,0.4596,86.87356567382812,93.44615173339844,-1.100000023841858,-1.0670548677444458,-0.20000000298023224,-0.6430392265319824,0.10999709712471846
50000,0.4766,81.59510040283203,97.84679412841797,-1.5,-0.21819965541362762,-1.600000023841858,-0.1939491629600525,0.10606354591426675
55000,0.4762,90.59776306152344,97.39010620117188,-0.4000000059604645,-0.5475107431411743,-1.0,-0.35848620533943176,0.10367772650357807
60000,0.4808,81.76483917236328,92.62783813476562,-0.20000000298023224,-0.6740580797195435,0.20000000298023224,-0.3930560350418091,0.10223065388245785
65000,0.4692,81.23184967041016,98.9535140991211,-1.0,-0.4117065370082855,0.20000000298023224,-0.4321076273918152,0.1013529599709177
70000,0.4602,88.7242202758789,97.9399642944336,-0.699999988079071,-0.8769127130508423,-0.10000000149011612,-0.6567350029945374,0.1008206117037255
75000,0.4716,86.29505157470703,93.1274185180664,-1.7000000476837158,-1.2175722122192383,0.0,-0.925783634185791,0.10049772615802854
80000,0.464,86.52940368652344,95.92935180664062,-0.6000000238418579,-0.19445835053920746,-0.4000000059604645,-0.4343704283237457,0.10030188617498528
85000,0.4728,84.04293060302734,96.00482177734375,-1.100000023841858,-0.7580252289772034,-0.5,-0.11672984063625336,0.10018310322087196
90000,0.451,86.7654800415039,93.22970581054688,-0.6000000238418579,-0.37667572498321533,-1.2000000476837158,-0.5998861193656921,0.10011105771735097
95000,0.4796,86.19788360595703,92.90634155273438,-1.0,-0.9155361652374268,-0.20000000298023224,-0.2240966409444809,0.10006735991057107
100000,0.4682,81.2854995727539,95.39783477783203,-0.800000011920929,-0.7598953247070312,-0.5,-1.0678400993347168,0.10004085585099685
105000,0.4734,78.89813232421875,98.43342590332031,0.10000000149011612,-0.3056779205799103,0.20000000298023224,-0.4476974606513977,0.10002478032625825
110000,0.4534,78.45451354980469,92.4659194946289,-0.8999999761581421,-0.6310312151908875,-0.699999988079071,-0.6518759727478027,0.10001503002763332
115000,0.4618,94.78591918945312,92.7287368774414,-1.100000023841858,-1.9345636367797852,-1.7000000476837158,-1.5284773111343384,0.10000911617257593
120000,0.4666,80.51140594482422,94.45249938964844,0.0,-0.8621890544891357,-1.2999999523162842,-0.7671418190002441,0.10000552923816654
125000,0.463,76.9198989868164,97.5865249633789,-0.30000001192092896,-0.3568422794342041,-0.8999999761581421,-0.09954805672168732,0.10000335365247286
130000,0.4802,81.28814697265625,94.51396179199219,1.100000023841858,-0.07864298671483994,0.0,-0.30958130955696106,0.10000203409304681
135000,0.4814,79.45783996582031,91.07362365722656,-0.30000001192092896,-1.874400019645691,-2.200000047683716,-0.6651899814605713,0.10000123373979761
140000,0.4782,83.28893280029297,94.21269226074219,-0.30000001192092896,0.08318645507097244,0.5,-0.1795780211687088,0.10000074830101335
145000,0.4706,81.10954284667969,92.53460693359375,-0.10000000149011612,-0.5981844067573547,1.2000000476837158,-0.19931825995445251,0.10000045386750729
150000,0.4698,80.56420135498047,92.2880859375,-0.10000000149011612,-0.9470253586769104,0.699999988079071,-0.20569315552711487,0.10000027528455863
155000,0.4662,79.09208679199219,92.25548553466797,-1.2000000476837158,-1.4334100484848022,-2.0,-1.0436553955078125,0.10000016696852496
160000,0.464,76.93168640136719,91.94021606445312,-0.800000011920929,-0.013805749826133251,0.10000000149011612,-0.04163562133908272,0.1000001012715296
165000,0.4542,78.33983612060547,95.67611694335938,-1.5,-0.9028557538986206,-1.0,-0.3715873658657074,0.10000006142428766
170000,0.4766,85.01557922363281,90.8057632446289,-0.699999988079071,-0.13949443399906158,0.4000000059604645,0.03171888738870621,0.10000003725571371
175000,0.4848,67.2785415649414,94.70260620117188,-0.5,-0.6577795147895813,0.10000000149011612,-0.24479301273822784,0.10000002259673262
180000,0.4714,72.5909652709961,88.20381164550781,-0.8999999761581421,-0.4589102864265442,-0.6000000238418579,-0.14882248640060425,0.10000001370561115
185000,0.4824,69.3759765625,95.35498046875,-0.8999999761581421,-0.20461449027061462,-0.4000000059604645,0.21285662055015564,0.10000000831287337
190000,0.4688,76.0569076538086,94.25984191894531,-0.699999988079071,-0.6414138078689575,-0.10000000149011612,-0.8185714483261108,0.10000000504201258
195000,0.4682,71.67830657958984,90.67716979980469,-0.5,-0.26208949089050293,-1.100000023841858,-0.5792719125747681,0.10000000305813521
