episodes,return,hinter_loss,guesser_loss,hinter_q,hinter_qhat,guesser_q,guesser_qhat,exploration
2000,0.446,99.94123077392578,100.22914123535156,-0.800000011920929,-0.03380793705582619,-2.5999999046325684,0.041301146149635315,0.8813592272948078
4000,0.4315,99.88742065429688,100.09074401855469,-1.7000000476837158,-0.04697847738862038,-0.800000011920929,0.015821119770407677,0.7775834142685771
6000,0.4475,99.69729614257812,100.03101348876953,-1.600000023841858,-0.07663841545581818,-0.6000000238418579,-0.007541285827755928,0.6867615915460303
8000,0.458,99.79594421386719,99.98712921142578,-1.2999999523162842,-0.09575074911117554,-1.0,-0.03031596727669239,0.6072767555124091
10000,0.4615,99.77741241455078,99.96353149414062,-1.0,-0.11246306449174881,-0.20000000298023224,-0.05021170526742935,0.5377137477472802
12000,0.436,99.80874633789062,99.78300476074219,-0.6000000238418579,-0.14583922922611237,-1.399999976158142,-0.08293956518173218,0.47683405935886203
14000,0.447,98.81243133544922,99.6842269897461,-2.9000000953674316,-0.19421915709972382,-1.0,-0.1392904669046402,0.42355378040966973
16000,0.472,100.24735260009766,100.45845794677734,0.5,-0.2403743863105774,1.399999976158142,-0.17236538231372833,0.376924301842171
18000,0.4425,99.11817169189453,100.0309066772461,-1.7999999523162842,-0.2619245946407318,0.10000000149011612,-0.21389110386371613,0.3361154263190112
20000,0.455,100.30886840820312,100.16708374023438,0.0,-0.3839784562587738,0.0,-0.2772679030895233,0.3004005872809969
22000,0.432,98.94904327392578,100.28142547607422,-1.2000000476837158,-0.4427622854709625,0.10000000149011612,-0.3621061444282532,0.2691439130610133
24000,0.442,99.4560546875,99.43679809570312,-0.699999988079071,-0.5328068733215332,-0.8999999761581421,-0.47246357798576355,0.24178890574166612
26000,0.4495,98.78600311279297,98.08154296875,-1.2000000476837158,-0.6081575751304626,-1.7999999523162842,-0.5684078335762024,0.21784853319354897
28000,0.4425,97.49353790283203,98.71659088134766,-2.200000047683716,-0.6606837511062622,-1.399999976158142,-0.6570485830307007,0.19689655789148858
30000,0.4535,99.11966705322266,98.78034210205078,-0.8999999761581421,-0.7061285972595215,-0.8999999761581421,-0.7523434162139893,0.17855994812587855
32000,0.449,97.9352035522461,98.5187759399414,-1.600000023841858,-0.6718236804008484,-1.100000023841858,-0.7545571327209473,0.16251223649731428
34000,0.438,97.58716583251953,97.06396484375,-1.7999999523162842,-0.8294426202774048,-2.0999999046325684,-0.8769637942314148,0.14846770744829957
36000,0.457,96.90670013427734,97.1726303100586,-2.299999952316284,-0.8325459957122803,-2.200000047683716,-0.8680393099784851,0.1361763103460783
38000,0.444,97.14473724365234,98.21601867675781,-2.0999999046325684,-0.944327175617218,-1.399999976158142,-0.9980973601341248,0.12541920754845245
40000,0.46,98.52613067626953,99.59095001220703,-1.2000000476837158,-0.8954094648361206,-0.6000000238418579,-0.9008790850639343,0.11600487818976805
42000,0.455,98.6960678100586,98.3694076538086,-1.2999999523162842,-0.8557888269424438,-1.2000000476837158,-0.8610775470733643,0.10776570831836477
44000,0.4635,100.25334930419922,97.58893585205078,-0.5,-0.8753899931907654,-1.5,-0.8855292797088623,0.10055500667585009
46000,0.4395,97.57865142822266,99.75350952148438,-1.7999999523162842,-0.7883493900299072,-0.6000000238418579,-0.8421852588653564,0.09424439298674207
48000,0.4315,97.68412780761719,96.87699127197266,-1.600000023841858,-0.8576873540878296,-2.299999952316284,-0.9014130234718323,0.08872151225924757
