episodes,return,hinter_loss,guesser_loss,hinter_q,hinter_qhat,guesser_q,guesser_qhat,exploration
2000,0.437,100.02249908447266,100.03453063964844,-0.20000000298023224,-0.035403791815042496,-1.0,-0.03853251785039902,0.8813592272948078
4000,0.4495,99.95086669921875,99.81314086914062,-1.100000023841858,-0.044026345014572144,-1.5,-0.05638851597905159,0.7775834142685771
6000,0.433,99.70648193359375,99.75431823730469,-2.299999952316284,-0.07044077664613724,-1.600000023841858,-0.0667940005660057,0.6867615915460303
8000,0.4505,99.68185424804688,99.88909149169922,-1.7000000476837158,-0.09617862850427628,-0.30000001192092896,-0.0877406895160675,0.6072767555124091
10000,0.4325,99.79205322265625,99.41525268554688,-0.699999988079071,-0.12092342972755432,-2.5999999046325684,-0.11340853571891785,0.5377137477472802
12000,0.451,99.44866943359375,99.61988067626953,-1.5,-0.16343384981155396,-1.2000000476837158,-0.14303377270698547,0.47683405935886203
14000,0.4475,99.29611206054688,99.37318420410156,-2.0,-0.2013058066368103,-1.7999999523162842,-0.16969501972198486,0.42355378040966973
16000,0.438,98.83715057373047,99.16504669189453,-2.299999952316284,-0.27586621046066284,-1.899999976158142,-0.2330632209777832,0.376924301842171
18000,0.454,99.70378112792969,99.6572265625,-0.4000000059604645,-0.36003395915031433,-0.6000000238418579,-0.31734123826026917,0.3361154263190112
20000,0.4345,98.03732299804688,98.6562271118164,-2.5999999046325684,-0.4212409555912018,-1.899999976158142,-0.3853512704372406,0.3004005872809969
22000,0.4575,99.28665924072266,100.11807250976562,-0.800000011920929,-0.5547630190849304,0.0,-0.49040207266807556,0.2691439130610133
24000,0.4525,99.2795181274414,99.40784454345703,-0.8999999761581421,-0.5839009284973145,-0.699999988079071,-0.47546622157096863,0.24178890574166612
26000,0.4375,98.78897094726562,98.36360168457031,-1.100000023841858,-0.6847202181816101,-1.5,-0.592435359954834,0.21784853319354897
28000,0.4515,98.67633056640625,97.59021759033203,-1.2999999523162842,-0.7841743230819702,-1.7999999523162842,-0.6718408465385437,0.19689655789148858
30000,0.4465,98.29586029052734,97.96927642822266,-1.5,-0.760251522064209,-1.7999999523162842,-0.7553493976593018,0.17855994812587855
32000,0.4625,100.36962127685547,101.6350326538086,0.0,-0.8666231632232666,0.5,-0.8458403944969177,0.16251223649731428
34000,0.4465,96.8949966430664,98.96009826660156,-2.299999952316284,-0.7981436848640442,-1.2000000476837158,-0.7662688493728638,0.14846770744829957
36000,0.438,99.36380767822266,97.68608093261719,-0.800000011920929,-0.9338759779930115,-1.7000000476837158,-0.9157962203025818,0.1361763103460783
