episodes,return,hinter_loss,guesser_loss,hinter_q,hinter_qhat,guesser_q,guesser_qhat,exploration
2000,0.4405,99.90959167480469,100.04924011230469,-1.600000023841858,-0.0007689552148804069,-0.10000000149011612,-0.020080721005797386,0.8813592272948078
4000,0.4595,100.06187438964844,99.84964752197266,-0.20000000298023224,0.007960416376590729,-1.2999999523162842,-0.027381818741559982,0.7775834142685771
6000,0.4565,99.7846908569336,99.9117660522461,-0.6000000238418579,-0.0045653036795556545,-1.0,-0.03961523622274399,0.6867615915460303
8000,0.434,99.93370819091797,99.97443389892578,-2.299999952316284,-0.019348926842212677,-0.699999988079071,-0.06529513746500015,0.6072767555124091
10000,0.4535,99.88754272460938,99.76473999023438,-1.2000000476837158,-0.048320263624191284,-1.600000023841858,-0.09335578978061676,0.5377137477472802
12000,0.4435,99.67219543457031,99.75101470947266,-1.7999999523162842,-0.08557404577732086,-1.399999976158142,-0.11349982023239136,0.47683405935886203
14000,0.4385,99.54582214355469,99.49859619140625,-1.7000000476837158,-0.12565764784812927,-1.399999976158142,-0.15361924469470978,0.42355378040966973
16000,0.445,99.4867172241211,99.658203125,-1.7000000476837158,-0.17437846958637238,-1.0,-0.21334227919578552,0.376924301842171
18000,0.4435,100.20269775390625,100.0482406616211,0.30000001192092896,-0.23184169828891754,-0.10000000149011612,-0.28603625297546387,0.3361154263190112
20000,0.4445,99.7120590209961,100.162841796875,-0.8999999761581421,-0.2727124094963074,-0.10000000149011612,-0.32992565631866455,0.3004005872809969
22000,0.4445,99.12631225585938,99.8744125366211,-1.5,-0.3589690923690796,-0.5,-0.4359138011932373,0.2691439130610133
24000,0.442,98.83140563964844,99.07717895507812,-1.2999999523162842,-0.41878044605255127,-1.399999976158142,-0.5533646941184998,0.24178890574166612
26000,0.4455,98.85857391357422,100.09725952148438,-1.2999999523162842,-0.5350605249404907,-0.30000001192092896,-0.6966663599014282,0.21784853319354897
28000,0.441,98.11087036132812,98.27754211425781,-1.7000000476837158,-0.6049116849899292,-1.399999976158142,-0.7701040506362915,0.19689655789148858
30000,0.437,98.27486419677734,98.21759796142578,-1.600000023841858,-0.6805354952812195,-1.5,-0.8672711253166199,0.17855994812587855
32000,0.444,97.96083068847656,99.4903335571289,-1.7000000476837158,-0.75732421875,-0.6000000238418579,-0.8829132914543152,0.16251223649731428
34000,0.454,98.73932647705078,97.63860321044922,-1.2000000476837158,-0.7917119860649109,-1.7999999523162842,-0.9047595858573914,0.14846770744829957
36000,0.42,99.93975830078125,98.86260986328125,-1.0,-0.9608265161514282,-1.399999976158142,-1.107938528060913,0.1361763103460783
38000,0.438,99.31845092773438,99.8056869506836,-0.699999988079071,-1.0052261352539062,-0.6000000238418579,-1.2180918455123901,0.12541920754845245
40000,0.456,99.05364227294922,100.24486541748047,-1.2000000476837158,-0.941550612449646,-0.5,-1.093216896057129,0.11600487818976805
42000,0.452,101.05842590332031,98.33537292480469,-0.20000000298023224,-0.9682667255401611,-1.0,-1.0787502527236938,0.10776570831836477
44000,0.4465,96.89190673828125,98.95427703857422,-2.0999999046325684,-0.9960894584655762,-1.2000000476837158,-1.0512809753417969,0.10055500667585009
46000,0.4255,100.89639282226562,97.0730972290039,-0.10000000149011612,-1.0642067193984985,-1.7999999523162842,-1.024285078048706,0.09424439298674207
48000,0.449,97.18746948242188,100.50421905517578,-1.600000023841858,-1.0975062847137451,-0.30000001192092896,-1.0733550786972046,0.08872151225924757
50000,0.4735,99.39436340332031,103.0815658569336,-0.8999999761581421,-0.9930026531219482,0.8999999761581421,-1.0283654928207397,0.08388803440228787
52000,0.443,97.9663314819336,98.00955200195312,-1.399999976158142,-0.9043028950691223,-1.600000023841858,-0.9346392154693604,0.07965790354369187
54000,0.4555,97.53239440917969,98.14434814453125,-1.5,-0.9918084740638733,-1.600000023841858,-0.9334133267402649,0.07595580588018841
56000,0.45,96.89208984375,98.65345764160156,-1.600000023841858,-1.0393470525741577,-1.2999999523162842,-0.9208421111106873,0.07271582878059893
58000,0.4365,98.93164825439453,101.02604675292969,-0.8999999761581421,-1.0707069635391235,0.10000000149011612,-0.9769833087921143,0.06988028726872808
60000,0.4565,98.46644592285156,99.7010726928711,-1.2999999523162842,-1.080224871635437,-0.800000011920929,-0.9740347266197205,0.0673986969925
62000,0.442,102.91112518310547,96.95352172851562,0.699999988079071,-1.0724071264266968,-2.0999999046325684,-0.9828232526779175,0.06522687539394878
64000,0.446,99.01274108886719,99.61540222167969,-1.100000023841858,-1.065474510192871,-0.5,-0.9991154670715332,0.06332615507717554
66000,0.4635,98.306640625,98.26813507080078,-1.2000000476837158,-1.0331436395645142,-1.399999976158142,-0.9778124094009399,0.061662695368972745
68000,0.4485,98.63716888427734,97.82041931152344,-0.800000011920929,-0.9832224249839783,-1.5,-0.8953831195831299,0.06020687981505069
70000,0.44,97.22062683105469,99.01200866699219,-1.7000000476837158,-0.9890164732933044,-1.100000023841858,-0.9747022986412048,0.05893278888481038
