episodes,return,hinter_loss,guesser_loss,hinter_q,hinter_qhat,guesser_q,guesser_qhat,exploration
5000,0.4474,99.94660186767578,99.9267578125,-1.2999999523162842,-0.032111674547195435,-2.0,-0.0075355698354542255,0.645823008711293
10000,0.439,99.35144805908203,100.00757598876953,-2.799999952316284,-0.11723566055297852,-0.10000000149011612,-0.08657132089138031,0.431058389559995
15000,0.4344,99.13449096679688,99.76905059814453,-1.899999976158142,-0.24708126485347748,-0.699999988079071,-0.20669779181480408,0.30079706342322576
20000,0.4414,100.05770874023438,99.5607681274414,-0.10000000149011612,-0.41960662603378296,-1.0,-0.3614262044429779,0.2217895753464486
25000,0.4498,100.1485366821289,98.41356658935547,-0.20000000298023224,-0.607017993927002,-1.7999999523162842,-0.5353012681007385,0.17386911148100292
30000,0.4326,99.74494171142578,98.62014770507812,-0.6000000238418579,-0.8238775730133057,-1.100000023841858,-0.7906084656715393,0.1448038809189588
35000,0.4388,99.21656036376953,98.3910140991211,-0.699999988079071,-1.0024677515029907,-1.0,-0.9965671300888062,0.12717492745146233
40000,0.4312,99.16757202148438,97.80432891845703,-1.2999999523162842,-1.1956346035003662,-1.600000023841858,-1.1634173393249512,0.11648242667477841
45000,0.444,98.18742370605469,97.16860961914062,-1.5,-1.0807358026504517,-2.0,-1.0479007959365845,0.10999709712471846
50000,0.4472,99.25435638427734,97.20333862304688,-0.699999988079071,-0.9811807870864868,-2.0,-1.0588949918746948,0.10606354591426675
55000,0.4356,97.07079315185547,98.46772766113281,-1.600000023841858,-1.090854525566101,-0.800000011920929,-1.0799415111541748,0.10367772650357807
60000,0.4354,98.89752197265625,99.15802764892578,-0.8999999761581421,-1.1795645952224731,-1.2000000476837158,-1.2874000072479248,0.10223065388245785
65000,0.4398,98.51089477539062,100.61837768554688,-1.2000000476837158,-1.1739652156829834,-0.6000000238418579,-1.2172939777374268,0.1013529599709177
70000,0.45,99.45288848876953,99.45465087890625,-1.2000000476837158,-1.1125233173370361,-0.8999999761581421,-1.0714545249938965,0.1008206117037255
75000,0.442,98.74626922607422,98.61781311035156,-0.8999999761581421,-1.0970585346221924,-1.0,-1.0970327854156494,0.10049772615802854
80000,0.4322,99.15072631835938,101.79609680175781,-0.8999999761581421,-1.2255059480667114,-0.10000000149011612,-1.2643604278564453,0.10030188617498528
85000,0.4412,102.96502685546875,97.71082305908203,0.800000011920929,-1.2279099225997925,-1.5,-1.184556007385254,0.10018310322087196
90000,0.4382,99.65705108642578,97.42216491699219,-0.699999988079071,-1.181803584098816,-1.7999999523162842,-1.09865140914917,0.10011105771735097
95000,0.4492,95.75442504882812,97.99578857421875,-2.0999999046325684,-1.0688307285308838,-1.2999999523162842,-1.0827653408050537,0.10006735991057107
100000,0.4438,97.40715026855469,98.66743469238281,-1.5,-1.105660080909729,-1.2000000476837158,-1.0169705152511597,0.10004085585099685
105000,0.4412,98.4950180053711,95.54348754882812,-0.5,-1.1203292608261108,-2.5,-1.1480756998062134,0.10002478032625825
110000,0.4468,99.21842956542969,98.12702178955078,-0.800000011920929,-1.09039306640625,-1.5,-1.1089776754379272,0.10001503002763332
115000,0.4534,99.98158264160156,98.20123291015625,-0.4000000059604645,-0.9520965814590454,-1.2000000476837158,-1.077283501625061,0.10000911617257593
120000,0.4484,96.9890365600586,98.28788757324219,-1.0,-1.0330811738967896,-1.2000000476837158,-1.0267356634140015,0.10000552923816654
125000,0.4354,97.26109313964844,98.52567291259766,-0.8999999761581421,-1.1009435653686523,-1.2000000476837158,-1.0673344135284424,0.10000335365247286
130000,0.4422,98.1899642944336,100.22795867919922,-0.8999999761581421,-1.1655874252319336,-0.5,-1.1019628047943115,0.10000203409304681
135000,0.4526,95.43112182617188,96.5966567993164,-1.5,-1.1742035150527954,-2.0,-1.1147150993347168,0.10000123373979761
140000,0.4486,97.84204864501953,98.12675476074219,0.0,-1.1097385883331299,-1.399999976158142,-1.0737204551696777,0.10000074830101335
145000,0.4482,96.71701049804688,96.51052856445312,-0.5,-1.2198472023010254,-1.899999976158142,-1.1067373752593994,0.10000045386750729
150000,0.4598,92.48668670654297,99.9518814086914,-1.600000023841858,-1.0043411254882812,-0.6000000238418579,-0.9209568500518799,0.10000027528455863
155000,0.4466,93.83457946777344,99.10401153564453,-1.2000000476837158,-1.172267198562622,-0.699999988079071,-0.9812776446342468,0.10000016696852496
160000,0.4592,91.01151275634766,99.52835845947266,-0.30000001192092896,-0.8894838690757751,-0.5,-0.8834652900695801,0.1000001012715296
165000,0.4564,87.0386734008789,99.82725524902344,0.0,-1.4204903841018677,-0.5,-0.9070690870285034,0.10000006142428766
170000,0.4486,96.02005004882812,99.01449584960938,-0.30000001192092896,-0.8878225684165955,-0.800000011920929,-0.9538332223892212,0.10000003725571371
175000,0.457,80.6137466430664,98.97225952148438,-0.6000000238418579,-0.9009109735488892,-0.699999988079071,-0.9238695502281189,0.10000002259673262
180000,0.4586,94.84134674072266,97.29341888427734,0.0,-0.6758071780204773,-1.600000023841858,-0.9328681826591492,0.10000001370561115
185000,0.4546,86.48168182373047,96.55236053466797,-1.0,-0.962456226348877,-2.299999952316284,-0.8903196454048157,0.10000000831287337
190000,0.459,81.63448333740234,100.10515594482422,-0.30000001192092896,-0.9214136600494385,-0.10000000149011612,-0.8977434039115906,0.10000000504201258
195000,0.4492,87.88241577148438,97.72406005859375,-0.699999988079071,-1.2302621603012085,-1.2999999523162842,-0.9647298455238342,0.10000000305813521
200000,0.4538,84.89031219482422,96.7720718383789,-2.0,-1.0233081579208374,-1.7999999523162842,-0.953846275806427,0.10000000185485278
205000,0.4562,90.0579605102539,101.2970199584961,-0.5,-0.7490987181663513,0.0,-0.9381271600723267,0.10000000112502508
210000,0.4708,77.1469955444336,98.27112579345703,0.6000000238418579,-0.47527506947517395,-0.8999999761581421,-0.7711843848228455,0.1000000006823622
215000,0.4638,85.22358703613281,99.20709228515625,-1.0,-1.1192604303359985,-0.30000001192092896,-0.8313590884208679,0.1000000004138736
220000,0.4586,89.53943634033203,98.83161926269531,-0.800000011920929,-1.1336652040481567,-0.8999999761581421,-0.8383481502532959,0.10000000025102702
225000,0.4604,80.93141174316406,98.57798767089844,-0.30000001192092896,-0.2231147736310959,-0.6000000238418579,-0.8692123889923096,0.10000000015225559
230000,0.4456,71.7887191772461,97.98500061035156,-1.600000023841858,-1.603163480758667,-0.8999999761581421,-1.010128378868103,0.10000000009234769
235000,0.4654,70.99571990966797,97.63606262207031,-0.5,-1.1629247665405273,-1.5,-0.8647825121879578,0.1000000000560117
240000,0.4702,61.86579132080078,98.56877899169922,-0.10000000149011612,-0.47988343238830566,0.10000000149011612,-0.7809295654296875,0.10000000003397282
