episodes,return,hinter_loss,guesser_loss,hinter_q,hinter_qhat,guesser_q,guesser_qhat,exploration
2000,0.4225,98.93907165527344,99.5257797241211,-2.200000047683716,-0.3431882858276367,-0.8999999761581421,-0.27017372846603394,0.8813592272948078
4000,0.4465,98.70075988769531,99.3384017944336,-1.100000023841858,-0.7243505716323853,-0.800000011920929,-0.5832072496414185,0.7775834142685771
6000,0.4455,100.81236267089844,100.00672912597656,-0.4000000059604645,-0.861387312412262,-0.5,-0.7916267514228821,0.6867615915460303
8000,0.4435,100.30987548828125,97.58329772949219,-0.30000001192092896,-0.908531904220581,-1.7999999523162842,-0.7354341745376587,0.6072767555124091
10000,0.4205,99.31536865234375,97.414306640625,-1.2999999523162842,-1.1089601516723633,-2.0,-1.268999457359314,0.5377137477472802
12000,0.4405,98.62297821044922,98.15540313720703,-0.8999999761581421,-1.1417278051376343,-1.2999999523162842,-1.2671343088150024,0.47683405935886203
14000,0.4345,98.38037109375,98.3818588256836,-1.600000023841858,-1.1247693300247192,-1.600000023841858,-1.1673005819320679,0.42355378040966973
16000,0.451,100.24282836914062,98.5846939086914,-0.800000011920929,-0.926069974899292,-1.100000023841858,-0.9140251278877258,0.376924301842171
18000,0.4225,98.06976318359375,98.091552734375,-1.399999976158142,-1.1625441312789917,-2.0,-1.227936029434204,0.3361154263190112
20000,0.4575,96.60222625732422,96.77587127685547,-2.0999999046325684,-1.0663174390792847,-2.200000047683716,-1.0466642379760742,0.3004005872809969
22000,0.424,97.27096557617188,99.44429016113281,-1.7999999523162842,-1.0035068988800049,-1.5,-0.9625990390777588,0.2691439130610133
24000,0.452,99.02874755859375,97.40164947509766,-1.399999976158142,-0.9133226871490479,-1.2999999523162842,-0.9299840331077576,0.24178890574166612
26000,0.446,98.09351348876953,96.28279113769531,-1.600000023841858,-1.0494533777236938,-2.200000047683716,-0.926118016242981,0.21784853319354897
28000,0.46,100.2184066772461,101.27900695800781,-0.699999988079071,-0.8264126777648926,0.0,-0.8236739635467529,0.19689655789148858
30000,0.4505,99.31946563720703,99.08355712890625,-1.100000023841858,-0.8992995619773865,-1.100000023841858,-0.9039113521575928,0.17855994812587855
32000,0.4485,99.57640838623047,98.8510513305664,-1.100000023841858,-0.7816118597984314,-1.600000023841858,-0.9665333032608032,0.16251223649731428
34000,0.434,99.21246337890625,97.59970092773438,-0.800000011920929,-1.0542569160461426,-2.0,-0.9891178607940674,0.14846770744829957
36000,0.452,100.54646301269531,99.43787384033203,-0.5,-0.9806711077690125,-0.6000000238418579,-0.9656846523284912,0.1361763103460783
38000,0.446,98.81156921386719,100.4766616821289,-0.8999999761581421,-0.9030617475509644,-0.20000000298023224,-0.993872880935669,0.12541920754845245
40000,0.4315,97.77228546142578,99.66514587402344,-1.2000000476837158,-0.966488242149353,-0.699999988079071,-1.0241742134094238,0.11600487818976805
42000,0.4565,98.21240234375,98.09883117675781,-1.5,-0.7692596316337585,-1.399999976158142,-0.9204496741294861,0.10776570831836477
44000,0.4375,99.15472412109375,98.9100112915039,-0.800000011920929,-1.0387893915176392,-1.0,-0.8980386853218079,0.10055500667585009
46000,0.461,97.77051544189453,98.08524322509766,-1.7999999523162842,-0.7044805288314819,-1.5,-0.9373335838317871,0.09424439298674207
48000,0.451,98.1878890991211,97.05451965332031,-1.399999976158142,-0.8104650378227234,-1.399999976158142,-0.9466455578804016,0.08872151225924757
50000,0.457,101.38763427734375,99.55974578857422,0.5,-0.9639560580253601,-1.2999999523162842,-0.873944878578186,0.08388803440228787
52000,0.44,97.94729614257812,97.03191375732422,-0.6000000238418579,-0.7596617937088013,-1.399999976158142,-0.8945618271827698,0.07965790354369187
54000,0.4445,100.30630493164062,95.41109466552734,-0.8999999761581421,-1.2513165473937988,-2.0,-1.0866427421569824,0.07595580588018841
56000,0.4825,99.22084045410156,97.96652221679688,-0.699999988079071,-0.389663428068161,-0.8999999761581421,-0.49054619669914246,0.07271582878059893
58000,0.4465,96.99458312988281,98.44267272949219,-1.600000023841858,-0.8696894645690918,-1.2999999523162842,-0.6013128161430359,0.06988028726872808
60000,0.4325,96.80245208740234,98.2598648071289,-1.2999999523162842,-1.2573310136795044,-1.0,-1.148810863494873,0.0673986969925
62000,0.4465,97.02081298828125,98.4632339477539,-1.2000000476837158,-0.8523939251899719,-1.2999999523162842,-1.0336402654647827,0.06522687539394878
64000,0.4585,101.4428939819336,99.94378662109375,0.30000001192092896,-0.9588844180107117,-0.6000000238418579,-0.840607225894928,0.06332615507717554
66000,0.454,93.38360595703125,97.66854858398438,-2.5999999046325684,-0.8437574505805969,-1.2999999523162842,-0.7037018537521362,0.061662695368972745
68000,0.443,97.24581909179688,98.14949035644531,-1.399999976158142,-0.8076284527778625,-1.399999976158142,-0.717801034450531,0.06020687981505069
