episodes,return,hinter_loss,guesser_loss,hinter_q,hinter_qhat,guesser_q,guesser_qhat,exploration
2000,0.461,99.93367004394531,100.00049591064453,-0.10000000149011612,-0.30592837929725647,-0.6000000238418579,-0.16597522795200348,0.8813592272948078
4000,0.458,99.72552490234375,99.32672119140625,-0.699999988079071,-0.42602118849754333,-0.6000000238418579,-0.34075120091438293,0.7775834142685771
6000,0.4455,98.27347564697266,98.6292953491211,-2.200000047683716,-0.588442862033844,-1.2999999523162842,-0.5285242795944214,0.6867615915460303
8000,0.434,98.78022766113281,99.04102325439453,-1.0,-1.0260753631591797,-1.2000000476837158,-1.1218324899673462,0.6072767555124091
10000,0.422,99.0785903930664,98.88714599609375,-1.2999999523162842,-1.163283348083496,-1.100000023841858,-1.1494477987289429,0.5377137477472802
12000,0.4375,98.7704086303711,99.24773406982422,-0.800000011920929,-1.3328535556793213,-0.5,-1.0566794872283936,0.47683405935886203
14000,0.449,97.2916488647461,98.56945037841797,-1.5,-0.8398537635803223,-1.5,-0.9072145819664001,0.42355378040966973
16000,0.4445,99.72807312011719,98.83149719238281,-1.2000000476837158,-0.9736584424972534,-1.100000023841858,-0.8831518292427063,0.376924301842171
18000,0.433,95.59852600097656,99.91661834716797,-3.0,-0.9754232168197632,-1.2000000476837158,-1.0083242654800415,0.3361154263190112
20000,0.4515,97.86953735351562,98.69248962402344,-1.399999976158142,-0.9775955080986023,-1.2000000476837158,-0.984789252281189,0.3004005872809969
22000,0.4605,98.4691390991211,96.5829849243164,-1.2999999523162842,-0.7132449150085449,-2.0,-0.8046135902404785,0.2691439130610133
24000,0.459,101.11566162109375,98.93234252929688,0.20000000298023224,-0.8190910816192627,-1.399999976158142,-0.7145588397979736,0.24178890574166612
26000,0.4455,98.47179412841797,99.17041015625,-1.2999999523162842,-0.6670247912406921,-0.6000000238418579,-0.6906657218933105,0.21784853319354897
28000,0.447,98.89432525634766,99.50199127197266,-1.5,-0.8943712115287781,-1.0,-0.7128715515136719,0.19689655789148858
30000,0.431,100.36275482177734,98.86559295654297,-0.5,-1.0714012384414673,-0.800000011920929,-1.1302562952041626,0.17855994812587855
32000,0.4595,99.44305419921875,98.90460968017578,-0.699999988079071,-0.7046945095062256,-1.399999976158142,-0.8232942819595337,0.16251223649731428
34000,0.433,96.97894287109375,98.37938690185547,-2.0999999046325684,-1.0218513011932373,-0.800000011920929,-0.9675018191337585,0.14846770744829957
36000,0.439,97.47730255126953,98.88302612304688,-1.100000023841858,-1.3414902687072754,-1.100000023841858,-1.1538753509521484,0.1361763103460783
38000,0.4355,102.04109191894531,101.08638000488281,0.20000000298023224,-1.1772536039352417,-0.20000000298023224,-1.2043993473052979,0.12541920754845245
40000,0.44,98.2762680053711,98.19816589355469,-1.399999976158142,-0.9932509064674377,-1.2000000476837158,-1.1230543851852417,0.11600487818976805
42000,0.4555,97.84371948242188,98.42900085449219,-1.5,-1.0516787767410278,-1.100000023841858,-1.0959298610687256,0.10776570831836477
44000,0.4465,98.00344848632812,100.51392364501953,-1.2999999523162842,-0.8985068798065186,-0.10000000149011612,-0.9041710495948792,0.10055500667585009
46000,0.4245,98.53258514404297,97.97773742675781,-1.0,-1.3952728509902954,-1.100000023841858,-1.1595849990844727,0.09424439298674207
48000,0.444,97.86860656738281,97.9115219116211,-1.2999999523162842,-0.9782192707061768,-1.2999999523162842,-0.9762519598007202,0.08872151225924757
50000,0.4575,101.76045989990234,100.45489501953125,1.5,-0.8067049980163574,-0.20000000298023224,-0.9177325963973999,0.08388803440228787
52000,0.4505,98.76181030273438,100.0582504272461,-1.2000000476837158,-0.663108229637146,-0.10000000149011612,-0.726458728313446,0.07965790354369187
54000,0.444,97.58345794677734,97.81107330322266,-1.2999999523162842,-1.0435423851013184,-2.0,-1.1554542779922485,0.07595580588018841
56000,0.4255,95.68881225585938,96.98712158203125,-2.200000047683716,-1.3584402799606323,-1.7999999523162842,-1.1191211938858032,0.07271582878059893
58000,0.451,95.38172912597656,99.2040023803711,-1.899999976158142,-0.8429827094078064,-0.699999988079071,-0.9363323450088501,0.06988028726872808
60000,0.425,99.90640258789062,98.56039428710938,-0.800000011920929,-1.3113824129104614,-1.399999976158142,-1.2085071802139282,0.0673986969925
62000,0.435,96.8954849243164,103.9230728149414,-1.600000023841858,-1.1732441186904907,0.5,-1.2646974325180054,0.06522687539394878
64000,0.455,95.67514038085938,98.87690734863281,-1.0,-0.9612300992012024,-1.0,-1.080998420715332,0.06332615507717554
66000,0.4525,100.30431365966797,98.36966705322266,0.0,-0.6658976078033447,-1.2000000476837158,-0.8561171889305115,0.061662695368972745
68000,0.4415,97.01004791259766,97.58562469482422,-1.2999999523162842,-1.4146032333374023,-1.399999976158142,-0.9988008737564087,0.06020687981505069
70000,0.444,97.91734313964844,97.68475341796875,-1.5,-0.8934186697006226,-1.0,-0.7601915597915649,0.05893278888481038
72000,0.444,96.08458709716797,98.45060729980469,-1.899999976158142,-0.7475312948226929,-1.100000023841858,-0.9553689360618591,0.057817738496629446
74000,0.4485,97.19872283935547,98.6854476928711,-0.699999988079071,-0.9193854331970215,-1.399999976158142,-0.8786460757255554,0.05684187614750502
76000,0.4625,94.5713119506836,97.8734359741211,-1.399999976158142,-0.6918466091156006,-1.100000023841858,-0.6288026571273804,0.05598782745649274
78000,0.447,96.03717803955078,98.47132110595703,-0.6000000238418579,-0.9543956518173218,-1.0,-0.9174063205718994,0.05524038682895525
80000,0.458,92.84654998779297,100.20683288574219,-1.5,-0.9102309346199036,-0.5,-1.026450514793396,0.054586246734165705
82000,0.449,95.86289978027344,97.59219360351562,-1.399999976158142,-0.8182075619697571,-1.600000023841858,-0.8637123703956604,0.05401376077628968
84000,0.455,97.7448501586914,98.49132537841797,-0.8999999761581421,-0.6415078639984131,-1.0,-0.6853627562522888,0.053512736340429835
86000,0.462,96.11833953857422,98.7787094116211,-1.2999999523162842,-0.9540703296661377,-1.2999999523162842,-0.7206706404685974,0.05307425312197676
88000,0.4305,95.62451171875,98.27001190185547,-1.2999999523162842,-1.0649276971817017,-1.2999999523162842,-1.0383435487747192,0.05269050430833854
90000,0.4395,97.36803436279297,96.31417083740234,-0.8999999761581421,-1.1669899225234985,-2.299999952316284,-1.140702724456787,0.05235465758542799
92000,0.455,95.22660064697266,97.67779541015625,-1.5,-0.7920779585838318,-1.0,-0.852000892162323,0.05206073349424867
94000,0.454,92.88702392578125,101.37458801269531,-1.2999999523162842,-0.9619296193122864,0.4000000059604645,-0.9255768656730652,0.051803498971824576
96000,0.4515,91.78498840332031,101.13539123535156,-1.2999999523162842,-0.9534821510314941,-0.30000001192092896,-0.8748936653137207,0.05157837418106226
98000,0.461,97.56613159179688,98.07449340820312,-0.5,-0.6804298162460327,-0.800000011920929,-0.8751165270805359,0.05138135097073195
100000,0.4665,96.66059875488281,100.02677917480469,-0.10000000149011612,-0.4720551669597626,-0.800000011920929,-0.8068714737892151,0.05120892151381868
102000,0.4375,93.71073150634766,98.94717407226562,-1.600000023841858,-1.0478966236114502,-0.8999999761581421,-1.2455412149429321,0.05105801585371112
104000,0.456,91.97660064697266,96.3201675415039,-0.800000011920929,-0.6228125095367432,-1.2999999523162842,-0.8340702652931213,0.050925947246292416
