episodes,return,hinter_loss,guesser_loss,hinter_q,hinter_qhat,guesser_q,guesser_qhat,exploration
2000,0.4425,99.89407348632812,99.8133316040039,-0.8999999761581421,-0.14450183510780334,-0.699999988079071,-0.14994527399539948,0.8813592272948078
4000,0.4435,99.99385070800781,99.29167175292969,-0.4000000059604645,-0.5031307339668274,-1.100000023841858,-0.36853528022766113,0.7775834142685771
6000,0.445,97.956787109375,97.4999771118164,-1.7000000476837158,-0.7690205574035645,-2.0999999046325684,-0.6200082898139954,0.6867615915460303
8000,0.452,98.23503875732422,99.68098449707031,-1.5,-0.9344847202301025,-0.4000000059604645,-0.9186292290687561,0.6072767555124091
10000,0.4175,97.0079116821289,97.54346466064453,-1.899999976158142,-1.0629570484161377,-1.7999999523162842,-1.1150519847869873,0.5377137477472802
12000,0.4255,98.25264739990234,97.78935241699219,-1.399999976158142,-1.4117369651794434,-1.399999976158142,-1.2678654193878174,0.47683405935886203
14000,0.4315,99.07373046875,97.40520477294922,-1.2999999523162842,-1.206681489944458,-1.600000023841858,-1.1371207237243652,0.42355378040966973
16000,0.431,99.77214050292969,98.84178924560547,-0.6000000238418579,-1.379081130027771,-1.399999976158142,-1.294426441192627,0.376924301842171
18000,0.46,98.9835433959961,98.91104125976562,-1.399999976158142,-0.6708689332008362,-0.8999999761581421,-0.7978388071060181,0.3361154263190112
20000,0.444,98.02710723876953,98.45796966552734,-1.399999976158142,-0.9610145092010498,-1.399999976158142,-1.0169708728790283,0.3004005872809969
22000,0.446,99.0981216430664,100.1816635131836,-0.699999988079071,-0.8122206330299377,-0.5,-0.7542915344238281,0.2691439130610133
24000,0.4655,98.26834869384766,98.97779083251953,-1.7000000476837158,-0.8580559492111206,-0.8999999761581421,-0.8971680998802185,0.24178890574166612
26000,0.4495,97.05000305175781,98.71829986572266,-1.7000000476837158,-0.8815882802009583,-1.2000000476837158,-0.8448763489723206,0.21784853319354897
28000,0.444,96.14139556884766,99.546142578125,-1.5,-0.9728118777275085,-0.800000011920929,-0.8352843523025513,0.19689655789148858
30000,0.4445,100.21424102783203,98.23181915283203,-0.20000000298023224,-1.0448992252349854,-1.7000000476837158,-0.8879925608634949,0.17855994812587855
32000,0.437,97.30596923828125,99.72576141357422,-1.600000023841858,-1.0097402334213257,-0.30000001192092896,-0.8736963868141174,0.16251223649731428
34000,0.454,99.69990539550781,98.3187484741211,-1.0,-0.6656820774078369,-1.100000023841858,-0.7502772808074951,0.14846770744829957
36000,0.4315,99.5149917602539,96.56454467773438,-0.800000011920929,-1.3287245035171509,-1.7999999523162842,-1.241969347000122,0.1361763103460783
38000,0.4515,98.7773208618164,99.19960021972656,-0.800000011920929,-0.8461345434188843,-0.6000000238418579,-0.9582851529121399,0.12541920754845245
40000,0.4655,97.65315246582031,98.39937591552734,-1.2000000476837158,-0.6295582056045532,-1.7000000476837158,-0.5949755311012268,0.11600487818976805
42000,0.441,96.15139770507812,97.0129623413086,-2.0999999046325684,-1.0684012174606323,-2.200000047683716,-0.8591989278793335,0.10776570831836477
44000,0.44,98.61627960205078,96.16665649414062,-1.5,-1.148712396621704,-2.0999999046325684,-1.0029209852218628,0.10055500667585009
46000,0.436,98.53744506835938,96.51506042480469,-1.5,-1.1306418180465698,-2.299999952316284,-1.1493000984191895,0.09424439298674207
48000,0.4395,94.40544128417969,98.05660247802734,-2.200000047683716,-1.1907620429992676,-1.600000023841858,-1.0867722034454346,0.08872151225924757
50000,0.444,95.97834014892578,100.42346954345703,-1.7000000476837158,-0.9444536566734314,-0.5,-1.0842223167419434,0.08388803440228787
52000,0.438,95.90660095214844,98.57331085205078,-1.2999999523162842,-1.1202584505081177,-1.399999976158142,-0.9888076782226562,0.07965790354369187
54000,0.4505,99.15386962890625,99.02763366699219,-0.4000000059604645,-0.9542293548583984,-0.8999999761581421,-1.0479109287261963,0.07595580588018841
56000,0.4405,95.45082092285156,96.95006561279297,-2.0999999046325684,-1.0550320148468018,-1.5,-0.9441403746604919,0.07271582878059893
58000,0.4385,93.04559326171875,97.1207046508789,-1.7000000476837158,-1.160966396331787,-1.600000023841858,-1.1312212944030762,0.06988028726872808
60000,0.442,96.34825134277344,98.87492370605469,-0.800000011920929,-0.7675164937973022,-1.0,-0.9994903802871704,0.0673986969925
62000,0.445,96.54937744140625,98.67935180664062,-1.100000023841858,-1.218532681465149,-1.2999999523162842,-0.9971997737884521,0.06522687539394878
64000,0.444,92.34745788574219,98.13221740722656,-2.0999999046325684,-0.9734492301940918,-1.399999976158142,-0.9658541679382324,0.06332615507717554
66000,0.4245,94.8813705444336,98.80426025390625,-1.2000000476837158,-1.1928430795669556,-0.800000011920929,-1.2921441793441772,0.061662695368972745
68000,0.464,93.30656433105469,97.88691711425781,0.10000000149011612,-0.89165198802948,-1.7000000476837158,-0.794944167137146,0.06020687981505069
