episodes,return,hinter_loss,guesser_loss,hinter_q,hinter_qhat,guesser_q,guesser_qhat,exploration
5000,0.4414,100.50033569335938,98.55070495605469,-0.30000001192092896,-0.5710847973823547,-1.100000023841858,-0.6342408061027527,0.645823008711293
10000,0.4394,97.08709716796875,98.53975677490234,-1.600000023841858,-1.1199262142181396,-1.5,-0.9621676802635193,0.431058389559995
15000,0.4504,98.34648132324219,98.84709930419922,-1.2999999523162842,-0.8377594947814941,-1.2000000476837158,-0.7612645626068115,0.30079706342322576
20000,0.4512,101.0846939086914,99.75045013427734,-0.20000000298023224,-1.0506901741027832,-0.10000000149011612,-0.8419293761253357,0.2217895753464486
25000,0.4444,102.2026138305664,98.37150573730469,-0.10000000149011612,-1.0109987258911133,-1.7000000476837158,-0.8898432850837708,0.17386911148100292
30000,0.4392,100.0268783569336,99.79008483886719,-0.4000000059604645,-0.8778104186058044,-0.699999988079071,-0.8922937512397766,0.1448038809189588
35000,0.4372,99.43672943115234,97.52503967285156,-0.800000011920929,-0.8425635695457458,-1.5,-1.0196932554244995,0.12717492745146233
40000,0.4532,101.3694839477539,100.03382873535156,0.0,-0.8738613724708557,-0.5,-0.8141903877258301,0.11648242667477841
45000,0.458,98.39261627197266,98.17305755615234,-1.2000000476837158,-0.7707778811454773,-1.2999999523162842,-0.7776972055435181,0.10999709712471846
50000,0.4452,99.14640808105469,100.76838684082031,-1.2000000476837158,-0.9605608582496643,-0.5,-0.9270836114883423,0.10606354591426675
55000,0.4396,98.41398620605469,98.9660873413086,-1.7000000476837158,-1.0981545448303223,-1.2000000476837158,-1.0691720247268677,0.10367772650357807
60000,0.4422,95.79997253417969,95.21012878417969,-2.299999952316284,-1.2443686723709106,-2.299999952316284,-1.1543883085250854,0.10223065388245785
65000,0.4482,97.19670104980469,98.89802551269531,-1.0,-1.0454201698303223,-0.8999999761581421,-0.8035284280776978,0.1013529599709177
70000,0.4422,95.64366149902344,101.78253173828125,-1.2000000476837158,-0.993377685546875,0.20000000298023224,-0.9717545509338379,0.1008206117037255
75000,0.4412,97.1594009399414,99.7596206665039,-1.100000023841858,-1.0753488540649414,-0.30000001192092896,-0.9074341058731079,0.10049772615802854
80000,0.4592,98.62239074707031,98.2031478881836,-1.899999976158142,-0.8057578206062317,-1.100000023841858,-0.7962927222251892,0.10030188617498528
85000,0.455,99.90396118164062,100.74653625488281,0.800000011920929,-0.1909090280532837,-0.20000000298023224,-0.5399603247642517,0.10018310322087196
90000,0.4496,98.16789245605469,95.98974609375,-1.2000000476837158,-0.7976831793785095,-2.0999999046325684,-0.9598425030708313,0.10011105771735097
95000,0.455,94.61334991455078,95.58538818359375,-1.5,-1.0834825038909912,-2.0,-0.7574832439422607,0.10006735991057107
100000,0.4554,93.44928741455078,97.07540130615234,-1.7000000476837158,-0.48894163966178894,-2.299999952316284,-0.6844269633293152,0.10004085585099685
105000,0.4584,100.9106216430664,99.19363403320312,0.8999999761581421,-1.0294296741485596,0.5,-0.7076326608657837,0.10002478032625825
110000,0.4474,94.23577880859375,97.22168731689453,-1.100000023841858,-0.719386875629425,-1.7000000476837158,-0.9527061581611633,0.10001503002763332
115000,0.455,87.94233703613281,100.07131958007812,-1.399999976158142,-0.9399672746658325,-0.20000000298023224,-0.8179070949554443,0.10000911617257593
120000,0.4586,91.54540252685547,99.38194274902344,0.10000000149011612,-0.7006644606590271,0.4000000059604645,-0.5974706411361694,0.10000552923816654
125000,0.4724,92.49044036865234,98.64051818847656,-0.30000001192092896,-0.8777700662612915,-0.6000000238418579,-0.5071513652801514,0.10000335365247286
130000,0.4478,88.59465026855469,97.80155181884766,-1.100000023841858,-0.9065830707550049,-1.100000023841858,-0.7813512682914734,0.10000203409304681
135000,0.4638,91.02322387695312,97.92742919921875,-0.6000000238418579,-0.9071022868156433,-1.0,-0.8824131488800049,0.10000123373979761
