episodes,return,hinter_loss,guesser_loss,hinter_q,hinter_qhat,guesser_q,guesser_qhat,exploration
5000,0.443,99.9590835571289,98.51969909667969,-1.100000023841858,-0.8282415270805359,-1.2000000476837158,-0.5276961326599121,0.645823008711293
10000,0.4466,97.38114929199219,97.5853042602539,-2.299999952316284,-0.7287561893463135,-1.899999976158142,-0.7528307437896729,0.431058389559995
15000,0.443,97.7295150756836,99.74305725097656,-1.2000000476837158,-1.0809674263000488,-0.20000000298023224,-0.877651572227478,0.30079706342322576
20000,0.4484,98.26074981689453,100.5131607055664,-1.399999976158142,-0.7235884070396423,-0.5,-0.8819646239280701,0.2217895753464486
25000,0.4302,96.67524719238281,97.10494232177734,-2.200000047683716,-1.2439570426940918,-2.0,-1.0579074621200562,0.17386911148100292
30000,0.4422,97.34290313720703,95.60225677490234,-1.0,-1.123666524887085,-2.5,-1.1416529417037964,0.1448038809189588
35000,0.441,99.18132019042969,97.386474609375,-0.8999999761581421,-0.9899721741676331,-1.7000000476837158,-0.9729768633842468,0.12717492745146233
40000,0.4506,98.08130645751953,99.89274597167969,-0.8999999761581421,-0.9034473896026611,-0.800000011920929,-1.063603401184082,0.11648242667477841
45000,0.4594,100.17752838134766,101.03366088867188,-1.2000000476837158,-0.45164570212364197,0.10000000149011612,-0.630333662033081,0.10999709712471846
50000,0.4414,96.80138397216797,99.50025177001953,-1.7000000476837158,-1.2187488079071045,-0.699999988079071,-1.190997838973999,0.10606354591426675
55000,0.454,100.0531234741211,99.08914947509766,-0.6000000238418579,-0.6484431624412537,-1.399999976158142,-0.5590534210205078,0.10367772650357807
60000,0.4504,94.40092468261719,97.18052673339844,-2.200000047683716,-0.9757488965988159,-1.7999999523162842,-0.9161036610603333,0.10223065388245785
65000,0.4574,99.57159423828125,100.22787475585938,-1.2000000476837158,-0.924685001373291,0.10000000149011612,-0.8126245737075806,0.1013529599709177
