episodes,return,hinter_loss,guesser_loss,hinter_q,hinter_qhat,guesser_q,guesser_qhat,exploration
5000,0.4384,97.01730346679688,99.69530487060547,-2.700000047683716,-0.7118203639984131,-0.4000000059604645,-0.7899218201637268,0.645823008711293
10000,0.4424,99.32733154296875,97.88292694091797,-0.699999988079071,-0.9433906674385071,-2.0999999046325684,-1.025578498840332,0.431058389559995
15000,0.4434,101.80699157714844,99.72412109375,0.10000000149011612,-1.2445963621139526,-0.699999988079071,-1.0859588384628296,0.30079706342322576
20000,0.4334,97.70592498779297,98.1111831665039,-2.0,-1.3358150720596313,-1.399999976158142,-1.2179166078567505,0.2217895753464486
25000,0.4462,99.30506134033203,93.49966430664062,-0.6000000238418579,-0.9221218228340149,-3.4000000953674316,-0.994296669960022,0.17386911148100292
30000,0.444,99.75773620605469,101.56517791748047,-0.8999999761581421,-0.852431058883667,-0.20000000298023224,-0.919746994972229,0.1448038809189588
35000,0.433,101.34646606445312,98.24988555908203,0.0,-1.1443983316421509,-1.2000000476837158,-1.205527663230896,0.12717492745146233
40000,0.4424,100.13086700439453,101.65322875976562,-0.6000000238418579,-0.9519923329353333,-0.20000000298023224,-1.1300594806671143,0.11648242667477841
45000,0.453,98.42236328125,99.91761016845703,-1.100000023841858,-0.5299569964408875,-0.20000000298023224,-0.6977167725563049,0.10999709712471846
50000,0.4374,98.76091003417969,100.0996322631836,-0.8999999761581421,-1.4229457378387451,-1.0,-1.281507134437561,0.10606354591426675
55000,0.444,100.0241928100586,97.97122955322266,0.0,-0.8723179697990417,-1.2000000476837158,-1.0007671117782593,0.10367772650357807
60000,0.4468,96.72660827636719,99.00157928466797,-1.7999999523162842,-1.1369208097457886,-0.8999999761581421,-0.9552634358406067,0.10223065388245785
65000,0.4398,97.99239349365234,98.20793914794922,-0.30000001192092896,-0.7505900859832764,-1.0,-1.0156848430633545,0.1013529599709177
70000,0.449,96.40165710449219,98.58599853515625,-0.4000000059604645,-0.771402895450592,-1.7000000476837158,-0.8693754076957703,0.1008206117037255
75000,0.4314,97.53550720214844,96.62060546875,-1.0,-1.2660483121871948,-2.0,-1.3409806489944458,0.10049772615802854
80000,0.4514,94.57534790039062,97.84687805175781,-1.2999999523162842,-0.7905026078224182,-1.399999976158142,-0.8391571044921875,0.10030188617498528
85000,0.447,96.24595642089844,97.47224426269531,-1.100000023841858,-0.7992242574691772,-1.7999999523162842,-1.0627859830856323,0.10018310322087196
90000,0.4548,93.56487274169922,98.23110961914062,0.4000000059604645,-0.5705996751785278,-1.2000000476837158,-0.8515646457672119,0.10011105771735097
95000,0.4494,99.42440795898438,100.8575668334961,-0.699999988079071,-1.3040359020233154,-0.10000000149011612,-1.0812616348266602,0.10006735991057107
100000,0.4574,93.62142944335938,100.380859375,-1.100000023841858,-0.9729802012443542,0.0,-0.7264538407325745,0.10004085585099685
105000,0.4598,91.89791107177734,99.3188247680664,-1.100000023841858,-1.1856930255889893,-0.20000000298023224,-0.840668261051178,0.10002478032625825
110000,0.4596,99.56696319580078,100.70845794677734,-0.699999988079071,-1.137357234954834,-0.6000000238418579,-0.7735592126846313,0.10001503002763332
115000,0.4502,95.54977416992188,98.57811737060547,-1.600000023841858,-0.9659819006919861,-1.2000000476837158,-0.933368980884552,0.10000911617257593
120000,0.4652,93.52685546875,99.29489135742188,-0.699999988079071,-0.5463213324546814,-0.699999988079071,-0.5794969797134399,0.10000552923816654
125000,0.4448,90.93604278564453,98.93439483642578,-1.0,-1.0857958793640137,-0.5,-0.892850935459137,0.10000335365247286
130000,0.4572,89.84257507324219,97.62640380859375,-1.100000023841858,-0.8330700397491455,-1.100000023841858,-0.7574003338813782,0.10000203409304681
135000,0.4566,94.88945007324219,96.06564331054688,0.0,-1.1728359460830688,-1.899999976158142,-0.9669560194015503,0.10000123373979761
140000,0.4582,87.5171127319336,99.13825225830078,-0.800000011920929,-0.9166592955589294,-0.699999988079071,-0.7634656429290771,0.10000074830101335
145000,0.4586,88.2452163696289,96.74211120605469,-1.0,-0.8517210483551025,-1.0,-0.7441577315330505,0.10000045386750729
150000,0.4566,96.20459747314453,97.06027221679688,-0.20000000298023224,-1.1957249641418457,-1.0,-1.1659166812896729,0.10000027528455863
155000,0.4652,88.23062133789062,97.4201431274414,-0.20000000298023224,-0.6418149471282959,-1.2999999523162842,-0.7660092711448669,0.10000016696852496
160000,0.454,88.52142333984375,95.98664093017578,-1.0,-0.9774748086929321,-1.7000000476837158,-0.8540064096450806,0.1000001012715296
165000,0.4662,83.64877319335938,95.21446228027344,-2.200000047683716,-1.4835745096206665,-1.2999999523162842,-0.8360068798065186,0.10000006142428766
170000,0.454,87.66168975830078,97.97122192382812,-0.5,-0.7589959502220154,-1.7000000476837158,-0.5459016561508179,0.10000003725571371
175000,0.4692,85.05241394042969,98.45051574707031,-0.8999999761581421,-1.1250619888305664,-0.800000011920929,-0.6097555160522461,0.10000002259673262
180000,0.4692,76.0910415649414,97.01907348632812,0.10000000149011612,-1.0862703323364258,-1.5,-0.45582351088523865,0.10000001370561115
185000,0.4594,81.38430786132812,96.89678955078125,-1.7999999523162842,-1.1688398122787476,-1.100000023841858,-0.8639254570007324,0.10000000831287337
190000,0.4732,80.65999603271484,100.38919830322266,-0.10000000149011612,-0.6769992113113403,-0.4000000059604645,-0.9629502892494202,0.10000000504201258
195000,0.4636,82.9770278930664,102.1534194946289,-0.30000001192092896,-0.5798081159591675,-0.10000000149011612,-0.8392399549484253,0.10000000305813521
200000,0.4808,84.48275756835938,100.61585998535156,0.10000000149011612,-0.21015812456607819,0.800000011920929,-0.5286049246788025,0.10000000185485278
205000,0.4566,72.46339416503906,102.62161254882812,-1.100000023841858,-0.8712463974952698,0.4000000059604645,-0.7157320976257324,0.10000000112502508
210000,0.4624,76.99826049804688,98.09729766845703,-0.5,-1.101149559020996,-0.800000011920929,-0.5417343378067017,0.1000000006823622
215000,0.4658,79.01679992675781,97.32492065429688,-1.2999999523162842,-0.7984033226966858,-1.0,-0.8372396230697632,0.1000000004138736
220000,0.463,76.93297576904297,98.47903442382812,-0.8999999761581421,-0.682727575302124,-1.5,-0.6718685030937195,0.10000000025102702
225000,0.4744,84.61312866210938,98.8410415649414,-0.20000000298023224,-0.348123162984848,-0.6000000238418579,-0.44877880811691284,0.10000000015225559
230000,0.4828,73.89448547363281,97.2450180053711,0.20000000298023224,-0.7123075723648071,-1.100000023841858,-0.6494200825691223,0.10000000009234769
235000,0.4628,75.55447387695312,95.85099792480469,-0.699999988079071,-1.3323482275009155,-1.0,-0.8087415099143982,0.1000000000560117
240000,0.4756,70.10238647460938,97.23074340820312,0.4000000059604645,-0.38884541392326355,0.0,-1.0484282970428467,0.10000000003397282
245000,0.48,71.79869842529297,96.13866424560547,-1.5,-0.9989703893661499,-1.399999976158142,-0.6631851196289062,0.10000000002060556
250000,0.4742,75.9552993774414,95.08364868164062,-1.2999999523162842,-0.9955803751945496,-1.7000000476837158,-0.5213270783424377,0.10000000001249791
255000,0.4698,70.84347534179688,96.86589813232422,-0.800000011920929,-1.4468841552734375,-0.8999999761581421,-0.9635483026504517,0.10000000000758036
260000,0.481,71.98858642578125,97.17870330810547,-0.5,-0.35923027992248535,-0.20000000298023224,-0.824164867401123,0.10000000000459773
265000,0.484,70.61670684814453,91.9990463256836,0.699999988079071,-0.44755634665489197,-1.0,-0.6744740009307861,0.10000000000278866
270000,0.488,84.7724838256836,91.00614166259766,0.10000000149011612,-0.29023057222366333,-0.5,-0.6091889142990112,0.10000000000169142
275000,0.4848,82.86869812011719,97.17364501953125,-0.5,-0.6911873817443848,0.5,-0.6062818169593811,0.1000000000010259
280000,0.5006,76.67196655273438,89.38180541992188,-0.5,-0.05639178305864334,0.20000000298023224,0.028722744435071945,0.10000000000062224
285000,0.5004,77.15876007080078,94.16629791259766,-0.800000011920929,-0.6441781520843506,-0.5,-0.026481570675969124,0.10000000000037741
290000,0.496,76.25863647460938,94.9062271118164,-1.2999999523162842,-0.48874062299728394,0.30000001192092896,0.1435941457748413,0.1000000000002289
295000,0.4924,75.0741958618164,98.09249877929688,-0.5,0.42079970240592957,-0.30000001192092896,-0.27694591879844666,0.10000000000013884
300000,0.5098,79.8953628540039,97.05793762207031,0.5,0.010698561556637287,0.30000001192092896,-0.07512490451335907,0.10000000000008422
305000,0.5108,72.3533706665039,95.75525665283203,0.10000000149011612,0.16281627118587494,0.4000000059604645,0.11379246413707733,0.10000000000005108
310000,0.5106,77.9725112915039,91.06549072265625,0.8999999761581421,0.29162657260894775,1.100000023841858,0.07203326374292374,0.10000000000003098
315000,0.5056,72.92430877685547,97.4214859008789,-0.30000001192092896,-0.108590267598629,0.30000001192092896,-0.134424090385437,0.1000000000000188
320000,0.5152,76.62740325927734,96.45280456542969,-1.0,-0.03824882581830025,0.4000000059604645,0.489665150642395,0.1000000000000114
325000,0.5142,65.53876495361328,96.98977661132812,0.5,0.3624808192253113,-1.5,0.20240795612335205,0.10000000000000692
330000,0.5188,67.3608627319336,91.93183898925781,1.399999976158142,0.6977373361587524,2.4000000953674316,0.5804847478866577,0.1000000000000042
335000,0.5192,77.69105529785156,97.98931884765625,0.30000001192092896,-0.2097715139389038,-0.30000001192092896,0.06587620079517365,0.10000000000000255
340000,0.5462,77.38096618652344,91.876953125,1.0,0.4155464172363281,0.5,0.9336565136909485,0.10000000000000155
345000,0.5344,76.87598419189453,92.70541381835938,-0.4000000059604645,-0.2059425711631775,0.20000000298023224,0.614878237247467,0.10000000000000094
350000,0.5414,73.03915405273438,96.49909973144531,0.8999999761581421,1.2353179454803467,2.0,0.8597851395606995,0.10000000000000057
355000,0.5444,67.97151947021484,90.71331787109375,1.600000023841858,0.9464863538742065,1.600000023841858,0.8760964274406433,0.10000000000000035
360000,0.5368,71.00042724609375,89.82330322265625,0.8999999761581421,0.5998902320861816,0.30000001192092896,0.6231599450111389,0.10000000000000021
365000,0.5426,67.43504333496094,97.69085693359375,0.20000000298023224,0.617259681224823,1.5,0.7291646003723145,0.10000000000000013
370000,0.5476,69.18049621582031,92.28093719482422,0.4000000059604645,0.6927656531333923,0.5,0.5786173343658447,0.10000000000000009
375000,0.5528,68.5893783569336,96.1375961303711,1.2000000476837158,0.6817691922187805,0.5,0.7049716114997864,0.10000000000000005
380000,0.5556,68.8781509399414,95.32748413085938,1.2000000476837158,0.7493404150009155,2.0999999046325684,1.0497877597808838,0.10000000000000003
385000,0.5464,76.73351287841797,88.86156463623047,1.5,0.8737292289733887,2.5999999046325684,1.2484663724899292,0.10000000000000002
390000,0.5624,74.05404663085938,90.87551879882812,1.7000000476837158,0.7855955362319946,1.100000023841858,1.029665231704712,0.10000000000000002
395000,0.5686,66.71398162841797,91.79261016845703,2.0,1.0944807529449463,0.10000000149011612,0.8599820733070374,0.1
400000,0.5754,66.91873931884766,86.47412872314453,1.399999976158142,1.838919997215271,1.600000023841858,1.1869598627090454,0.1
405000,0.5928,66.74710845947266,87.70755767822266,1.7999999523162842,1.206749439239502,1.899999976158142,1.6412490606307983,0.1
410000,0.585,65.1739273071289,85.3752670288086,2.299999952316284,2.0466697216033936,3.0999999046325684,1.936732292175293,0.1
415000,0.588,64.53387451171875,93.81525421142578,1.600000023841858,1.8015050888061523,1.100000023841858,1.4487738609313965,0.1
420000,0.6022,65.54776000976562,86.34818267822266,2.299999952316284,2.225278377532959,2.0,2.4161925315856934,0.1
425000,0.591,63.449344635009766,88.552734375,2.0,1.3539690971374512,2.0,1.7161319255828857,0.1
430000,0.5996,70.24266052246094,91.1106185913086,1.399999976158142,2.1749656200408936,0.800000011920929,1.5306202173233032,0.1
435000,0.6008,64.29264068603516,93.85596466064453,1.7000000476837158,1.3458147048950195,1.399999976158142,1.6903456449508667,0.1
440000,0.594,66.87841796875,95.30660247802734,2.299999952316284,2.121344566345215,1.2999999523162842,1.686465859413147,0.1
445000,0.611,52.25645065307617,87.96430969238281,2.700000047683716,2.425661325454712,1.600000023841858,1.7128013372421265,0.1
450000,0.5968,62.18024444580078,81.97116088867188,1.2000000476837158,1.3747814893722534,2.700000047683716,1.8741540908813477,0.1
455000,0.6188,55.056922912597656,80.9326171875,3.0999999046325684,2.848740816116333,2.9000000953674316,2.3047053813934326,0.1
460000,0.6094,68.77095794677734,90.8133316040039,2.0,2.7141878604888916,2.5,2.164686441421509,0.1
465000,0.6022,61.53775405883789,81.6279525756836,1.7000000476837158,1.891313076019287,2.200000047683716,2.0489213466644287,0.1
470000,0.6148,59.434539794921875,86.072265625,2.4000000953674316,2.1423487663269043,1.7999999523162842,2.182004928588867,0.1
475000,0.6206,58.065673828125,85.52527618408203,2.5,1.962876558303833,2.5,2.3631510734558105,0.1
480000,0.619,69.31778717041016,84.37834167480469,2.0,2.4792227745056152,2.0999999046325684,2.483269691467285,0.1
485000,0.6214,60.13150405883789,88.82401275634766,2.5999999046325684,3.359109401702881,2.299999952316284,2.3033106327056885,0.1
490000,0.6232,49.20087814331055,84.09119415283203,3.5999999046325684,2.714217185974121,2.700000047683716,2.0912351608276367,0.1
495000,0.6258,58.72975540161133,83.1015853881836,1.5,2.7108004093170166,2.0,1.9426289796829224,0.1
500000,0.6234,58.37290954589844,87.0218276977539,2.4000000953674316,2.729207754135132,2.700000047683716,2.4678587913513184,0.1
505000,0.6212,51.48884582519531,87.00519561767578,3.0999999046325684,3.34116268157959,2.700000047683716,2.5209059715270996,0.1
510000,0.6188,52.993507385253906,82.11392211914062,3.700000047683716,2.6452701091766357,1.600000023841858,2.1105949878692627,0.1
515000,0.6374,53.431522369384766,83.00987243652344,4.5,3.390279769897461,2.5999999046325684,2.3763089179992676,0.1
520000,0.6164,53.06834411621094,89.49360656738281,2.5999999046325684,2.29410457611084,2.299999952316284,2.1589152812957764,0.1
525000,0.6312,62.523681640625,86.31546783447266,3.0,2.568876028060913,2.5,1.8855382204055786,0.1
530000,0.6264,55.02397537231445,84.79812622070312,2.0999999046325684,2.2357122898101807,3.0999999046325684,2.1923727989196777,0.1
535000,0.6422,53.147586822509766,77.4884262084961,2.200000047683716,2.700270175933838,2.700000047683716,2.5620827674865723,0.1
540000,0.6388,59.25003433227539,86.5588150024414,2.700000047683716,2.7521142959594727,3.200000047683716,2.5022785663604736,0.1
545000,0.6564,65.5058364868164,82.31714630126953,3.5999999046325684,2.9703333377838135,2.9000000953674316,2.1713192462921143,0.1
550000,0.6472,66.86888885498047,79.58563232421875,2.299999952316284,2.561896562576294,2.5999999046325684,2.621931791305542,0.1
555000,0.648,77.71046447753906,84.9944839477539,2.0,2.1260275840759277,2.200000047683716,2.6128013134002686,0.1
560000,0.6594,63.10934066772461,76.07058715820312,3.0999999046325684,3.0440967082977295,3.9000000953674316,3.1224889755249023,0.1
565000,0.6714,67.38916015625,78.3976058959961,2.5,2.288681745529175,3.0999999046325684,3.7663064002990723,0.1
570000,0.666,65.29466247558594,78.85089111328125,3.5999999046325684,3.328441858291626,4.5,3.2282912731170654,0.1
575000,0.677,59.88966369628906,77.38884735107422,3.4000000953674316,3.8135035037994385,4.099999904632568,3.3896584510803223,0.1
580000,0.677,62.202430725097656,75.1592788696289,2.5999999046325684,3.2778592109680176,4.0,3.410691738128662,0.1
585000,0.6822,71.02069091796875,71.24929809570312,3.5999999046325684,3.5270934104919434,5.199999809265137,3.2184555530548096,0.1
590000,0.6876,67.8561782836914,75.20990753173828,4.099999904632568,4.002288341522217,5.0,3.618046522140503,0.1
595000,0.698,62.25210952758789,77.27993774414062,3.700000047683716,3.3828911781311035,3.700000047683716,3.337721347808838,0.1
600000,0.689,62.65248107910156,73.2891616821289,4.0,3.2093982696533203,3.799999952316284,3.1208057403564453,0.1
605000,0.6856,75.46292114257812,78.8082046508789,3.299999952316284,3.792224645614624,3.200000047683716,3.3431875705718994,0.1
610000,0.6884,61.443946838378906,70.78463745117188,3.5999999046325684,4.078095436096191,3.799999952316284,3.1450464725494385,0.1
615000,0.6898,55.500152587890625,70.8666763305664,4.300000190734863,4.222133636474609,3.799999952316284,3.024027109146118,0.1
620000,0.691,57.0729866027832,78.16964721679688,5.5,3.9556806087493896,3.5,3.7298190593719482,0.1
625000,0.6974,69.3044204711914,81.4643325805664,3.700000047683716,4.109662055969238,3.799999952316284,3.593775987625122,0.1
630000,0.695,82.73587036132812,77.67693328857422,2.299999952316284,3.583871364593506,3.4000000953674316,3.379009962081909,0.1
635000,0.7026,59.48259735107422,61.1135368347168,5.5,4.526288032531738,4.599999904632568,3.8717775344848633,0.1
640000,0.696,58.40143585205078,84.6635971069336,4.5,4.194653511047363,2.9000000953674316,3.5918712615966797,0.1
645000,0.7062,72.9399642944336,79.83251953125,3.799999952316284,3.6692464351654053,2.700000047683716,3.1921143531799316,0.1
650000,0.6936,62.959407806396484,77.05032348632812,4.0,3.5890631675720215,3.0999999046325684,3.5782365798950195,0.1
655000,0.702,76.01061248779297,68.32501220703125,3.4000000953674316,3.267976999282837,4.5,3.776479482650757,0.1
660000,0.6964,69.28843688964844,75.02661895751953,3.5999999046325684,4.217844486236572,3.0999999046325684,3.347334384918213,0.1
665000,0.6946,70.10490417480469,81.21398162841797,3.299999952316284,3.811295747756958,2.299999952316284,3.349332809448242,0.1
670000,0.6914,73.05489349365234,86.70423126220703,3.5,4.047938346862793,2.799999952316284,3.6943109035491943,0.1
675000,0.685,64.67045593261719,78.05026245117188,2.9000000953674316,3.0406246185302734,3.0999999046325684,3.1993024349212646,0.1
680000,0.7108,68.60831451416016,75.14263916015625,3.5999999046325684,4.098534107208252,4.0,4.145717620849609,0.1
685000,0.708,63.281925201416016,66.73892211914062,4.699999809265137,4.04218864440918,4.800000190734863,3.76686954498291,0.1
690000,0.7016,65.05972290039062,81.10321044921875,3.799999952316284,4.13784646987915,3.0999999046325684,3.7223618030548096,0.1
695000,0.7152,64.0837631225586,71.02674102783203,4.400000095367432,4.059853553771973,4.5,3.862545967102051,0.1
700000,0.7226,61.76496887207031,66.73440551757812,4.300000190734863,5.267885684967041,4.0,3.6867663860321045,0.1
705000,0.7118,69.56939697265625,73.73065185546875,4.300000190734863,4.332308292388916,4.300000190734863,3.9404866695404053,0.1
710000,0.7,64.08715057373047,62.75889587402344,4.699999809265137,4.349515914916992,4.900000095367432,3.583548069000244,0.1
715000,0.7152,72.19957733154297,65.2276611328125,3.799999952316284,3.858724355697632,4.400000095367432,4.293449878692627,0.1
720000,0.7066,67.5694580078125,68.8347396850586,4.0,3.7988007068634033,5.199999809265137,4.090039253234863,0.1
725000,0.717,58.89395523071289,70.7571029663086,4.900000095367432,4.290274620056152,4.199999809265137,3.916086435317993,0.1
730000,0.7112,62.79865264892578,79.87835693359375,4.599999904632568,3.6873934268951416,2.5999999046325684,3.5648298263549805,0.1
735000,0.711,60.373565673828125,65.2481460571289,4.900000095367432,4.55451774597168,5.0,3.7530462741851807,0.1
740000,0.7224,70.82929992675781,80.59646606445312,3.5999999046325684,3.8733789920806885,4.099999904632568,4.199031352996826,0.1
745000,0.7236,67.73265838623047,83.03430938720703,3.9000000953674316,3.9277477264404297,3.299999952316284,4.326998233795166,0.1
750000,0.7248,64.1904067993164,63.03580093383789,4.900000095367432,4.302882671356201,5.099999904632568,4.003811836242676,0.1
755000,0.7084,71.32048797607422,77.57658386230469,3.799999952316284,4.290210723876953,3.5,3.966834783554077,0.1
760000,0.7298,65.51181030273438,72.4958267211914,5.0,4.6299848556518555,4.199999809265137,4.329631805419922,0.1
